"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","ITIH5",-0.941966412599685,6.33751327595734,-8.16205304131069,3.78159457396514e-14,3.25065869578044e-10,21.596426611702,"Matrisome/cell adhesion/binding/signaling",0.15421867444126
"2","C8orf34-AS1",-2.00390207035766,5.5010303775637,-7.81943577189288,3.09091335028244e-13,1.17460543119306e-09,19.5108712454349,NA,0.0841211883353074
"3","TIMP2",-0.599893694560139,7.01899170406366,-7.75364454351366,4.60349552997503e-13,1.17460543119306e-09,19.2271544893407,NA,0.260759564641488
"4","NR4A3",-1.6726583079764,4.8335647863319,-7.72520023704535,5.46582331872061e-13,1.17460543119306e-09,18.7375125228195,"Development (apoptosis)",0.0603628922046157
"5","C1RL",0.580738703471352,7.39181018161407,7.6633205595398,7.93222587399322e-13,1.36370827225691e-09,18.708365865746,"Inflammation/Immune/Stress/Toxic/Detox",0.34943617848858
"6","PDP1",-0.867634023187188,5.92088501721967,-7.56652647288611,1.41596797044177e-12,2.02861011231958e-09,18.065252236588,NA,0.137307533272127
"7","AHCYL2",-0.343909068733873,10.0842252459377,-7.53937769654259,1.66471869284499e-12,2.04427455481365e-09,17.9525742143199,NA,0.773875685941957
"8","PRKCH",-0.472159517957416,8.27210911656171,-7.42625283547899,3.2567856936588e-12,3.49941622783638e-09,17.3403548431681,NA,0.41237814236756
"9","PER1",-0.573318542861794,6.77222373602268,-7.33453349187985,5.58944337046585e-12,4.96452814677783e-09,16.8203881447549,NA,0.236027108285969
"10","NR4A1",-1.28474898734328,7.10821063610977,-7.32895654178233,5.77539337689371e-12,4.96452814677783e-09,16.7927557407782,"Development (apoptosis)",0.195687063292381
"11","MAFF",-0.941203154603384,5.46166953850284,-7.16271261660787,1.52247650414339e-11,1.1897461845106e-08,15.7358507032421,NA,0.0873169945404977
"12","SFRP2",-1.61831131997554,5.8702226066192,-7.14147506310896,1.72165601651501e-11,1.23327959316359e-08,15.6839553350878,"Development (differentiation)",0.125470435288429
"13","HLCS",0.466876908511544,7.28151853569593,7.11481860962918,2.00836139572783e-11,1.3279903505905e-08,15.5922920768288,NA,0.271138926461416
"14","HHAT",-0.652469252307535,5.63586076647144,-7.06952972862968,2.60721081998809e-11,1.60082744347269e-08,15.2723253477776,NA,0.117459894734629
"15","ARHGAP31",-0.747553678486761,6.638342734134,-7.0542979745341,2.84578530884657e-11,1.63082470098967e-08,15.2453191319366,NA,0.198910902885336
"16","PRMT9",-0.770189542092534,5.70527600817558,-7.00136416910338,3.85470968143848e-11,2.07094277635282e-08,14.896768976859,"Metabolism (other)",0.119141898000519
"17","NPAS2",0.66464290762065,7.32494570483814,6.96521295046103,4.73886626311595e-11,2.39619378810263e-08,14.7663324281992,NA,0.297280060552118
"18","JUND",-0.472006269753245,6.85038593544168,-6.95497753402141,5.02363629185636e-11,2.39906542026651e-08,14.7101739767489,"Development (apoptosis)",0.234253996509843
"19","SLC26A2",-1.30816794471334,6.8727361401355,-6.8696154519569,8.15736933318499e-11,3.69056562042412e-08,14.2457568652528,"Transport",0.17402426289711
"20","NPNT",-1.32144096615813,6.70701437127801,-6.84715084350718,9.26204022830644e-11,3.97736736840134e-08,14.114126304323,NA,0.204917056213951
"21","GARNL3",-0.549813993788586,6.32267175594824,-6.82283475247607,1.06240764319657e-10,3.97736736840134e-08,13.9830674741103,NA,0.179112322776427
"22","PPP1CB",-0.778520882074073,8.15969968860385,-6.82253410201235,1.06420950992591e-10,3.97736736840134e-08,13.9711469390248,"Metabolism (other)",0.400057468444918
"23","FGL2",-1.18770823730157,4.8119015606897,-6.8316225233169,1.01104777072413e-10,3.97736736840134e-08,13.789109075497,NA,0.0718355561473715
"24","NR4A2",-1.35352502514965,6.30582082269679,-6.77467400714986,1.39296745340959e-10,4.72672502820099e-08,13.7290307899884,NA,0.127236538717613
"25","PER3",-0.785617878732462,6.66818335163748,-6.77003928463164,1.42967485729672e-10,4.72672502820099e-08,13.704903189559,NA,0.219165025545425
"26","CACNA2D3",-0.825931944369525,9.75876373966112,-6.77679344663074,1.37649205168816e-10,4.72672502820099e-08,13.6841696070106,"Transport",0.592156258103401
"27","CYP1B1",1.11506021882427,7.25156861563262,6.67172282561014,2.47624984331978e-10,7.87568759161165e-08,13.1789908661324,NA,0.228402026813935
"28","MIR646HG",0.888840723576233,7.83899401130274,6.66536506430451,2.56537055101357e-10,7.87568759161165e-08,13.1263682314037,NA,0.292248067448331
"29","FNIP2",-0.473575242079604,6.52140099024111,-6.63541104942899,3.02956185029302e-10,8.69275130656647e-08,12.9869992337779,NA,0.190318669535417
"30","PHC2",0.821878393557738,7.27464047831305,6.63516094338549,3.03376616097015e-10,8.69275130656647e-08,12.9784004464097,NA,0.302914771492848
"31","SLC16A9",-0.971900507299274,5.63445939145304,-6.60774942192494,3.53109690602339e-10,9.50498142016169e-08,12.8154975141217,"Transport",0.108194860078353
"32","NHSL2",-0.475996213562703,9.03451621074677,-6.60737674347047,3.53838303216815e-10,9.50498142016169e-08,12.7794227446111,NA,0.567556960339765
"33","CHCHD6",-0.659238895594504,5.62479593247321,-6.583363647894,4.04038524793048e-10,1.03720404193546e-07,12.6663473640393,NA,0.114123921590614
"35","RHOBTB1",-1.01300693226584,5.34577183844526,-6.58059966770879,4.10248225055904e-10,1.03720404193546e-07,12.6128687895025,NA,0.0993012678099617
"34","SKIL",-0.517850585463266,7.10228733419002,-6.56962488832006,4.35844449692748e-10,1.07043396844539e-07,12.6380560415675,NA,0.255699538149937
"36","PDLIM1",0.802023173897036,7.20209471772993,6.55351340021395,4.76289586175514e-10,1.10653656290938e-07,12.5511290390059,NA,0.238914547225746
"37","BCL7C",-0.612593534444339,5.28620322883563,-6.5575439403517,4.65838253558423e-10,1.10653656290938e-07,12.5161596851439,NA,0.0973879890950122
"38","LINC02691",-0.771303582800065,5.07013377802186,-6.54318126280953,5.04145801781713e-10,1.14043087160937e-07,12.3611741225356,NA,0.0850532984784879
"39","ATP1B1",-0.60952863556797,6.89423622558551,-6.46341511918043,7.80433780690076e-10,1.72015609713125e-07,12.0752149997733,NA,0.215646835380939
"40","OSMR-AS1",0.563236282490456,7.74721987097017,6.44491201142796,8.63289651437237e-10,1.84113619587729e-07,11.9689601965677,NA,0.370293018985612
"41","PXK",0.564529879227551,7.12400485025347,6.44177706417417,8.78159423347708e-10,1.84113619587729e-07,11.9687382394288,NA,0.296060608184348
"42","ZBTB4",-0.407393837997906,6.48889029526445,-6.42742706354957,9.49500611042466e-10,1.90919733802922e-07,11.8972332558439,"Development (cell cycle)",0.204258271601477
"43","ZNF10",-0.731200488726132,6.63525649103732,-6.42635701857776,9.55042875002985e-10,1.90919733802922e-07,11.8912978997125,NA,0.193864893087667
"44","ITPKB",-0.459035423102351,7.86842692431023,-6.39521649639891,1.1310163904605e-09,2.20959474827237e-07,11.6810702910212,NA,0.364504124412175
"45","ARNTL",0.646180154770816,5.86913745459259,6.36444615565121,1.33606161364457e-09,2.55217458464193e-07,11.5510973259934,NA,0.148016287398291
"47","GUK1",-0.565032670021375,4.58411828931833,-6.34893233079375,1.45286832677706e-09,2.71496872542948e-07,11.3646442001315,NA,0.0654789854716968
"49","KAZN",0.534982086384794,12.7079298477264,6.33785259670618,1.54237090157945e-09,2.82089792978233e-07,11.2762146051467,NA,0.946189912185413
"46","C7",0.786230056392573,7.30268169121777,6.32957839293508,1.61272026778838e-09,2.88811321289768e-07,11.3802790537399,"Inflammation/Immune/Stress/Toxic/Detox",0.239615381919867
"48","PTGDR",-0.95467546033795,7.47847155981779,-6.31902900361997,1.70699730097997e-09,2.99456097943344e-07,11.3211918275755,"Inflammation/Immune/Stress/Toxic/Detox",0.24799736486155
"50","GLIS3",0.669219841056357,8.60909032153838,6.24190792689418,2.58126009415317e-09,4.43770235386813e-07,10.8489375406441,"Development (differentiation)",0.485699468066467
"51","IFI16",0.727722254082068,5.81576302238681,6.21711127177033,2.94635540882531e-09,4.96605315573773e-07,10.798106071825,"Inflammation/Immune/Stress/Toxic/Detox",0.14219935943709
"52","CERS3-AS1",0.660434459459434,5.88442700735528,6.20491376879412,3.14408194173493e-09,5.18537528171712e-07,10.749213391367,NA,0.1539873989922
"53","JOSD1",-0.503637569381749,5.65756373081167,-6.20176958417748,3.19712529003033e-09,5.18537528171712e-07,10.7212281316159,NA,0.121027143327703
"54","RASSF2",-0.887749465687949,5.4923958992931,-6.16644778109626,3.85677519871656e-09,6.13941474225325e-07,10.519940776333,"Development (cell cycle)",0.110290355813774
"59","AC105402.3",-2.23805819674508,3.11573992371611,-6.1623400622011,3.94165981830055e-09,6.160455963293e-07,9.88097850818879,NA,0.0736997764337326
"55","USP36",-0.405752425027329,6.3776927220202,-6.12769323370943,4.73443090874432e-09,7.26735144492253e-07,10.3678142260081,"Metabolism (other)",0.18963885988212
"56","C3",0.778497792295251,7.69345816673896,6.05452072809073,6.95692286006594e-09,1.04847037396755e-06,9.95159420813605,"Inflammation/Immune/Stress/Toxic/Detox",0.301751385900608
"57","DISP1",-0.41764998150241,7.31688285551522,-6.04861944002915,7.17532801102473e-09,1.04847037396755e-06,9.94810954855285,NA,0.282324248179582
"58","EDA",0.414817778638509,8.35309325494374,6.0480609678341,7.19634156166652e-09,1.04847037396755e-06,9.89782403684278,NA,0.3972821630562
"60","C8orf34",-0.886255010288446,9.16665252331073,-6.04099093471124,7.46763497462119e-09,1.0698631706974e-06,9.83944882333127,NA,0.41534267312369
"61","KANK2",-0.608137086654293,6.69791862777,-6.01729399514795,8.45205080493057e-09,1.16630684159508e-06,9.81549237866512,NA,0.249076650290496
"62","ELN",-0.872864509044666,6.38166619368519,-6.01499322852123,8.55413988601403e-09,1.16630684159508e-06,9.79912597406461,NA,0.144098621458157
"63","DIP2A",-0.380978624336916,6.60714111416777,-6.01211549016049,8.68353162658038e-09,1.16630684159508e-06,9.78959532576805,NA,0.227974517650522
"64","MEOX2",-1.19981299325326,5.13910586361412,-6.01744402640035,8.44543526167065e-09,1.16630684159508e-06,9.78084832407695,"Development (cell cycle)",0.0773581335370426
"66","MGAT3",-0.877574096930094,4.56877471320652,-5.97625135500813,1.04660938846097e-08,1.38410066203239e-06,9.44677420819886,NA,0.0673011556764106
"65","EHD1",-0.887841747271685,4.61003985661511,-5.97144394972046,1.0730755984459e-08,1.39759967336985e-06,9.4803773577356,NA,0.0658504278595808
"67","DENND4A",0.331977315583522,9.15098575696828,5.95862073602867,1.14691812076029e-08,1.47147883075455e-06,9.41051659790381,NA,0.656724158472741
"68","PCNX1",0.323721646773172,8.01136856049817,5.9442194503772,1.2357863801096e-08,1.56217937109149e-06,9.39806187703913,NA,0.432996699068591
"71","HCN1",1.28096617725259,4.19045043393417,5.91347476156925,1.4486587494415e-08,1.80473487104335e-06,9.1203597162687,NA,0.0581973129997827
"69","DPF3",0.771655602244209,5.85162783149495,5.90739224314114,1.4948374841101e-08,1.8356604304872e-06,9.27756758762195,NA,0.117880395551101
"70","XAF1",-0.654231747389367,5.45440241097303,-5.88906840179185,1.64283294644965e-08,1.98898478981426e-06,9.17894442729686,NA,0.110255314079068
"72","SH3YL1",-0.560098260344938,5.56603708222803,-5.867146095306,1.83880328621558e-08,2.19532681226516e-06,9.07890333505957,NA,0.113128736324963
"73","FOS",-0.705025828026119,7.00752333799396,-5.82390699631254,2.29465389449073e-08,2.70203354480031e-06,8.82855272791441,NA,0.205162348356893
"74","QRICH2",-0.672798488919174,5.50456471389457,-5.81190365209255,2.43969167451512e-08,2.83399859920702e-06,8.80793530306475,NA,0.112680202120726
"75","F3",-0.660084680514176,7.42019573278562,-5.79063529409815,2.71900165600699e-08,3.11633843133815e-06,8.6602921271194,NA,0.269449914848585
"76","FLNB",-0.526899414617967,7.910385793419,-5.76773644753037,3.0546802333522e-08,3.41013393323319e-06,8.54110995802945,NA,0.370965820291968
"78","CHST11",0.5481378748425,8.55547251010468,5.77010579107396,3.01815002205732e-08,3.41013393323319e-06,8.47278332772524,"Metabolism (other)",0.440579730458977
"77","ARHGEF28",-0.573452279157445,7.34832919804607,-5.74814326862091,3.37379552262673e-08,3.71809568108967e-06,8.48026641432898,NA,0.287909900691724
