"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","UTY",-1.91169609556392,3.5419508602907,-7.87025475693945,1.80934213388286e-12,1.21573181126951e-08,17.3025143372637,NA,0.0671657754010695
"2","USP9Y",-2.08938209021274,3.73526041144566,-7.76130320214854,3.20519855330743e-12,1.21573181126951e-08,16.8358726996274,"Metabolism (other)",0.0742245989304813
"3","TTTY14",-1.92137108051238,3.57387087459554,-6.56412434938983,1.42715625175947e-09,3.60880244194911e-06,11.0888989726188,NA,0.0524777183600713
"4","HSPA12A",-1.38179769467,5.03267756368685,-6.26006456307894,6.28659723501129e-09,1.19225316561989e-05,10.0046617301121,NA,0.0731550802139037
"5","TGFB2",-1.26164870794951,5.49251671727231,-6.15874932286306,1.02302691842292e-08,1.44446290171421e-05,9.63782239531957,"Development (differentiation)",0.0889839572192513
"6","TGFB2",-1.26164870794951,5.49251671727231,-6.15874932286306,1.02302691842292e-08,1.44446290171421e-05,9.63782239531957,"Inflammation/Immune/Stress/Toxic/Detox",0.0889839572192513
"7","TTN-AS1",-0.736394539253369,5.95470472011437,-6.13566443085152,1.14246999871938e-08,1.44446290171421e-05,9.56140455101037,NA,0.116862745098039
"8","VEPH1",-1.35962416404997,4.69130649725868,-5.99689649772768,2.20957436459008e-08,2.39454730425433e-05,8.77620549911728,NA,0.0583957219251337
"9","SLIT2",-1.19818562780164,6.56825056638941,-5.93972557535112,2.89334826767842e-08,2.43877110651206e-05,8.70057062210694,"Development (differentiation)",0.186452762923351
"10","PTPRG",-1.32016943781995,9.23207324191326,-5.96268892504126,2.59678234064847e-08,2.43877110651206e-05,8.69800715747386,NA,0.569340463458111
"11","LINC01088",-1.04909885787888,7.13917954275451,-5.59160887115529,1.45227679441057e-07,0.000110169717623986,7.14100546371391,NA,0.248413547237077
"12","ANKFN1",-1.07657054171366,5.41392478037189,-5.56755518749373,1.62049196439136e-07,0.000111755018562481,7.05971502932418,NA,0.089554367201426
"13","PDE11A",-1.21937509297806,4.6616291346929,-5.52974968931698,1.92413441891867e-07,0.000121637364182642,6.81027443708216,"Metabolism (other)",0.0587522281639929
"14","PTPRJ",0.728455529006988,9.55386510831516,5.50940293715372,2.10991974008072e-07,0.000123121931909633,6.67518761898036,NA,0.596577540106952
"15","AC117386.2",-1.27779713213019,4.64517411958668,-5.41779812012301,3.18787146444098e-07,0.000165556352828874,6.35140184462053,NA,0.061319073083779
"16","LINC01094",1.45815021259429,4.74758134977051,5.41187983795927,3.27358989247707e-07,0.000165556352828874,6.31781565647664,NA,0.0587522281639929
"17","LYN",0.632096803910374,8.6963099427968,5.3919338611799,3.57939952733603e-07,0.000169708280089819,6.20589008745748,NA,0.431087344028521
"18","PDZRN3",-1.22883144675079,7.72151864361688,-5.3727741054389,3.89935792764924e-07,0.000174003113171454,6.16369091220688,NA,0.35650623885918
"19","AC079793.1",-1.2521660400168,6.27419649895091,-5.32660802376644,4.78945385405762e-07,0.000184953452074591,6.05193299693263,NA,0.161711229946524
"20","IQCH",-1.16427321091958,5.02412268070954,-5.33096743263373,4.69756106117778e-07,0.000184953452074591,6.03739420617135,NA,0.0698039215686275
"21","DDR2",-1.1639774874178,6.02038238944781,-5.29763500893879,5.44635370169471e-07,0.000184953452074591,5.9400727617517,NA,0.132620320855615
"22","AC068051.1",-1.33723605470212,4.74366817032529,-5.31053385092718,5.14370066476803e-07,0.000184953452074591,5.93601205053433,NA,0.0658110516934046
"23","CPXM2",-1.25597627923245,5.7999716869395,-5.29558797563745,5.49595620715768e-07,0.000184953452074591,5.93404926505438,"Metabolism (other)",0.12192513368984
"24","SULF1",-1.20847661289159,6.77463461904717,-5.29104556958755,5.60760532258844e-07,0.000184953452074591,5.87635026270959,NA,0.208627450980392
"25","ANO3",-1.25796052034899,4.84405040798352,-5.25987268899805,6.43581524390773e-07,0.00020189520624211,5.74409272495866,NA,0.065668449197861
"26","FILIP1",-1.42342833182661,4.57615167658332,-5.25232805275792,6.65354621151165e-07,0.00020189520624211,5.67619878861813,NA,0.0568983957219251
"27","SMOC1",-1.55996912428084,4.93433476716521,-5.19819866649038,8.44070755192762e-07,0.000237152620329344,5.51181885082682,"Matrisome/cell adhesion/binding/signaling",0.0718716577540107
"28","AL583785.1",-1.34995084261625,4.55834525066894,-5.20572747596629,8.16664488501858e-07,0.000237152620329344,5.48297019134702,NA,0.0568270944741533
"29","TMEM232",-1.22106823309815,6.58852030805669,-5.17965206694561,9.15465646886787e-07,0.000237943064149926,5.4260893956502,NA,0.185882352941176
"30","TMC1",-1.39317081586971,4.67909664180985,-5.18359465623041,8.99812235502807e-07,0.000237943064149926,5.42210793510173,NA,0.0693048128342246
"31","LINC00882",-1.07752336804282,6.41182250268172,-5.17336398690689,9.4098232592905e-07,0.000237943064149926,5.40882038997354,NA,0.171408199643494
