"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","FOS",-1.41289568101875,7.81846000563223,-4.59044578388504,5.0424704563777e-05,0.227825890838837,1.87683328378181,NA,0.281041388518024
"2","LDB2",-1.67408895401644,6.20729118358274,-4.25112419478079,0.000140146343132043,0.227825890838837,0.76224163256224,NA,0.111481975967957
"3","ISYNA1",-1.37820600241109,6.47732567308504,-4.01776767319176,0.000279802395541443,0.227825890838837,0.290105707643183,NA,0.212283044058745
"4","SLC1A1",-1.68060375242794,5.96424205455234,-4.03371927528999,0.000266979653313602,0.227825890838837,0.214281344363648,"Transport",0.0947930574098798
"5","DACH1",-1.69021737673532,7.11170799728838,-3.92440489401437,0.000367795152939893,0.227825890838837,0.0960747648522435,"Development (differentiation)",0.125500667556742
"6","LIMS1",0.990368020561564,7.63458799977444,3.90548475837181,0.000388657482573912,0.227825890838837,0.0742619385440539,"Matrisome/cell adhesion/binding/signaling",0.218624833110814
"7","CCDC114",-2.29746696354913,4.84481925108116,-4.21746653485763,0.000154942823322121,0.227825890838837,-0.0151262254778333,NA,0.0804405874499332
"8","NSMF",-1.64804893267531,5.6823908455897,-3.93310288407263,0.000358573761128551,0.227825890838837,-0.248956692860118,NA,0.100467289719626
"9","DNAJB2",-2.08269879471115,5.44028101755722,-3.90280997743749,0.000391698155552862,0.227825890838837,-0.283429575079056,"Metabolism (other)",0.0917890520694259
"10","CREB5",-2.46536831038656,5.04767121913264,-4.03484307990281,0.000266098213371545,0.227825890838837,-0.310465592491552,NA,0.0637516688918558
"11","PHKA1",-2.04925396819945,5.16745534481883,-3.95556586023895,0.000335787597125177,0.227825890838837,-0.386908683799759,"Metabolism (other)",0.0670894526034713
"14","STAC2",2.19110937433385,5.66753938704304,3.83195368423522,0.00048121395335126,0.25656723946178,-0.469354053933417,NA,0.0784379172229639
"12","PPARA",-1.00139868647143,7.03945607102251,-3.72496350655047,0.000655056504791985,0.261940719853695,-0.390500981745996,NA,0.195927903871829
"17","AP5M1",-1.56990911557079,5.36832480030262,-3.75136785155431,0.000607214993177735,0.261940719853695,-0.619172467602414,"Transport",0.0781041388518024
"20","ANO2",-2.14175654775415,4.78982193633675,-3.73230956329525,0.000641391873736187,0.261940719853695,-0.849468317301467,NA,0.0540720961281709
"21","NID2",-2.23439616638686,5.18850690723563,-3.73133405129998,0.000643190440179738,0.261940719853695,-0.859449673820393,NA,0.0737650200267023
"13","PRELP",1.34155082457256,7.24984168235871,3.69431582242626,0.000715166358161244,0.269154962324449,-0.461427060669866,NA,0.180574098798398
"16","COL3A1",1.4756944717209,6.55070565201728,3.66955158843261,0.000767600332410943,0.272839273709179,-0.61274893067042,"Matrisome/cell adhesion/binding/signaling",0.106141522029372
"15","LSAMP",-1.31720627024559,7.46475082919336,-3.64714300543926,0.000818233079156341,0.273064949016847,-0.56678732049468,"Development (differentiation)",0.331108144192256
"18","TTC7A",1.18497852120076,6.95449462282387,3.63227365125534,0.000853594714025781,0.273064949016847,-0.629170685211391,NA,0.173230974632844
"19","LENG8",-1.04471576865188,7.33431699899903,-3.54052499374985,0.00110667400203145,0.33716667928558,-0.827933731571542,NA,0.295727636849132
"24","ATP6V0C",-1.83486244674253,5.31985695111425,-3.51792895953544,0.00117930731879094,0.342964010255655,-1.13787450409325,NA,0.0814419225634179
"22","FAM49B",-1.06829674772536,6.61837049544627,-3.47677669764988,0.00132352590265004,0.360742130337219,-1.01901738333824,NA,0.156875834445928
"23","FN1",1.2994284625228,9.00659781369763,3.45097778098657,0.00142242053042349,0.360742130337219,-1.09104892535621,NA,0.342122830440587
"26","AL139383.1",-1.49294454609602,5.74132709911172,-3.44015797931714,0.00146597302106404,0.360742130337219,-1.20188352282284,NA,0.0994659546061415
"27","OXNAD1",-1.63151899428029,5.43765340881777,-3.44405431921142,0.00145014389683554,0.360742130337219,-1.31815873167681,NA,0.0677570093457944
"25","REV3L",0.77272889615287,8.89670255324266,3.41200126842299,0.00158538693214829,0.375677984884621,-1.17466209490761,NA,0.407543391188251
"28","CCDC85A",-1.9642147870771,5.76010376479889,-3.38859426575405,0.00169169882756108,0.386553182097707,-1.41008189022829,NA,0.0654205607476635
"33","NEDD4L",-1.58149156061374,4.95379184758421,-3.3724437526756,0.00176899614235976,0.390277148924749,-1.58227954108767,NA,0.0647530040053405
"32","MPPED2",-1.92468974743456,5.16569192795889,-3.3402831196246,0.00193309900173905,0.412265580437548,-1.56628206701214,NA,0.0550734312416555
"29","DGKI",-0.941410477610735,7.52934509030404,-3.29018306672269,0.00221804303721145,0.447271007803461,-1.43390455028837,NA,0.32543391188251
"30","LTBP2",1.38193121399672,6.41473228765583,3.28390415244292,0.00225645996067361,0.447271007803461,-1.46967625804738,NA,0.0974632843791722
"31","RAB31",0.936712624825577,7.60612248194351,3.25423753612847,0.00244671213150957,0.447271007803461,-1.51050147397031,"Transport",0.20894526034713
"34","UBE4A",-1.19309434395212,6.06285967574131,-3.24386589029791,0.0025167592896286,0.447271007803461,-1.59291752143178,"Metabolism (other)",0.0984646194926569
"35","NMT2",-1.2539397875109,6.01196568110781,-3.23379577177016,0.00258659382443389,0.447271007803461,-1.65626274016155,NA,0.0931241655540721
"37","BTBD3",-1.56292321789805,5.40384425589941,-3.24496521942208,0.00250924523361685,0.447271007803461,-1.68152289330582,NA,0.0767690253671562
"40","SYNGR1",-1.80528273624677,4.637513641317,-3.25435033360533,0.00244596063447566,0.447271007803461,-1.87029076233318,NA,0.0564085447263017
"36","LARP1",-0.806567563625035,7.57859252570363,-3.18983126946899,0.00291365335721479,0.454629089052928,-1.66129841611587,NA,0.258010680907877
"38","GNG7",-0.96589049830898,6.43164429966705,-3.11893013648245,0.003525175113893,0.454629089052928,-1.81591819141687,NA,0.127503337783712
"39","SSBP4",-1.14839747040588,5.47856917662232,-3.13045089440553,0.00341815118458337,0.454629089052928,-1.84459475098938,NA,0.0881174899866489
"41","DCN",1.26948920841873,5.97857684158195,3.08469707490378,0.00386222004534444,0.454629089052928,-1.91795188252242,NA,0.0911214953271028
"42","STAB1",-2.29787441909547,4.98639077172927,-3.19081146803686,0.00290595120673152,0.454629089052928,-1.92067185853312,NA,0.0941255006675567
"43","ATP1B1",-0.973074851947867,6.98390322551911,-3.06455889965321,0.00407449763168251,0.454629089052928,-1.9310195327115,NA,0.210947930574099
"44","RPLP0",-1.63700879242803,5.20846016533373,-3.1373912112183,0.00335517164460123,0.454629089052928,-1.94685356102338,NA,0.0580774365821095
"45","HS6ST3",1.57757303969403,7.2750103301953,3.04740802911021,0.00426393012208575,0.454629089052928,-1.96467351799568,"Metabolism (other)",0.148531375166889
"46","PLA2R1",0.92526172132389,7.43371208247336,3.04502113918508,0.00429094329537427,0.454629089052928,-1.98327252917961,"Inflammation/Immune/Stress/Toxic/Detox",0.200267022696929
"47","RFC1",1.20070620911424,5.99097807693922,3.06464037387828,0.00407361701401466,0.454629089052928,-1.98415992852795,NA,0.0901201602136182
"48","UGDH",-1.57311940455591,5.07796718385172,-3.14854261723276,0.00325627666637829,0.454629089052928,-1.98496325925978,"Glucose",0.0550734312416555
"49","IL1RAPL2",-1.91156003537164,4.82901938633841,-3.19948743305925,0.00283861590156308,0.454629089052928,-1.98558828859979,"Inflammation/Immune/Stress/Toxic/Detox",0.058411214953271
"50","BGN",1.03420281293826,6.53720084363124,3.03608218390911,0.00439355007358613,0.454629089052928,-1.99102678188401,"Matrisome/cell adhesion/binding/signaling",0.117156208277704
"51","USP9Y",-2.02529511541716,4.12988178678911,-3.19463550478396,0.00287608742534651,0.454629089052928,-1.99774914664172,"Metabolism (other)",0.105473965287049
"52","NLRC5",1.62975045869864,5.21270031093379,3.12947667308757,0.00342708084827987,0.454629089052928,-2.00419596579483,"Inflammation/Immune/Stress/Toxic/Detox",0.0517356475300401
"53","EYA2",-1.54064634066757,6.28236770350876,-3.02259732520003,0.00455272668776044,0.454629089052928,-2.02249672321979,"Development (differentiation)",0.138851802403204
"54","MTMR12",-1.43489250439338,5.47543744167838,-3.07838793130974,0.00392757376237005,0.454629089052928,-2.02511086943631,NA,0.0730974632843792
"55","ESRRG",-1.22722331413315,6.29381988183732,-3.00943957660083,0.00471327075730726,0.454629089052928,-2.04790580358427,"Metabolism or Transport (lipid)",0.191922563417891
"56","GPR176",1.47946631789297,5.34675901764457,3.06961191783085,0.00402022080834285,0.454629089052928,-2.05870562345358,NA,0.051068090787717
"57","WASF3",-1.3017721412747,5.72087006633553,-3.02322854948917,0.00454515590856075,0.454629089052928,-2.09798745654947,NA,0.0827770360480641
"58","AC074032.1",1.23298695188725,5.2180948113029,3.01866984426879,0.00460009988650292,0.454629089052928,-2.10635825284111,NA,0.0720961281708945
"59","RPS3A",-1.51680327444889,5.50746723096924,-3.00834352679997,0.00472688217659744,0.454629089052928,-2.12106202253928,NA,0.0771028037383178
"60","COX10-AS1",-1.29884716795871,5.26887961124975,-3.01269730877772,0.00467303192375197,0.454629089052928,-2.14151947071136,NA,0.0657543391188251
