"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","NLGN1",-1.29540544269246,10.6078445928747,-6.35758385655263,8.75642702671447e-08,0.000773980584891292,7.83048548217291,NA,0.800488315312173
"2","KCNJ3",-2.05951305420699,8.60467055826301,-5.83709817958562,5.24311165284258e-07,0.00231719319497378,6.1265256402114,"Transport",0.457970003487967
"3","ZMAT1",-2.46277850359132,6.04351144021213,-5.52579664029469,1.51952578290159e-06,0.00447702946502239,4.8334039079446,NA,0.190791768399023
"4","LSAMP",-0.987525340220625,11.1251693492012,-4.80855573276799,1.69745320832735e-05,0.028521225834282,2.77416454322925,"Development (differentiation)",0.826299267527032
"5","L3MBTL1",-2.36024377144279,6.01757091149711,-4.82944438009982,1.5839077073121e-05,0.028521225834282,2.71040935154264,NA,0.136030694105337
"6","MYO9A",1.22169862586241,8.24862812260711,4.72211414078876,2.25872362077128e-05,0.028521225834282,2.60925285274179,NA,0.448901290547611
"8","ZSCAN31",-3.58897616565094,4.71318317078846,-4.75830387353367,2.00444468251502e-05,0.028521225834282,2.06891185331423,NA,0.067317753749564
"7","SPOCK1",-1.55180339191738,8.93222501312702,-4.67692183228336,2.62110213147416e-05,0.0289599021751252,2.45281731094925,"Matrisome/cell adhesion/binding/signaling",0.520753400767353
"9","LINC00662",-2.03821929376741,6.337778576768,-4.50718481187343,4.56665186103913e-05,0.0448495953330276,1.92653551027821,NA,0.183118242064876
"10","ZDHHC21",-1.59605193220886,7.24372945522839,-4.45138102106128,5.47371027120547e-05,0.0483821250871852,1.81210786233812,NA,0.279386117893268
"11","JAM3",-1.38519297231579,7.27828644835183,-4.35899609027739,7.3766740470797e-05,0.0523237143841953,1.54151184460449,"Matrisome/cell adhesion/binding/signaling",0.285315660969655
"12","PDE1A",-2.06038666117682,8.33218361578571,-4.32891846966136,8.1256070924245e-05,0.0523237143841953,1.40834113120679,"Metabolism (other)",0.358214161144053
"13","CADM2",-1.02129790106459,11.4423202415415,-4.36909510946469,7.1406637860049e-05,0.0523237143841953,1.38888082929611,"Matrisome/cell adhesion/binding/signaling",0.895709801185909
"14","DCUN1D1",-2.30046567534803,5.89133484129244,-4.32277366886527,8.28749860141118e-05,0.0523237143841953,1.30694092442754,NA,0.143006627136379
"15","ZNF718",-2.15104186234997,6.05591850595842,-4.24687441621731,0.000105659494999315,0.0549367221352319,1.11506144501405,NA,0.15277293337984
"16","POT1",2.34047935196739,5.40783244571011,4.24759691110859,0.000105416216910567,0.0549367221352319,0.993604782713905,NA,0.12033484478549
"17","AC092969.1",3.75888160206529,4.99712686042374,4.26770186914958,9.88612308924696e-05,0.0549367221352319,0.977040098340378,NA,0.110917335193582
"18","TNFSF13B",-2.6317107283741,5.53777784167835,-4.17774930425431,0.000131647634045992,0.0607888327621373,0.896118930847752,NA,0.122078828043251
