"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","PCDH9",-1.25870237163,12.2554513002118,-11.4110978502536,3.70908713605696e-19,2.05297972980753e-15,33.095891539293,"Development (differentiation)",0.835466891935798
"2","CADM2",-1.35124759568048,10.3558901176956,-10.0149221856051,2.75962654150497e-16,7.63726645361502e-13,26.5255706250899,"Matrisome/cell adhesion/binding/signaling",0.574371304178309
"3","AC008571.2",-1.71550274143869,9.34807439823845,-9.4842335979797,3.48779413067235e-15,6.43498017109049e-12,23.8981133496787,NA,0.355058808239652
"4","IL1RAPL1",-0.847488393707267,11.7312665599584,-8.38072609450157,6.8167586671349e-13,9.43268980564791e-10,18.9972924308508,"Inflammation/Immune/Stress/Toxic/Detox",0.783091818831633
"5","ST18",-1.01065142554451,10.9262135509111,-8.03202996861389,3.57525923257064e-12,3.9578119704557e-09,17.3908789966771,NA,0.65319383975567
"6","CDH20",-1.0913187230691,9.34214014174581,-7.28241165287567,1.21445714319178e-10,1.01179311847301e-07,13.9665229011805,"Matrisome/cell adhesion/binding/signaling",0.411007862759114
"8","CDKL1",-1.50285034404812,7.57631475693916,-7.27119287857239,1.2795938264338e-10,1.01179311847301e-07,13.6253929739895,NA,0.186821755799597
"7","TTR",0.875455565692001,12.4769480573665,7.23968715209974,1.48166577091635e-10,1.02512750525275e-07,13.676993007531,NA,0.972512833842355
"9","PIP4K2A",-0.830805048305592,10.7213350732999,-7.19227208788164,1.84698883530743e-10,1.13589813371407e-07,13.5677428574591,"Metabolism or Transport (lipid)",0.678666580024693
"10","PDE1C",-0.980354255125874,9.53753675043673,-6.99323236594257,4.64083407297664e-10,2.56870165939257e-07,12.6800548262352,"Metabolism (other)",0.431217103125609
"11","C10orf90",-0.761724271439947,9.67263033155351,-6.83898319432383,9.43388639175383e-10,4.74696010712341e-07,12.0095707454222,NA,0.492104750146208
"12","JAKMIP3",-1.19294142428631,7.37622141403113,-6.73725654355459,1.5025878515353e-09,6.93068646520656e-07,11.2322438022397,NA,0.171486126453961
"13","PHLPP1",-0.640700284353639,10.3071904113084,-6.6372205503942,2.37012936386737e-09,1.00912815607737e-06,11.1168989936259,NA,0.599519137045942
"14","NCKAP5",-0.799501133688404,10.1924754045995,-6.595915790038,2.8591659426098e-09,1.07268927372601e-06,10.9343864707881,NA,0.54116576775619
"15","PHACTR3",-0.952591931901655,8.64839754981846,-6.5782147490732,3.09816402220343e-09,1.07268927372601e-06,10.8305898353869,"Matrisome/cell adhesion/binding/signaling",0.312755864578595
"16","ADGRL3",-1.05287615215304,8.26256242728202,-6.57118540933449,3.19846658977615e-09,1.07268927372601e-06,10.7835077480227,"Matrisome/cell adhesion/binding/signaling",0.236337643771525
"17","CLMN",-0.730601496463287,9.63614424349823,-6.55348351075331,3.46551757920093e-09,1.07268927372601e-06,10.7598160219861,"Matrisome/cell adhesion/binding/signaling",0.502371824030151
"18","DIP2B",-0.605024990423181,9.85723183028471,-6.55023129791868,3.51692621760185e-09,1.07268927372601e-06,10.7466683027227,NA,0.538761452985899
"19","NRXN3",-0.900164968640675,9.89082424431911,-6.52874636053734,3.87602266929e-09,1.07268927372601e-06,10.65146256174,NA,0.505231009162389
"20","MAGI2",-0.494445337581509,11.345638434032,-6.53787162623168,3.71927488926208e-09,1.07268927372601e-06,10.6277306080478,"Matrisome/cell adhesion/binding/signaling",0.826629410617974
"21","PTPRD",-0.697775888438082,10.4569985776036,-6.51061592370179,4.20710193308827e-09,1.07758321804218e-06,10.5602390188583,NA,0.617454025602703
"22","DLG2",-0.611979852654014,11.0354458513237,-6.5066548721091,4.28307692808094e-09,1.07758321804218e-06,10.5110673992485,"Polarity",0.740918838131133
"23","CTNNA3",-0.771236377269251,11.1202869700467,-6.49584660497474,4.49735830398955e-09,1.08229905272096e-06,10.4661519226357,NA,0.697316264864514
"24","EPCAM-DT",-1.27030157461664,8.02347563861311,-6.42702246960117,6.13335225301519e-09,1.41450436335163e-06,10.1375261694232,"Matrisome/cell adhesion/binding/signaling",0.242575865878225
"25","RNF220",-0.685204000816269,10.8580636933394,-6.41505463271839,6.47262359054652e-09,1.433038862947e-06,10.1249446092757,NA,0.67288322827994
"26","PTPRK",-0.792626492594595,9.66682878986752,-6.3662919148417,8.05754763869021e-09,1.71532793000578e-06,9.95800400866122,NA,0.482227565143934
"27","SORT1",-0.795735081670268,9.22834666232678,-6.3176535456238,1.00193762624394e-08,1.99304457265591e-06,9.75018885005774,"AD",0.420560140359997
"28","SORT1",-0.795735081670268,9.22834666232678,-6.3176535456238,1.00193762624394e-08,1.99304457265591e-06,9.75018885005774,"Transport",0.420560140359997
"29","AC009063.2",-1.23936672497234,7.7123561293787,-6.3162554361499,1.0082248967365e-08,1.99304457265591e-06,9.61412444760898,NA,0.216843199688089
"30","PEX5L",-0.872452471688523,10.0808318118309,-6.2850858544648,1.15896712075417e-08,2.21202862530148e-06,9.59704872646367,NA,0.537201897459224
"31","ELMO1",-0.694959495167931,10.7450025159266,-6.20875244585995,1.6286537811592e-08,2.9968832191709e-06,9.23640774311116,NA,0.67600233933329
"32","AGAP1",-0.595360282959797,10.3528143507194,-6.20197669191821,1.67847117966211e-08,2.9968832191709e-06,9.22062096939386,NA,0.641822080706999
"33","SON",0.779484912323014,8.47211651927633,6.16852984543812,1.94729115900255e-08,3.31155894204522e-06,9.11425203926131,NA,0.308337123919683
"34","QKI",-0.686521158567996,11.3802303341378,-6.16541712674421,1.97437118495921e-08,3.31155894204522e-06,9.02654277501906,NA,0.777633374488271
"35","TMEM144",-0.823383662246159,9.21607003227997,-6.10971888127833,2.52678920135099e-08,4.1134641851405e-06,8.87079323776561,NA,0.387874455780103
"36","SLC7A14-AS1",-0.794131515866315,9.78396318737848,-6.09928453489328,2.64606784246512e-08,4.15151215676059e-06,8.80963650072311,"Transport",0.493729287153161
"37","SLC44A1",-0.645084476464247,10.7727553219641,-6.09470377970427,2.70017050846217e-08,4.15151215676059e-06,8.7460908731492,"Transport",0.686984209500292
"38","ADIPOR2",-0.857987135397408,8.38059453864216,-6.08429079549163,2.82724922637787e-08,4.22941201837879e-06,8.74497885333638,NA,0.277016050425629
"39","SPOCK1",-0.684042064452495,10.0676284022889,-6.03082602161658,3.57860746092175e-08,5.21252428847419e-06,8.50669636412896,"Matrisome/cell adhesion/binding/signaling",0.548638637988173
"40","DSCAML1",-0.671088461000109,9.23472363340749,-6.01634967115592,3.81389427351965e-08,5.27747620098281e-06,8.47743734889239,"Development (differentiation)",0.406459159139645
"41","PRUNE2",-0.740742175475515,9.97295532547851,-6.01732313802598,3.79760501594201e-08,5.27747620098281e-06,8.45668035942384,NA,0.546949119500942
"42","LRRC1",-0.90453579500022,8.23333518638741,-5.95466498801878,4.99946842414329e-08,6.6024077153865e-06,8.20639190768314,NA,0.264214698810839
"43","NCAM1",-0.714865654324858,10.0402844265647,-5.9541864422629,5.00995707400602e-08,6.6024077153865e-06,8.19441755137659,NA,0.566703489505491
"44","OTUD7A",-0.811147844925896,9.2034516454981,-5.91453053506583,5.95881236053252e-08,7.67023870129012e-06,8.05368982642539,NA,0.406394177659367
"45","NCAM2",-0.705519008012313,10.6360626127813,-5.87602567835856,7.04873492459183e-08,8.85525716784278e-06,7.83526787947627,NA,0.598284488920658
"46","PDE4B",-0.739570092668114,10.5456098731377,-5.87117074499003,7.19939607141689e-08,8.85525716784278e-06,7.82239545817123,"Metabolism (other)",0.60270322957957
"47","CREB5",-0.877603725332629,8.47174576801211,-5.858059480849,7.62229665036475e-08,9.17161129560193e-06,7.81943026973866,NA,0.280655013321203
"48","LIMCH1",-0.631723784862444,9.74752826184295,-5.84340271776568,8.12403394351497e-08,9.17684242395007e-06,7.74159662718183,NA,0.516472805250504
"49","PLCL1",-0.659948408585839,10.512431119771,-5.85099254363293,7.86028639761594e-08,9.17684242395007e-06,7.73326070064762,"Metabolism or Transport (lipid)",0.625446747676912
"50","NPAS3",-0.598640055210298,10.0918820993699,-5.8438896175848,8.10685570045796e-08,9.17684242395007e-06,7.72770360983699,NA,0.55013321203457
"51","FRYL",-0.679108361973676,9.84477560241667,-5.83201906530122,8.53602789865614e-08,9.44938288381235e-06,7.69857850563359,NA,0.501267138865423
"52","SH3GL3",-0.763994729164556,9.13610526536956,-5.80703108469618,9.5138488681719e-08,9.935689336855e-06,7.6151562695329,NA,0.384950289167587
"53","ATP8A1",-0.763513081646676,9.35179844301504,-5.80821499885078,9.46512803316382e-08,9.935689336855e-06,7.61473454234889,"Metabolism or Transport (lipid)",0.42426408473585
"54","MARCH1",-0.653953028452147,9.93399720204427,-5.81276093902896,9.28032278305687e-08,9.935689336855e-06,7.61121082197978,NA,0.520826564429138
"55","PRRC2C",0.617048373811015,9.40810001443691,5.76149776540523,1.15870532119552e-07,1.18767295422541e-05,7.41010626430707,NA,0.500097472220417
"57","ZBTB20",-0.404413975262456,10.8075095163627,-5.70175446020506,1.49930595761919e-07,1.50884699553131e-05,7.08387897856998,"Development (differentiation)",0.766911430242381
"56","SPOCK3",-0.672869068963986,9.8730791815398,-5.68638826584248,1.60176105973747e-07,1.58316919029409e-05,7.09783116772311,"Matrisome/cell adhesion/binding/signaling",0.491130027942037
"58","RTN4",-0.625696846565515,9.24154773295845,-5.65364312316616,1.8435922059152e-07,1.76192702980829e-05,6.98625247269308,NA,0.410682955357723
"59","ERBIN",-0.687804811209968,10.0816690862515,-5.65330305542078,1.84628306646578e-07,1.76192702980829e-05,6.95416448350756,"Polarity",0.552667489765417
"60","PRPF38B",1.08049827317835,7.04935609771736,5.56673654962889,2.67308593581451e-07,2.50771706012429e-05,6.51807325163474,NA,0.147832867632725
"61","FRMD5",-0.665392320516546,10.4462876122986,-5.54861229148217,2.88753065593926e-07,2.66374703010397e-05,6.49791272087394,NA,0.60790174800182
"63","MAN2A1",-0.674895766490105,10.7578167992403,-5.54049602699588,2.98895302843508e-07,2.71210737908003e-05,6.45230823357038,"Metabolism (other)",0.639092858535317
"62","MAPRE2",-0.8585018244805,8.21287983473325,-5.53151668412256,3.10523701563084e-07,2.77217530347043e-05,6.49198040510359,NA,0.244200402885178
"64","SRRM2",0.627769847915872,8.60401514994108,5.51640420766835,3.31104878147507e-07,2.90899285801024e-05,6.43527335443537,NA,0.333549938267594
"65","UGT8",-0.818065400824988,8.15390252957966,-5.49323369998783,3.65285450272956e-07,3.08314661193041e-05,6.32896809255363,"Metabolism or Transport (lipid)",0.242965754759893
"66","GTDC1",-0.869212418543886,7.95733562395166,-5.4917181020604,3.67638078387365e-07,3.08314661193041e-05,6.30971184443719,NA,0.218402755214764
"67","DOCK10",-0.736979054011538,10.0762866097678,-5.49567700611194,3.61523825882104e-07,3.08314661193041e-05,6.30600322047717,NA,0.554097082331536
"68","PXK",-0.712816936561731,9.41432760144883,-5.47407580435527,3.9614165813078e-07,3.27260310112518e-05,6.24807413951294,NA,0.451816232373773
"69","HDAC2-AS2",-0.913541587024337,8.30956830930453,-5.46932789254648,4.04175736329212e-07,3.28987161850322e-05,6.24180730449163,NA,0.241471180713497
"71","FOXN2",-1.04090166965759,7.14749931070349,-5.44421318337108,4.49405594152432e-07,3.60501444004886e-05,6.00564098767939,"Development (differentiation)",0.14763792319189
"70","CD22",-0.88883060050894,8.00373243843538,-5.41489462263158,5.08508339619416e-07,4.02084808541924e-05,6.02079041192553,"Inflammation/Immune/Stress/Toxic/Detox",0.247644421339918
"72","CADM1",-0.688382844344964,8.92789321163371,-5.3787526840163,5.91924644491624e-07,4.61451113698752e-05,5.89036572123109,"Matrisome/cell adhesion/binding/signaling",0.349275456494899
"73","PCSK6",-0.772465196110287,9.26584126226926,-5.33395083830632,7.14105442948872e-07,5.48968559266946e-05,5.69076995788674,"Metabolism (other)",0.394762492689583
"74","LINC00609",-1.04500562438691,8.61910346062581,-5.31942154570189,7.58795047447406e-07,5.7533295720841e-05,5.66419531894354,NA,0.281694717005653
"75","SLCO1A2",-0.783558225176598,8.51488244173935,-5.30672183134528,8.00091910345643e-07,5.93518893392574e-05,5.61501641692538,"Transport",0.301059198128533
