"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.693306693306693","1","0.0303467275556782","-0.24869138486065","-0.940415651522711","368","c(""PTPRG"", ""STXBP6"", ""TGFB2"", ""CNN3"", ""TENM2"", ""ADGRL3"", ""CTNNA2"", ""PRKG1"", ""CDH4"", ""NLGN1"", ""CTNND2"", ""FAT3"", ""NEO1"", ""NEGR1"", ""ROBO2"", ""UNC5D"", ""PKP2"", ""TENM3"", ""NEXMIF"", ""CDH1"", ""CNTN4"", ""ADGRV1"", ""TJP1"", ""SDK2"", ""FAT1"", ""PCDH9"", ""NTN1"", ""CDH13"", ""PTPRD"", ""PKHD1"", ""NRXN1"", ""EFNA5"", ""DSCAM"", ""CTNNA3"", ""CNTN5"", ""CDH12"", ""ASTN2"", ""DLG2"", ""ITGA8"", ""PCDH15"", ""PTK2"", ""GPC6"", ""CDH11"", ""PAWR"", ""IL1RAPL1"", ""PTPRS"", ""JAM3"", ""SLC7A11"", ""PCDH7"", ""DLG5"", ""MAGI1"", ""VSIG10"", ""KIF26B"", ""DCC"", ""BOC"", ""NRXN3"", 
""PRKCQ"", ""PTPRT"", ""PCDH11X"", ""TENM1"", ""ZBTB16"", ""SDK1"", ""CD55"", ""CDHR3"", ""PPIA"", ""DSC2"", ""CEBPB"", ""IL6ST"", ""BSG"", ""KIRREL3"", ""CLSTN2"", ""PIK3CA"", ""CD99"", ""CDH18"", ""NCAM2"", ""HMGB1"", ""MYO10"", ""SASH3"", ""RIPOR2"", ""ITGAE"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","2.83782499905582e-17","1.28383202957285e-13","1.06720998682811","0.472213064598165","2.56335368523995","163","c(""LYN"", ""DOCK8"", ""OLR1"", ""PAG1"", ""DUSP10"", ""RUNX1"", ""GCNT1"", ""RHOA"", ""LILRB1"", ""PTPRC"", ""ALOX5"", ""NOD2"", ""ITGAL"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""ICAM1"", ""TNFSF13B"", ""TMEM131L"", ""SLC39A8"", ""EXT1"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""CD4"", ""STK10"", ""PTPN22"", ""TRAF6"", ""VAV1"", ""CARD11"", ""FLOT2"", ""ITGB2"", ""ITGA5"", ""IRAK1"", ""FCGR2B"", ""CBLB"", ""SIRPA"", ""CD86"", ""PECAM1"", ""B2M"", ""LGALS9"", ""IL7"", ""VSIR"", ""RIPK2"", ""ITPKB"", ""SMAD7"", ""ZBTB1"", ""TNIP1"", ""HLA-DPA1"", ""EZR"", ""PTPN2"", ""NCK2"", 
""GPNMB"", ""CD300A"", ""FCHO1"", ""DUSP22"", ""CD74"", ""RASAL3"", ""VSIG4"", ""HLA-E"", ""MAD1L1"", ""MIA3"", ""SYK"", ""CSK"", ""TNFRSF21"", ""IL4R"", ""HLA-DPB1"", ""JAK2"", ""HLA-DRB1"", ""TGFBR2"", ""JAK3"", ""AMBRA1"", ""NCKAP1L"", ""NLRP3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","NA","NA","NA","0.4417449897841","NA","200","c(""LYN"", ""DOCK8"", ""LIMS1"", ""PTPRJ"", ""UTRN"", ""DUSP10"", ""APBB1IP"", ""ARPC2"", ""RIN2"", ""RUNX1"", ""PLEKHA2"", ""RHOA"", ""NEDD9"", ""LILRB1"", ""PTPRC"", ""CDK6"", ""VAV3"", ""ALOX5"", ""NOD2"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""PRKCE"", ""TNFSF13B"", ""PRKCA"", ""GCNT2"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""CD4"", ""PTPN22"", ""TRAF6"", ""PLAUR"", ""ITGB1BP1"", ""VAV1"", ""FMN1"", ""CARD11"", ""FLOT2"", ""ITGB2"", ""ITGA5"", ""EMP2"", ""IRAK1"", ""SIRPA"", ""CD86"", ""B2M"", ""LGALS9"", ""PREX1"", ""IL7"", ""CYTH3"", ""VSIR"", ""RIPK2"", ""ITPKB"", 
""PRKD2"", ""SMAD7"", ""ZBTB1"", ""CASS4"", ""EMILIN2"", ""RREB1"", ""HLA-DPA1"", ""NCK2"", ""UNC13D"", ""AFDN"", ""MAP4K4"", ""DOCK5"", ""ZFHX3"", ""FCHO1"", ""FLOT1"", ""CD74"", ""STX3"", ""RASAL3"", ""PTK2B"", ""HLA-E"", ""DISC1"", ""RSU1"", ""PPM1F"", ""ATM"", ""SYK"", ""CSK"", ""IL4R"", ""HLA-DPB1"", ""JAK2"", ""NRP1"", ""GSK3B"", ""HLA-DRB1"", ""TGFBR2"", ""JAK3"", ""AMBRA1"", ""TSC1"", ""NCKAP1L"", ""NLRP3"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","1.53223868384806e-12","1.73296195143215e-09","0.910119734774459","0.454278663782881","2.52168070385387","124","c(""LYN"", ""DOCK8"", ""DUSP10"", ""RUNX1"", ""RHOA"", ""LILRB1"", ""PTPRC"", ""ALOX5"", ""NOD2"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""TNFSF13B"", ""GCNT2"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""CD4"", ""PTPN22"", ""TRAF6"", ""PLAUR"", ""VAV1"", ""CARD11"", ""FLOT2"", ""ITGB2"", ""IRAK1"", ""SIRPA"", ""CD86"", ""B2M"", ""LGALS9"", ""IL7"", ""VSIR"", ""RIPK2"", ""ITPKB"", ""SMAD7"", ""ZBTB1"", ""EMILIN2"", ""HLA-DPA1"", ""NCK2"", ""AFDN"", ""FCHO1"", ""FLOT1"", ""CD74"", ""RASAL3"", ""HLA-E"", ""SYK"", ""CSK"", ""IL4R"", ""HLA-DPB1"", ""JAK2"", ""HLA-DRB1"", ""TGFBR2"", 
""JAK3"", ""AMBRA1"", ""NCKAP1L"", ""NLRP3"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","2.77882919222977e-14","5.98010284624338e-11","0.97599468306432","0.51393115071967","2.75578437467342","107","c(""LYN"", ""DOCK8"", ""DUSP10"", ""RUNX1"", ""RHOA"", ""LILRB1"", ""PTPRC"", ""ALOX5"", ""NOD2"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""TNFSF13B"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""CD4"", ""PTPN22"", ""TRAF6"", ""VAV1"", ""CARD11"", ""FLOT2"", ""ITGB2"", ""IRAK1"", ""SIRPA"", ""CD86"", ""B2M"", ""LGALS9"", ""IL7"", ""VSIR"", ""RIPK2"", ""ITPKB"", ""ZBTB1"", ""HLA-DPA1"", ""NCK2"", ""FCHO1"", ""CD74"", ""RASAL3"", ""HLA-E"", ""SYK"", ""CSK"", ""IL4R"", ""HLA-DPB1"", ""JAK2"", ""HLA-DRB1"", ""TGFBR2"", ""JAK3"", ""AMBRA1"", ""NCKAP1L"", ""NLRP3"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","NA","NA","NA","0.299691332060517","NA","345","c(""LYN"", ""DOCK8"", ""LIMS1"", ""PAG1"", ""PTPRJ"", ""UTRN"", ""DUSP10"", ""APBB1IP"", ""MBP"", ""PLXNC1"", ""CYTH1"", ""PLXNA1"", ""MACF1"", ""ARPC2"", ""RIN2"", ""RUNX1"", ""PLEKHA2"", ""RHOA"", ""NEDD9"", ""LILRB1"", ""PTPRC"", ""EPHB2"", ""CDK6"", ""VAV3"", ""ALOX5"", ""NOD2"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""PRKCE"", ""BCL2"", ""CYTIP"", ""TNFSF13B"", ""TMEM131L"", ""PRKCA"", ""GCNT2"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""PEAK1"", ""CD4"", ""PTPN22"", ""TRAF6"", ""PLAUR"", ""ITGB1BP1"", ""ARHGDIB"", ""VAV1"", ""FMN1"", ""CARD11"", ""SIPA1"", ""FLOT2"", 
""ITGB2"", ""ITGA5"", ""ST6GAL1"", ""CORO1C"", ""EMP2"", ""IRAK1"", ""FCGR2B"", ""CBLB"", ""SIRPA"", ""CD86"", ""B2M"", ""LGALS9"", ""PREX1"", ""IL7"", ""CYTH3"", ""VSIR"", ""RIPK2"", ""ITPKB"", ""PRKD2"", ""SMAD7"", ""ZBTB1"", ""CASS4"", ""FAF1"", ""EMILIN2"", ""RREB1"", ""HLA-DPA1"", ""PTPN2"", ""NCK2"", ""UNC13D"", ""AFDN"", ""NF2"", ""MAP4K4"", ""GPNMB"", ""PTPRO"", ""CD300A"", ""DOCK5"", ""CXCR4"", ""ZFHX3"", ""FCHO1"", ""DUSP22"", ""FLOT1"", ""CD74"", ""STX3"", ""NOTCH1"", ""RASAL3"", ""PTK2B"", ""CD9"", ""VSIG4"", ""HLA-E"", ""MAD1L1"", ""PPP1CB"", ""DISC1"", ""MINK1"", ""RSU1"", ""MIA3"", ""PPM1F"", 
""ATM"", ""SYK"", ""CSK"", ""TNFRSF21"", ""IL4R"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","NA","NA","NA","0.330705235299792","NA","197","c(""LYN"", ""DOCK8"", ""PAG1"", ""DUSP10"", ""MBP"", ""RUNX1"", ""RHOA"", ""LILRB1"", ""PTPRC"", ""ALOX5"", ""NOD2"", ""CD83"", ""IL18"", ""ZBTB7B"", ""BCL6"", ""TNFSF13B"", ""TMEM131L"", ""PRKCA"", ""GCNT2"", ""HLA-DRA"", ""CD44"", ""ITGA4"", ""PIK3R6"", ""HAVCR2"", ""IL15"", ""CD4"", ""PTPN22"", ""TRAF6"", ""PLAUR"", ""VAV1"", ""CARD11"", ""FLOT2"", ""ITGB2"", ""IRAK1"", ""FCGR2B"", ""CBLB"", ""SIRPA"", ""CD86"", ""B2M"", ""LGALS9"", ""IL7"", ""VSIR"", ""RIPK2"", ""ITPKB"", ""SMAD7"", ""ZBTB1"", ""EMILIN2"", ""HLA-DPA1"", ""PTPN2"", ""NCK2"", ""AFDN"", ""NF2"", ""GPNMB"", ""CD300A"", ""FCHO1"", ""DUSP22"", 
""FLOT1"", ""CD74"", ""NOTCH1"", ""RASAL3"", ""CD9"", ""VSIG4"", ""HLA-E"", ""MAD1L1"", ""MINK1"", ""MIA3"", ""PPM1F"", ""SYK"", ""CSK"", ""TNFRSF21"", ""IL4R"", ""HLA-DPB1"", ""JAK2"", ""SH2B3"", ""HLA-DRB1"", ""TGFBR2"", ""JAK3"", ""AMBRA1"", ""SPI1"", ""NCKAP1L"", ""NLRP3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.938","1","0.0118236229287788","-0.220111381224994","-0.833954053990355","431","c(""STXBP6"", ""SORBS1"", ""DDR2"", ""AKAP6"", ""CDC42BPA"", ""CNN3"", ""ADGRL3"", ""PARD3B"", ""CTNNA2"", ""PARD3"", ""CTNND2"", ""CNTNAP2"", ""RRAS2"", ""MPDZ"", ""CLMP"", ""PKP2"", ""CDH1"", ""PHLDB2"", ""MAGI2"", ""PRKD1"", ""ENAH"", ""SORBS2"", ""TJP1"", ""DMD"", ""FAT1"", ""PCDH9"", ""CDH13"", ""EPHA4"", ""VAPA"", ""FGF13"", ""SHROOM3"", ""EFNA5"", ""CTNNA3"", ""KAZN"", ""FRMD5"", ""CDH12"", ""ITGA8"", ""PTK2"", ""RPLP1"", ""PTPRK"", ""DAG1"", ""PATJ"", ""CDH11"", ""AMOTL1"", ""ACTN2"", ""JAM3"", ""FRS2"", ""MAGI1"", ""VSIG10"", ""NCKAP1"", ""AKAP12"", ""FLRT2"", ""RHOU"", ""CORO2B"", ""PDZD2"", ""MPP7"", 
""KRIT1"", ""PIP5K1A"", ""FES"", ""SYNE2"", ""CDHR3"", ""PPIA"", ""DSC2"", ""ATP1B1"", ""APP"", ""NPM1"", ""RPL4"", ""BSG"", ""KIRREL3"", ""PIK3CA"", ""CD99"", ""CDH18"", ""YWHAE"", ""PTK7"", ""ADD3"", ""CGNL1"", ""YWHAQ"", ""PLXDC1"", ""ITGB8"", ""RPL22"", ""RPS3A"", ""RPS19"", ""BAIAP2"", ""TLN2"", ""SYMPK"", ""FOCAD"", ""CHP1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","NA","NA","NA","0.204905465799761","NA","272","c(""ARHGAP26"", ""LIMS1"", ""APBB1IP"", ""ARHGAP22"", ""HCK"", ""ARHGAP31"", ""ARPC2"", ""ALCAM"", ""RHOA"", ""NEDD9"", ""PTPRC"", ""CYFIP1"", ""TNS3"", ""RALA"", ""ICAM1"", ""TNFSF13B"", ""TNS1"", ""CD44"", ""LCP1"", ""SNTB1"", ""ITGA4"", ""EPB41L2"", ""PEAK1"", ""GNA12"", ""PLAUR"", ""KRAS"", ""ITGB1BP1"", ""SH3KBP1"", ""PTPN12"", ""PACSIN2"", ""MAPK1"", ""FLOT2"", ""LIMD1"", ""LAP3"", ""ITGB2"", ""ITGA5"", ""CORO1C"", ""GSN"", ""B2M"", ""ADGRE5"", ""EVL"", ""TPM4"", ""LIMK1"", ""RPL7A"", ""CASS4"", ""NUMB"", ""EZR"", ""SLA"", ""IRF2"", ""PIP5K1C"", ""MAP4K4"", ""STX16"", ""LPP"", ""CAP1"", ""ACTR3"", 
""TLN1"", ""MARCKS"", ""FLOT1"", ""GIT2"", ""GDI2"", ""PTK2B"", ""CD9"", ""ITGB5"", ""PPP1CB"", ""SNAP23"", ""CBL"", ""RSU1"", ""DST"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.526","0.953757114228457","0.0433636987883266","-0.263632382661174","-0.988085967322434","288","c(""TMC1"", ""ROR1"", ""SULF1"", ""NLGN1"", ""CNTNAP2"", ""NEO1"", ""UNC5C"", ""CLMP"", ""ROBO2"", ""UNC5D"", ""KCNJ3"", ""SLC4A4"", ""ENOX1"", ""ADGRV1"", ""DMD"", ""PPFIA2"", ""FGFR2"", ""ANTXR1"", ""CDH13"", ""EPHA4"", ""INSR"", ""CLU"", ""GPC5"", ""PKHD1"", ""NRXN1"", ""EFNA5"", ""KCNH5"", ""ABCB1"", ""ITGA8"", ""SLC1A1"", ""GPC6"", ""PTPRK"", ""DAG1"", ""KLRD1"", ""TGFBR3"", ""GRIN2A"", ""IL1RAPL1"", ""SFRP1"", ""DCBLD2"", ""SLC7A11"", ""LIFR"", ""DCC"", ""PLA2R1"", ""ECE1"", ""CLEC4E"", ""FAM234A"", ""FZD3"", ""ATP5F1B"", ""CUBN"")"
