"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0178933765908089","0.200742741447523","0.352487857583619","-0.225980049955752","-1.23373561653795","347","c(""FLNA"", ""PIP5K1C"", ""CXCL12"", ""ITGA2"", ""HLA-A"", ""FN1"", ""TFRC"", ""CD74"", ""PKD1"", ""PELI1"", ""B2M"", ""ITGA8"", ""CTNNB1"", ""NECTIN3"", ""SLC7A1"", ""DSP"", ""HLA-E"", ""DUSP3"", ""PRKG1"", ""CDH23"", ""BAIAP2L1"", ""UNC5D"", ""CTNNA1"", ""NLGN4Y"", ""FER"", ""PODXL"", ""TNFRSF14"", ""STXBP6"", ""SMAD7"", ""ZFP36L1"", ""VEGFA"", ""XBP1"", ""STK10"", ""LRP6"", ""LGALS3"", ""CD55"", ""CNTN5"", ""FXYD5"", ""ANK3"", ""TYK2"", ""FOXO3"", ""VCL"", ""NRXN1"", ""CDH5"", ""RGCC"", ""NCK1"", ""ICAM2"", ""TRAF6"", ""EGFR"", ""PRNP"", ""LIMS2"", ""CEBPB"", ""CNN3"", ""CD46"", ""FNDC3A"", ""ITPKB"", ""ADAM9"", 
""NDFIP1"", ""NPTN"", ""GPC6"", ""NFASC"", ""SERPINE2"", ""CD47"", ""PRKCA"", ""PIK3CA"", ""MMRN1"", ""SOCS5"", ""PSEN1"", ""TENM3"", ""CDH1"", ""ASS1"", ""NECTIN2"", ""ACTN1"", ""TJP2"", ""PTPRS"", ""TLN2"", ""VEZT"", ""MIA3"", ""TENM2"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.00572658459017774","0.114212304573212","0.407017918923954","-0.304801519042436","-1.45873641767557","117","c(""CXCL12"", ""HLA-A"", ""TFRC"", ""CD74"", ""PELI1"", ""B2M"", ""SLC7A1"", ""HLA-E"", ""DUSP3"", ""TNFRSF14"", ""SMAD7"", ""XBP1"", ""STK10"", ""LGALS3"", ""CD55"", ""TYK2"", ""FOXO3"", ""NCK1"", ""TRAF6"", ""PRNP"", ""CEBPB"", ""CD46"", ""ITPKB"", ""NDFIP1"", ""CD47"", ""PIK3CA"", ""SOCS5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","1.04573081967452e-05","0.00419147925813179","0.593325476396405","-0.36041508593772","-1.80369373266037","170","c(""FLNA"", ""CXCL12"", ""PRKCE"", ""ITGA2"", ""HLA-A"", ""FN1"", ""TFRC"", ""CD74"", ""FERMT2"", ""B2M"", ""TPM1"", ""SLC7A1"", ""HLA-E"", ""PLEKHA2"", ""EMP2"", ""SMAD3"", ""PODXL"", ""TNFRSF14"", ""SMAD7"", ""RREB1"", ""VEGFA"", ""XBP1"", ""NEDD9"", ""CD55"", ""ANK3"", ""TYK2"", ""FOXO3"", ""TFE3"", ""NCK1"", ""TRAF6"", ""SFRP1"", ""LIMS2"", ""RAC1"", ""NID1"", ""TRIOBP"", ""VAV3"", ""CD46"", ""ITPKB"", ""TEK"", ""ARPC2"", ""SPOCK2"", ""ADAM9"", ""EPHA4"", ""CSF1"", ""CD47"", ""PRKCA"", ""PIK3CA"", ""PTPRJ"", ""MMRN1"", ""CALR"", ""SOCS5"", ""EDIL3"", ""DNM2"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0874635568513119","0.447362902734843","0.261663521711573","-0.281592958709645","-1.27104383493236","87","c(""HLA-A"", ""TFRC"", ""CD74"", ""B2M"", ""SLC7A1"", ""HLA-E"", ""PODXL"", ""TNFRSF14"", ""SMAD7"", ""XBP1"", ""CD55"", ""ANK3"", ""TYK2"", ""FOXO3"", ""NCK1"", ""TRAF6"", ""CD46"", ""ITPKB"", ""CD47"", ""PIK3CA"", ""MMRN1"", ""SOCS5"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0722496382100446","0.413395749706409","0.287805130535564","-0.311388386419164","-1.34218627152688","68","c(""HLA-A"", ""TFRC"", ""CD74"", ""B2M"", ""SLC7A1"", ""HLA-E"", ""TNFRSF14"", ""XBP1"", ""CD55"", ""TYK2"", ""FOXO3"", ""NCK1"", ""TRAF6"", ""CD46"", ""ITPKB"", ""CD47"", ""PIK3CA"", ""SOCS5"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.00011511096115497","0.0133559007297963","0.538434096309916","-0.277037865525485","-1.49975202774637","320","c(""FLNA"", ""CXCL12"", ""PRKCE"", ""ITGA2"", ""HLA-A"", ""FN1"", ""TFRC"", ""CD74"", ""FERMT2"", ""PKD1"", ""PELI1"", ""B2M"", ""DUSP1"", ""TPM1"", ""SLC7A1"", ""HLA-E"", ""DUSP3"", ""PRKG1"", ""ATXN3"", ""CYTH1"", ""PLEKHA2"", ""CASK"", ""SPOCK1"", ""EMP2"", ""SMAD3"", ""PODXL"", ""TNFRSF14"", ""DAPK3"", ""SMAD7"", ""RREB1"", ""VEGFA"", ""JAG2"", ""XBP1"", ""NEDD9"", ""LGALS3"", ""CD55"", ""FXYD5"", ""ANK3"", ""TYK2"", ""FOXO3"", ""VCL"", ""RGCC"", ""TFE3"", ""NCK1"", ""TRAF6"", ""SFRP1"", ""PRNP"", ""LIMS2"", ""PPP1CB"", ""RAC1"", ""ARHGDIA"", ""NID1"", ""TRIOBP"", ""CEBPB"", ""VAV3"", ""CD46"", ""ITPKB"", 
""SLK"", ""TEK"", ""ARPC2"", ""SPOCK2"", ""ADAM9"", ""NDFIP1"", ""GBP1"", ""EPHA4"", ""SERPINE2"", ""CSF1"", ""CD47"", ""PRKCA"", ""PIK3CA"", ""PLXNA2"", ""PTPRJ"", ""MMRN1"", ""CALR"", ""ATP5F1B"", ""SOCS5"", ""EDIL3"", ""DNM2"", ""TENM3"", ""CDH1"", ""ASS1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.040314735948924","0.301148543566895","0.321775918075361","-0.265223189187279","-1.30889867150902","155","c(""CXCL12"", ""HLA-A"", ""TFRC"", ""CD74"", ""PELI1"", ""B2M"", ""SLC7A1"", ""HLA-E"", ""DUSP3"", ""PRKG1"", ""PODXL"", ""TNFRSF14"", ""SMAD7"", ""VEGFA"", ""XBP1"", ""LGALS3"", ""CD55"", ""FXYD5"", ""ANK3"", ""TYK2"", ""FOXO3"", ""RGCC"", ""NCK1"", ""TRAF6"", ""PRNP"", ""CEBPB"", ""CD46"", ""ITPKB"", ""NDFIP1"", ""SERPINE2"", ""CD47"", ""PRKCA"", ""PIK3CA"", ""MMRN1"", ""SOCS5"", ""TENM3"", ""CDH1"", ""ASS1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.000470495755518208","0.0272949445536813","0.49849310876659","-0.247202216555685","-1.40532177875492","470","c(""AHNAK"", ""FLNA"", ""PIP5K1C"", ""RPL7A"", ""SORBS1"", ""AKAP12"", ""ITGA2"", ""SLC9A3R2"", ""FERMT2"", ""RPL18"", ""B2M"", ""ITGA8"", ""CTNNB1"", ""SYNM"", ""NECTIN3"", ""DSP"", ""RPS4X"", ""PPFIBP1"", ""VIM"", ""RPS18"", ""IQGAP1"", ""BAIAP2L1"", ""CYTH1"", ""MAPRE2"", ""CASK"", ""PDLIM7"", ""CTNNA1"", ""MAP2K2"", ""PODXL"", ""STXBP6"", ""APC"", ""SMAD7"", ""HSPA1A"", ""FLNB"", ""CAV2"", ""CHP1"", ""RPLP2"", ""GSN"", ""TNS1"", ""VEGFA"", ""B4GALT1"", ""RAPGEF2"", ""PDIA3"", ""GJA1"", ""CGNL1"", ""NEDD9"", ""DCTN4"", ""ANK3"", ""VAPA"", ""VCL"", ""CDH5"", ""RPS5"", ""NCK1"", ""EGFR"", ""LIMS2"", ""PPP1CB"", 
""RAC1"", ""TRIOBP"", ""HSP90B1"", ""GAB1"", ""CNN3"", ""PROCR"", ""BCAR1"", ""SLC4A2"", ""CD46"", ""KRAS"", ""WASF2"", ""TEK"", ""NCKAP1"", ""ARPC2"", ""ADAM9"", ""TLE2"", ""EPHA4"", ""NFASC"", ""HSPA5"", ""CLMP"", ""CDC42EP4"", ""PRKAR2A"", ""RPS16"", ""PPFIA1"", ""AMOTL1"", ""TMEM204"", ""YWHAB"", ""PIK3CA"", ""PTPRJ"", ""CDC42BPB"", ""YWHAE"", ""TSPAN9"", ""TPM4"", ""CALR"", ""GIT1"", ""ITGB8"", ""SIRT2"", ""DNM2"", ""CDH1"", ""ATP1B1"", ""DDR2"", ""NECTIN2"", ""ACTN1"", ""TJP2"", ""CORO1C"", ""HEG1"", ""CFL1"", ""TLN2"", ""GNA12"", ""UBA1"", ""ITGB4"", ""VEZT"", ""CORO2B"", ""RPL8"", ""RPL7"", ""FLRT2"", 
""SCN2A"", ""ANXA6"", ""HMCN1"", ""CTNNA3"", ""GNA13"", ""MTDH"", ""CD2AP"", ""AMOTL2"", ""ACTR2"", ""CD59"", ""RPS11"", ""FRMD5"", ""MYO1E"", ""ZFYVE21"", ""HCK"", ""PTPN12"", ""HSPB1"", ""PECAM1"", ""YWHAH"", ""PAK4"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","3.45140490530032e-05","0.00608689769098764","0.557332238758646","-0.297869188128275","-1.59824328562624","294","c(""AHNAK"", ""FLNA"", ""PIP5K1C"", ""RPL7A"", ""SORBS1"", ""AKAP12"", ""ITGA2"", ""SLC9A3R2"", ""FERMT2"", ""RPL18"", ""B2M"", ""ITGA8"", ""CTNNB1"", ""RPS4X"", ""PPFIBP1"", ""VIM"", ""RPS18"", ""IQGAP1"", ""MAPRE2"", ""CASK"", ""PDLIM7"", ""CTNNA1"", ""MAP2K2"", ""HSPA1A"", ""FLNB"", ""CAV2"", ""CHP1"", ""RPLP2"", ""GSN"", ""TNS1"", ""PDIA3"", ""GJA1"", ""NEDD9"", ""DCTN4"", ""VCL"", ""RPS5"", ""EGFR"", ""LIMS2"", ""PPP1CB"", ""RAC1"", ""TRIOBP"", ""HSP90B1"", ""CNN3"", ""PROCR"", ""BCAR1"", ""SLC4A2"", ""CD46"", ""KRAS"", ""TEK"", ""NCKAP1"", ""ARPC2"", ""ADAM9"", ""TLE2"", ""NFASC"", ""HSPA5"", ""PRKAR2A"", 
""RPS16"", ""PPFIA1"", ""YWHAB"", ""YWHAE"", ""TSPAN9"", ""TPM4"", ""CALR"", ""GIT1"", ""ITGB8"", ""DNM2"", ""DDR2"", ""NECTIN2"", ""ACTN1"", ""CORO1C"", ""CFL1"", ""TLN2"", ""GNA12"", ""ITGB4"", ""CORO2B"", ""RPL8"", ""RPL7"", ""FLRT2"", ""ANXA6"", ""HMCN1"", ""GNA13"", ""ACTR2"", ""CD59"", ""RPS11"", ""ZFYVE21"", ""HCK"", ""PTPN12"", ""HSPB1"", ""PAK4"", ""ACTR3"", ""PARVA"", ""RAB21"", ""ITGA6"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","5.32695461317898e-05","0.00838805103196647","0.557332238758646","-0.303008598747918","-1.60164772735365","270","c(""LDLR"", ""HLA-B"", ""CXCL12"", ""BST2"", ""CLCN3"", ""ITGA2"", ""HLA-A"", ""TFRC"", ""CD74"", ""BTNL9"", ""FERMT2"", ""PKD1"", ""B2M"", ""ITGA8"", ""INTU"", ""PLVAP"", ""HNRNPU"", ""HLA-E"", ""BCAM"", ""NCAM1"", ""UNC5D"", ""NLGN4Y"", ""EMP2"", ""PDIA4"", ""F3"", ""TNFRSF14"", ""CUBN"", ""ADGRG6"", ""TNS1"", ""CLEC14A"", ""VEGFA"", ""B4GALT1"", ""SLC4A4"", ""DIP2A"", ""PDIA3"", ""LRP6"", ""LGALS3"", ""CD55"", ""TSPAN14"", ""ANK3"", ""ACVR2A"", ""COL23A1"", ""NRXN1"", ""CDH5"", ""EGFR"", ""SFRP1"", ""PRNP"", ""PROCR"", ""CD46"", ""TEK"", ""C3"", ""ADAM9"", ""NPTN"", ""GPC6"", ""EPHA4"", ""HSPA5"", ""CLMP"", 
""SERPINE2"", ""CD47"", ""ADGRA2"", ""IL3RA"", ""PTPRJ"", ""CALR"", ""UNC5C"", ""ATP5F1B"", ""CD63"", ""ABCG2"", ""ITGB8"")"
