"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.781102362204724","0.93548205194303","0.0460457683018055","-0.186033951171832","-0.879267955404555","218","c(""CDH3"", ""LAMA5"", ""TENM2"", ""ITPKB"", ""CLSTN1"", ""PARVA"", ""MYO10"", ""PPARA"", ""CBFB"", ""BMP7"", ""HMGB1"", ""CDH1"", ""PLEKHA7"", ""CTNND2"", ""TFRC"", ""CLSTN2"", ""CDH23"", ""RAB10"", ""EXT1"", ""RHOA"", ""CTNNA2"", ""ST3GAL4"", ""NRXN3"", ""PIK3CB"", ""NR4A3"", ""NLGN1"", ""CXADR"", ""BAIAP2"", ""LYN"", ""JUP"", ""PRKCA"", ""PRKCQ"", ""AP3D1"", ""VSIG10"", ""GCNT2"", ""LAMB1"", ""ITGA9"", ""CYFIP2"", ""PIP5K1C"", ""ITGA6"", ""RC3H1"", ""PTPN2"", ""DLG4"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.623089983022071","0.874977422967164","0.059989249649033","-0.227862724739233","-0.900674795298529","67","c(""ITPKB"", ""PPARA"", ""CBFB"", ""BMP7"", ""HMGB1"", ""TFRC"", ""EXT1"", ""RHOA"", ""ST3GAL4"", ""NR4A3"", ""LYN"", ""PRKCQ"", ""AP3D1"", ""RC3H1"", ""PTPN2"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.324546952224053","0.770738834612701","0.0922597260527354","-0.251907363000763","-1.07733656707601","106","c(""DAG1"", ""ITPKB"", ""PTPRJ"", ""CRK"", ""MYO10"", ""CBFB"", ""BMP7"", ""COL26A1"", ""HMGB1"", ""IFT74"", ""TFRC"", ""RHOA"", ""PTK2B"", ""ST3GAL4"", ""PLEKHA2"", ""NR4A3"", ""EPHA4"", ""FLCN"", ""LYN"", ""JUP"", ""PRKCA"", ""PRKCQ"", ""AP3D1"", ""DOCK5"", ""GCNT2"", ""RREB1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.359454855195911","0.781945640142664","0.0883594442500905","-0.281489584569899","-1.05704441243242","49","c(""ITPKB"", ""MYO10"", ""CBFB"", ""BMP7"", ""HMGB1"", ""TFRC"", ""RHOA"", ""ST3GAL4"", ""NR4A3"", ""LYN"", ""PRKCQ"", ""AP3D1"", ""GCNT2"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.496415770609319","0.826821932652517","0.0738052724171275","-0.279104089280425","-0.982894225417993","38","c(""ITPKB"", ""CBFB"", ""HMGB1"", ""TFRC"", ""RHOA"", ""ST3GAL4"", ""NR4A3"", ""LYN"", ""PRKCQ"", ""AP3D1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.645631067961165","0.883812905047555","0.0560595875032335","-0.200467782151944","-0.936335629387094","204","c(""KANK1"", ""DAG1"", ""LAMA5"", ""FBLN1"", ""ITPKB"", ""PTPRJ"", ""CRK"", ""MYO10"", ""PPARA"", ""CBFB"", ""PRLR"", ""PRKX"", ""BMP7"", ""CORO2B"", ""COL26A1"", ""HMGB1"", ""CDH1"", ""IFT74"", ""TFRC"", ""RHOA"", ""PIK3R1"", ""PTK2B"", ""ST3GAL4"", ""PIK3CB"", ""SPOCK1"", ""PLEKHA2"", ""NR4A3"", ""EPHA4"", ""FLCN"", ""LYN"", ""JUP"", ""PRKCA"", ""PRKCQ"", ""AP3D1"", ""DOCK5"", ""GCNT2"", ""RREB1"", ""DLC1"", ""RC3H1"", ""PEAK1"", ""PTPN2"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.830313014827018","0.94424037812289","0.0453152441270267","-0.198968369427598","-0.828235470669748","93","c(""ITPKB"", ""MYO10"", ""PPARA"", ""CBFB"", ""BMP7"", ""HMGB1"", ""CDH1"", ""TFRC"", ""RHOA"", ""ST3GAL4"", ""NR4A3"", ""LYN"", ""PRKCA"", ""PRKCQ"", ""AP3D1"", ""GCNT2"", ""RC3H1"", ""PTPN2"", ""ZBTB1"", ""PTPRG"", ""TRPV4"", ""SWAP70"", ""DLG5"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.076672183149026","0.553365288288149","0.287805130535564","0.228967024063792","1.18398845928041","314","c(""MYO1E"", ""YBX3"", ""AFDN"", ""FRMPD2"", ""PKP4"", ""AHI1"", ""IQGAP1"", ""APP"", ""HNRNPK"", ""JAK1"", ""GAK"", ""ARHGAP26"", ""SYNM"", ""PTPN12"", ""ARPC2"", ""AKAP6"", ""CLASP1"", ""NEDD9"", ""CASK"", ""CTTN"", ""PDLIM5"", ""NCK1"", ""KIFC3"", ""DLG1"", ""PKN2"", ""MYH9"", ""TMOD3"", ""NRP1"", ""PATJ"", ""RAB21"", ""MAP2K2"", ""TNFSF13B"", ""WDR1"", ""SAV1"", ""IRF2"", ""CTNND1"", ""DMD"", ""ACTN4"", ""SDC4"", ""SDCBP"", ""CDH12"", ""PPP1CB"", ""SYNE2"", ""VEGFA"", ""LPP"", ""CD46"", ""CD59"", ""VCL"", ""CLDN5"", ""ATP1B1"", ""EGFR"", ""PKD2"", ""ERBIN"", ""NDRG1"", ""PIK3CA"", ""NPHP4"", ""VIM"", ""DIXDC1"", 
""NCKAP1"", ""ARHGEF7"", ""CNN3"", ""ADAM10"", ""SNTB1"", ""ACTB"", ""ALCAM"", ""MAP2K1"", ""EIF4G2"", ""DOCK7"", ""CGNL1"", ""RPS8"", ""KAZN"", ""MAGI3"", ""ITGB1"", ""PAK2"", ""USP33"", ""DNMBP"", ""GAB1"", ""BCAR1"", ""TJP1"", ""ACTR3"", ""HSPA5"", ""ACTN1"", ""JAK2"", ""SNAP23"", ""TGM2"", ""TJP2"", ""PIKFYVE"", ""PPFIBP1"", ""EPB41L5"", ""RPL3"", ""B2M"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.328125","0.770738834612701","0.120433371642259","0.215073366593671","1.04610872793653","182","c(""IQGAP1"", ""HNRNPK"", ""JAK1"", ""GAK"", ""ARHGAP26"", ""PTPN12"", ""ARPC2"", ""CLASP1"", ""NEDD9"", ""CASK"", ""CTTN"", ""MYH9"", ""NRP1"", ""RAB21"", ""MAP2K2"", ""TNFSF13B"", ""IRF2"", ""DMD"", ""ACTN4"", ""SDC4"", ""SDCBP"", ""PPP1CB"", ""SYNE2"", ""LPP"", ""CD46"", ""CD59"", ""VCL"", ""EGFR"", ""ERBIN"", ""VIM"", ""DIXDC1"", ""NCKAP1"", ""ARHGEF7"", ""CNN3"", ""ADAM10"", ""SNTB1"", ""ACTB"", ""ALCAM"", ""MAP2K1"", ""DOCK7"", ""RPS8"", ""ITGB1"", ""USP33"", ""BCAR1"", ""ACTR3"", ""HSPA5"", ""ACTN1"", ""JAK2"", ""SNAP23"", ""TGM2"", ""PPFIBP1"", ""EPB41L5"", ""RPL3"", ""B2M"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.876823338735819","0.963246526822704","0.042077210988939","-0.183136987840896","-0.823551422197707","149","c(""DAG1"", ""SCARB1"", ""CLSTN1"", ""PTPRJ"", ""HEG1"", ""PRLR"", ""GHR"", ""FGFR2"", ""HMGB1"", ""FCGRT"", ""ROR1"", ""TFRC"", ""CLSTN2"", ""ROR2"", ""BMPR2"", ""INSR"", ""SORT1"", ""FAM234A"")"
