"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.783524904214559","0.937186584381495","0.0549073703290958","0.176554756162916","0.900223660438651","257","c(""CD46"", ""MAP3K8"", ""SPARCL1"", ""CD24"", ""DLG1"", ""ALCAM"", ""ADTRP"", ""FLOT1"", ""DLG4"", ""ADGRV1"", ""BSG"", ""CLDN5"", ""KIFC3"", ""CD2AP"", ""MIA3"", ""DSG2"", ""ZBTB16"", ""AKNA"", ""AMBRA1"", ""BMP4"", ""WNK1"", ""DNAJB6"", ""NPTN"", ""PRKAR1A"", ""MBP"", ""FOXJ1"", ""CNN3"", ""ITGB5"", ""PDGFRA"", ""CLDN1"", ""CXADR"", ""FAT1"", ""TGFBR2"", ""DOCK8"", ""TJP2"", ""DSCAML1"", ""PSEN1"", ""TRPV4"", ""NECTIN2"", ""PAWR"", ""CLDN3"", ""ERBB2"", ""SLC7A1"", ""GNAS"", ""NEXMIF"", ""TNFRSF14"", ""MAD1L1"", ""PIK3CA"", ""DMTN"", ""ROBO2"", ""TMEM47"", ""DLG5"", ""BAIAP2"", ""C1QTNF1"", ""CTNND1"", 
""JAM3"", ""OBSCN"", ""ADGRL1"", ""PLXNB2"", ""FLOT2"", ""CLSTN1"", ""SOX9"", ""ITCH"", ""B2M"", ""PDPN"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.176908752327747","0.809571998333234","0.141225119642531","0.263085845805041","1.1627315107492","86","c(""CD46"", ""MAP3K8"", ""CD24"", ""DLG1"", ""ADTRP"", ""MIA3"", ""ZBTB16"", ""AMBRA1"", ""BMP4"", ""WNK1"", ""PRKAR1A"", ""FOXJ1"", ""TGFBR2"", ""DOCK8"", ""PAWR"", ""ERBB2"", ""SLC7A1"", ""TNFRSF14"", ""MAD1L1"", ""PIK3CA"", ""DLG5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.779092702169625","0.936753289774057","0.0565299525056311","0.187672519537089","0.865083544283898","128","c(""PRKCE"", ""CCDC80"", ""CD46"", ""MAP3K8"", ""CD24"", ""FLOT1"", ""SMAD3"", ""DOCK1"", ""EPB41L4B"", ""ZFHX3"", ""TGM2"", ""ZBTB16"", ""AMBRA1"", ""TGFBR2"", ""DOCK8"", ""CIB1"", ""ERBB2"", ""IFT74"", ""EMP2"", ""SLC7A1"", ""P4HB"", ""TNFRSF14"", ""PIK3CA"", ""DMTN"", ""NEDD9"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.46242774566474","0.882923418164099","0.0813027345384498","0.244155806398983","1.00043329262876","62","c(""CD46"", ""MAP3K8"", ""CD24"", ""FLOT1"", ""ZBTB16"", ""AMBRA1"", ""TGFBR2"", ""DOCK8"", ""SLC7A1"", ""TNFRSF14"", ""PIK3CA"", ""DMTN"", ""FLOT2"", ""B2M"", ""PDPN"", ""FOXO3"", ""SMAD7"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.429672447013488","0.871005917159763","0.0852884689790502","0.261142123970171","1.01252339540398","47","c(""CD46"", ""MAP3K8"", ""CD24"", ""ZBTB16"", ""AMBRA1"", ""TGFBR2"", ""DOCK8"", ""SLC7A1"", ""TNFRSF14"", ""PIK3CA"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.743243243243243","0.936115093254936","0.0577308549299813","0.180032235276613","0.912290643049153","245","c(""PRKCE"", ""CCDC80"", ""CD46"", ""MAP3K8"", ""CD24"", ""DLG1"", ""ADTRP"", ""FLOT1"", ""SMAD3"", ""PLXNB1"", ""CASK"", ""DOCK1"", ""EPB41L4B"", ""DLC1"", ""ACTN4"", ""ZFHX3"", ""MIA3"", ""TGM2"", ""ZBTB16"", ""AKNA"", ""AMBRA1"", ""MACF1"", ""BMP4"", ""WNK1"", ""PRKAR1A"", ""MBP"", ""FOXJ1"", ""DDR1"", ""PLXNA2"", ""TGFBR2"", ""DOCK8"", ""TRPV4"", ""CIB1"", ""PAWR"", ""ERBB2"", ""IFT74"", ""EMP2"", ""FAF1"", ""SLC7A1"", ""NEXMIF"", ""ARHGDIA"", ""P4HB"", ""TNFRSF14"", ""MAD1L1"", ""PIK3CA"", ""DMTN"", ""ATXN3"", ""NEDD9"", ""DLG5"", ""C1QTNF1"", ""JAM3"", ""CDC42"", ""PLXNB2"", ""FLOT2"", ""ARHGEF7"", 
""SFRP1"", ""SOX9"", ""ITCH"", ""DAPK3"", ""B2M"", ""PDPN"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.210922787193974","0.835181394843035","0.128788713061714","0.243472284419144","1.11906840931697","118","c(""CD46"", ""MAP3K8"", ""CD24"", ""DLG1"", ""ADTRP"", ""FLOT1"", ""MIA3"", ""ZBTB16"", ""AKNA"", ""AMBRA1"", ""BMP4"", ""WNK1"", ""PRKAR1A"", ""MBP"", ""FOXJ1"", ""TGFBR2"", ""DOCK8"", ""TRPV4"", ""PAWR"", ""ERBB2"", ""SLC7A1"", ""NEXMIF"", ""TNFRSF14"", ""MAD1L1"", ""PIK3CA"", ""DMTN"", ""DLG5"", ""C1QTNF1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0307257667197667","0.692154034931054","0.352487857583619","-0.227957305312039","-1.2303350231647","402","c(""ARHGAP24"", ""RPL7"", ""ADD3"", ""EFNA5"", ""CCND1"", ""NRP1"", ""SORBS3"", ""FLRT2"", ""GSN"", ""RPL22"", ""PKP2"", ""EPB41L3"", ""DSP"", ""CDH2"", ""RPL19"", ""VAPA"", ""RAPGEF2"", ""SCARB2"", ""AHNAK"", ""SIRT2"", ""SNTB2"", ""PARVB"", ""ITGB1"", ""MTDH"", ""RAB10"", ""CDH18"", ""FLNA"", ""RPS19"", ""PRKD1"", ""PTPRJ"", ""SVIL"", ""MPDZ"", ""HSPB1"", ""LRP1"", ""CTNNA2"", ""MAGI2"", ""ACTB"", ""CDH3"", ""PEAK1"", ""EPB41L2"", ""MRC2"", ""RPS14"", ""RPS11"", ""SYNPO"", ""YWHAE"", ""ACTG1"", ""ITGA8"", ""MSN"", ""DNMBP"", ""GJA1"", ""PRKAR2A"", ""RPL6"", ""AKAP12"", ""BMPR2"", ""CDH1"", ""RPLP2"", ""FRMD4A"", 
""NCKAP1"", ""LPP"", ""SORBS2"", ""RPS3"", ""KCNA5"", ""ADGRL3"", ""ANK2"", ""EPHA4"", ""HSPA1A"", ""SORBS1"", ""SHROOM3"", ""TNS1"", ""RPS16"", ""PPP3CA"", ""ATP6V0C"", ""TNFSF13B"", ""BCAR3"", ""GAB1"", ""NUMB"", ""RPL31"", ""SDCCAG8"", ""B4GALT1"", ""ACTR3"", ""RALA"", ""PCBP2"", ""TLN1"", ""WASF2"", ""RPL4"", ""CDC42BPA"", ""RRAS2"", ""ARHGAP17"", ""RPL3"", ""PTK2"", ""NME2"", ""PHLDB2"", ""CTTN"", ""RPLP0"", ""BCAR1"", ""G3BP1"", ""TBCD"", ""KIRREL1"", ""APC"", ""RPL5"", ""PARD3B"", ""FLCN"", ""VCL"", ""RPLP1"", ""CTNND2"", ""MAGI3"", ""CDH13"", ""TRAF4"", ""CLDN2"", ""CALR"", ""HACD3"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0855949895615866","0.728791041943443","0.222056046145248","-0.231893651594455","-1.18610094430003","248","c(""ARHGAP24"", ""RPL7"", ""NRP1"", ""SORBS3"", ""FLRT2"", ""GSN"", ""RPL22"", ""CDH2"", ""RPL19"", ""SCARB2"", ""AHNAK"", ""SNTB2"", ""PARVB"", ""ITGB1"", ""RAB10"", ""FLNA"", ""RPS19"", ""SVIL"", ""HSPB1"", ""LRP1"", ""ACTB"", ""PEAK1"", ""EPB41L2"", ""MRC2"", ""RPS14"", ""RPS11"", ""YWHAE"", ""ACTG1"", ""ITGA8"", ""MSN"", ""GJA1"", ""PRKAR2A"", ""RPL6"", ""AKAP12"", ""RPLP2"", ""NCKAP1"", ""LPP"", ""SORBS2"", ""RPS3"", ""HSPA1A"", ""SORBS1"", ""TNS1"", ""RPS16"", ""ATP6V0C"", ""TNFSF13B"", ""BCAR3"", ""NUMB"", ""RPL31"", ""ACTR3"", ""RALA"", ""PCBP2"", ""TLN1"", ""RPL4"", ""RRAS2"", ""RPL3"", ""PTK2"", 
""NME2"", ""PHLDB2"", ""CTTN"", ""RPLP0"", ""BCAR1"", ""G3BP1"", ""RPL5"", ""VCL"", ""RPLP1"", ""CDH13"", ""CALR"", ""HACD3"", ""AFAP1"", ""LIMD1"", ""RPS2"", ""PDIA3"", ""CPNE3"", ""SDCBP"", ""LASP1"", ""PACSIN2"", ""CTNNB1"", ""DNM2"", ""YWHAB"", ""RPS10"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.445606694560669","0.873834912642368","0.0878312634480124","-0.201833433011595","-0.997949981845241","181","c(""EFNA5"", ""ERP44"", ""PICALM"", ""UNC5C"", ""SLC1A3"", ""CDH2"", ""LRP6"", ""SCARB1"", ""HLA-B"", ""GHR"", ""IL6ST"", ""PDIA4"", ""ITGB1"", ""CLU"", ""RC3H2"", ""GPC5"", ""PTPRJ"", ""PRLR"", ""PDGFC"", ""ITGA8"", ""MSN"", ""DCBLD2"", ""HNRNPU"", ""BMPR2"", ""CSPG5"", ""F3"", ""IDE"", ""SLC4A4"", ""NLGN1"", ""KCNA5"", ""CLSTN2"", ""FCGRT"", ""EPHA4"", ""GPC6"", ""TNS1"")"
