"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.198915009041591","0.611646342619811","0.130105630751129","0.210945077019222","1.09928978232354","346","c(""PDGFRA"", ""TMOD3"", ""C1QTNF1"", ""AFDN"", ""BOC"", ""ELMO2"", ""STXBP1"", ""PKP4"", ""MAPK14"", ""KIFC3"", ""KIT"", ""TENM4"", ""ARG2"", ""EPB41L5"", ""PVR"", ""FLOT2"", ""PODXL"", ""CD46"", ""JAK1"", ""CELSR1"", ""ZMIZ1"", ""FNDC3A"", ""DLG1"", ""JAK2"", ""CTNND1"", ""DOCK8"", ""VMP1"", ""DLG3"", ""TJP2"", ""NPHP1"", ""RIC8A"", ""ALCAM"", ""HLA-DMA"", ""PTPRF"", ""NCK1"", ""PTPRS"", ""NT5E"", ""NKAP"", ""AP3B1"", ""LIMS1"", ""ACTN1"", ""NEXMIF"", ""SPARCL1"", ""AMBRA1"", ""OBSL1"", ""ROCK1"", ""MAP3K8"", ""SDC4"", ""ITGA10"", ""NCK2"", ""MINK1"", ""PALLD"", ""DMTN"", ""VCL"", ""TNFRSF14"", ""PKHD1"", 
""BAIAP2L1"", ""CEBPB"", ""KIRREL1"", ""BCL6"", ""MYH9"", ""PTPRD"", ""MALT1"", ""DLG2"", ""CD99"", ""CD2AP"", ""ITGB1"", ""MBP"", ""PLXNB2"", ""BMP4"", ""FOXO3"", ""CSK"", ""FOXJ1"", ""FLOT1"", ""NPHP4"", ""CCDC88B"", ""CDH2"", ""IL6ST"", ""CBLB"", ""PTK2"", ""LPP"", ""YES1"", ""ITGB5"", ""CLDN5"", ""CDH4"", ""PSEN1"", ""PDLIM5"", ""CD24"", ""RARA"", ""PTPRG"", ""DNAJA3"", ""PLPP3"", ""TYK2"", ""ZFP36L1"", ""PTPN11"", ""MSN"", ""AKT1"", ""CLSTN3"", ""DENND6A"", ""DAB1"", ""SDK1"", ""JAM3"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.716577540106952","0.884794965891062","0.0557104226766671","0.194212247656189","0.891501442364593","124","c(""ARG2"", ""FLOT2"", ""CD46"", ""ZMIZ1"", ""DLG1"", ""JAK2"", ""DOCK8"", ""HLA-DMA"", ""NCK1"", ""NT5E"", ""NKAP"", ""AP3B1"", ""AMBRA1"", ""ROCK1"", ""MAP3K8"", ""SDC4"", ""NCK2"", ""TNFRSF14"", ""CEBPB"", ""BCL6"", ""MALT1"", ""ITGB1"", ""BMP4"", ""FOXO3"", ""CSK"", ""FOXJ1"", ""CCDC88B"", ""IL6ST"", ""CBLB"", ""YES1"", ""CD24"", ""RARA"", ""DNAJA3"", ""TYK2"", ""PTPN11"", ""MSN"", ""AKT1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0760667903525046","0.449041058494201","0.222056046145248","0.25774469957039","1.24612858742362","170","c(""PRKCE"", ""AFDN"", ""NEDD9"", ""EPB41L5"", ""RIN2"", ""FLOT2"", ""BAG4"", ""PODXL"", ""CD46"", ""JAK1"", ""ZMIZ1"", ""ZFHX3"", ""EMP2"", ""JAK2"", ""DOCK8"", ""NRP1"", ""ARHGEF7"", ""DISC1"", ""HLA-DMA"", ""NCK1"", ""LDB1"", ""NKAP"", ""AP3B1"", ""ARPC2"", ""LIMS1"", ""MAP4K4"", ""AMBRA1"", ""ROCK1"", ""MAP3K8"", ""SDC4"", ""NCK2"", ""STX3"", ""DMTN"", ""TNFRSF14"", ""CCDC80"", ""BCL6"", ""MALT1"", ""FOXO3"", ""CSK"", ""FLOT1"", ""CCDC88B"", ""IL6ST"", ""DOCK1"", ""YES1"", ""PRKD2"", ""SFRP1"", ""CD24"", ""RARA"", ""FERMT2"", ""DNAJA3"", ""PLPP3"", ""TYK2"", ""PTPN11"", ""AKT1"", ""DENND6A"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.109318996415771","0.49565323515652","0.179782316298324","0.282973902733934","1.24677464308447","92","c(""AFDN"", ""FLOT2"", ""PODXL"", ""CD46"", ""JAK1"", ""ZMIZ1"", ""JAK2"", ""DOCK8"", ""HLA-DMA"", ""NCK1"", ""NKAP"", ""AP3B1"", ""AMBRA1"", ""MAP3K8"", ""NCK2"", ""DMTN"", ""TNFRSF14"", ""BCL6"", ""MALT1"", ""FOXO3"", ""CSK"", ""FLOT1"", ""CCDC88B"", ""IL6ST"", ""YES1"", ""CD24"", ""RARA"", ""DNAJA3"", ""PLPP3"", ""TYK2"", ""PTPN11"", ""AKT1"", ""DENND6A"", ""STAT5B"", ""SMAD7"", ""TGFBR2"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.368231046931408","0.745511839931469","0.0902635484340068","0.248777841723942","1.04864922192891","72","c(""FLOT2"", ""CD46"", ""ZMIZ1"", ""JAK2"", ""DOCK8"", ""HLA-DMA"", ""NCK1"", ""NKAP"", ""AP3B1"", ""AMBRA1"", ""MAP3K8"", ""NCK2"", ""TNFRSF14"", ""BCL6"", ""MALT1"", ""FOXO3"", ""CSK"", ""CCDC88B"", ""IL6ST"", ""YES1"", ""CD24"", ""RARA"", ""DNAJA3"", ""TYK2"", ""PTPN11"", ""AKT1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.133333333333333","0.530446849847349","0.161978948883402","0.220327376593406","1.14711653940409","315","c(""PRKCE"", ""C1QTNF1"", ""AFDN"", ""PKP4"", ""MAPK14"", ""ST6GAL1"", ""NEDD9"", ""ARG2"", ""SPRY4"", ""EPB41L5"", ""RIN2"", ""FLOT2"", ""BAG4"", ""PODXL"", ""CD46"", ""JAK1"", ""MACF1"", ""DLL1"", ""ZMIZ1"", ""DLG1"", ""CLASP1"", ""ZFHX3"", ""EMP2"", ""JAK2"", ""DOCK8"", ""NRP1"", ""ARHGEF7"", ""DISC1"", ""SEMA3E"", ""HLA-DMA"", ""NCK1"", ""LDB1"", ""NKAP"", ""AP3B1"", ""ARPC2"", ""PPP1CB"", ""LIMS1"", ""CASK"", ""NEXMIF"", ""ABL2"", ""DAPK3"", ""ACTN4"", ""MAP4K4"", ""AMBRA1"", ""ADAM10"", ""BCAS3"", ""ROCK1"", ""MAP3K8"", ""SDC4"", ""NCK2"", ""STX3"", ""MINK1"", ""DMTN"", ""DUSP1"", ""VCL"", ""TNFRSF14"", 
""PKHD1"", ""CCDC80"", ""CEBPB"", ""ATXN3"", ""BCL6"", ""TESC"", ""MALT1"", ""MBP"", ""PLXNB2"", ""CYTH1"", ""BMP4"", ""FOXO3"", ""CSK"", ""FOXJ1"", ""FLOT1"", ""EPHA2"", ""CCDC88B"", ""IL6ST"", ""ROCK2"", ""CBLB"", ""PTK2"", ""DOCK1"", ""DDR1"", ""PLXNA2"", ""CDKN2A"", ""YES1"", ""PRKD2"", ""SFRP1"", ""CD24"", ""RARA"", ""FERMT2"", ""PTPRG"", ""DNAJA3"", ""PLPP3"", ""TYK2"", ""PTPN11"", ""AKT1"", ""DENND6A"", ""DAB1"", ""JAM3"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.320297951582868","0.712483522513763","0.10027910675413","0.224019823614293","1.07462752678442","162","c(""C1QTNF1"", ""AFDN"", ""MAPK14"", ""ARG2"", ""EPB41L5"", ""FLOT2"", ""PODXL"", ""CD46"", ""JAK1"", ""ZMIZ1"", ""DLG1"", ""JAK2"", ""DOCK8"", ""HLA-DMA"", ""NCK1"", ""NKAP"", ""AP3B1"", ""NEXMIF"", ""AMBRA1"", ""MAP3K8"", ""SDC4"", ""NCK2"", ""MINK1"", ""DMTN"", ""TNFRSF14"", ""PKHD1"", ""CEBPB"", ""BCL6"", ""MALT1"", ""MBP"", ""BMP4"", ""FOXO3"", ""CSK"", ""FOXJ1"", ""FLOT1"", ""CCDC88B"", ""IL6ST"", ""CBLB"", ""PTK2"", ""YES1"", ""CD24"", ""RARA"", ""PTPRG"", ""DNAJA3"", ""PLPP3"", ""TYK2"", ""PTPN11"", ""AKT1"", ""DENND6A"", ""ABL1"", ""STAT5B"", ""SMAD7"", ""TGFBR2"", ""ITCH"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.407079646017699","0.758294950749539","0.0835990603684159","0.187805657107068","1.01813175072358","492","c(""FRMPD2"", ""MYO1E"", ""TMOD3"", ""AFDN"", ""GAK"", ""RHOU"", ""AHI1"", ""PKP4"", ""PATJ"", ""ARHGAP26"", ""RHOB"", ""PTPN12"", ""KIFC3"", ""NEDD9"", ""KIT"", ""SPRY4"", ""EPB41L5"", ""CTTN"", ""PVR"", ""ARPC3"", ""FLOT2"", ""PAK2"", ""PKD2"", ""TNKS1BP1"", ""IQGAP1"", ""PODXL"", ""CD46"", ""JAK1"", ""YBX3"", ""DLL1"", ""HNRNPK"", ""DLG1"", ""CYTH2"", ""FRMD6"", ""CLASP1"", ""SYNM"", ""JAK2"", ""CTNND1"", ""DLG3"", ""ERBIN"", ""NRP1"", ""ARHGEF7"", ""CCDC85A"", ""USP33"", ""TJP2"", ""PDLIM7"", ""MDC1"", ""NPHP1"", ""SYNE2"", ""WNK3"", ""AKAP6"", ""ALCAM"", ""NCK1"", ""DNMBP"", ""SAV1"", ""WASF2"", ""FSCN1"", 
""ARPC2"", ""PPP1CB"", ""LIMS1"", ""ACTN1"", ""SNTB1"", ""CASK"", ""ACTN4"", ""MAP4K4"", ""AMBRA1"", ""OBSL1"", ""ADAM10"", ""ANK2"", ""MAP2K1"", ""PI4KA"", ""CDC42BPB"", ""PKN2"", ""SDC4"", ""SCN2A"", ""STX3"", ""APP"", ""PALLD"", ""ASH1L"", ""FGF13"", ""VCL"", ""BAIAP2L1"", ""MTF2"", ""PPL"", ""CD99L2"", ""ARHGAP17"", ""MAP2K2"", ""CBL"", ""DOCK7"", ""ACTR3"", ""KIRREL1"", ""SRP68"", ""PAK1"", ""MYH9"", ""NCKAP1"", ""KAZN"", ""WDR1"", ""PDZD2"", ""CD99"", ""TRIP6"", ""CD2AP"", ""ITGB1"", ""FOCAD"", ""GSN"", ""RAB21"", ""CYTH1"", ""CSK"", ""UBOX5"", ""SLC2A1"", ""FLOT1"", ""EPHA2"", ""NPHP4"", ""DMD"", ""LIMK1"", 
""CDH2"", ""PTK2"", ""ADAM17"", ""AMOTL1"", ""IRF2"", ""OCLN"", ""LPP"", ""YES1"", ""ITGB5"", ""STRN"", ""CLDN5"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.388261851015801","0.753002654280026","0.10027910675413","-0.193864361379063","-1.02634332644462","291","c(""PARVB"", ""YWHAG"", ""AHNAK"", ""TSPAN4"", ""PARVA"", ""DAG1"", ""PIP5K1C"", ""PDIA3"", ""AVIL"", ""DDR2"", ""ANXA6"", ""HACD3"", ""SH3KBP1"", ""MPRIP"", ""CALR"", ""NME2"", ""YWHAQ"", ""FLRT2"", ""CPNE3"", ""CLTC"", ""CDC42"", ""PDGFRB"", ""DLC1"", ""RPL22"", ""ARL14EP"", ""RPLP2"", ""RPL7"", ""RAB10"", ""TRIOBP"", ""LASP1"", ""HSPB1"", ""SCARB2"", ""ITGB8"", ""RPLP1"", ""GNA13"", ""SORBS2"", ""YWHAZ"", ""G3BP1"", ""IL16"", ""SLC4A2"", ""SORBS3"", ""MAPRE1"", ""SLC9A1"", ""TNS3"", ""ITGAV"", ""PABPC1"", ""CORO2B"", ""RPL6"", ""RPL4"", ""RPL31"", ""RDX"", ""RPS4X"", ""RPS18"", ""PDCD6IP"", ""HSPA8"", 
""PPIA"", ""FAM107A"", ""RPL38"", ""PLEC"", ""HSPA9"", ""RPS3"", ""CD81"", ""NPM1"", ""RPS17"", ""RPS15"", ""RPS14"", ""BCAR3"", ""PTK2B"", ""RPL5"", ""RPS7"", ""MRC2"", ""PRKAR2A"", ""CAT"", ""HSP90B1"", ""PHLDB2"", ""ASAP3"", ""LPXN"", ""ACTR2"", ""PCBP2"", ""TSPAN9"", ""NHS"", ""RPL30"", ""AFAP1"", ""ITGA8"", ""MMP14"", ""RPL9"", ""BSG"", ""RPS16"", ""RPL19"", ""RPL37A"", ""CHP1"", ""PEAK1"", ""SVIL"", ""RPS11"", ""RPS13"", ""HSPA1B"", ""PDLIM1"", ""PAK4"", ""RPS29"", ""RPS8"", ""RPLP0"", ""ZFYVE21"", ""IGF2R"", ""RPS2"", ""ATP6V0C"", ""RHOA"", ""RPL18"", ""RPS9"", ""TNS1"", ""ITGA6"", ""P4HB"", ""RPL13A"", 
""VIM"", ""RPS5"", ""CLASP2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.472118959107807","0.786454148154676","0.0782955249944794","0.196135280862917","0.996688328100297","243","c(""OSMR"", ""PDGFRA"", ""MAP3K5"", ""IL13RA1"", ""IL6R"", ""SLC1A3"", ""KIT"", ""PVR"", ""RAMP1"", ""CD46"", ""IL5RA"", ""VAMP4"", ""ACVR1B"", ""KCNQ1"", ""ABCG1"", ""IL1R1"", ""EMP2"", ""SPARC"", ""SLC11A2"", ""MFGE8"", ""ALCAM"", ""HLA-DMA"", ""SLC1A1"", ""NT5E"", ""ANO6"", ""TNFRSF1A"", ""CUBN"", ""ADAM10"", ""SDC4"", ""ITGA10"", ""ENO2"", ""ABCA1"", ""HNRNPU"", ""APP"", ""DIP2A"", ""HILPDA"", ""TNFRSF14"", ""PKHD1"", ""CD99L2"", ""PTGFRN"", ""SPA17"", ""LRRC8A"", ""ITGB1"", ""MBP"", ""ABCC4"", ""LY6G5B"", ""PLXNB2"", ""LIFR"", ""TGFBR3"", ""TNFRSF10B"", ""FLOT1"", ""EPHA2"", ""DMD"", ""CDH2"", ""IL6ST"", 
""AXL"", ""ADAM17"", ""ITGB5"", ""LDLR"", ""PSEN1"", ""SFRP1"", ""PAM"", ""CD24"", ""RARA"", ""FERMT2"", ""DNAI2"", ""RPS6KB1"", ""ANTXR1"", ""MSN"", ""CLSTN3"", ""ADAMTS9"", ""FZD3"", ""NEO1"")"
