"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0128960011162543","0.237965924731375","0.380730400722792","-0.250847304521699","-1.29429113454837","372","c(""NR4A3"", ""NPNT"", ""FGL2"", ""ITPKB"", ""CD9"", ""PKD1"", ""GLI2"", ""CDH5"", ""JAM3"", ""KLF4"", ""BMP7"", ""TJP2"", ""NECTIN2"", ""CDH1"", ""NLGN1"", ""BMP6"", ""ILDR2"", ""HES1"", ""SCARF2"", ""SPINT2"", ""NCK2"", ""NT5E"", ""LRFN5"", ""BCL2"", ""EXT1"", ""ITGA11"", ""RAB10"", ""FLNA"", ""DSP"", ""CDH23"", ""PIP5K1C"", ""CDON"", ""TFRC"", ""ALCAM"", ""JUP"", ""ADGRL3"", ""EFNB2"", ""PEAR1"", ""PDLIM5"", ""FAT4"", ""FXYD5"", ""BMP5"", ""ERBB2"", ""PRNP"", ""WNT5A"", ""MYH9"", ""HSPH1"", ""VCAM1"", ""BOC"", ""PTPRU"", ""TLN2"", ""THBS4"", ""PIEZO1"", ""ATP2C1"", ""MYL9"", ""FOXO3"", ""OBSCN"", ""MAD1L1"", 
""TWSG1"", ""ASTN2"", ""ZBTB1"", ""ACTG1"", ""PTPRM"", ""BAIAP2"", ""VSIR"", ""KIFC3"", ""ADGRL1"", ""NLGN2"", ""TMOD3"", ""PTPRS"", ""SWAP70"", ""FAT1"", ""GNAS"", ""PRKAR1A"", ""ILK"", ""EZR"", ""HMCN1"", ""RHOA"", ""NRXN2"", ""FSTL3"", ""HMGB1"", ""PRKG1"", ""HSPD1"", ""TENM3"", ""CADM1"", ""TENM2"", ""CD81"", ""VCL"", ""TLN1"", ""NFAT5"", ""AP3D1"", ""STXBP6"", ""ETS1"", ""PKP4"", ""GLI3"", ""PAK4"", ""DCC"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.196153846153846","0.609012106884447","0.135740943810425","-0.257520215098407","-1.14718052087273","124","c(""NR4A3"", ""FGL2"", ""ITPKB"", ""GLI2"", ""KLF4"", ""BMP7"", ""ILDR2"", ""HES1"", ""NCK2"", ""NT5E"", ""EXT1"", ""TFRC"", ""EFNB2"", ""ERBB2"", ""PRNP"", ""HSPH1"", ""VCAM1"", ""FOXO3"", ""MAD1L1"", ""TWSG1"", ""ZBTB1"", ""VSIR"", ""PRKAR1A"", ""EZR"", ""RHOA"", ""HMGB1"", ""HSPD1"", ""CD81"", ""NFAT5"", ""AP3D1"", ""ETS1"", ""GLI3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.204044117647059","0.612633956248339","0.129442887745046","-0.234805108649274","-1.12424432511207","190","c(""NR4A3"", ""SFRP2"", ""NPNT"", ""ITPKB"", ""GLI2"", ""FOXC2"", ""BMP7"", ""HES1"", ""NCK2"", ""ARPC2"", ""FLNA"", ""TFRC"", ""JUP"", ""CALR"", ""EFNB2"", ""COL26A1"", ""ERBB2"", ""CDC42"", ""WNT5A"", ""HSPH1"", ""VCAM1"", ""TPM1"", ""CCDC80"", ""PTPRU"", ""NEDD9"", ""FLCN"", ""PIEZO1"", ""DOCK5"", ""DAG1"", ""FOXO3"", ""ARHGEF7"", ""P4HB"", ""ZBTB1"", ""VSIR"", ""ECM2"", ""TSC1"", ""COL8A1"", ""ILK"", ""STK4"", ""COL16A1"", ""CRK"", ""RHOA"", ""FSTL3"", ""HMGB1"", ""VIT"", ""HSPD1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.395789473684211","0.750218931613725","0.0949751525905595","0.232800581292378","1.02291975945048","97","c(""IL4R"", ""BCL6"", ""CD44"", ""RUNX1"", ""KIFAP3"", ""JAK2"", ""LYN"", ""PTPN11"", ""LEF1"", ""DNAJA3"", ""TNFSF13B"", ""MEGF10"", ""KIF26B"", ""CARD11"", ""CD55"", ""NFKBIZ"", ""FLOT1"", ""PLAUR"", ""ZMIZ1"", ""PLPP3"", ""FLOT2"", ""ST3GAL4"", ""FYN"", ""TGFBR2"", ""GCNT2"", ""AP3B1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.56347438752784","0.835704907479663","0.0785029047348687","0.225119567928248","0.948250209869658","76","c(""IL4R"", ""BCL6"", ""CD44"", ""RUNX1"", ""JAK2"", ""LYN"", ""PTPN11"", ""LEF1"", ""DNAJA3"", ""TNFSF13B"", ""CARD11"", ""CD55"", ""NFKBIZ"", ""ZMIZ1"", ""FLOT2"", ""ST3GAL4"", ""FYN"", ""TGFBR2"", ""AP3B1"", ""RIPK2"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0657193605683837","0.438284025138485","0.234392647294686","-0.231704456850752","-1.18434728169761","334","c(""NR4A3"", ""SFRP2"", ""NPNT"", ""FGL2"", ""PPP1CB"", ""ITPKB"", ""CD9"", ""PKD1"", ""GLI2"", ""PLXNC1"", ""FOXC2"", ""JAM3"", ""DUSP1"", ""KLF4"", ""BMP7"", ""CDH1"", ""BMP6"", ""ILDR2"", ""HES1"", ""SPINT2"", ""NCK2"", ""PLXNA2"", ""ARPC2"", ""BCL2"", ""LMO7"", ""FLNA"", ""TFRC"", ""JUP"", ""TBCD"", ""CALR"", ""EFNB2"", ""COL26A1"", ""FXYD5"", ""ERBB2"", ""CDC42"", ""PRNP"", ""WNT5A"", ""HSPH1"", ""VCAM1"", ""TPM1"", ""CCDC80"", ""PTPRU"", ""CORO1C"", ""NEDD9"", ""FLCN"", ""PIEZO1"", ""DOCK5"", ""DAG1"", ""PIK3R1"", ""FOXO3"", ""MAD1L1"", ""ARHGEF7"", ""P4HB"", ""TWSG1"", ""ZBTB1"", ""ACTG1"", ""VSIR"", 
""ECM2"", ""DLL1"", ""SWAP70"", ""PRKAR1A"", ""TSC1"", ""COL8A1"", ""ILK"", ""STK4"", ""COL16A1"", ""NF1"", ""CRK"", ""RHOA"", ""FSTL3"", ""ADAM22"", ""HMGB1"", ""PRKG1"", ""VIT"", ""HSPD1"", ""TENM3"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.321626617375231","0.70989054219795","0.0995791200495904","-0.227789503553289","-1.0655253762361","165","c(""NR4A3"", ""FGL2"", ""ITPKB"", ""CD9"", ""GLI2"", ""KLF4"", ""BMP7"", ""CDH1"", ""BMP6"", ""ILDR2"", ""HES1"", ""SPINT2"", ""NCK2"", ""TFRC"", ""EFNB2"", ""FXYD5"", ""ERBB2"", ""PRNP"", ""WNT5A"", ""HSPH1"", ""VCAM1"", ""PTPRU"", ""PIEZO1"", ""FOXO3"", ""MAD1L1"", ""TWSG1"", ""ZBTB1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.000119018226333932","0.0272721764342324","0.538434096309916","-0.276312245539123","-1.47050790181637","512","c(""ARHGAP31"", ""PPP1CB"", ""ATP1B1"", ""FLNB"", ""CD9"", ""TSPAN4"", ""LASP1"", ""CDH5"", ""JAM3"", ""PATJ"", ""TJP2"", ""YWHAZ"", ""NECTIN2"", ""EPB41L2"", ""CDH1"", ""PARD6G"", ""ITGBL1"", ""GAB1"", ""DOCK7"", ""ILDR2"", ""HSPA5"", ""SCARF2"", ""PLEC"", ""WNK3"", ""ARPC2"", ""AHNAK"", ""ITGA11"", ""RAB10"", ""LMO7"", ""MRC2"", ""ANXA5"", ""FLNA"", ""HYOU1"", ""DSP"", ""PIP5K1C"", ""SHROOM3"", ""ALCAM"", ""LSR"", ""JUP"", ""TBCD"", ""ADGRL3"", ""SYNPO2"", ""CALR"", ""MXRA8"", ""EFNB2"", ""TPM4"", ""ADD3"", ""RHOB"", ""ITGB8"", ""ZFYVE21"", ""TNK2"", ""PDLIM5"", ""CCDC85C"", ""JCAD"", ""WTIP"", ""CDC42"", 
""ARL14EP"", ""MYH9"", ""SPTBN4"", ""SIRT2"", ""PTPRU"", ""TLN2"", ""PACSIN2"", ""CORO1C"", ""NEDD9"", ""FLCN"", ""DAG1"", ""PAK1"", ""PIK3R1"", ""TGFBR1"", ""SORBS3"", ""PARD3B"", ""OBSCN"", ""GSN"", ""DST"", ""ARHGEF7"", ""P4HB"", ""ANK2"", ""HSP90B1"", ""HSPA1B"", ""ACTG1"", ""PTPRM"", ""BAIAP2"", ""GDI2"", ""KIFC3"", ""PDIA3"", ""YWHAH"", ""STRN"", ""CAT"", ""SDCBP"", ""DLL1"", ""WDR1"", ""TMOD3"", ""FRMD4A"", ""FAT1"", ""SYNM"", ""HSPA9"", ""HSPA1A"", ""DNMBP"", ""AMOTL2"", ""TNS1"", ""ILK"", ""TIAM1"", ""SCN1B"", ""CBL"", ""EZR"", ""CCND1"", ""HSPG2"", ""PPIB"", ""ADD1"", ""HMCN1"", ""ATP6V0C"", ""RHOA"", 
""PRKCI"", ""EIF4G2"", ""LIMA1"", ""ITGB4"", ""ANXA6"", ""CGNL1"", ""CADM1"", ""CYFIP1"", ""AFAP1"", ""CD81"", ""VCL"", ""WASF2"", ""B4GALT1"", ""TLN1"", ""NDRG1"", ""ENAH"", ""STXBP6"", ""IGF2R"", ""SH3KBP1"", ""RRAS2"", ""PKP4"", ""MPP7"", ""WASF1"", ""PAK4"", ""TNS3"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.00151995945587713","0.0965392341699297","0.45505986738723","-0.28267002679721","-1.43489741641218","318","c(""ARHGAP31"", ""PPP1CB"", ""FLNB"", ""CD9"", ""TSPAN4"", ""LASP1"", ""YWHAZ"", ""NECTIN2"", ""EPB41L2"", ""ITGBL1"", ""DOCK7"", ""HSPA5"", ""SCARF2"", ""PLEC"", ""ARPC2"", ""AHNAK"", ""ITGA11"", ""RAB10"", ""LMO7"", ""MRC2"", ""ANXA5"", ""FLNA"", ""HYOU1"", ""PIP5K1C"", ""ALCAM"", ""JUP"", ""SYNPO2"", ""CALR"", ""EFNB2"", ""TPM4"", ""RHOB"", ""ITGB8"", ""ZFYVE21"", ""CDC42"", ""ARL14EP"", ""MYH9"", ""TLN2"", ""PACSIN2"", ""CORO1C"", ""NEDD9"", ""DAG1"", ""PAK1"", ""SORBS3"", ""GSN"", ""DST"", ""ARHGEF7"", ""P4HB"", ""HSP90B1"", ""HSPA1B"", ""ACTG1"", ""GDI2"", ""PDIA3"", ""CAT"", ""SDCBP"", ""FAT1"", ""HSPA9"", 
""HSPA1A"", ""TNS1"", ""ILK"", ""CBL"", ""EZR"", ""HSPG2"", ""PPIB"", ""ADD1"", ""HMCN1"", ""ATP6V0C"", ""RHOA"", ""LIMA1"", ""ITGB4"", ""ANXA6"", ""CYFIP1"", ""AFAP1"", ""CD81"", ""VCL"", ""TLN1"", ""ENAH"", ""IGF2R"", ""SH3KBP1"", ""RRAS2"", ""WASF1"", ""PAK4"", ""TNS3"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.149908592321755","0.565329268222794","0.153158808683073","-0.226087143306981","-1.12779816959971","282","c(""DIP2A"", ""F3"", ""CD9"", ""FCGRT"", ""PKD1"", ""CDH5"", ""ROR1"", ""NECTIN2"", ""NLGN1"", ""ITGBL1"", ""HSPA5"", ""NT5E"", ""LRFN2"", ""LRFN5"", ""SULF1"", ""ITGA11"", ""LMO7"", ""ANXA5"", ""TMEM8B"", ""TFRC"", ""ALCAM"", ""CALR"", ""MXRA8"", ""ITGB8"", ""COL23A1"", ""SLC38A1"", ""CLU"", ""INTU"", ""PRNP"", ""WNT5A"", ""VCAM1"", ""LRP4"", ""ABCB1"", ""ANTXR1"", ""MMP16"", ""DAG1"", ""SORL1"", ""TGFBR1"", ""PLA2R1"", ""FGFR2"", ""P4HB"", ""GHR"", ""ADGRA3"", ""INSR"", ""CLPTM1"", ""ANPEP"", ""KCNB1"", ""LIFR"", ""HLA-B"", ""CLEC2D"", ""ADGRA2"", ""PDIA3"")"
