"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.316683316683317","0.809645036254478","0.0670512579829467","-0.292069877086458","-1.06082449051613","387","c(""TGFB2"", ""PTPRG"", ""NEO1"", ""TENM2"", ""ROBO2"", ""KIRREL1"", ""STXBP6"", ""PRKG1"", ""CTNNA2"", ""CNN3"", ""CTNND2"", ""CNTN4"", ""PTPRS"", ""CLDN11"", ""ADGRL3"", ""SDK2"", ""UNC5D"", ""TJP1"", ""ADGRV1"", ""CDH4"", ""TENM3"", ""NLGN1"", ""CDH1"", ""CDH8"", ""FAT3"", ""NEGR1"", ""PRKCQ"", ""KIF26B"", ""EFNA5"", ""NTN1"", ""NEXMIF"", ""FAT1"", ""CDH13"", ""DLG5"", ""CDH12"", ""DCC"", ""PCDH9"", ""PKP2"", ""PTPRD"", ""SLC7A11"", ""NRXN3"", ""BOC"", ""ITGA8"", ""DLG2"", ""PARVA"", ""CNTN5"", ""PDE5A"", ""ITGA1"", ""MAGI1"", ""CDHR3"", ""ASTN2"", ""PKHD1"", ""CNTN1"", ""CDH11"", ""CTNNA3"", ""PAWR"", 
""TNXB"", ""SKAP1"", ""LRFN5"", ""PCDH11Y"", ""VSIG10"", ""JAM3"", ""GPC6"", ""CDH18"", ""COL19A1"", ""PTPRT"", ""OBSCN"", ""PCDH15"", ""ITGAE"", ""IL1RAPL1"", ""PCDH7"", ""PCDH11X"", ""MEGF11"", ""CLSTN2"", ""NRXN1"", ""KIRREL3"", ""DSCAM"", ""BAIAP2L1"", ""EGFR"", ""MYO10"", ""CDH3"", ""ZBTB16"", ""CLDN5"", ""CYP1B1"", ""LAMA3"", ""HMCN1"", ""LAMB1"", ""TLN2"", ""LRP6"", ""PTK2"", ""EPB41L5"", ""TENM1"", ""KIFAP3"", ""LRRC7"", ""RIPOR2"", ""SASH3"", ""PSEN1"", ""LRRC4C"", ""PLEKHA7"", ""CASP3"", ""CD99"", ""DSC2"", ""ROBO1"", ""NCAM2"", ""CLSTN1"", ""SPARCL1"", ""CD55"", ""SDK1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","NA","NA","NA","0.464166844743484","NA","164","c(""LYN"", ""DOCK8"", ""LILRB1"", ""PAG1"", ""PTPN22"", ""PIK3R6"", ""GCNT1"", ""TMEM131L"", ""IL18"", ""DUSP10"", ""ICAM1"", ""CD4"", ""SLC39A8"", ""NOD2"", ""SMAD7"", ""LGALS9"", ""FCGR2B"", ""ITGA5"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""OLR1"", ""CARD11"", ""ALOX5"", ""IL15"", ""BCL6"", ""TNIP1"", ""ITGA4"", ""RUNX1"", ""EXT1"", ""NCK2"", ""PTPN2"", ""PECAM1"", ""ZBTB1"", ""RUNX3"", ""CD74"", ""NDFIP1"", ""STK10"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""ITGAL"", ""CD83"", ""VSIG4"", ""MIA3"", ""FCHO1"", ""SOCS6"", ""HLA-E"", ""HAVCR2"", ""DUSP22"", ""JAK2"", 
""FERMT3"", ""SIRPA"", ""HLA-DPB1"", ""TRAF6"", ""CD81"", ""CD86"", ""TNFRSF21"", ""IRAK1"", ""MAD1L1"", ""ZMIZ1"", ""RASAL3"", ""CD276"", ""B2M"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","NA","NA","NA","0.397210378250061","NA","202","c(""PTPRJ"", ""LYN"", ""DOCK8"", ""CDK6"", ""LILRB1"", ""APBB1IP"", ""UTRN"", ""LIMS1"", ""PTPN22"", ""PIK3R6"", ""ARPC2"", ""VAV3"", ""IL18"", ""DUSP10"", ""CD4"", ""NOD2"", ""CYTH3"", ""PLEKHA2"", ""SMAD7"", ""LGALS9"", ""ITGA5"", ""NEDD9"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""CARD11"", ""RIN2"", ""ITGB1BP1"", ""ALOX5"", ""PLAUR"", ""IL15"", ""GCNT2"", ""BCL6"", ""PIEZO1"", ""ITGA4"", ""RUNX1"", ""FMN1"", ""EMP2"", ""NCK2"", ""RSU1"", ""PRKCA"", ""PRKCE"", ""ZBTB1"", ""RUNX3"", ""CD74"", ""RREB1"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""ZFHX3"", ""CD83"", ""FCHO1"", 
""FLNA"", ""HLA-E"", ""HAVCR2"", ""RAC1"", ""PPM1F"", ""ATM"", ""JAK2"", ""SIRPA"", ""MAP4K4"", ""HLA-DPB1"", ""TRAF6"", ""CD81"", ""PDGFB"", ""CD86"", ""CASS4"", ""PREX1"", ""IRAK1"", ""ZMIZ1"", ""AFDN"", ""RASAL3"", ""CD276"", ""B2M"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","8.66068637004995e-12","7.74958216392069e-09","0.875325132024659","0.44143874959456","2.3123135608013","124","c(""LYN"", ""DOCK8"", ""LILRB1"", ""PTPN22"", ""PIK3R6"", ""IL18"", ""DUSP10"", ""CD4"", ""NOD2"", ""SMAD7"", ""LGALS9"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""CARD11"", ""ALOX5"", ""PLAUR"", ""IL15"", ""GCNT2"", ""BCL6"", ""PIEZO1"", ""ITGA4"", ""RUNX1"", ""NCK2"", ""ZBTB1"", ""RUNX3"", ""CD74"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""CD83"", ""FCHO1"", ""HLA-E"", ""HAVCR2"", ""JAK2"", ""SIRPA"", ""HLA-DPB1"", ""TRAF6"", ""CD81"", ""CD86"", ""IRAK1"", ""ZMIZ1"", ""AFDN"", ""RASAL3"", ""CD276"", ""B2M"", ""FLOT2"", ""HLA-DPA1"", ""EMILIN2"", ""EBI3"", ""FLOT1"", 
""CD47"", ""NCKAP1L"", ""HLA-DMB"", ""HLA-DQA1"", ""TGFBR2"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","1.02186115378934e-13","4.5718068020535e-10","0.954541630725724","0.508855750263118","2.64585214610992","107","c(""LYN"", ""DOCK8"", ""LILRB1"", ""PTPN22"", ""PIK3R6"", ""IL18"", ""DUSP10"", ""CD4"", ""NOD2"", ""LGALS9"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""CARD11"", ""ALOX5"", ""IL15"", ""BCL6"", ""ITGA4"", ""RUNX1"", ""NCK2"", ""ZBTB1"", ""RUNX3"", ""CD74"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""CD83"", ""FCHO1"", ""HLA-E"", ""HAVCR2"", ""JAK2"", ""SIRPA"", ""HLA-DPB1"", ""TRAF6"", ""CD81"", ""CD86"", ""IRAK1"", ""ZMIZ1"", ""RASAL3"", ""CD276"", ""B2M"", ""FLOT2"", ""HLA-DPA1"", ""EBI3"", ""CD47"", ""NCKAP1L"", ""HLA-DMB"", ""HLA-DQA1"", ""TGFBR2"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","NA","NA","NA","0.286014069713064","NA","353","c(""PTPRJ"", ""LYN"", ""DOCK8"", ""MACF1"", ""PLXNC1"", ""CDK6"", ""LILRB1"", ""APBB1IP"", ""UTRN"", ""PAG1"", ""PLXNA1"", ""LIMS1"", ""PTPN22"", ""PIK3R6"", ""ARPC2"", ""TMEM131L"", ""VAV3"", ""IL18"", ""DUSP10"", ""CYTH1"", ""ARHGDIB"", ""EPHB2"", ""CD4"", ""NOD2"", ""CYTH3"", ""PLEKHA2"", ""SMAD7"", ""LGALS9"", ""FCGR2B"", ""ITGA5"", ""NEDD9"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""MBP"", ""CARD11"", ""NUAK1"", ""RCC2"", ""BCL2"", ""RIN2"", ""ITGB1BP1"", ""ALOX5"", ""PLAUR"", ""IL15"", ""GCNT2"", ""BCL6"", ""PIEZO1"", ""SIPA1"", ""ITGA4"", ""PRKCD"", ""RUNX1"", ""NOTCH1"", 
""FXYD5"", ""FMN1"", ""EMP2"", ""NCK2"", ""PEAK1"", ""PRKX"", ""RSU1"", ""PRKCA"", ""PTPN2"", ""PRKCE"", ""ZBTB1"", ""RUNX3"", ""FAF1"", ""CD74"", ""ST6GAL1"", ""NDFIP1"", ""RREB1"", ""SPI1"", ""CYTIP"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""ZFHX3"", ""CD83"", ""VSIG4"", ""MIA3"", ""FCHO1"", ""SOCS6"", ""FLNA"", ""HLA-E"", ""HAVCR2"", ""RAC1"", ""DUSP22"", ""PPM1F"", ""ATM"", ""JAK2"", ""FERMT3"", ""LMO7"", ""SIRPA"", ""MAP4K4"", ""HLA-DPB1"", ""TRAF6"", ""MINK1"", ""CD81"", ""PDGFB"", ""CD86"", ""CASS4"", ""PREX1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","NA","NA","NA","0.325018231531889","NA","197","c(""LYN"", ""DOCK8"", ""LILRB1"", ""PAG1"", ""PTPN22"", ""PIK3R6"", ""TMEM131L"", ""IL18"", ""DUSP10"", ""CD4"", ""NOD2"", ""SMAD7"", ""LGALS9"", ""FCGR2B"", ""VAV1"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""HLA-DRA"", ""IL7"", ""MBP"", ""CARD11"", ""ALOX5"", ""PLAUR"", ""IL15"", ""GCNT2"", ""BCL6"", ""PIEZO1"", ""ITGA4"", ""PRKCD"", ""RUNX1"", ""NOTCH1"", ""FXYD5"", ""NCK2"", ""PRKCA"", ""PTPN2"", ""ZBTB1"", ""RUNX3"", ""CD74"", ""NDFIP1"", ""SPI1"", ""SYK"", ""RIPK2"", ""AP3B1"", ""TNFSF13B"", ""CD83"", ""VSIG4"", ""MIA3"", ""FCHO1"", ""SOCS6"", ""HLA-E"", ""HAVCR2"", ""DUSP22"", ""PPM1F"", ""JAK2"", 
""FERMT3"", ""SIRPA"", ""HLA-DPB1"", ""TRAF6"", ""MINK1"", ""CD81"", ""CD86"", ""TNFRSF21"", ""IRAK1"", ""MAD1L1"", ""ZMIZ1"", ""AFDN"", ""RASAL3"", ""CD276"", ""B2M"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.98001998001998","1","0.00651414071836222","-0.214264843784921","-0.780023204316854","451","c(""DDR2"", ""PARD3B"", ""CDC42BPA"", ""KIRREL1"", ""STXBP6"", ""CTNNA2"", ""CNN3"", ""CLMP"", ""CTNND2"", ""PARD3"", ""MPDZ"", ""ENAH"", ""SHROOM3"", ""CLDN11"", ""ADGRL3"", ""SORBS2"", ""TJP1"", ""PRKD1"", ""PHLDB2"", ""CDH1"", ""CDH8"", ""DMD"", ""RRAS2"", ""EPB41L4B"", ""SORBS1"", ""EPHA4"", ""AKAP6"", ""MAGI2"", ""EFNA5"", ""KAZN"", ""SPTBN4"", ""CNTNAP2"", ""FERMT2"", ""FAT1"", ""CDH13"", ""CDH12"", ""PCDH9"", ""PKP2"", ""PTPRK"", ""PDZD2"", ""ITGA8"", ""PARVA"", ""ITGA1"", ""PATJ"", ""MAGI1"", ""CDHR3"", ""CORO2B"", ""CDH11"", ""CTNNA3"", ""FRMD5"", ""ATP1B1"", ""PTK7"", ""SKAP1"", ""SYNE2"", ""AMOTL1"", 
""VSIG10"", ""FLRT2"", ""JAM3"", ""CDH18"", ""RPLP1"", ""NCKAP1"", ""VAPA"", ""OBSCN"", ""AKAP12"", ""DLC1"", ""FAM107A"", ""WNK3"", ""PLXDC1"", ""CGNL1"", ""KIRREL3"", ""UBN1"", ""BAIAP2L1"", ""EGFR"", ""DAG1"", ""CDH3"", ""CLDN5"", ""FGF13"", ""APP"", ""MPP7"", ""HMCN1"", ""TLN2"", ""PTK2"", ""SVIL"", ""EPB41L5"", ""SYMPK"", ""TSPAN9"", ""MAPK15"", ""PIP5K1A"", ""KRIT1"", ""PLEKHA7"", ""ITGB8"", ""CD99"", ""DSC2"", ""FRMD6"", ""ADD3"", ""RND3"", ""PPFIBP1"", ""RDX"", ""TRPV4"", ""CHP1"", ""CAT"", ""RPL22"", ""CPNE3"", ""TRPC6"", ""NPHP1"", ""FES"", ""PKP4"", ""LIMA1"", ""RHOB"", ""ACTN2"", ""PLPP3"", ""BSG"", 
""PDLIM5"", ""YWHAE"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","NA","NA","NA","0.245800746685457","NA","280","c(""ARHGAP26"", ""APBB1IP"", ""ARHGAP31"", ""ARHGAP22"", ""LIMS1"", ""TNS1"", ""ARPC2"", ""ALCAM"", ""CYFIP1"", ""ICAM1"", ""PTPN12"", ""HCK"", ""ACTR3"", ""SH3KBP1"", ""TNS3"", ""ITGA5"", ""NEDD9"", ""GSN"", ""RHOA"", ""PTPRC"", ""CD44"", ""ITGB2"", ""LCP1"", ""LAP3"", ""LIMD1"", ""LPP"", ""ITGB1BP1"", ""PLAUR"", ""MARCKS"", ""GDI2"", ""LIMK1"", ""EPB41L2"", ""CAP1"", ""EVL"", ""TPM4"", ""ITGA4"", ""SNTB1"", ""PACSIN2"", ""CBL"", ""PEAK1"", ""MAPK1"", ""RSU1"", ""RPL7A"", ""KRAS"", ""RALA"", ""IRF2"", ""GNA12"", ""IQGAP1"", ""ADGRE5"", ""IGF2R"", ""G3BP1"", ""TNFSF13B"", ""GIT2"", ""PPP1CC"", ""STX16"", 
""FLNA"", ""PPFIA1"", ""RAC1"", ""PIP5K1C"", ""JAK2"", ""FERMT3"", ""LMO7"", ""VASP"", ""MAP4K4"", ""RPL37A"", ""CD81"", ""CASS4"", ""MPRIP"", ""CAPN2"", ""PARVB"", ""RAB10"", ""PDPK1"", ""ARPC1B"", ""CORO1C"", ""ACTN1"", ""B2M"", ""PAK1"", ""ARHGEF2"", ""MAPRE2"", ""SORBS3"", ""CD9"", ""LASP1"", ""FLOT2"", ""RPS2"", ""MAPRE1"", ""DST"", ""SCARB2"", ""ENG"", ""CTNNA1"", ""MSN"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.611388611388611","1","0.0363783055518278","-0.268081635078576","-0.96581014864123","293","c(""SULF1"", ""TMC1"", ""NEO1"", ""ROR1"", ""ROBO2"", ""KCNH5"", ""KCNJ3"", ""CLMP"", ""UNC5C"", ""SLC4A4"", ""FGFR2"", ""UNC5D"", ""ADGRV1"", ""NLGN1"", ""DMD"", ""INSR"", ""GRIN2A"", ""EPHA4"", ""EFNA5"", ""CNTNAP2"", ""FERMT2"", ""CDH13"", ""GPC5"", ""DCC"", ""KLRD1"", ""ABCB1"", ""EPHA5"", ""PTPRK"", ""SLC7A11"", ""ITGA8"", ""PLA2R1"", ""ANTXR1"", ""ITGA1"", ""PPFIA2"", ""ENOX1"", ""MET"", ""PKHD1"", ""FAM234A"", ""LRFN5"", ""GHR"", ""TGFBR3"", ""INTU"", ""FZD3"", ""GPC6"", ""PRLR"", ""ENPEP"", ""CLU"", ""SLC1A1"", ""PTPRT"", ""ITGAE"", ""IL1RAPL1"", ""SFRP1"", ""OSMR"", ""CLSTN2"", ""NRXN1"", ""EGFR"", 
""DAG1"", ""GPC3"", ""ATP5F1A"", ""APP"", ""LRP6"", ""CLEC4E"", ""USP14"", ""GRIN2B"", ""ADAMTS9"", ""CUBN"", ""PSEN1"", ""ITGB8"", ""DCBLD2"", ""ROBO1"", ""FCGRT"", ""CLSTN1"", ""CD55"", ""LIFR"", ""CLPTM1"", ""IL1R1"", ""MR1"")"
