"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.593886462882096","0.958696703692997","0.0418238690062304","-0.208597784134931","-0.958051840901526","317","c(""PPARA"", ""TENM2"", ""CLDN11"", ""NRXN3"", ""TENM3"", ""VEGFA"", ""GPC4"", ""NLGN4Y"", ""AP3D1"", ""FLOT2"", ""ROBO1"", ""CTNNA2"", ""GPC6"", ""PKP4"", ""COL14A1"", ""ITGA8"", ""CDH4"", ""PCDH11Y"", ""CLDN5"", ""ABAT"", ""VSIG10"", ""KIRREL3"", ""TGFB2"", ""CDH12"", ""DSCAM"", ""ROBO2"", ""MAP2K5"", ""DSP"", ""DOCK8"", ""KIFC3"", ""CDH1"", ""HSPH1"", ""PRKCQ"", ""PTPRM"", ""LRRC4C"", ""CD58"", ""JUP"", ""PKP2"", ""NR4A3"", ""IL1RAPL1"", ""TRPV4"", ""GTPBP4"", ""FYN"", ""PRKAR1A"", ""MBP"", ""SLC7A11"", ""GRID2"", ""RPS3"", ""CNTN5"", ""CXADR"", ""MIA3"", ""SOX13"", ""AFDN"", ""BOC"", ""CSRP1"", ""ZBTB1"", 
""LAMB1"", ""AKNA"", ""CD55"", ""ITGB5"", ""LRFN5"", ""TNXB"", ""CDH18"", ""LEF1"", ""CTNND2"", ""CADM1"", ""ITPKB"", ""GCNT2"", ""DNAJB6"", ""ERBB2"", ""SDK1"", ""FLOT1"", ""CDHR3"", ""CNTN1"", ""WNK1"", ""EGFR"", ""CDH3"", ""PCDH15"", ""PTPN11"", ""EZR"", ""PSEN1"", ""NRXN1"", ""FAT1"", ""PTPRG"", ""PTPRT"", ""CYP1B1"", ""ATP2C1"", ""MAD1L1"", ""PCDH9"", ""MYO10"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.817733990147783","0.992721273291925","0.102449405629826","0.184699344399916","0.860836582647441","96","c(""ITGA5"", ""IL6ST"", ""SMAD7"", ""EXT1"", ""PELI1"", ""ITGB1"", ""ZDHHC21"", ""ZMIZ1"", ""ITCH"", ""DLG5"", ""NCK2"", ""CD44"", ""DLG1"", ""ANXA1"", ""GOLPH3"", ""STAT5B"", ""IGFBP2"", ""XBP1"", ""TFRC"", ""RIPOR2"", ""ETS1"", ""MAP3K8"", ""RHOA"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0511372510236701","0.501564101890066","0.321775918075361","0.24347699389845","1.23689540460777","157","c(""LIMS1"", ""FN1"", ""UTRN"", ""EDIL3"", ""ITGA5"", ""CDK6"", ""IL6ST"", ""TFE3"", ""TGM2"", ""MAP4K4"", ""SMAD7"", ""PRKD2"", ""CCN1"", ""ITGA3"", ""EMP2"", ""ZMIZ1"", ""ARPC2"", ""NPNT"", ""ANGPT1"", ""NCK2"", ""COL8A1"", ""RAC1"", ""CD44"", ""RSU1"", ""ABI3BP"", ""ANXA1"", ""FLNA"", ""PLEKHA2"", ""RREB1"", ""ADAM9"", ""P4HB"", ""STAT5B"", ""IGFBP2"", ""XBP1"", ""TFRC"", ""ETS1"", ""NEDD9"", ""MAP3K8"", ""RHOA"", ""COL26A1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.784135240572172","0.992721273291925","0.0370705393657621","-0.210973562279291","-0.820895054229731","75","c(""AP3D1"", ""FLOT2"", ""DOCK8"", ""HSPH1"", ""PRKCQ"", ""NR4A3"", ""FYN"", ""RPS3"", ""SOX13"", ""AFDN"", ""ZBTB1"", ""CD55"", ""LEF1"", ""ITPKB"", ""GCNT2"", ""FLOT1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.609756097560976","0.966491907909733","0.0504983044100709","-0.246231547544171","-0.912312820771019","57","c(""AP3D1"", ""FLOT2"", ""DOCK8"", ""HSPH1"", ""PRKCQ"", ""NR4A3"", ""FYN"", ""RPS3"", ""SOX13"", ""ZBTB1"", ""CD55"", ""LEF1"", ""ITPKB"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0114468780257636","0.265217283219879","0.380730400722792","0.219083900668137","1.21148224297619","289","c(""LIMS1"", ""FN1"", ""UTRN"", ""PPP2CA"", ""JAG1"", ""THBS1"", ""EDIL3"", ""ITGA5"", ""EFNA5"", ""MACF1"", ""ACTG1"", ""CDK6"", ""IL6ST"", ""COL1A1"", ""TFE3"", ""LAMA3"", ""LAMA5"", ""TGM2"", ""MAP4K4"", ""SMAD7"", ""PRKD2"", ""CCN1"", ""PELI1"", ""ITGA3"", ""ROCK2"", ""BCL2"", ""EMP2"", ""ZDHHC21"", ""ZMIZ1"", ""ARPC2"", ""ITCH"", ""NPNT"", ""ANGPT1"", ""DLG5"", ""NCK2"", ""COL8A1"", ""NOTCH1"", ""CD164"", ""RAC1"", ""CD44"", ""RSU1"", ""NUAK1"", ""RASA1"", ""ABI3BP"", ""ARHGDIA"", ""ST6GAL1"", ""DLG1"", ""ANXA1"", ""FLNA"", ""PLEKHA2"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.523399014778325","0.945961753912464","0.0531298054705469","-0.232048142387173","-0.973842751629876","132","c(""PPARA"", ""TENM3"", ""VEGFA"", ""AP3D1"", ""FLOT2"", ""ABAT"", ""MAP2K5"", ""DOCK8"", ""CDH1"", ""HSPH1"", ""PRKCQ"", ""NR4A3"", ""TRPV4"", ""GTPBP4"", ""FYN"", ""PRKAR1A"", ""MBP"", ""RPS3"", ""MIA3"", ""SOX13"", ""AFDN"", ""ZBTB1"", ""AKNA"", ""CD55"", ""LEF1"", ""ITPKB"", ""GCNT2"", ""ERBB2"", ""FLOT1"", ""WNK1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0191955093412003","0.34401018310809","0.352487857583619","0.206892402956126","1.21092900384609","460","c(""LIMS1"", ""ALCAM"", ""PTPN12"", ""ITGA1"", ""JAG1"", ""ITGA5"", ""COL13A1"", ""ITGBL1"", ""NHS"", ""SVIL"", ""ABI2"", ""EFNA5"", ""ACTG1"", ""ACTN1"", ""FRMD4A"", ""ERBIN"", ""DST"", ""CDH11"", ""KIRREL1"", ""TGM2"", ""AHNAK"", ""MAP4K4"", ""YBX3"", ""SMAD7"", ""PFN1"", ""ARHGAP31"", ""TNS1"", ""SYNPO2"", ""NPHP4"", ""DES"", ""HNRNPK"", ""ACTB"", ""ITGA3"", ""LRP1"", ""ITGB1"", ""SNTB2"", ""NCKAP1"", ""GAB1"", ""DCTN4"", ""TNS3"", ""HSPA8"", ""SYNPO"", ""MYH9"", ""ACTR2"", ""LPP"", ""RPL12"", ""PMP22"", ""ARPC2"", ""TLN1"", ""PALLD"", ""VIM"", ""CYFIP1"", ""PDGFRB"", ""PGM5"", ""NOTCH1"", ""RAC1"", ""PRKCI"", 
""ESAM"", ""CD44"", ""RSU1"", ""TJP2"", ""GJC1"", ""FRMD6"", ""ANXA6"", ""AFAP1"", ""DLG1"", ""MAP2K2"", ""PDLIM5"", ""YWHAB"", ""ANXA1"", ""ANXA5"", ""FLNA"", ""HMCN1"", ""CDC42BPB"", ""PARVB"", ""MPRIP"", ""SAV1"", ""PPIA"", ""TNKS1BP1"", ""ADAM9"", ""KLHL24"", ""YWHAH"", ""PPFIBP1"", ""LASP1"", ""CD9"", ""TNC"", ""SPECC1L"", ""RPS11"", ""CTTN"", ""P4HB"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.000627973860563189","0.06051384474518","0.477270815362862","0.255609841420514","1.42033535524402","291","c(""LIMS1"", ""ALCAM"", ""PTPN12"", ""ITGA1"", ""ITGA5"", ""ITGBL1"", ""NHS"", ""SVIL"", ""ACTG1"", ""ACTN1"", ""ERBIN"", ""DST"", ""TGM2"", ""AHNAK"", ""MAP4K4"", ""PFN1"", ""ARHGAP31"", ""TNS1"", ""SYNPO2"", ""HNRNPK"", ""ACTB"", ""ITGA3"", ""LRP1"", ""ITGB1"", ""SNTB2"", ""NCKAP1"", ""DCTN4"", ""TNS3"", ""HSPA8"", ""MYH9"", ""ACTR2"", ""LPP"", ""RPL12"", ""ARPC2"", ""TLN1"", ""PALLD"", ""VIM"", ""CYFIP1"", ""PDGFRB"", ""PGM5"", ""RAC1"", ""CD44"", ""RSU1"", ""ANXA6"", ""AFAP1"", ""MAP2K2"", ""YWHAB"", ""ANXA1"", ""ANXA5"", ""FLNA"", ""HMCN1"", ""PARVB"", ""MPRIP"", ""PPIA"", ""ADAM9"", ""PPFIBP1"", ""LASP1"", 
""CD9"", ""TNC"", ""RPS11"", ""CTTN"", ""P4HB"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0574137876803812","0.535184457968235","0.321775918075361","0.216779804564161","1.1642084657776","235","c(""PLA2R1"", ""BGN"", ""MFGE8"", ""ALCAM"", ""TFPI"", ""ITGA1"", ""THBS1"", ""ITGA5"", ""ITGBL1"", ""SDC2"", ""EFNA5"", ""IL6ST"", ""OSMR"", ""LDLR"", ""AXL"", ""ADAMTS9"", ""TNS1"", ""ITGA3"", ""NOTCH2"", ""ITGB1"", ""EMP2"", ""FCGRT"", ""NEO1"", ""NPTN"", ""LAMP1"", ""ECE1"", ""TNFRSF1A"", ""TLN1"", ""UNC5C"", ""PDGFRB"", ""NOTCH1"", ""VASN"", ""IL6R"", ""CD44"", ""VAMP4"", ""IDE"", ""ERP44"", ""PDGFA"", ""RTN4RL1"", ""ANXA1"", ""ADGRA2"", ""ANXA5"")"
