gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ABCA3,0.341741302,7.060532632,1.969983264,0.055142113,0.794069564,-4.281385453,Metabolism or Transport (lipid)
AC006449.2,0.562509454,3.714951176,2.044450293,0.046909153,0.794069564,-4.425520191,NA
AC009065.1,0.456862595,5.127974416,1.876334442,0.067238899,0.794069564,-4.423175767,NA
AC037459.4,0.411009599,6.852750863,2.331425208,0.024365192,0.794069564,-4.127659339,NA
ACACA,0.241747909,9.163123802,2.119871225,0.039682246,0.794069564,-3.970731755,Metabolism or Transport (lipid)
ACKR2,0.290075945,7.49130623,1.950318538,0.05751398,0.794069564,-4.232314747,Immune/Inflammation/Stress/Toxin
ACO2,0.269987438,7.752968716,1.88610693,0.065878942,0.794069564,-4.237760969,Metabolism or Transport (lipid)
ACOT6,0.458995516,4.940337068,1.919167461,0.061450725,0.794069564,-4.419338292,Metabolism or Transport (lipid)
ADAMTSL4,0.462910977,6.105450102,2.279326752,0.02754293,0.794069564,-4.227060503,NA
ADAMTSL5,0.404375888,6.297365291,1.920956037,0.061218602,0.794069564,-4.340254206,NA
ADSSL1,0.3582214,7.147024372,2.087703769,0.042635765,0.794069564,-4.188848759,Metabolism (other)
AGPAT3,0.27966284,8.168945337,2.063798419,0.044953524,0.794069564,-4.096614094,NA
AGRN,0.356244817,7.731342542,2.190041373,0.033855501,0.794069564,-4.073501449,Metabolism or Transport (lipid)
AGXT2,0.414988981,5.769029899,1.885881914,0.06590999,0.794069564,-4.397484256,NA
AHCY,0.365183696,6.555076161,2.017551224,0.049750775,0.794069564,-4.288088748,NA
AHDC1,0.332876475,8.62768765,2.493148663,0.016488384,0.794069564,-3.740303238,NA
AIFM3,0.397958644,6.868566765,2.229174641,0.030945988,0.794069564,-4.154188907,Development (differentiation)
AIPL1,0.463969956,5.531725596,2.103976125,0.041118474,0.794069564,-4.340432824,NA
AK4,0.458691356,7.158533969,2.583156999,0.013183794,0.794069564,-3.998087703,NA
AK8,0.272776139,7.762525104,1.936027399,0.059292287,0.794069564,-4.212089284,NA
AKAP8,0.396008831,6.25911656,2.12808736,0.038957269,0.794069564,-4.269980957,NA
AKT2,0.299892026,7.66415077,2.030432076,0.04837192,0.794069564,-4.161850788,Metabolism (other)
ALDH16A1,0.409813498,5.699453035,1.929491495,0.060121179,0.794069564,-4.381432262,NA
ALPL,0.545112369,6.18545432,2.527517905,0.015146562,0.794069564,-4.161881867,Metabolism (other)
ALX4,0.403120777,7.122560824,2.363896464,0.022554819,0.794069564,-4.088116189,Development (differentiation)
AMOTL2,0.415467011,7.11228293,2.407181175,0.020329774,0.794069564,-4.036506257,NA
ANKRD13D,0.553837597,6.188176415,2.522365228,0.015341181,0.794069564,-4.141262578,NA
ANKRD27,0.275802084,8.128897929,2.041491886,0.047214612,0.794069564,-4.110966772,NA
ANO10,0.221444535,8.654148228,1.858315873,0.069809077,0.794069564,-4.188877561,NA
AP1M1,0.39967918,6.360277689,2.128129339,0.038953595,0.794069564,-4.267826303,Transport
APOL2,0.498705575,5.118672174,1.962701659,0.056010371,0.794069564,-4.401978954,Metabolism or Transport (lipid)
APOL6,0.671634178,4.034848099,2.489310292,0.016644758,0.794069564,-4.307902502,Metabolism or Transport (lipid)
AQP7,0.610006374,6.194716231,2.560851572,0.013940927,0.794069564,-4.109965561,Transport
ARFGAP2,0.424547298,6.177021744,2.171006845,0.035356238,0.794069564,-4.243657702,NA
ARID1A,0.256434035,8.047749171,1.859316514,0.069664188,0.794069564,-4.227749949,NA
ARID3A,0.357983295,7.367210873,2.174543907,0.035073002,0.794069564,-4.122496813,NA
ARID5B,0.23564933,9.0606279,2.005313055,0.051092282,0.794069564,-4.064165887,NA
ARIH2,0.372887842,6.748761896,2.010857138,0.050480724,0.794069564,-4.286526836,NA
ARIH2OS,0.538290529,4.873995938,2.220084458,0.031601302,0.794069564,-4.337248003,NA
ARL2,0.421242564,5.749857863,1.949831225,0.057573854,0.794069564,-4.36149581,NA
ARL2-SNX15,0.52008705,6.644690587,2.725433809,0.009175799,0.794069564,-3.967961701,NA
ARRDC1,0.653394658,6.295031388,3.156228194,0.002880076,0.794069564,-3.868545397,NA
ARSG,0.257697957,8.816415067,2.042914778,0.047067481,0.794069564,-4.050890635,NA
ASAP3,0.358587566,6.964269067,2.086780805,0.042723274,0.794069564,-4.209041432,NA
ASCC1,0.3515899,7.472579955,2.221520661,0.031496954,0.794069564,-4.081048844,NA
ASCC2,0.432178785,6.757685645,2.385028593,0.021442524,0.794069564,-4.119433862,NA
ASNA1,0.420343754,5.777540111,1.988030477,0.053040033,0.794069564,-4.355622218,NA
ASXL1,0.348912416,7.316522554,2.216260911,0.0318806,0.794069564,-4.119627095,NA
ATF4,0.446274235,5.040933432,1.925778644,0.060596459,0.794069564,-4.410501764,Metabolism (other)
ATG2B,0.525219957,6.740733988,2.777749165,0.008009762,0.794069564,-3.956742848,Metabolism (other)
ATOX1,0.302338466,7.732506402,2.122285954,0.039467956,0.794069564,-4.114211794,Metabolism (other)
ATP2A3,0.73776065,6.323690684,3.604924483,0.000790492,0.794069564,-3.692515678,NA
ATP6V0B,0.640940643,5.252900868,2.704960277,0.009673352,0.794069564,-4.174503534,NA
ATP6V0D1,0.434477687,7.244092964,2.495211878,0.016404883,0.794069564,-4.013821199,NA
ATP6V1E2,0.342165255,7.102252175,2.035506221,0.047837932,0.794069564,-4.241465591,NA
ATXN7L3,0.581448907,5.51903219,2.557423736,0.014060738,0.794069564,-4.199154419,NA
AZIN1,0.385043817,7.450413757,2.502979466,0.01609395,0.794069564,-3.952069922,Metabolism (other)
B3GLCT,0.263504325,8.024622457,1.900556947,0.063911056,0.794069564,-4.208936982,Metabolism (other)
