gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A2ML1,0.309758404,6.602090552,1.934062326,0.053112963,0.575710805,-4.235104491,Immune/Inflammation/Stress/Toxin
A3GALT2,0.519637967,5.237240596,2.022654726,0.043115825,0.575710805,-4.396511252,Metabolism or Transport (lipid)
AATK,0.230997652,7.047338189,1.703881205,0.088411549,0.575710805,-4.300838485,NA
AATK-AS1,0.630698551,5.580114588,2.686131072,0.007231649,0.575710805,-4.124551362,NA
ABCA5,0.313198779,6.233302143,1.805361902,0.071026068,0.575710805,-4.332122173,Metabolism or Transport (lipid)
ABCC1,0.215202412,8.473621338,2.157374241,0.030982834,0.575710805,-3.776481448,Transport
ABCC4,0.268428217,8.990794295,2.897930415,0.003758509,0.575710805,-2.721476395,Transport
ABCC6,0.259137579,6.915150555,1.842231367,0.065449187,0.575710805,-4.229958859,Transport
ABHD16A,0.562581349,4.846447926,1.873446779,0.06101447,0.575710805,-4.472519939,Metabolism or Transport (lipid)
ABI3BP,0.250917871,8.30533469,2.422154848,0.015433472,0.575710805,-3.509397639,Motility
ABLIM1,0.219842693,8.633829117,2.256936706,0.024017747,0.575710805,-3.648117276,Motility
ABLIM3,0.208926473,7.915899745,1.895941187,0.057975485,0.575710805,-4.083832743,Motility
ABR,0.250577816,9.04043889,2.730281379,0.006330977,0.575710805,-2.963309068,Motility
AC002310.11,0.616138109,4.94478388,2.080300948,0.037504696,0.575710805,-4.42766854,NA
AC002310.13,0.396383394,5.86535491,1.988029247,0.046815698,0.575710805,-4.310132157,NA
AC006538.4,0.433387508,5.726791378,2.030199645,0.042343278,0.575710805,-4.323457414,NA
AC018638.1,0.587324393,4.349706725,1.825188447,0.067980529,0.575710805,-4.494522988,NA
AC092835.2,0.38177722,6.52826565,2.356545843,0.018450893,0.575710805,-3.990474383,NA
ACACB,0.208309166,8.047609407,1.934322406,0.053080996,0.575710805,-4.039798878,Metabolism or Transport (lipid)
ACBD4,0.420799731,5.57259994,1.848430795,0.064547897,0.575710805,-4.407019267,Metabolism or Transport (lipid)
ACLY,0.267491287,6.709671121,1.792606237,0.073043948,0.575710805,-4.282639349,Metabolism or Transport (lipid)
ACOX1,0.395405824,5.849502367,1.942735382,0.052055597,0.575710805,-4.336274486,Metabolism or Transport (lipid)
ACOXL,0.191154518,9.336578035,2.203929321,0.027535355,0.575710805,-3.631902504,Metabolism or Transport (lipid)
ACP5,-0.680330561,3.88844774,-2.506522538,0.012196716,0.575710805,-4.283323519,Metabolism (other)
ACSF2,0.372278813,6.439860321,2.261458052,0.023736597,0.575710805,-4.062908941,Metabolism or Transport (lipid)
ACSM2B,0.484475199,5.161119854,1.757364417,0.078863855,0.575710805,-4.47737413,Metabolism or Transport (lipid)
ACTL8,0.351652961,6.841567543,2.378116908,0.017406277,0.575710805,-3.896037313,NA
ADAM2,0.304989243,7.144612437,2.26149545,0.023734284,0.575710805,-3.906992366,Matrisome/cell adhesion/binding/signaling
ADAMTS2,0.176454324,9.131206778,1.971434894,0.048681477,0.575710805,-3.921270038,NA
ADAMTSL2,0.337394597,7.14840072,2.483673976,0.013007804,0.575710805,-3.727652995,NA
ADAR,0.299993327,6.329119866,1.794389394,0.072759072,0.575710805,-4.323828866,NA
ADAT3,0.554536027,4.740413101,1.782753077,0.074634576,0.575710805,-4.495442591,NA
ADCY1,0.239187238,8.702881272,2.477384901,0.013239271,0.575710805,-3.371331049,NA
ADD1,0.415688838,7.062536088,2.935754586,0.003329389,0.575710805,-3.363352984,NA
ADD2,0.254563631,8.11790576,2.373704683,0.017615625,0.575710805,-3.597674778,NA
ADGB,0.262343295,8.536967739,2.636422855,0.008381968,0.575710805,-3.197904995,NA
ADGRG6,0.193538214,7.79123467,1.722314877,0.085020721,0.575710805,-4.231282714,Matrisome/cell adhesion/binding/signaling
ADGRL1,0.248684781,7.210798456,1.899180916,0.057548343,0.575710805,-4.160503993,Matrisome/cell adhesion/binding/signaling
ADORA1,0.21107742,7.505542544,1.75879273,0.078620857,0.575710805,-4.22494947,NA
ADRA2C,0.981042437,4.118199677,2.966755372,0.003011497,0.575710805,-4.270136412,NA
AFDN,0.2358582,7.658859557,2.015136045,0.043897502,0.575710805,-4.012438334,Matrisome/cell adhesion/binding/signaling
AGO2,0.265631449,8.259505972,2.539605427,0.011101752,0.575710805,-3.379731415,NA
AGPAT3,0.332740592,7.798574246,2.852664525,0.004337802,0.575710805,-3.146928654,NA
AGPAT4,0.204222646,8.558245381,2.075218437,0.037973081,0.575710805,-3.855885224,NA
AGPS,0.198576696,7.677438372,1.720496737,0.085350417,0.575710805,-4.240485673,NA
AIP,0.655513956,4.722852118,2.115177,0.034421426,0.575710805,-4.433694829,NA
AIPL1,0.307691934,6.501324327,1.90872384,0.056305335,0.575710805,-4.251708748,NA
