gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ZNF491,0.777599333,4.958105338,4.318169194,1.57719176919681e-05,0.152814111,1.483982832,NA
CAPS,0.915718513,3.711983276,3.637993655,0.000275127,0.376487654,-1.25226099,Transport
CCDC13,0.349034621,7.637254117,3.600751234,0.000317695,0.376487654,0.086354692,NA
CDK5,0.610405911,5.553637753,3.930075262,8.50666121853808e-05,0.376487654,0.649329924,Development (differentiation)
ECI1,0.600583147,5.408222021,3.740937932,0.000183599,0.376487654,0.029925214,Metabolism or Transport (lipid)
METTL23,0.652233674,4.919525106,3.704701778,0.000211934,0.376487654,-0.243341435,NA
PRR7,0.444893766,6.172459638,3.607810703,0.00030918,0.376487654,-0.024610418,NA
RP11-159D12.5,0.682452083,4.740145681,3.670641437,0.000242267,0.376487654,-0.444360635,NA
ZNF606,0.613175635,5.319566556,3.575701308,0.000349715,0.376487654,-0.53958266,NA
AQP7,0.486843604,5.691579566,3.53225785,0.000412506,0.379486986,-0.355448999,Transport
TMEM53,0.373415551,6.924741832,3.520742214,0.000430835,0.379486986,-0.198516373,NA
SIX5,0.413403342,6.293587131,3.45473773,0.000551417,0.410975666,-0.461685998,Development (differentiation)
SSSCA1,0.574984159,5.134240732,3.471579304,0.00051797,0.410975666,-0.757572073,NA
ABCA5,0.265681011,6.573716556,2.452515183,0.014190515,0.457442283,-3.005218475,Metabolism or Transport (lipid)
AC002310.11,0.355493728,6.014005643,2.834260315,0.004595564,0.457442283,-2.136200321,NA
AC005943.2,0.234757718,6.472192438,2.153858464,0.031257419,0.457442283,-3.606075695,NA
AC009065.1,0.4115817,4.530828815,2.185990938,0.02882223,0.457442283,-3.523124152,NA
AC037459.4,0.233299815,6.424954493,2.113357718,0.034576535,0.457442283,-3.676850679,NA
AC069368.3,0.203581684,7.769608465,2.174256693,0.029691892,0.457442283,-3.632977869,NA
AC090154.1,-0.682405684,2.679644192,-2.620398177,0.008786141,0.457442283,-3.101608784,NA
AC104532.2,0.262113663,6.03295815,2.205034318,0.027457537,0.457442283,-3.4823837,NA
ACACB,0.215992012,8.269987459,2.30057611,0.021420886,0.457442283,-3.375979763,Metabolism or Transport (lipid)
ACAD10,0.225244626,7.172742829,2.296502064,0.021652499,0.457442283,-3.365695813,Metabolism or Transport (lipid)
ACKR2,0.201392108,7.339102059,2.100378966,0.035701963,0.457442283,-3.763614134,Immune/Inflammation/Stress/Toxin
ACLY,0.248677447,6.997382517,2.463961044,0.013745413,0.457442283,-2.999146322,Metabolism or Transport (lipid)
ACTR1A,0.262428086,6.905111748,2.554683154,0.010632237,0.457442283,-2.791845438,NA
ADAMTSL5,0.40267891,5.235116411,2.645292145,0.008165334,0.457442283,-2.619678025,NA
ADD1,0.214717324,7.279099627,2.222118898,0.026281022,0.457442283,-3.523062997,NA
ADSSL1,0.238347777,6.768782143,2.310259824,0.020878999,0.457442283,-3.318188993,Metabolism (other)
AGAP3,0.196717394,7.810070203,2.10265707,0.03550219,0.457442283,-3.771975907,NA
AGPAT1,0.302446677,5.527394306,2.202308014,0.027649425,0.457442283,-3.46261156,NA
AGPAT3,0.278455846,8.034311835,2.961895485,0.00305937,0.457442283,-1.801775308,NA
AIFM3,0.351527624,6.20867044,2.950350261,0.003176037,0.457442283,-1.839655862,Development (differentiation)
AIPL1,0.244006543,6.385968917,2.187130186,0.028738977,0.457442283,-3.534870217,NA
AKAP8,0.28099228,6.09358892,2.361232681,0.018219218,0.457442283,-3.177173112,NA
AKT2,0.220928686,7.288419237,2.284186519,0.022365953,0.457442283,-3.396860123,Metabolism (other)
ALDH16A1,0.350544884,5.520042237,2.423038896,0.015395829,0.457442283,-3.051542624,NA
AMOTL2,0.219265379,6.704424101,2.116395443,0.034317546,0.457442283,-3.696951793,NA
ANAPC13,0.416861857,5.265373364,2.6974459,0.006990386,0.457442283,-2.51766058,Development (differentiation)
ANKRD13D,0.306482467,5.88180797,2.434803071,0.014904377,0.457442283,-3.021633974,NA
ANKRD16,0.299611009,6.219674254,2.515854704,0.01187842,0.457442283,-2.854722436,NA
ANKRD27,0.241888721,7.808116904,2.569757005,0.01018069,0.457442283,-2.782181929,NA
