gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A4GALT,0.155085152,6.848955688,1.109082558,0.277359492,0.774674712,-4.591818049,Metabolism (other)
AAAS,0.224715485,6.679875178,1.528076582,0.138344036,0.774674712,-4.437180004,Metabolism (other)
AADACL2,0.404050327,4.962388233,1.606217781,0.120079141,0.774674712,-4.484020783,NA
AAK1,0.196196588,8.395886563,1.933172478,0.063966718,0.774674712,-4.09327564,Metabolism (other)
AAMP,0.346780924,6.227009596,1.911053777,0.06687238,0.774674712,-4.334251648,Development (differentiation)
AASDH,0.234640244,6.534099755,1.554871301,0.131840825,0.774674712,-4.434385339,NA
AASS,0.241241769,7.34517176,1.88506738,0.070432286,0.774674712,-4.200138264,NA
AATF,0.19490102,7.425351986,1.621889497,0.116667141,0.774674712,-4.344108103,NA
ABCA10,0.229698358,6.672149238,1.349497775,0.18859518,0.774674712,-4.508887757,Metabolism or Transport (lipid)
ABCA4,0.116939808,8.706839239,1.199068224,0.24111477,0.774674712,-4.576983272,Metabolism or Transport (lipid)
ABCA5,0.135650927,7.104909001,1.058000179,0.299605619,0.774674712,-4.616878844,Metabolism or Transport (lipid)
ABCA6,0.195931989,6.154991094,1.200648655,0.240511225,0.774674712,-4.560111446,Metabolism or Transport (lipid)
ABCA9,0.168449665,6.907374647,1.285194016,0.209844888,0.774674712,-4.5261242,Metabolism or Transport (lipid)
ABCB1,0.191022195,8.131063523,1.624996415,0.116000362,0.774674712,-4.318085022,Metabolism or Transport (lipid)
ABCB9,0.156094401,7.668534677,1.37844001,0.179595588,0.774674712,-4.475776684,Metabolism (other)
ABCC10,0.175641496,6.737035635,1.208389357,0.237571411,0.774674712,-4.556238092,Transport
ABCC5,0.12254078,7.56376581,1.040773969,0.307384234,0.774674712,-4.633096557,Transport
ABCD3,0.132414871,7.558820665,1.097802768,0.282166656,0.774674712,-4.609849351,Metabolism or Transport (lipid)
ABCE1,0.188823306,5.898345325,1.065561341,0.296235523,0.774674712,-4.595429833,Metabolism (other)
ABCF2,0.155311241,6.591716765,1.056547078,0.300256368,0.774674712,-4.607032651,NA
ABCG2,0.163719918,7.566306069,1.424329192,0.166022487,0.774674712,-4.453098297,Metabolism or Transport (lipid)
ABHD16A,0.144613816,6.143725075,0.926330996,0.362634737,0.774674712,-4.634056859,Metabolism or Transport (lipid)
ABHD17C,-0.159194956,6.963408739,-1.179509411,0.248677509,0.774674712,-4.567191676,Metabolism or Transport (lipid)
ABHD3,0.203400002,6.981584045,1.447403113,0.159512606,0.774674712,-4.458824902,Metabolism or Transport (lipid)
ABI3BP,0.209362337,8.665793791,2.059191155,0.049428326,0.774674712,-3.975678709,Motility
ABL2,0.111363153,7.843030121,0.994876131,0.328795415,0.774674712,-4.657377432,Motility
ABLIM3,0.26101604,8.638796665,2.582872419,0.015655979,0.774674712,-3.491669732,Motility
ABTB1,0.199203169,6.142273771,1.036876248,0.309163726,0.774674712,-4.601912428,NA
AC003002.4,0.21501426,6.432707201,1.187946263,0.245394002,0.774674712,-4.563436029,NA
AC003006.7,0.187344935,6.510744922,1.215679842,0.234827202,0.774674712,-4.554596466,NA
AC004076.7,0.144656791,6.502729208,0.959928798,0.345769057,0.774674712,-4.633333147,NA
AC004076.9,-0.205324304,5.622732783,-1.098963729,0.281669142,0.774674712,-4.589394016,NA
AC005281.1,-0.190008765,5.951259023,-0.978976452,0.336445767,0.774674712,-4.62394738,NA
AC005943.2,0.149530395,7.37034363,1.15946859,0.256607109,0.774674712,-4.582008184,NA
AC006538.4,0.144613816,6.143725075,0.926330996,0.362634737,0.774674712,-4.634056859,NA
AC009065.1,0.227794252,5.514774051,1.159841495,0.256457884,0.774674712,-4.573124941,NA
AC010184.1,0.231577258,5.659475739,1.148617937,0.26097714,0.774674712,-4.575266292,NA
AC010642.1,0.19685224,6.785286738,1.342804482,0.19072574,0.774674712,-4.506708071,NA
AC010646.3,0.216142532,6.529855807,1.343568269,0.190481674,0.774674712,-4.511947355,NA
AC013264.1,0.115932731,9.110175044,1.094564072,0.283557885,0.774674712,-4.642067024,NA
AC013461.1,0.181214419,8.35496255,1.72234528,0.096661561,0.774674712,-4.246086368,NA
AC025263.3,0.211596789,6.359634389,1.316085012,0.199417887,0.774674712,-4.524608945,NA
AC025335.1,0.254070598,5.73568837,1.26298488,0.217595745,0.774674712,-4.548024115,NA
AC026348.1,0.108358985,7.318427648,0.903719072,0.374287455,0.774674712,-4.678164947,NA
AC037459.4,0.223899813,7.100336137,1.607435461,0.119811103,0.774674712,-4.375884069,NA
AC090094.1,0.200207743,8.074103763,1.898377011,0.06858895,0.774674712,-4.137828119,NA
AC092835.2,0.205902099,6.214173587,1.253126183,0.221105361,0.774674712,-4.544301328,NA
AC127070.1,0.170693952,5.747465581,0.981161681,0.33538719,0.774674712,-4.615490653,NA
AC131097.4,0.323431893,6.072840769,1.766100871,0.088899761,0.774674712,-4.397064872,NA
AC231657.1,0.212643898,5.373441233,1.132733731,0.267472155,0.774674712,-4.579000365,NA
ACAA1,0.127935435,7.214105268,1.058514404,0.299375569,0.774674712,-4.619973748,NA
ACADL,0.276984301,6.856863136,1.891142185,0.069585682,0.774674712,-4.265449897,Metabolism or Transport (lipid)
ACADS,0.342363495,6.12637051,1.877234369,0.071537091,0.774674712,-4.355953293,Metabolism or Transport (lipid)
ACAP2,0.170449673,7.671564102,1.320650896,0.197911235,0.774674712,-4.506133211,Metabolism or Transport (lipid)
ACBD5,0.131133724,7.218125646,1.076870061,0.29124531,0.774674712,-4.612699108,Metabolism or Transport (lipid)
ACBD6,0.163712197,8.160323846,1.56954022,0.128388012,0.774674712,-4.356620897,Metabolism or Transport (lipid)
ACO2,0.114963129,7.605688938,0.989038945,0.3315901,0.774674712,-4.654140237,Metabolism or Transport (lipid)
ACOT13,0.216598457,6.204256751,1.208200826,0.237642692,0.774674712,-4.558267432,Metabolism or Transport (lipid)
ACOT7,0.136370398,8.147874716,1.167538075,0.253392176,0.774674712,-4.585661606,Metabolism or Transport (lipid)
ACOT8,0.179906008,6.421122416,1.077968252,0.290763912,0.774674712,-4.597583631,Metabolism or Transport (lipid)
ACOX1,0.156960197,6.756947708,1.135510174,0.266328473,0.774674712,-4.582994521,Metabolism or Transport (lipid)
ACOX3,0.224831989,8.164434854,1.827466036,0.078913074,0.774674712,-4.169053759,Metabolism or Transport (lipid)
ACOXL,0.23433642,8.935833407,2.060150058,0.04932995,0.774674712,-3.945518339,Metabolism or Transport (lipid)
ACP6,0.22545471,6.490291257,1.250919458,0.221896783,0.774674712,-4.544551092,Metabolism (other)
ACPP,0.21411459,7.097769299,1.659539514,0.108798222,0.774674712,-4.348727889,NA
ACRBP,0.397167411,5.496268832,1.508173588,0.143341853,0.774674712,-4.502060615,Metabolism or Transport (lipid)
ACSF3,0.172208856,7.092821489,1.328469428,0.195351742,0.774674712,-4.506072675,Metabolism or Transport (lipid)
ACSL4,0.179622678,6.930961245,1.22275832,0.232185569,0.774674712,-4.550863747,Metabolism or Transport (lipid)
ACSM6,0.209989456,5.395315322,1.057686865,0.299745848,0.774674712,-4.594618352,Metabolism or Transport (lipid)
ACTA2,0.106876893,7.282992498,0.883211605,0.385065121,0.774674712,-4.684545449,NA
ACTB,0.17689205,8.295103215,1.67783524,0.105137545,0.774674712,-4.281000152,Motility
ACTR1A,0.152787069,8.073138797,1.349272804,0.188666489,0.774674712,-4.490419268,NA
ACTR1B,0.187407524,6.635769853,1.23882373,0.226272947,0.774674712,-4.545966351,NA
ACTR3,0.177372468,7.314709288,1.335747142,0.192992422,0.774674712,-4.500582715,NA
ACVR2B,0.264528285,6.883827238,1.824341077,0.079397305,0.774674712,-4.290290823,NA
ADAM10,0.112284361,7.705169554,1.011540118,0.320906207,0.774674712,-4.648796453,Metabolism (other)
ADAM12,0.204685988,9.016726581,1.644736441,0.111837546,0.774674712,-4.284598074,Metabolism (other)
ADAM17,0.221994409,7.181964853,1.235027721,0.227659661,0.774674712,-4.546049042,NA
ADAM19,0.095800965,8.215149739,0.901599281,0.375392285,0.774674712,-4.704714399,NA
