gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
AACS,0.203854018,7.541452805,1.334552911,0.186400708,0.907785337,-4.50925235,Metabolism (other)
AAMDC,0.205968966,7.222655508,1.156897852,0.25129514,0.907785337,-4.572066355,Development (differentiation)
AARS,0.212302554,6.600711177,1.058525332,0.293499815,0.907785337,-4.59462919,NA
AASDH,0.132447243,6.256073374,0.664541754,0.50855378,0.907785337,-4.66088855,NA
ABAT,0.165039115,6.924692278,0.835169474,0.406498696,0.907785337,-4.64089296,Metabolism (other)
ABCA10,0.248836188,6.7440149,1.178467599,0.242649784,0.907785337,-4.568216322,Metabolism or Transport (lipid)
ABCA12,-0.105895411,7.590506791,-0.658557834,0.512366639,0.907785337,-4.707206734,Metabolism or Transport (lipid)
ABCA3,0.125734313,7.208215197,0.772971422,0.442173592,0.907785337,-4.668815723,Metabolism or Transport (lipid)
ABCA4,0.137960262,7.316991268,0.86038034,0.392552804,0.907785337,-4.654842269,Metabolism or Transport (lipid)
ABCA6,0.15647933,6.654405436,0.860644546,0.392408239,0.907785337,-4.638242068,Metabolism or Transport (lipid)
ABCB1,0.105083204,7.742495375,0.724670742,0.471099101,0.907785337,-4.701713555,Metabolism or Transport (lipid)
ABCB11,0.234097373,7.26015849,1.329882807,0.187927088,0.907785337,-4.519336417,Metabolism or Transport (lipid)
ABCB6,0.184584616,6.068801483,0.882742412,0.380434055,0.907785337,-4.624086879,Metabolism (other)
ABCB8,0.135890928,6.634549026,0.714270401,0.477464301,0.907785337,-4.660637827,Metabolism (other)
ABCB9,0.21382046,7.966175503,1.523125055,0.132287936,0.907785337,-4.41464457,Metabolism (other)
ABCC12,0.385463788,6.679057654,1.827872617,0.071882849,0.907785337,-4.393656879,Transport
ABCC3,0.218961838,7.239682366,1.304459036,0.196402271,0.907785337,-4.526485637,Transport
ABCC6,0.19790284,7.164840766,1.139365231,0.258482469,0.907785337,-4.577025825,Transport
ABCC8,0.156600984,7.320761249,0.931031941,0.355076277,0.907785337,-4.634578711,Transport
ABCC9,0.182576381,7.107050396,1.010596932,0.315732693,0.907785337,-4.609462164,Transport
ABCD1,0.121251037,6.785938028,0.683218508,0.496751681,0.907785337,-4.674230558,Metabolism or Transport (lipid)
ABCD3,0.216458145,7.420359743,1.345513069,0.182855272,0.907785337,-4.509397101,Metabolism or Transport (lipid)
ABCF1,0.255274909,6.263588023,1.20458603,0.232469973,0.907785337,-4.564010071,Metabolism (other)
ABCF2,0.262996499,6.871199569,1.38477225,0.170574112,0.907785337,-4.512026644,NA
ABCF3,0.235778597,6.558788049,1.160006357,0.250035851,0.907785337,-4.572935863,Metabolism (other)
ABCG2,-0.177152674,7.555774972,-1.140884934,0.257853776,0.907785337,-4.577854654,Metabolism or Transport (lipid)
ABCG8,0.183590794,6.068801483,0.859116302,0.393244897,0.907785337,-4.627817218,Metabolism or Transport (lipid)
ABHD12,0.185243269,8.447607,1.361599392,0.177744426,0.907785337,-4.483988265,Metabolism or Transport (lipid)
ABHD14A,0.168211132,6.680292678,0.922641433,0.359402322,0.907785337,-4.626504254,NA
ABHD14A-ACY1,0.11977011,7.383335579,0.763463582,0.44778405,0.907785337,-4.679307744,NA
ABHD14B,0.152089147,7.363696164,0.960165697,0.340317303,0.907785337,-4.630210409,Metabolism or Transport (lipid)
ABHD17A,0.227531607,6.042057371,1.04984334,0.297445562,0.907785337,-4.594968032,Metabolism or Transport (lipid)
ABHD17B,0.174917967,7.01356678,0.904306808,0.368972626,0.907785337,-4.632266497,Metabolism or Transport (lipid)
ABHD8,0.310698024,7.696933772,1.945077463,0.055832947,0.907785337,-4.232570731,Metabolism or Transport (lipid)
ABL1,0.08879461,8.388461512,0.686168513,0.494901266,0.907785337,-4.736926603,Development (differentiation)
ABL2,0.098410216,7.967838166,0.7153016,0.476831048,0.907785337,-4.7132048,Motility
ABTB2,0.176837281,8.109338311,1.320327778,0.191079399,0.907785337,-4.50743688,NA
AC002398.9,0.12800377,7.454162557,0.820893444,0.414528096,0.907785337,-4.670712187,NA
AC003006.7,-0.183318975,5.977553517,-0.841258117,0.403103251,0.907785337,-4.633266621,NA
AC004076.7,0.13597307,6.600711177,0.74856252,0.456659624,0.907785337,-4.660119575,NA
AC005779.2,0.128471329,7.093555544,0.755838719,0.452313107,0.907785337,-4.670495516,NA
AC009950.1,0.209942929,6.667467498,1.090816573,0.279140113,0.907785337,-4.588205049,NA
AC010547.9,0.229005537,6.779702368,1.177660752,0.242969281,0.907785337,-4.567753377,NA
AC010642.1,-0.166221696,6.83243402,-0.828265518,0.410369847,0.907785337,-4.646700719,NA
AC013461.1,0.197249728,8.271367697,1.49761182,0.138785327,0.907785337,-4.419236652,NA
AC025335.1,0.16661081,6.234199286,0.826089613,0.411594533,0.907785337,-4.636153991,NA
AC026348.1,0.132065896,7.21729885,0.81137389,0.419935146,0.907785337,-4.662928064,NA
AC069368.3,0.301417744,9.206375542,2.571647171,0.012274518,0.907785337,-3.541921678,NA
AC104532.2,0.1061651,7.327204314,0.67150389,0.50413682,0.907785337,-4.693544437,NA
AC104534.3,0.214380802,6.072390343,0.922256047,0.359601832,0.907785337,-4.614475066,NA
AC127070.1,0.242849815,6.102485717,1.109501027,0.27105784,0.907785337,-4.583860809,NA
ACAD10,0.355062749,6.807477346,1.81034671,0.074586817,0.907785337,-4.384041206,Metabolism or Transport (lipid)
ACAD11,0.185629129,7.05642642,1.08443453,0.281938766,0.907785337,-4.591736376,Metabolism or Transport (lipid)
ACAN,0.360028116,6.384801863,1.501928582,0.137668665,0.907785337,-4.503217626,Metabolism or Transport (lipid)
ACBD6,0.19889288,8.528246647,1.560573082,0.123189947,0.907785337,-4.375146508,Metabolism or Transport (lipid)
ACHE,0.205365843,5.856481029,0.913928025,0.363930511,0.907785337,-4.616703625,Metabolism (other)
ACKR2,0.152018097,7.517685406,0.999169849,0.321196177,0.907785337,-4.622279838,Immune/Inflammation/Stress/Toxin
ACO2,0.170928282,7.362509965,1.056753654,0.29430207,0.907785337,-4.602240699,Metabolism or Transport (lipid)
ACOX3,0.155515251,7.584747254,1.051226498,0.296814537,0.907785337,-4.608263116,Metabolism or Transport (lipid)
ACSF3,0.214946952,7.732471123,1.436989797,0.155230491,0.907785337,-4.462847954,Metabolism or Transport (lipid)
ACSL1,0.183858069,8.780472268,1.507625782,0.13620576,0.907785337,-4.404430395,Metabolism or Transport (lipid)
ACSM1,0.18341717,6.975521949,0.975282107,0.332819985,0.907785337,-4.615218547,Metabolism or Transport (lipid)
ACTB,0.103145918,8.651223965,0.793307259,0.430312603,0.907785337,-4.712021163,Motility
ACTL10,0.269149176,6.621187301,1.314640711,0.192974409,0.907785337,-4.537157419,NA
ACTL6A,0.167466924,6.810771222,0.906128347,0.368014634,0.907785337,-4.628736663,NA
ACTN1,0.227165215,8.213536349,1.753331749,0.083976732,0.907785337,-4.274875045,NA
ACTN2,0.159518751,6.999786705,0.948104741,0.34637791,0.907785337,-4.627071528,NA
ACTN3,0.159958636,6.173770939,0.790381044,0.432007622,0.907785337,-4.641232503,NA
ACTR3,0.208703856,7.550338774,1.372054376,0.174481466,0.907785337,-4.494410865,NA
ACTR5,0.167645442,6.234199286,0.804562994,0.423829558,0.907785337,-4.636798012,NA
ACY1,0.154231831,6.43932932,0.761869889,0.448728498,0.907785337,-4.646831766,NA
ADAD1,0.205232989,6.134789596,0.992196928,0.324560871,0.907785337,-4.605826854,NA
ADAM10,0.160741159,8.079808337,1.200769085,0.233938025,0.907785337,-4.558914128,Metabolism (other)
ADAM11,0.19831099,5.991912958,0.871806477,0.386330989,0.907785337,-4.622662347,Metabolism (other)
ADAM15,0.189143685,6.680292678,1.027298991,0.307859956,0.907785337,-4.603290265,Matrisome/cell adhesion/binding/signaling
ADAM17,0.151270184,7.903435128,1.082289107,0.28288393,0.907785337,-4.602067675,NA
ADAM18,0.172157704,7.472375614,1.133166583,0.261058057,0.907785337,-4.580857487,NA
ADAM22,0.173063639,8.162389254,1.284866824,0.203126259,0.907785337,-4.522788571,NA
ADAM29,0.242132485,7.526273789,1.569164057,0.121174815,0.907785337,-4.414843805,NA
ADAM7,0.236205959,6.724723257,1.163582809,0.248592572,0.907785337,-4.571778183,NA
ADAM9,0.225661515,8.430181544,1.795547294,0.076935769,0.907785337,-4.2391765,Matrisome/cell adhesion/binding/signaling
ADAMTS12,0.19869503,8.932428432,1.646528652,0.104192846,0.907785337,-4.31508519,NA
ADAMTS13,0.205717419,6.890739181,1.086581668,0.280995041,0.907785337,-4.589494046,NA
ADAMTS14,0.251804334,7.279850382,1.503481939,0.137268578,0.907785337,-4.456296476,NA
ADAMTS15,0.21279729,6.778117854,1.123654351,0.265045641,0.907785337,-4.58071641,NA
ADAMTS18,0.119778729,7.884867949,0.866584801,0.389166654,0.907785337,-4.674575032,NA
ADAMTS2,0.172069616,8.650874475,1.345775924,0.182770874,0.907785337,-4.49229949,NA
ADAMTSL3,0.100532843,8.191013453,0.700812149,0.485771892,0.907785337,-4.717181173,NA
ADAR,0.12001733,7.090649778,0.704889495,0.483246596,0.907785337,-4.679963354,NA
ADAT1,0.374798682,6.054653333,1.538377156,0.128520197,0.907785337,-4.501607334,NA
ADCK2,0.207278463,6.582205958,1.055406619,0.294913043,0.907785337,-4.595289411,NA
ADCY2,0.158594015,9.21513984,1.351593867,0.180910385,0.907785337,-4.486592382,NA
ADCY8,0.122555277,8.476975222,0.947063466,0.346904423,0.907785337,-4.658436314,NA
ADCY9,0.177723575,8.189186395,1.345501555,0.18285897,0.907785337,-4.494536799,NA
ADD1,0.10762454,7.221526637,0.673520808,0.502861108,0.907785337,-4.693989176,NA
ADGB,0.199752845,8.102732145,1.494160159,0.139683322,0.907785337,-4.421705266,NA
ADGRE3,0.112406422,7.33879447,0.715662075,0.476609794,0.907785337,-4.689487907,Matrisome/cell adhesion/binding/signaling
ADGRF3,0.181310193,6.655290255,0.964754158,0.338029952,0.907785337,-4.616483762,Matrisome/cell adhesion/binding/signaling
ADGRG2,0.238381711,7.011811669,1.299519048,0.198081748,0.907785337,-4.533017923,Matrisome/cell adhesion/binding/signaling
ADGRG4,0.311222003,6.759226243,1.584580636,0.117624786,0.907785337,-4.458532953,Matrisome/cell adhesion/binding/signaling
ADGRG5,0.196850928,6.804137721,1.041087161,0.301461566,0.907785337,-4.600149351,Matrisome/cell adhesion/binding/signaling
ADGRG6,0.257833518,7.907747577,1.804150403,0.075562904,0.907785337,-4.273921614,Matrisome/cell adhesion/binding/signaling
ADGRL1,0.170823218,6.792266003,0.910095696,0.365933591,0.907785337,-4.627376839,Matrisome/cell adhesion/binding/signaling
ADH5,-0.156077005,5.54406951,-0.711596691,0.479108397,0.907785337,-4.643799128,Metabolism (other)
ADIPOR2,0.185039936,7.280820787,1.144703641,0.256278784,0.907785337,-4.57580395,NA
ADNP2,0.234744153,6.318045541,1.098215454,0.275919792,0.907785337,-4.585928047,NA
ADORA2B,0.183559208,5.727752541,0.760663769,0.449444032,0.907785337,-4.632222625,NA
ADPGK,0.125868288,6.857865991,0.695223055,0.48924531,0.907785337,-4.673439377,NA
ADRA1B,0.153427873,6.459378359,0.772662697,0.442355119,0.907785337,-4.646522818,NA
ADSS,0.211692679,6.81828587,1.077352921,0.285066885,0.907785337,-4.591139435,NA
