"","X.1","X","show","Aggregated","pathway","gs_number.x","gs_description.x","gs_number.y","gs_description.y","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1","1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.197802197802198","1","0.0919686140000427","-0.436811938342647","-1.12799175532991","48","c(""SPTA1"", ""BOC"", ""GTPBP4"", ""LGALS9"", ""SPINT2"", ""CDK5R1"", ""ITGAL"", ""XBP1"", ""ICAM2"", ""SRPX2"", ""SLC7A1"", ""DPP4"", ""CD93"", ""PLA2G2F"", ""SLAMF1"", ""CD200R1"", ""KLF4"", ""SART1"", ""PTPN22"", ""IGFBP2"", ""NECTIN1"", ""GCNT1"")"
"2","2","2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.276830491474423","1","0.0739901439101341","-0.455607449810332","-1.11353055073075","26","c(""SPTA1"", ""LGALS9"", ""ITGAL"", ""XBP1"", ""SLC7A1"", ""DPP4"", ""PLA2G2F"", ""SLAMF1"", ""KLF4"", ""SART1"", ""PTPN22"", ""IGFBP2"", ""GCNT1"")"
"3","3","3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.61283851554664","1","0.0364548541965309","-0.387163218194283","-0.946248951280414","26","c(""SPTA1"", ""LGALS9"", ""XBP1"", ""SLC7A1"", ""DPP4"", ""SLAMF1"", ""SART1"", ""PTPN22"", ""EFEMP2"", ""IGFBP2"")"
"4","4","4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.466867469879518","1","0.0489954089862481","-0.427450751260171","-1.01780646861592","19","c(""SPTA1"", ""LGALS9"", ""XBP1"", ""SLC7A1"", ""DPP4"", ""SLAMF1"", ""SART1"", ""PTPN22"", ""IGFBP2"")"
"5","5","5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.466867469879518","1","0.0489954089862481","-0.427450751260171","-1.01780646861592","19","c(""SPTA1"", ""LGALS9"", ""XBP1"", ""SLC7A1"", ""DPP4"", ""SLAMF1"", ""SART1"", ""PTPN22"", ""IGFBP2"")"
"6","6","6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.566433566433566","1","0.0399218624292714","-0.379152959562449","-0.974896302226444","44","c(""SPTA1"", ""GTPBP4"", ""AP1AR"", ""LGALS9"", ""SPINT2"", ""SLK"", ""XBP1"", ""KIF14"", ""SLC7A1"", ""DPP4"", ""PLA2G2F"", ""SLAMF1"", ""KLF4"", ""SART1"", ""PTPN22"", ""EFEMP2"", ""IGFBP2"")"
"7","7","7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.299299299299299","1","0.0699458736501659","-0.444895474606441","-1.09439324836796","27","c(""SPTA1"", ""GTPBP4"", ""LGALS9"", ""SPINT2"", ""XBP1"", ""SLC7A1"", ""DPP4"", ""PLA2G2F"", ""SLAMF1"", ""KLF4"", ""SART1"", ""PTPN22"", ""IGFBP2"")"
"8","8","8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.31968031968032","1","0.0665892104103933","-0.415805134111739","-1.07245889843341","47","c(""RPL8"", ""RPS4X"", ""VANGL2"", ""RPS8"", ""MARVELD3"", ""WNK4"", ""STEAP1"", ""TGFBR1"", ""PARVG"")"
"9","9","9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.254016064257028","1","0.0785029047348687","-0.464121131862515","-1.12695475359252","24","c(""RPL8"", ""RPS4X"", ""RPS8"", ""PARVG"", ""DPP4"", ""RHOB"", ""FLNB"", ""HSPA1B"", ""IL1RL1"", ""INPP5E"")"
"10","10","10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.581418581418581","1","0.0387166740042594","-0.378756240236736","-0.966400424290456","38","c(""DNAI2"", ""KCNH2"", ""ITGAL"", ""THBD"", ""TGFBR1"", ""CD8B"", ""CD200R1L"", ""GPR37"", ""SRPX2"", ""DPP4"", ""CD93"", ""SLAMF1"", ""CD200R1"", ""TMPRSS11F"", ""IL1RL1"", ""TF"", ""TNFRSF1A"", ""CCR9"", ""CD40"", ""RAMP3"", ""IL12RB2"", ""GSR"", ""IGSF21"", ""CSF2RA"", ""AZGP1"", ""IL12RB1"", ""OSMR"", ""SELP"", ""BACE1"")"
