"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X50405592_ChP_8_1._8_2","X50405592_ChP_8_3.11_1","X50405592_ChP11_2","X50405592_ChP11_3","X50405592_ChP11_4","X41357606_ChP1_1.1_2","X41357606_ChP1_3.1_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X40034076_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2.4_3.4_4","X99592710_New_Ch33","X99592710_New_Ch34","X99592710_New_Ch35","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","GO.Focus.function","Percent_in_cells"
"5404","ROBO2",-0.535917918259816,-0.514027553829559,8.58876794715452,-8.66900045249942,1.31724874596042e-09,9.82008940113494e-06,11.7325516578574,9.71059756920773,10.4888960581005,10.2270023702313,10.2515183472897,8.16042962942842,8.15135212035241,7.94011041839378,8.18234244646221,7.8748302653986,9.55494715455584,9.58193598946334,8.1959870973529,8.8308684198818,7.82578560216822,7.284207910944,7.38446394190162,7.34490563452375,7.89311881371498,8.2272113360225,8.66484781769682,"Development (differentiation)",0.324254215304799
"7112","XIST",0.640196591599648,0.355794340646614,9.6085753007103,7.48273150416346,2.71063539365938e-08,0.000101038934298653,8.95013805117091,8.60295684601976,6.60074202507353,5.89953609180253,5.43844977403772,10.0947263823776,10.4218264988996,10.3802563662632,10.242983797802,10.2362095110047,10.0662526135517,9.76834911369422,10.4098313410011,8.96931518985094,10.6830849554022,11.2565009817742,11.1130821933543,11.1971665058813,11.1343702623027,10.2093633346896,9.44650222942307,NA,0.685473411154345
"1111","CACNA2D3",-0.491977785725714,-0.379745945255777,7.78826976164409,-5.610600628446,4.40254003941487e-06,0.010940311997946,4.21527440890703,8.71999626720998,9.46032690590369,9.80642668741105,9.34534036964624,7.01499918990686,6.18260305433685,6.82192899204547,6.68226884332756,6.8890441246183,9.94197027766508,9.35122829991489,7.44448541002881,7.90175190603831,7.19054989496584,7.71484226527387,7.30851508866832,6.36836460734774,5.96711939515875,7.58187621732186,8.07175743609226,"Transport",0.256809338521401
"3868","MIR4300HG",-0.527068256721952,-0.454421172044317,8.75002081715488,-5.49837091880666,6.02327483906115e-06,0.0112258784813002,3.94969353266531,10.104261417694,10.5861249290013,10.0632825183157,10.0300760050399,8.27438581872551,8.40204819162296,8.1508775146106,8.06078046658129,8.11143654595475,10.2787972489318,10.0714181813303,8.90225589429619,9.14655557479501,7.74448550006637,7.15296337766575,6.85394922520284,7.43653610998932,7.48649355425233,8.83563280956765,9.30805545945393,NA,0.425421530479896
"1849","DGKI",0.799060379682844,0.722809714742748,6.81176560789401,5.28795193654717,1.08523390301424e-05,0.0115577410671016,3.20414707846989,5.26056464857268,6.50452670981423,5.89953609180253,6.91238096237013,5.87749566615692,6.26277340302084,6.50877110678584,6.19684201615732,5.97150628481027,5.4674843133055,5.82349066788668,6.18509878121016,7.13819210186039,7.25067088740341,7.71484226527387,8.84052870944052,8.84879652459759,9.00274330488948,7.25067030884649,7.31839740367539,NA,0.278210116731518
"2152","EMP1",0.552818965517391,0.61177169479364,7.07826072207845,5.32013860496238,9.91704542567917e-06,0.0115577410671016,3.32332414273244,6.15364944465617,5.55343631029517,6.10598696926996,5.9689644907365,7.3968698252505,7.46271097352959,7.19229744199058,7.70273294588728,6.99797849617146,5.67393519077292,6.30891749505693,7.44448541002881,7.43984780172149,6.68035516264666,7.80504007424544,7.82698217760257,9.00662533422895,7.67493864366544,7.85106285013725,7.31839740367539,"Matrisome/cell adhesion/binding/signaling",0.223086900129702
"3517","LMNTD1",-0.463456481044121,-0.525210976965076,7.6330661630751,-5.39841273290843,7.96590501349493e-06,0.0115577410671016,3.66090867914699,8.71999626720998,8.65777297010991,8.94056336006259,8.98277029026153,6.92480138093528,7.6826766574715,7.57290144420555,7.2809062809458,7.14735612020969,8.80046759670186,8.48645568060911,7.96088362426689,7.26651619883593,6.27981723306293,6.84810879613733,6.49137914581813,7.14208875152407,7.01442510993711,6.5444015119032,7.91703484129362,NA,0.271725032425422
"5356","RMST",0.420138277025857,0.571863094599527,7.9473649690026,5.02496049944814,2.26727829936657e-05,0.0211281996522222,2.70210859446956,6.84552714929384,7.83637027356667,7.2434904930199,7.47797813822436,7.85324811991024,7.79478702379303,7.61412410693207,8.49550033172184,7.93086430031293,6.41090078493913,6.56045626205289,9.07734260085428,8.3412839672379,8.87436578261328,8.43307129685849,8.57479515400577,8.57403963373926,7.99096613711312,8.60025474663672,8.4179330772263,NA,0.373540856031128
"3428","LINC00609",-0.49514379535912,-0.493376748420047,9.07324601671747,-4.92111334301082,3.03273401792096e-05,0.0251211467817786,2.42750114892327,10.3898476655176,10.3154306989529,10.2918535145813,9.93386068978058,9.1101564229472,8.77441922609907,8.64428607744232,9.16031614013221,8.79404761068255,10.1721860583007,10.06125831511,9.92533950740923,9.04284422527291,8.1437556834869,6.84810879613733,7.71377156715458,8.20858416331097,7.8415885130749,8.48629855733963,9.60696690161632,NA,0.474059662775616
"3398","LIMCH1",0.359490040040795,0.455649051404009,8.39708752272658,4.81568001430741,4.07385423890309e-05,0.0303705833510226,2.169686879216,7.73861194537732,7.4794357288514,7.05707736878901,7.62607677721349,8.57051791273553,8.8798685246828,9.15786394492671,9.23246592588804,8.92397791472769,7.32163344684204,7.12605343790712,8.73316169911979,8.58229206674169,8.1116944742546,8.18691070958909,8.99387948634732,9.32705763319083,9.51143991138257,8.56326053915451,8.81847100681003,NA,0.473411154345006
"477","AL157886.1",-0.688441584929252,-0.325842155104755,7.91658222048764,-4.6720845761375,6.08593757812702e-05,0.0324076176035264,1.79946677355357,9.67237824697724,11.0998163486973,10.3640033003371,10.0694246725157,5.4300366891857,6.18260305433685,6.41857329781426,5.45987642199112,6.6428835373489,10.5185886542535,11.0277357425129,7.82720518903492,6.2354893032153,8.50632576287161,8.31523480656463,6.34698923648296,5.66209581040445,4.86758372160784,8.12936401262436,9.55543660097624,NA,0.221141374837873
"2456","FKBP5",-0.321056860659653,-0.615752749933966,8.24699722747008,-4.69728300878893,5.6723455371426e-05,0.0324076176035264,1.86059170176691,9.29869977745945,8.88495045401173,8.70689101386014,8.86843761478253,8.57051791273553,8.06454729281514,8.23256131220431,7.74281038526261,7.90311930983002,8.96671694000077,8.92782732770142,7.98619471279608,7.73429516018674,7.25067088740341,7.51553345705046,8.12142953606783,7.78920772830779,7.99096613711312,8.36256318891739,8.02200440089516,"Metabolism (other)",0.393644617380026
"3978","MT-CO3",0.345769297065022,0.408629829390105,10.0252964254732,4.72309685908324,5.27763163218394e-05,0.0324076176035264,1.88763208999408,9.9044208383474,9.64089915154551,9.31803744638495,10.1327109172497,9.83479121520268,10.4348629885765,10.022797700696,10.0408258602056,9.89257581558855,8.61253464610878,7.89387999577808,11.8140137374134,10.9335144684231,10.0411025064245,9.79406895642444,10.6498085084226,10.224739931702,10.5400090635793,10.0175731871668,10.7627615742237,NA,0.760051880674449
"5826","SLC26A3",1.46437529420706,0.74850670738953,4.77184954267488,4.74852722450052,4.91551995291971e-05,0.0324076176035264,0.966268280552439,2.45320972651508,3.23150821540781,3.7840588743826,5.07587969465301,5.14053007199071,3.37524813227925,3.04933948814854,4.3603407484402,2.80158128336796,4.08897269005177,1.91660007227817,5.53302208463047,4.51928226921589,4.80588604473052,5.5680008769446,8.438911725924,8.44759129849832,8.74672932673345,5.10382892051722,4.99646930878803,"Transport",0.215304798962387
"3660","MAP1B",0.3756733920654,0.529016225803124,8.75519569027607,4.63934552999249,6.66837051619202e-05,0.0331418014654743,1.70843463677039,7.58249274346004,8.3880127010878,7.2434904930199,7.76037786892508,8.95928975732057,8.90506907880794,9.18547617613457,8.56421308180585,8.99140584224798,8.50851158156555,8.22038082045527,8.65640450013575,8.67771163182038,9.24329135703782,9.29980476599502,9.63044318355568,9.88584351135291,10.1635166079623,8.98297452564283,8.25520357718819,NA,0.577821011673152
