"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2","X78511269_ChP_8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X45500887_New_Ch5","X45500887_New_Ch6","X45500887_New_Ch7","X45500887_New_Ch8","X50405592_ChP_8_1._8_2._8_3.11_1","X50405592_ChP11_2.11_3.11_4","X97449632_ChP2_1.2_2.2_3.2_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X87942151_ChP3_1.3_2.3_3.3_4","X40034076_ChP4_1","X40034076_ChP4_2","X40034076_ChP4_3","X40034076_ChP4_4","X08536593_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2","X83419611_ChP4_3.4_4","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X20368989_New_Ch16","X30591933_ChP3_1.3_2.3_3.3_4","GO.Focus.function","Percent_in_cells"
"24","ABCC5",-0.50316044343841,-0.634172589123751,7.39015748041914,-6.09377974850947,5.30746730800111e-07,0.00164327253878026,6.18565533570138,9.82160080308365,8.13237041343071,7.63785235445038,8.27572294488321,8.4683439372066,7.77713016682536,8.30567243623726,8.01047148121738,8.30263158875557,7.84275234238225,7.3552119025643,6.91653760400748,6.30097380313555,7.48758902672292,5.60173219683153,6.55846662427846,6.38390158526242,6.23139457049709,6.34810823459715,7.08253391260515,7.24402464745277,6.97251161340889,6.87861410900579,7.36762677826113,7.98518105483773,6.85513835895679,"Transport",0.280040053404539
"62","AC007906.2",-0.712163045134227,-0.586396641113234,5.31908740427383,-5.96143783703338,7.96486259017317e-07,0.00164327253878026,5.52761925555803,7.60140259516012,6.66174058818855,6.33119101621633,5.29590082682084,6.63184266948948,7.1714091059374,7.2681977308186,6.87296795746745,6.58178565995264,4.01493331776493,4.95311345899296,4.47175276133459,5.35755733150192,4.98508868619374,4.37933977549508,3.92619840877894,4.55793098503747,4.08455318216782,4.76314573387599,5.15653449404893,4.76597735064813,2.44894965735187,4.82798803593582,5.54165617803618,6.49041636308815,3.15469864081569,NA,0.120160213618158
"751","BOC",-0.625055711549364,-0.558407895694982,5.53289628415714,-5.87851871647003,1.02736638873414e-06,0.00164327253878026,5.36488248514369,6.90479473861005,6.57685169060203,6.72711969254747,6.03286642098704,6.76308720276773,6.34828686802148,6.92716081298353,6.87296795746745,7.11230037665142,4.86293022431988,4.46768663182271,5.20871835550079,5.11654923199812,6.06309119819501,4.37933977549508,5.30471003203267,4.55793098503747,3.59912635499758,2.88867661595985,5.64196132121917,5.12854743003284,5.25630457940948,5.48006473251552,4.40415265428625,6.49041636308815,4.73966114153685,"Development (differentiation)",0.0954606141522029
"2460","HVCN1",-0.591360742301797,-0.570041208644019,6.33184986334256,-6.0839966029997,5.4690496923119e-07,0.00164327253878026,6.11151085030281,7.92945679284432,7.02431066757326,6.94124449790032,6.76983201515325,6.88338143648544,7.93324936874264,7.41258764015377,7.1833080780796,8.01672271666919,5.78046806412791,6.66932049299236,6.58722997875452,6.78640063030579,6.85955780410988,5.11630536966128,5.85219782733517,4.79893908454126,4.44712326155253,5.00415383337979,7.69258739428914,5.41805404722782,4.77087775223924,6.2685606273218,5.54165617803618,6.20090974589317,4.73966114153685,NA,0.176568758344459
"14","ABCA4",-0.550450568634605,-0.503331039980558,6.43103147495756,-5.80141816526671,1.30184287858283e-06,0.00166583814743459,5.31810434189692,7.77473419804568,7.55482538427203,7.21254651971771,7.48352782999661,6.99441274887418,7.04016457265915,7.2681977308186,7.78370061937036,7.97664527729385,6.44789272504103,5.60519015557265,6.97425310186377,6.41200511552429,6.673144679879,5.60173219683153,4.77419531533389,4.79893908454126,5.18408885571874,5.00415383337979,7.22692382194033,4.76597735064813,4.77087775223924,6.87861410900579,6.47454198217764,7.78587224661432,4.73966114153685,"Metabolism or Transport (lipid)",0.225967957276368
"4888","SHISA5",-0.520526877837036,-0.602613958692773,5.88339620970294,-5.64197997004395,2.12457713168365e-06,0.002265507414752,4.80436901805537,7.33221596234473,7.5097374947435,6.60682545882976,7.0801721357654,6.63184266948948,6.89577466332398,6.19019521881733,6.47703928113631,6.4707543475639,4.86293022431988,5.31568353837766,6.72809251459437,4.82704261480314,5.90262652600177,5.96430227621623,3.92619840877894,5.49081678917893,4.97763797825131,5.21060471084721,6.00453140060388,5.12854743003284,5.25630457940948,6.54419506993523,5.9891151550074,6.49041636308815,3.15469864081569,"Transport",0.109145527369826
"6048","VWA3A",-0.632273863998342,-0.487533360063451,5.33773121159978,-5.58012685839268,2.56916125091544e-06,0.00234821338333671,4.51406360409393,6.57037569953949,6.57685169060203,6.4755809255515,6.9839568205061,5.93996496485181,6.73530999113073,6.19019521881733,7.35839478463769,6.35046011384618,4.50036014493517,4.46768663182271,5.20871835550079,5.11654923199812,6.06309119819501,5.96430227621623,3.92619840877894,4.26842436784248,2.86216076083137,3.62564221012606,6.00453140060388,5.41805404722782,2.44894965735187,4.82798803593582,5.2521495608412,6.49041636308815,3.15469864081569,NA,0.100133511348465
"946","CCDC60",-0.67917702238802,-0.46700592983618,5.86755083654907,-5.29234285192693,6.21405053505425e-06,0.00334327905880424,3.82739902706948,8.2366383023625,7.14716741535879,6.94124449790032,7.25525884232349,6.32698808796105,7.1714091059374,7.2681977308186,6.13600236330124,7.03635152341812,5.39344494101866,6.05264913254387,6.15980875501984,3.97904570824819,6.06309119819501,5.96430227621623,3.92619840877894,2.68346186712133,4.08455318216782,5.00415383337979,7.22692382194033,5.12854743003284,2.44894965735187,6.10809595512856,5.78266427753998,7.55454670050787,5.47662673570306,NA,0.152202937249666
"3888","PDZD2",-0.455603868538198,-0.540832611864952,8.87048746560759,-5.37471340754506,4.82696901412304e-06,0.00334327905880424,3.98544108991042,10.4519552066188,9.22594452874291,9.28293584760911,9.80545592488397,9.29480768221191,9.80771848665878,10.0970858144258,9.95021095639991,9.90904719914304,8.61186846015216,8.44953928511245,8.98130785939772,8.34361814054404,9.23301619963732,8.57573698829858,7.87105685458648,7.07577928990009,7.25447818361013,7.90362695742582,9.72942416246951,8.43435585955692,8.85834059348958,8.64998973395783,8.71158117947849,9.79916906922778,6.32462364225801,NA,0.553738317757009
"4730","SAT1",-0.473763505676969,-0.536636614331773,6.39916991045564,-5.30246675204606,6.02417016037871e-06,0.00334327905880424,3.89374494803014,7.97755108104537,7.26037802580678,7.50952825747484,6.37390333882211,7.52492746557296,7.69224126923884,7.10773305862535,7.43856513332167,7.55481861235237,6.44789272504103,5.31568353837766,6.25602407027915,5.56400820896934,6.673144679879,4.37933977549508,5.99658773667034,5.00538996200869,6.48665162573917,5.39117695648903,5.64196132121917,6.48218438464754,6.14938937549297,6.87861410900579,6.33015207284247,6.20090974589317,4.73966114153685,NA,0.155874499332443
