"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.164823008849558","0.587452640505533","0.109250039480711","0.238468908013229","1.12759965243029","380","c(""PSEN1"", ""GPNMB"", ""RGCC"", ""PIK3CB"", ""SDK1"", ""GLDN"", ""ALCAM"", ""SOCS6"", ""VEZT"", ""RAP2B"", ""CADM1"", ""RAB10"", ""IL15"", ""BCL2"", ""ABAT"", ""RC3H1"", ""JAK2"", ""PIEZO1"", ""ANXA2"", ""ITGAX"", ""HLA-DRB1"", ""NCK1"", ""CD99"", ""FER"", ""GLI2"", ""CD58"", ""PAG1"", ""PKD1"", ""EMB"", ""TNFRSF14"", ""TWSG1"", ""DNAJB6"", ""LEF1"", ""SYK"", ""TRAF6"", ""NPHP4"", ""ADAM19"", ""EPB41L5"", ""MBP"", ""CBFB"", ""HLA-DMB"", ""ITGA5"", ""ACVR1"", ""MAD1L1"", ""CD46"", ""HLA-DQB1"", ""LIMS1"", ""STK10"", ""CD86"", ""PTPRR"", ""KIFAP3"", ""ZBTB1"", ""FAT3"", ""ZMIZ1"", ""NCK2"", ""ITGB1"", ""RC3H2"", 
""PLXNB2"", ""PELI1"", ""ITGB2"", ""ROCK1"", ""CDHR3"", ""GOLPH3"", ""TMOD3"", ""ITGAV"", ""CD9"", ""WNK1"", ""PTPN11"", ""CD84"", ""JAM2"", ""VSIR"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.102143757881463","0.522607832808614","0.154190966581424","0.287759271168243","1.22866289503291","148","c(""GPNMB"", ""SOCS6"", ""IL15"", ""RC3H1"", ""JAK2"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""PAG1"", ""TNFRSF14"", ""TWSG1"", ""LEF1"", ""SYK"", ""TRAF6"", ""CBFB"", ""HLA-DMB"", ""ITGA5"", ""MAD1L1"", ""CD46"", ""HLA-DQB1"", ""STK10"", ""CD86"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", ""ITGB1"", ""RC3H2"", ""PELI1"", ""ITGB2"", ""ROCK1"", ""GOLPH3"", ""WNK1"", ""PTPN11"", ""JAM2"", ""VSIR"", ""NFAT5"", ""IL18"", ""MALT1"", ""NCKAP1L"", ""MSN"", ""DUSP3"", ""DUSP10"", ""VAV1"", ""CSK"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.498806682577566","0.774605307356399","0.0538979025357319","0.224165449496914","0.992119035238709","191","c(""MAP4K4"", ""FMN1"", ""APBB1IP"", ""IL15"", ""JAK2"", ""PIEZO1"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""TNFRSF14"", ""NRP1"", ""LEF1"", ""SYK"", ""TRAF6"", ""ADAM19"", ""EPB41L5"", ""CBFB"", ""HLA-DMB"", ""ITGA5"", ""CD46"", ""HLA-DQB1"", ""CYTH3"", ""LIMS1"", ""STK4"", ""CD86"", ""ATM"", ""KIFAP3"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", ""GSK3B"", ""PREX1"", ""TFE3"", ""ITGB2"", ""ROCK1"", ""RSU1"", ""ITGAV"", ""PTPN11"", ""VSIR"", ""PPP3CA"", ""PTPRJ"", ""NFAT5"", ""PLEKHA2"", ""IL18"", ""MALT1"", ""NCKAP1L"", ""JAK1"", ""FLCN"", ""DUSP10"", ""VAV1"", ""CSK"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.440677966101695","0.745005560366237","0.0639271933359996","0.245973035909066","1.0168031116333","113","c(""IL15"", ""JAK2"", ""PIEZO1"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""TNFRSF14"", ""LEF1"", ""SYK"", ""TRAF6"", ""ADAM19"", ""CBFB"", ""HLA-DMB"", ""CD46"", ""HLA-DQB1"", ""CD86"", ""KIFAP3"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", ""ITGB2"", ""PTPN11"", ""VSIR"", ""NFAT5"", ""IL18"", ""MALT1"", ""NCKAP1L"", ""JAK1"", ""DUSP10"", ""VAV1"", ""CSK"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.336473755047106","0.691715485889882","0.0791316651768349","0.265499203182529","1.06963103801019","95","c(""IL15"", ""JAK2"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""TNFRSF14"", ""LEF1"", ""SYK"", ""TRAF6"", ""CBFB"", ""HLA-DMB"", ""CD46"", ""HLA-DQB1"", ""CD86"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", ""ITGB2"", ""PTPN11"", ""VSIR"", ""NFAT5"", ""IL18"", ""MALT1"", ""NCKAP1L"", ""DUSP10"", ""VAV1"", ""CSK"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.281423804226919","0.67039711095049","0.0785029047348687","0.228767204511147","1.07479121362","344","c(""GPNMB"", ""RGCC"", ""PIK3CB"", ""CORO1C"", ""ROCK2"", ""ST6GAL1"", ""MAP4K4"", ""SOCS6"", ""FMN1"", ""APBB1IP"", ""IL15"", ""BCL2"", ""ABAT"", ""RC3H1"", ""JAK2"", ""PIEZO1"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""PAG1"", ""PKD1"", ""PPP1R12A"", ""TNFRSF14"", ""TWSG1"", ""NRP1"", ""LEF1"", ""SYK"", ""TRAF6"", ""GPM6B"", ""PEAK1"", ""ADAM19"", ""RASA1"", ""EPB41L5"", ""MBP"", ""CBFB"", ""PPP2CA"", ""PLXND1"", ""HLA-DMB"", ""ITGA5"", ""PIK3R1"", ""MAD1L1"", ""CD46"", ""HLA-DQB1"", ""CYTH3"", ""LIMS1"", ""STK4"", ""CD86"", ""PLXNA1"", ""ATM"", ""PTPRR"", ""SEMA5A"", ""KIFAP3"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", 
""GSK3B"", ""RC3H2"", ""PLXNB2"", ""PREX1"", ""TFE3"", ""PELI1"", ""ITGB2"", ""ROCK1"", ""RSU1"", ""ITGAV"", ""FAF1"", ""CD9"", ""WNK1"", ""PTPN11"", ""VSIR"", ""PPP3CA"", ""PTPRJ"", ""NF2"", ""NFAT5"", ""PLEKHA2"", ""IL18"", ""CASK"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.213173652694611","0.624226594430187","0.0982123351217438","0.254568946830012","1.12323859262038","188","c(""GPNMB"", ""RGCC"", ""SOCS6"", ""IL15"", ""ABAT"", ""RC3H1"", ""JAK2"", ""PIEZO1"", ""HLA-DRB1"", ""NCK1"", ""GLI2"", ""PAG1"", ""TNFRSF14"", ""TWSG1"", ""LEF1"", ""SYK"", ""TRAF6"", ""ADAM19"", ""EPB41L5"", ""MBP"", ""CBFB"", ""HLA-DMB"", ""MAD1L1"", ""CD46"", ""HLA-DQB1"", ""CD86"", ""PTPRR"", ""KIFAP3"", ""ZBTB1"", ""ZMIZ1"", ""NCK2"", ""RC3H2"", ""PELI1"", ""ITGB2"", ""CD9"", ""WNK1"", ""PTPN11"", ""VSIR"", ""NF2"", ""NFAT5"", ""IL18"", ""GTPBP4"", ""MALT1"", ""NCKAP1L"", ""JAK1"", ""RDX"", ""DUSP3"", ""DUSP10"", ""VAV1"", ""CSK"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.409090909090909","0.734135125574814","0.0585937568945671","0.214635519929424","1.02879930988782","458","c(""P2RX7"", ""ARHGAP24"", ""DCAF6"", ""FRMD4B"", ""TGFBR1"", ""AHNAK"", ""CORO1C"", ""ERBIN"", ""KRIT1"", ""IQGAP1"", ""PAK2"", ""MAP4K4"", ""LCP1"", ""ALCAM"", ""TMEM65"", ""VEZT"", ""FMN1"", ""APBB1IP"", ""RAP2B"", ""CADM1"", ""RAB10"", ""PKN2"", ""JAK2"", ""EPB41L2"", ""HSPA1A"", ""ANXA2"", ""WASF2"", ""NCK1"", ""CD99"", ""TES"", ""YWHAB"", ""NUMB"", ""RAPGEF2"", ""PPP1R12A"", ""PDCD6IP"", ""SORBS3"", ""NRP1"", ""RALA"", ""FLT1"", ""NPHP4"", ""ARHGAP17"", ""VASP"", ""PEAK1"", ""TNS1"", ""RAP1B"", ""EPB41L5"", ""PCBP2"", ""ARHGAP22"", ""DOCK7"", ""USP33"", ""SIRT2"", ""RPS9"", ""CBL"", ""ITGA5"", ""PIK3R1"", 
""PPP1CC"", ""CD46"", ""CYTH3"", ""NHS"", ""LIMS1"", ""ACTR2"", ""PAK1"", ""TRPC6"", ""YWHAH"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.436571428571429","0.745005560366237","0.0580983576873206","0.220355257728435","1.01289442639358","282","c(""ARHGAP24"", ""DCAF6"", ""AHNAK"", ""CORO1C"", ""ERBIN"", ""IQGAP1"", ""MAP4K4"", ""LCP1"", ""ALCAM"", ""APBB1IP"", ""RAB10"", ""JAK2"", ""EPB41L2"", ""HSPA1A"", ""CD99"", ""TES"", ""YWHAB"", ""NUMB"", ""PPP1R12A"", ""PDCD6IP"", ""SORBS3"", ""NRP1"", ""RALA"", ""FLT1"", ""VASP"", ""PEAK1"", ""TNS1"", ""EPB41L5"", ""PCBP2"", ""ARHGAP22"", ""DOCK7"", ""USP33"", ""RPS9"", ""CBL"", ""ITGA5"", ""PPP1CC"", ""CD46"", ""NHS"", ""LIMS1"", ""ACTR2"", ""PAK1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.781285231116122","0.890140189206411","0.0304180507344859","0.191417195751734","0.884494491375578","290","c(""P2RX7"", ""PSEN1"", ""CPM"", ""TGFBR1"", ""PICALM"", ""GLDN"", ""ALCAM"", ""SLC1A3"", ""IQGAP2"", ""IL15"", ""ANXA2"", ""ITGAX"", ""HLA-DRB1"", ""ABCA1"", ""ATP5F1A"", ""KCNQ3"", ""CD58"", ""PKD1"", ""TNFRSF14"", ""MSR1"", ""RALA"", ""ABCG1"", ""TNS1"", ""SLC11A2"", ""MBP"", ""SCARB1"", ""ITGA5"", ""TSPAN14"", ""TMX3"", ""CD46"", ""CD86"", ""ADGRG6"", ""TLR4"", ""PDGFC"", ""DCBLD2"", ""ADGRA3"", ""ITGB1"", ""RC3H2"", ""PLXNB2"", ""TNFRSF11A"", ""ITGB2"", ""ITGAV"", ""TMEM123"", ""PPFIA2"", ""CD9"", ""CD84"", ""JAM2"", ""ACVR2A"", ""ENPEP"", ""LRP8"", ""PTPRJ"")"
