"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.00164376069969899","0.0949606326768393","0.45505986738723","0.281119086966946","1.43229970172109","347","c(""PDLIM1"", ""JAG1"", ""GRID2"", ""HLA-DRB1"", ""PELI1"", ""CBLB"", ""NFKBIZ"", ""PIP5K1C"", ""MYH9"", ""CTNNB1"", ""DLG5"", ""DUSP22"", ""TLN1"", ""LIMS1"", ""CD74"", ""CNN3"", ""CD55"", ""MPZL2"", ""B2M"", ""AKT1"", ""NEGR1"", ""ASTN2"", ""SLC7A11"", ""VMP1"", ""CYFIP2"", ""DCC"", ""CNTN5"", ""IL4R"", ""PNP"", ""CDH11"", ""RUNX1"", ""ASS1"", ""ITGB1"", ""STXBP6"", ""TNXB"", ""CNTN4"", ""SELE"", ""PRKCQ"", ""CTNNA1"", ""RPS3"", ""BAIAP2"", ""HLA-E"", ""ADAM9"", ""PTPRG"", ""SWAP70"", ""CTNNA3"", ""NLGN4Y"", ""NRXN1"", ""ITGA5"", ""MSN"", ""LRRC4C"", ""PAG1"", ""PRKCA"", ""DUSP3"", ""TMEM131L"", ""VEZT"", 
""JAK3"", ""DSCAM"", ""PTPRT"", ""TWSG1"", ""XBP1"", ""DSP"", ""JAK2"", ""NRXN3"", ""FLOT2"", ""ITGA6"", ""TMOD3"", ""AFDN"", ""EGFR"", ""LRFN5"", ""GTPBP4"", ""CLDN5"", ""METAP1"", ""ITGB5"", ""SLC39A8"", ""ITPKB"", ""YES1"", ""AP3D1"", ""SHC1"", ""CYP1B1"", ""SOX9"", ""SERPINE2"", ""CDH4"", ""DLG4"", ""CD81"", ""FAT4"", ""ACTB"", ""KIRREL1"", ""PCDH7"", ""ZMIZ1"", ""GOLPH3"", ""CTNND1"", ""ST3GAL4"", ""AKNA"", ""F11R"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.00976513762147647","0.205862302530032","0.380730400722792","0.336446068615443","1.4936248246676","117","c(""HLA-DRB1"", ""PELI1"", ""CBLB"", ""NFKBIZ"", ""DLG5"", ""DUSP22"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""IL4R"", ""PNP"", ""RUNX1"", ""ASS1"", ""ITGB1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""ITGA5"", ""MSN"", ""PAG1"", ""DUSP3"", ""TMEM131L"", ""JAK3"", ""TWSG1"", ""XBP1"", ""JAK2"", ""FLOT2"", ""SLC39A8"", ""ITPKB"", ""YES1"", ""AP3D1"", ""CD81"", ""ZMIZ1"", ""GOLPH3"", ""ST3GAL4"", ""F11R"", ""LRRC32"", ""ICAM1"", ""HES1"", ""MIA3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.292006525285481","0.683726378111358","0.0978773277424561","0.230815240120675","1.08026786468397","170","c(""ARHGEF7"", ""HLA-DRB1"", ""NFKBIZ"", ""EMP2"", ""ADGRG1"", ""TSC1"", ""LIMS1"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""ARPC2"", ""CALR"", ""IL4R"", ""NEDD9"", ""PNP"", ""RUNX1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""ADAM9"", ""ITGA5"", ""ZFHX3"", ""CDC42"", ""PRKCA"", ""FRMD5"", ""PRKCE"", ""JAK3"", ""PLEKHA2"", ""XBP1"", ""JAK2"", ""TGM2"", ""FLOT2"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.192567567567568","0.595810810810811","0.127505315300183","0.271461820987758","1.15639229872706","87","c(""HLA-DRB1"", ""NFKBIZ"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""IL4R"", ""PNP"", ""RUNX1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""JAK3"", ""XBP1"", ""JAK2"", ""FLOT2"", ""AFDN"", ""ITPKB"", ""YES1"", ""AP3D1"", ""CD81"", ""ZMIZ1"", ""ST3GAL4"", ""F11R"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0716783216783217","0.42706718956719","0.222056046145248","0.326066851064137","1.31677128303506","68","c(""HLA-DRB1"", ""NFKBIZ"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""IL4R"", ""PNP"", ""RUNX1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""JAK3"", ""XBP1"", ""JAK2"", ""FLOT2"", ""ITPKB"", ""YES1"", ""AP3D1"", ""CD81"", ""ZMIZ1"", ""ST3GAL4"", ""HES1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0409711684370258","0.368197473083251","0.276500599254472","0.244712602409729","1.2368684156758","320","c(""CYTH1"", ""ARHGEF7"", ""JAG1"", ""HLA-DRB1"", ""PPP2CA"", ""PELI1"", ""CBLB"", ""PIK3R1"", ""PPP2R1A"", ""NFKBIZ"", ""EMP2"", ""DAPK3"", ""PPP1CB"", ""DLG5"", ""ADGRG1"", ""EFNA1"", ""TSC1"", ""DUSP22"", ""LIMS1"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""ARPC2"", ""ACTN4"", ""CALR"", ""IL4R"", ""NEDD9"", ""PNP"", ""RUNX1"", ""ASS1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""ADAM9"", ""PTPRG"", ""SWAP70"", ""PLXNB1"", ""CORO1C"", ""ITGA5"", ""APOD"", ""ZFHX3"", ""PAG1"", ""CDC42"", ""PRKCA"", ""FRMD5"", ""PRKCE"", ""DUSP3"", ""TMEM131L"", ""JAK3"", ""GBP1"", ""DSCAM"", ""PLEKHA2"", ""DUSP1"", ""TWSG1"", 
""XBP1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0780487804878049","0.440047408146716","0.204294756516886","0.271845004791414","1.26018768136933","155","c(""JAG1"", ""HLA-DRB1"", ""PELI1"", ""CBLB"", ""NFKBIZ"", ""DLG5"", ""DUSP22"", ""CD74"", ""CD55"", ""B2M"", ""AKT1"", ""IL4R"", ""PNP"", ""RUNX1"", ""ASS1"", ""SELE"", ""PRKCQ"", ""RPS3"", ""HLA-E"", ""PTPRG"", ""SWAP70"", ""PAG1"", ""PRKCA"", ""DUSP3"", ""TMEM131L"", ""JAK3"", ""TWSG1"", ""XBP1"", ""JAK2"", ""FLOT2"", ""AFDN"", ""GTPBP4"", ""ITPKB"", ""YES1"", ""AP3D1"", ""SERPINE2"", ""CD81"", ""ZMIZ1"", ""ST3GAL4"", ""AKNA"", ""F11R"", ""LRRC32"", ""HES1"", ""MIA3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0667634252539913","0.423011321237448","0.208955027549354","0.225708900180861","1.19000432917056","470","c(""PDLIM1"", ""HSPA5"", ""CYTH1"", ""ARHGEF7"", ""CLIC4"", ""ASAP3"", ""TPM4"", ""PXN"", ""JAG1"", ""GAK"", ""ARHGAP26"", ""ACTR3"", ""PIK3R1"", ""YBX3"", ""GNA12"", ""ANK2"", ""PPP1CB"", ""SORBS1"", ""LCP2"", ""PIP5K1C"", ""MYH9"", ""CTNNB1"", ""TLN1"", ""LIMS1"", ""CNN3"", ""NDRG1"", ""HSP90B1"", ""B2M"", ""TRPC4"", ""AKT1"", ""ARPC2"", ""ACTN4"", ""CALR"", ""NEDD9"", ""CDH11"", ""ITGB1"", ""STXBP6"", ""CNTNAP2"", ""CAP1"", ""CDC42BPB"", ""RPLP2"", ""CTNNA1"", ""RPS3"", ""YWHAQ"", ""BAIAP2"", ""TNS1"", ""ADAM9"", ""APP"", ""DMD"", ""RAP1B"", ""CTNNA3"", ""CORO1C"", ""ITGA5"", ""DCTN4"", ""MSN"", ""LIMD1"", 
""RPL4"", ""RPS16"", ""IQGAP1"", ""CDC42"", ""FRMD5"", ""VEZT"", ""PLEC"", ""ADAM17"", ""ATP1B1"", ""RAB21"", ""RND3"", ""RPS9"", ""DSP"", ""JAK2"", ""RPS14"", ""TGM2"", ""RPS19"", ""FLOT2"", ""ANXA5"", ""ITGA6"", ""BCAR3"", ""PPP1CC"", ""TMOD3"", ""AFDN"", ""CD59"", ""RPL7"", ""EGFR"", ""RPS17"", ""STARD8"", ""CLDN5"", ""RPL8"", ""ITGB5"", ""ADAM15"", ""PABPC1"", ""YES1"", ""ADD1"", ""SLC2A1"", ""AKAP12"", ""PKD2"", ""MAP2K2"", ""HSPA9"", ""PI4KA"", ""EPB41L4B"", ""RPS5"", ""SLC4A2"", ""CD81"", ""ACTB"", ""SCN2A"", ""RPL7A"", ""KIRREL1"", ""NIBAN2"", ""CTNND1"", ""MTDH"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0213559633994395","0.283609766952195","0.352487857583619","0.262734730407097","1.31368620447415","294","c(""PDLIM1"", ""HSPA5"", ""ARHGEF7"", ""ASAP3"", ""TPM4"", ""PXN"", ""GAK"", ""ARHGAP26"", ""ACTR3"", ""GNA12"", ""PPP1CB"", ""SORBS1"", ""PIP5K1C"", ""MYH9"", ""CTNNB1"", ""TLN1"", ""LIMS1"", ""CNN3"", ""HSP90B1"", ""B2M"", ""ARPC2"", ""ACTN4"", ""CALR"", ""NEDD9"", ""ITGB1"", ""CAP1"", ""RPLP2"", ""CTNNA1"", ""RPS3"", ""YWHAQ"", ""TNS1"", ""ADAM9"", ""DMD"", ""CORO1C"", ""ITGA5"", ""DCTN4"", ""MSN"", ""LIMD1"", ""RPL4"", ""RPS16"", ""IQGAP1"", ""CDC42"", ""PLEC"", ""ADAM17"", ""RAB21"", ""RND3"", ""RPS9"", ""JAK2"", ""RPS14"", ""TGM2"", ""RPS19"", ""FLOT2"", ""ANXA5"", ""ITGA6"", ""BCAR3"", ""PPP1CC"", ""CD59"", 
""RPL7"", ""EGFR"", ""RPS17"", ""STARD8"", ""RPL8"", ""ITGB5"", ""PABPC1"", ""YES1"", ""ADD1"", ""AKAP12"", ""MAP2K2"", ""HSPA9"", ""PI4KA"", ""RPS5"", ""SLC4A2"", ""CD81"", ""ACTB"", ""RPL7A"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00026565915379012","0.0450496618869476","0.49849310876659","0.312835119680556","1.55333962347294","270","c(""HSPA5"", ""CLIC4"", ""HLA-DRB1"", ""FOLR1"", ""ADAMTS9"", ""EMP2"", ""SLC1A1"", ""PICALM"", ""F3"", ""PLAT"", ""TLN1"", ""CD74"", ""HLA-C"", ""ENO1"", ""CD55"", ""GPRC5B"", ""SLC11A2"", ""B2M"", ""ABCA7"", ""TRPC4"", ""SLC7A11"", ""RAMP3"", ""CALR"", ""C3"", ""IL6R"", ""DCC"", ""GSR"", ""IL1R1"", ""IL4R"", ""RPS6KB1"", ""LDLR"", ""ITGB1"", ""ECE1"", ""ENTPD6"", ""CNTNAP2"", ""SELE"", ""NCAM1"", ""HLA-E"", ""TNS1"", ""ADAM9"", ""APP"", ""DMD"", ""CLPTM1"", ""TNFRSF10B"", ""NLGN4Y"", ""ABCG2"", ""NRXN1"", ""SORT1"", ""ITGA5"", ""MSN"", ""SLC4A4"", ""ABCC4"", ""ADAM17"", ""PTPRT"", ""SLC3A2"", ""IL13RA1"", 
""UNC5C"", ""THBD"", ""ANXA5"", ""ITGA6"", ""CD59"", ""EGFR"", ""LRFN5"", ""INSR"", ""ITGB5"", ""ADAM15"")"
