"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.26509186351706","0.922302130825432","0.136490437780413","0.21483534956","1.0676154627657","218","c(""PTPRG"", ""DLG1"", ""CNN3"", ""ZFP36L1"", ""GNAS"", ""PIK3CA"", ""BAIAP2"", ""ITGAV"", ""ZMIZ1"", ""ACVR1"", ""HMGB1"", ""PRKCA"", ""CTNND2"", ""PKD1"", ""SLC7A1"", ""CD9"", ""ZBTB16"", ""ADAM9"", ""MYH9"", ""CLDN5"", ""SPARCL1"", ""HSPB1"", ""EFNA5"", ""FAT1"", ""NPHP4"", ""MIA3"", ""PRKAR1A"", ""JAK2"", ""PIP5K1C"", ""SDC4"", ""MBP"", ""PCDH11Y"", ""ADGRV1"", ""EGFR"", ""TNFSF13B"", ""HSPH1"", ""ANK3"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.390995260663507","0.955761714555684","0.102821842840815","0.247096150165922","1.02077990967598","67","c(""DLG1"", ""PIK3CA"", ""ZMIZ1"", ""HMGB1"", ""SLC7A1"", ""ZBTB16"", ""MIA3"", ""PRKAR1A"", ""JAK2"", ""SDC4"", ""TNFSF13B"", ""HSPH1"", ""SEMA4D"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.169191919191919","0.887071651090343","0.170932335370056","0.253149354062421","1.13914119427777","106","c(""PIK3CA"", ""ITGAV"", ""ZMIZ1"", ""HMGB1"", ""PRKCA"", ""SLC7A1"", ""SMAD3"", ""ZBTB16"", ""ADAM9"", ""VAV3"", ""ZFHX3"", ""ATM"", ""NEDD9"", ""FLCN"", ""JAK2"", ""SDC4"", ""PRKCE"", ""TNFSF13B"", ""HSPH1"", ""ANK3"", ""DNM2"", ""PRKD2"", ""CDK6"", ""FLOT1"", ""SFRP1"", ""DISC1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.575","0.961006069327928","0.0785029047348687","0.238082401644572","0.92647290324063","49","c(""PIK3CA"", ""ZMIZ1"", ""HMGB1"", ""SLC7A1"", ""ZBTB16"", ""JAK2"", ""TNFSF13B"", ""HSPH1"", ""ANK3"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.134751773049645","0.865105008077544","0.186432558434075","0.345721541017963","1.2493260679285","38","c(""PIK3CA"", ""ZMIZ1"", ""HMGB1"", ""SLC7A1"", ""ZBTB16"", ""JAK2"", ""TNFSF13B"", ""HSPH1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.358441558441558","0.955761714555684","0.114266502484433","0.208375991380776","1.03219325799717","204","c(""PTPRG"", ""DLG1"", ""PIK3CA"", ""ITGAV"", ""ZMIZ1"", ""HMGB1"", ""PRKCA"", ""PKD1"", ""SLC7A1"", ""CD9"", ""ST6GAL1"", ""SMAD3"", ""ZBTB16"", ""ADAM9"", ""MACF1"", ""VAV3"", ""ZFHX3"", ""TBCD"", ""ATM"", ""DUSP1"", ""EFNA5"", ""NEDD9"", ""FLCN"", ""MIA3"", ""PRKAR1A"", ""JAK2"", ""SDC4"", ""DLC1"", ""PRKCE"", ""MBP"", ""TNFSF13B"", ""PPP2CA"", ""HSPH1"", ""ANK3"", ""DNM2"", ""PRKD2"", ""SEMA4D"", ""CDK6"", ""FLOT1"", ""SFRP1"", ""ACTN4"", ""DISC1"", ""MAPK14"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.237410071942446","0.902182091798345","0.138022242496643","0.25029352933555","1.10709568260196","93","c(""PTPRG"", ""DLG1"", ""PIK3CA"", ""ZMIZ1"", ""HMGB1"", ""PRKCA"", ""SLC7A1"", ""CD9"", ""ZBTB16"", ""EFNA5"", ""MIA3"", ""PRKAR1A"", ""JAK2"", ""SDC4"", ""MBP"", ""TNFSF13B"", ""HSPH1"", ""ANK3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0218787117163727","0.697121512937572","0.352487857583619","0.243786701420104","1.25501668102362","314","c(""SNTB1"", ""SDCBP"", ""CGNL1"", ""DLG1"", ""CNN3"", ""PIK3CA"", ""HSP90B1"", ""SYNE2"", ""YBX3"", ""CDC42BPA"", ""BAIAP2"", ""RAPGEF2"", ""AHI1"", ""TSPAN9"", ""ITGAV"", ""BCAR1"", ""CTNND2"", ""PPFIA1"", ""HSPA9"", ""CD9"", ""SYNM"", ""ADAM9"", ""FOCAD"", ""MYH9"", ""KAZN"", ""PRKD1"", ""PACSIN2"", ""CLDN5"", ""TBCD"", ""MPDZ"", ""PDZD2"", ""WDR1"", ""MAP2K1"", ""SPECC1L"", ""HSPB1"", ""EFNA5"", ""MAPRE2"", ""NEDD9"", ""FAT1"", ""FLCN"", ""NPHP4"", ""IRF2"", ""APC"", ""JAK2"", ""PIP5K1C"", ""DDR2"", ""SDC4"", ""DLC1"", ""GNA12"", ""TIAM1"", ""SAV1"", ""EGFR"", ""TNFSF13B"", ""GAK"", ""ANK3"", ""GAB1"", 
""STRN"", ""DNM2"", ""ACTN2"", ""APP"", ""ABI2"", ""SH3KBP1"", ""IQGAP1"", ""PIKFYVE"", ""PARVA"", ""IGF2R"", ""FLOT1"", ""ACTN4"", ""GJC1"", ""CYFIP1"", ""RAB10"", ""PAK2"", ""ARHGAP24"", ""ZFYVE21"", ""GSN"", ""ANK2"", ""CTNNA1"", ""CDC42EP4"", ""LIMD1"", ""FLNB"", ""PDIA3"", ""MSN"", ""ADAM17"", ""JAM3"", ""CLASP1"", ""MYO1E"", ""CBL"", ""ARHGEF7"", ""HNRNPK"", ""VIM"", ""VCL"", ""PCDH9"", ""YWHAG"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0550510890461362","0.831687106397083","0.321775918075361","0.260713400779328","1.26902538602461","182","c(""SNTB1"", ""SDCBP"", ""CNN3"", ""HSP90B1"", ""SYNE2"", ""TSPAN9"", ""ITGAV"", ""BCAR1"", ""PPFIA1"", ""HSPA9"", ""CD9"", ""ADAM9"", ""FOCAD"", ""MYH9"", ""PACSIN2"", ""MAP2K1"", ""HSPB1"", ""MAPRE2"", ""NEDD9"", ""FAT1"", ""IRF2"", ""JAK2"", ""PIP5K1C"", ""DDR2"", ""SDC4"", ""DLC1"", ""GNA12"", ""EGFR"", ""TNFSF13B"", ""GAK"", ""DNM2"", ""ACTN2"", ""SH3KBP1"", ""IQGAP1"", ""PARVA"", ""IGF2R"", ""FLOT1"", ""ACTN4"", ""CYFIP1"", ""RAB10"", ""ARHGAP24"", ""ZFYVE21"", ""GSN"", ""CTNNA1"", ""LIMD1"", ""FLNB"", ""PDIA3"", ""MSN"", ""ADAM17"", ""CLASP1"", ""CBL"", ""ARHGEF7"", ""HNRNPK"", ""VIM"", ""VCL"", ""YWHAG""
)"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.345498783454988","0.955761714555684","0.112378519110475","0.2182257524495","1.04230870262684","149","c(""F3"", ""RAMP1"", ""ADAMTS9"", ""PAM"", ""HNRNPU"", ""ITGAV"", ""HMGB1"", ""PKD1"", ""CD9"", ""ADAM9"", ""KCNE1"", ""ABCC4"", ""OSMR"", ""EFNA5"", ""KLRD1"", ""MAP3K5"", ""SDC4"", ""ROR1"", ""MBP"", ""GSR"", ""ADGRV1"", ""EGFR"", ""HSP90AB1"", ""KCNJ3"", ""ANK3"", ""BMPR1A"", ""APP"", ""IGF2R"", ""FLOT1"", ""SFRP1"", ""SORT1"", ""TMC1"", ""HSPD1"", ""PDIA3"", ""MSN"", ""ADAM17"", ""ANO6"", ""ANTXR1"", ""RPS6KB1"", ""LIFR"", ""FZD3"")"
