"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.02067760136086","0.287645825815371","0.352487857583619","0.26706102976987","1.33691874069565","376","c(""PTPRG"", ""GNAS"", ""DNAJB6"", ""GPNMB"", ""ITGAV"", ""PTPN11"", ""RDX"", ""TNFRSF14"", ""CNN3"", ""CELSR1"", ""HLA-DMA"", ""NT5E"", ""KIT"", ""MIA3"", ""PVR"", ""TMEM47"", ""GOLPH3"", ""FNDC3A"", ""XBP1"", ""CD58"", ""FYN"", ""CEBPB"", ""HSPD1"", ""PKP4"", ""C1QTNF1"", ""DLG1"", ""CSRP1"", ""CLDN2"", ""TMOD3"", ""PTPRU"", ""ALCAM"", ""ROBO1"", ""PTPRS"", ""AP3B1"", ""NECTIN3"", ""BTN2A2"", ""CD164"", ""HSPH1"", ""GTPBP4"", ""ILDR2"", ""SERPINF2"", ""DUSP3"", ""FLOT1"", ""ITGB1"", ""DLG3"", ""PIP5K1C"", ""ARG2"", ""SEMA4D"", ""HMGB1"", ""RHOA"", ""CNTN4"", ""ZMIZ1"", ""GLI2"", ""ZBTB1"", ""PELI1"", ""SDK1"", 
""DNAJA3"", ""ITGA10"", ""CD276"", ""BMP4"", ""AP3D1"", ""CYP1B1"", ""PODXL"", ""IL6ST"", ""PPIA"", ""ZFP36L1"", ""PRDX2"", ""PTPRC"", ""LIMS1"", ""RELA"", ""CD55"", ""NDFIP1"", ""PRKAR1A"", ""PRKCA"", ""RARA"", ""CLSTN3"", ""MYH9"", ""HSPB1"", ""AKT1"", ""PKD1"", ""HAVCR2"", ""ITGA1"", ""SLC7A11"", ""TRAF6"", ""NFKBIZ"", ""ITGA9"", ""PIK3CA"", ""PRNP"", ""ADAM9"", ""NCAM2"", ""PCDH9"", ""PPM1F"", ""PTPRD"", ""BAIAP2"", ""NRXN1"", ""ADGRV1"", ""GRID2"", ""NPHP4"", ""IL1RAP"", ""SART1"", ""SELP"", ""MYO10"", ""TNIP1"", ""CNTN5"", ""ACTG1"", ""IL1RAPL1"", ""CD99"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.000226618531962944","0.0242626479327135","0.518848077743792","0.400151075149158","1.76682651018399","132","c(""GPNMB"", ""PTPN11"", ""TNFRSF14"", ""HLA-DMA"", ""NT5E"", ""MIA3"", ""GOLPH3"", ""XBP1"", ""FYN"", ""CEBPB"", ""HSPD1"", ""DLG1"", ""AP3B1"", ""BTN2A2"", ""HSPH1"", ""ILDR2"", ""DUSP3"", ""ITGB1"", ""ARG2"", ""SEMA4D"", ""HMGB1"", ""RHOA"", ""ZMIZ1"", ""GLI2"", ""ZBTB1"", ""PELI1"", ""DNAJA3"", ""CD276"", ""BMP4"", ""AP3D1"", ""IL6ST"", ""PRDX2"", ""PTPRC"", ""RELA"", ""CD55"", ""NDFIP1"", ""PRKAR1A"", ""RARA"", ""AKT1"", ""HAVCR2"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""PRNP"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.00518912874394285","0.160194453003193","0.407017918923954","0.323116672186041","1.48492395777513","184","c(""FLCN"", ""ITGAV"", ""PTPN11"", ""TNFRSF14"", ""HLA-DMA"", ""PPP3CA"", ""VAV3"", ""EMP2"", ""ZFHX3"", ""XBP1"", ""FYN"", ""HSPD1"", ""PTPRU"", ""AP3B1"", ""BTN2A2"", ""CIB1"", ""HSPH1"", ""P4HB"", ""NEDD9"", ""CRK"", ""SERPINF2"", ""PRKD2"", ""FLOT1"", ""PRKCE"", ""HMGB1"", ""RHOA"", ""ZMIZ1"", ""CALR"", ""GLI2"", ""NDNF"", ""ZBTB1"", ""DNAJA3"", ""CD276"", ""AP3D1"", ""PODXL"", ""IL6ST"", ""PTPRC"", ""LIMS1"", ""RELA"", ""CD55"", ""CDC42"", ""PRKCA"", ""RARA"", ""RAC1"", ""AKT1"", ""HAVCR2"", ""CSPG5"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""DAG1"", ""ADAM9"", ""PPM1F"", ""ITGB1BP1"", ""SMAD3"", ""SART1"", 
""SELP"", ""MYO10"", ""CD47"", ""STX3"", ""ZBTB16"", ""RUNX1"", ""SFRP1"", ""SDC4"", ""ATM"", ""CSK"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.011119307464015","0.218563887339544","0.380730400722792","0.354471349185899","1.49081391498568","101","c(""PTPN11"", ""TNFRSF14"", ""HLA-DMA"", ""XBP1"", ""FYN"", ""HSPD1"", ""PTPRU"", ""AP3B1"", ""BTN2A2"", ""HSPH1"", ""SERPINF2"", ""FLOT1"", ""HMGB1"", ""RHOA"", ""ZMIZ1"", ""GLI2"", ""ZBTB1"", ""DNAJA3"", ""CD276"", ""AP3D1"", ""PODXL"", ""IL6ST"", ""PTPRC"", ""RELA"", ""CD55"", ""RARA"", ""AKT1"", ""HAVCR2"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""SART1"", ""SELP"", ""MYO10"", ""CD47"", ""ZBTB16"", ""RUNX1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.000743934349964958","0.0499130353203156","0.477270815362862","0.428695373752851","1.74129948581752","79","c(""PTPN11"", ""TNFRSF14"", ""HLA-DMA"", ""XBP1"", ""FYN"", ""HSPD1"", ""AP3B1"", ""BTN2A2"", ""HSPH1"", ""HMGB1"", ""RHOA"", ""ZMIZ1"", ""GLI2"", ""ZBTB1"", ""DNAJA3"", ""CD276"", ""AP3D1"", ""IL6ST"", ""PTPRC"", ""RELA"", ""CD55"", ""RARA"", ""AKT1"", ""HAVCR2"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""SART1"", ""SELP"", ""CD47"", ""ZBTB16"", ""RUNX1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0489417989417989","0.387723815065454","0.234392647294686","0.251184973895791","1.24040125934252","337","c(""PTPRG"", ""FLCN"", ""GPNMB"", ""ITGAV"", ""PTPN11"", ""RDX"", ""TNFRSF14"", ""ANGPT2"", ""HLA-DMA"", ""MIA3"", ""PPP3CA"", ""VAV3"", ""EMP2"", ""ZFHX3"", ""XBP1"", ""FYN"", ""CEBPB"", ""HSPD1"", ""PKP4"", ""C1QTNF1"", ""DLG1"", ""ST6GAL1"", ""MACF1"", ""PTPRU"", ""AP3B1"", ""BTN2A2"", ""CIB1"", ""CD164"", ""HSPH1"", ""GTPBP4"", ""P4HB"", ""NEDD9"", ""ILDR2"", ""CRK"", ""SERPINF2"", ""DUSP3"", ""PRKD2"", ""FLOT1"", ""PRKCE"", ""ARG2"", ""RCC2"", ""SEMA4D"", ""SPRY4"", ""HMGB1"", ""ACTN4"", ""RHOA"", ""ZMIZ1"", ""CALR"", ""GLI2"", ""NDNF"", ""ZBTB1"", ""PELI1"", ""DNAJA3"", ""CD276"", ""BMP4"", ""AP3D1"", 
""CYP1B1"", ""PODXL"", ""IL6ST"", ""PRDX2"", ""CDKN2A"", ""PTPRC"", ""LIMS1"", ""RELA"", ""CD55"", ""CDC42"", ""NDFIP1"", ""PRKAR1A"", ""PRKCA"", ""RARA"", ""RAC1"", ""AKT1"", ""PKD1"", ""HAVCR2"", ""CSPG5"", ""ADAM10"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""DAG1"", ""PRNP"", ""ADAM9"", ""PPM1F"", ""CLASP1"", ""ITGB1BP1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0105055015755591","0.215551618808719","0.380730400722792","0.316689958132713","1.44258609942843","172","c(""PTPRG"", ""GPNMB"", ""PTPN11"", ""RDX"", ""TNFRSF14"", ""HLA-DMA"", ""MIA3"", ""XBP1"", ""FYN"", ""CEBPB"", ""HSPD1"", ""C1QTNF1"", ""DLG1"", ""PTPRU"", ""AP3B1"", ""BTN2A2"", ""HSPH1"", ""GTPBP4"", ""ILDR2"", ""SERPINF2"", ""DUSP3"", ""FLOT1"", ""ARG2"", ""HMGB1"", ""RHOA"", ""ZMIZ1"", ""GLI2"", ""ZBTB1"", ""PELI1"", ""DNAJA3"", ""CD276"", ""BMP4"", ""AP3D1"", ""PODXL"", ""IL6ST"", ""PRDX2"", ""PTPRC"", ""RELA"", ""CD55"", ""NDFIP1"", ""PRKAR1A"", ""PRKCA"", ""RARA"", ""AKT1"", ""HAVCR2"", ""TRAF6"", ""NFKBIZ"", ""PIK3CA"", ""PRNP"", ""PPM1F"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.0848708487084871","0.478242005264398","0.16823816568964","0.227332161203098","1.1640961685956","530","c(""SYNM"", ""SNTB1"", ""FGF13"", ""HSP90B1"", ""FLCN"", ""CDC42BPA"", ""PPFIA1"", ""AHI1"", ""ITGAV"", ""PDIA3"", ""RDX"", ""CNN3"", ""PPIB"", ""GJC1"", ""PDZD2"", ""KIT"", ""PVR"", ""TMEM47"", ""PRKD1"", ""CGNL1"", ""BCAR1"", ""PPP3CA"", ""MAP2K1"", ""GIT1"", ""ANXA6"", ""RPLP2"", ""FLT1"", ""PKP4"", ""TNK2"", ""SYNE2"", ""STX16"", ""RAPGEF2"", ""TES"", ""RPL12"", ""DLG1"", ""APC"", ""RPL30"", ""PAK2"", ""CSRP1"", ""CLDN2"", ""TMOD3"", ""PTPRU"", ""RPL19"", ""ALCAM"", ""ZYX"", ""ARHGAP17"", ""HSPA5"", ""RPS4X"", ""RAP1B"", ""NECTIN3"", ""P4HB"", ""NEDD9"", ""ILDR2"", ""YWHAB"", ""CNTNAP2"", ""RPS14"", ""FLOT1"", 
""ITGB1"", ""IGF2R"", ""DLG3"", ""PIP5K1C"", ""SGSM3"", ""SPRY4"", ""ACTN4"", ""RHOA"", ""RPL22"", ""PDLIM3"", ""RPS29"", ""RHOB"", ""CALR"", ""ACTN2"", ""ANK2"", ""HSPA9"", ""PODXL"", ""ATP6V0C"", ""CAPN2"", ""ANXA5"", ""PPIA"", ""DDR2"", ""MAPRE2"", ""RPLP1"", ""RPLP0"", ""PTPRC"", ""RPL8"", ""LIMS1"", ""MPDZ"", ""CD59"", ""HSPA1A"", ""WNK3"", ""CDC42"", ""RAC1"", ""MYH9"", ""HSPB1"", ""PACSIN2"", ""AKT1"", ""STARD10"", ""RPL13A"", ""EPB41L3"", ""ITGA1"", ""ADAM10"", ""RALA"", ""RPS18"", ""LIN7A"", ""PIK3CA"", ""SPECC1L"", ""LIMD1"", ""DAG1"", ""RPS17"", ""RPL38"", ""ADAM9"", ""ARPC5"", ""SLC8A1"", ""PCDH9"", 
""BAIAP2"", ""RPL3"", ""CLASP1"", ""RPS7"", ""ARF1"", ""ITGB1BP1"", ""RPS8"", ""SDCBP"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.00351196282983697","0.133880279998028","0.431707695803346","0.291625350994844","1.42972764289756","314","c(""SNTB1"", ""HSP90B1"", ""PPFIA1"", ""ITGAV"", ""PDIA3"", ""RDX"", ""CNN3"", ""PPIB"", ""PVR"", ""BCAR1"", ""MAP2K1"", ""GIT1"", ""ANXA6"", ""RPLP2"", ""FLT1"", ""SYNE2"", ""STX16"", ""TES"", ""RPL12"", ""RPL30"", ""CSRP1"", ""RPL19"", ""ALCAM"", ""ZYX"", ""HSPA5"", ""RPS4X"", ""P4HB"", ""NEDD9"", ""YWHAB"", ""RPS14"", ""FLOT1"", ""ITGB1"", ""IGF2R"", ""PIP5K1C"", ""SPRY4"", ""ACTN4"", ""RHOA"", ""RPL22"", ""RPS29"", ""RHOB"", ""CALR"", ""ACTN2"", ""HSPA9"", ""ATP6V0C"", ""CAPN2"", ""ANXA5"", ""PPIA"", ""DDR2"", ""MAPRE2"", ""RPLP1"", ""RPLP0"", ""PTPRC"", ""RPL8"", ""LIMS1"", ""CD59"", ""HSPA1A"", ""CDC42"", 
""RAC1"", ""MYH9"", ""HSPB1"", ""PACSIN2"", ""RPL13A"", ""ITGA1"", ""ADAM10"", ""RALA"", ""RPS18"", ""LIMD1"", ""DAG1"", ""RPS17"", ""RPL38"", ""ADAM9"", ""ARPC5"", ""RPL3"", ""CLASP1"", ""RPS7"", ""ARF1"", ""ITGB1BP1"", ""RPS8"", ""SDCBP"", ""ACTG1"", ""CD99"", ""ACTR2"", ""PROCR"", ""PCBP2"", ""SH3KBP1"", ""RPS3A"", ""YWHAG"", ""RPL7"", ""PPP1CC"", ""SRP68"", ""PTPN12"", ""SDC4"", ""VCL"", ""ENAH"", ""RPL4"", ""RPS16"", ""FAM107A"", ""RPL6"", ""HNRNPK"", ""RPL5"", ""NME2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.000176554050818299","0.0202827807924779","0.518848077743792","0.325268915640555","1.57652530085127","276","c(""PAM"", ""ITGAV"", ""SDC3"", ""PDIA3"", ""RER1"", ""MAP3K5"", ""TNFRSF14"", ""HLA-DMA"", ""ABCC4"", ""NT5E"", ""KIT"", ""PVR"", ""HSP90AB1"", ""EMP2"", ""CD58"", ""HSPD1"", ""OSMR"", ""SORT1"", ""HNRNPU"", ""SLC1A4"", ""ALCAM"", ""ROBO1"", ""HSPA5"", ""DCBLD2"", ""FZD6"", ""ERP44"", ""SLC1A3"", ""BMPR1A"", ""BTN2A2"", ""P4HB"", ""ANTXR1"", ""FZD3"", ""CNTNAP2"", ""SERPINF2"", ""FLOT1"", ""ITGB1"", ""IGF2R"", ""HMGB1"", ""TRPV1"", ""CALR"", ""PDIA4"", ""AXL"", ""ITGA10"", ""KCNJ3"", ""CD276"", ""ATP5IF1"", ""RPS6KB1"", ""INSR"", ""IL6ST"", ""CAPN2"", ""ANXA5"", ""GSR"", ""PTPRC"", ""SLC3A2"", ""CD59"", 
""C3"", ""CLU"", ""CD55"", ""ATP6AP2"", ""FOLR1"", ""RARA"", ""CLSTN3"", ""TNFRSF1A"", ""MFGE8"", ""PKD1"", ""HAVCR2"", ""ITGA1"", ""SLC7A11"", ""CSPG5"", ""ADAM10"", ""RALA"", ""ENO2"", ""CTSB"", ""ITGA9"", ""DAG1"", ""PRNP"", ""IL13RA1"", ""ADAM9"", ""SLC1A1"", ""NRXN1"", ""EGFL8"", ""ADGRV1"", ""SPARC"", ""IL6R"", ""ARSB"", ""TSPEAR"", ""HM13"", ""ECE1"", ""SELP"", ""IL1RAPL1"", ""GPC1"", ""CD47"", ""ASIC1"", ""EFNA5"", ""CLIC4"", ""PROCR"")"
