"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0634863782361653","0.534214746669369","0.287805130535564","0.23183851893983","1.2083526889139","346","c(""PTPRG"", ""ITGAV"", ""DNAJB6"", ""HLA-DMA"", ""XBP1"", ""NT5E"", ""CNN3"", ""TNFRSF14"", ""KIT"", ""GNAS"", ""GOLPH3"", ""GPNMB"", ""PTPN11"", ""PTPRU"", ""MIA3"", ""RDX"", ""HSPD1"", ""ILDR2"", ""DLG1"", ""PIK3CA"", ""PVR"", ""CLDN2"", ""IGSF11"", ""NECTIN3"", ""CEBPB"", ""C1QTNF1"", ""SEMA4D"", ""PKP4"", ""TMOD3"", ""PIP5K1C"", ""CD58"", ""DUSP3"", ""GLI2"", ""AP3D1"", ""CELSR1"", ""ZMIZ1"", ""PRKAR1A"", ""HMGB1"", ""FNDC3A"", ""ITGA10"", ""ITGB1"", ""HSPH1"", ""FYN"", ""HSPB1"", ""FLOT1"", ""BMP4"", ""TMEM47"", ""SERPINF2"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""CLSTN3"", ""ZFP36L1"", ""PTPRC"", 
""PPM1F"", ""PKD1"", ""PRKCA"", ""AP3B1"", ""MYH9"", ""ITGA9"", ""BAIAP2"", ""PELI1"", ""CD276"", ""PTPRS"", ""NPHP4"", ""MYO10"", ""TRAF6"", ""ACVR1"", ""ZBTB16"", ""PODXL"", ""CSK"", ""PTPRD"", ""EFNA5"", ""CD55"", ""LIMS1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.000231533526268268","0.0434725916103336","0.518848077743792","0.385310437107893","1.74261424656648","124","c(""HLA-DMA"", ""XBP1"", ""NT5E"", ""TNFRSF14"", ""GOLPH3"", ""GPNMB"", ""PTPN11"", ""MIA3"", ""HSPD1"", ""ILDR2"", ""DLG1"", ""PIK3CA"", ""CEBPB"", ""SEMA4D"", ""DUSP3"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""PRKAR1A"", ""HMGB1"", ""ITGB1"", ""HSPH1"", ""FYN"", ""BMP4"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""AP3B1"", ""PELI1"", ""CD276"", ""TRAF6"", ""ZBTB16"", ""CSK"", ""CD55"", ""RARA"", ""ARG2"", ""ROCK1"", ""IL6ST"", ""PRNP"", ""SDC4"", ""CD24"", ""SLC7A1"", ""AKT1"", ""NFKBIZ"", ""MALT1"", ""TNIP1"", ""PRDX2"", ""FOXO3"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.00222391153488687","0.134185905230789","0.431707695803346","0.318397846454343","1.53506520579588","170","c(""ITGAV"", ""FLCN"", ""HLA-DMA"", ""XBP1"", ""TNFRSF14"", ""EMP2"", ""PTPN11"", ""PTPRU"", ""VAV3"", ""ZFHX3"", ""HSPD1"", ""PIK3CA"", ""CALR"", ""PRKD2"", ""PPP3CA"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""HMGB1"", ""HSPH1"", ""FYN"", ""PRKCE"", ""FLOT1"", ""NEDD9"", ""SERPINF2"", ""SMAD3"", ""P4HB"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""STX3"", ""PPM1F"", ""PRKCA"", ""AP3B1"", ""CD276"", ""ITGB1BP1"", ""CDC42"", ""MYO10"", ""NDNF"", ""CRK"", ""TRAF6"", ""CSPG5"", ""ZBTB16"", ""PODXL"", ""CSK"", ""CD55"", ""LIMS1"", ""CIB1"", ""UTRN"", ""RARA"", ""ADAM9"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.00519445887623157","0.179848728337931","0.407017918923954","0.352338727586598","1.50517551848916","92","c(""HLA-DMA"", ""XBP1"", ""TNFRSF14"", ""PTPN11"", ""PTPRU"", ""HSPD1"", ""PIK3CA"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""HMGB1"", ""HSPH1"", ""FYN"", ""FLOT1"", ""SERPINF2"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""AP3B1"", ""CD276"", ""MYO10"", ""TRAF6"", ""ZBTB16"", ""PODXL"", ""CSK"", ""CD55"", ""RARA"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.000790593707524758","0.0755458461130218","0.477270815362862","0.429691748400111","1.76114698297697","72","c(""HLA-DMA"", ""XBP1"", ""TNFRSF14"", ""PTPN11"", ""HSPD1"", ""PIK3CA"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""HMGB1"", ""HSPH1"", ""FYN"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""AP3B1"", ""CD276"", ""TRAF6"", ""ZBTB16"", ""CSK"", ""CD55"", ""RARA"", ""IL6ST"", ""CD24"", ""SLC7A1"", ""AKT1"", ""NFKBIZ"", ""MALT1"", ""FOXO3"", ""CD47"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0708333333333333","0.550287772247487","0.245041785430996","0.232089815690529","1.1958175047695","315","c(""PTPRG"", ""ITGAV"", ""FLCN"", ""HLA-DMA"", ""XBP1"", ""TNFRSF14"", ""EMP2"", ""GPNMB"", ""PTPN11"", ""PTPRU"", ""MIA3"", ""RDX"", ""VAV3"", ""ZFHX3"", ""HSPD1"", ""ILDR2"", ""DLG1"", ""PIK3CA"", ""CEBPB"", ""C1QTNF1"", ""SEMA4D"", ""PKP4"", ""CDKN2A"", ""CALR"", ""ST6GAL1"", ""PRKD2"", ""PPP3CA"", ""DUSP3"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""PRKAR1A"", ""HMGB1"", ""HSPH1"", ""RCC2"", ""FYN"", ""PRKCE"", ""SPRY4"", ""FLOT1"", ""NEDD9"", ""BMP4"", ""SERPINF2"", ""SMAD3"", ""P4HB"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""ACTN4"", ""STX3"", ""MACF1"", ""PPM1F"", ""PKD1"", ""PRKCA"", ""AP3B1"", ""PELI1"", 
""CD276"", ""ITGB1BP1"", ""CDC42"", ""MYO10"", ""CLASP1"", ""NDNF"", ""CRK"", ""TRAF6"", ""CSPG5"", ""ZBTB16"", ""PODXL"", ""CSK"", ""EFNA5"", ""CD55"", ""LIMS1"", ""CIB1"", ""UTRN"", ""RARA"", ""ARG2"", ""ADAM9"", ""ADAM10"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0064359870644892","0.202239967437278","0.407017918923954","0.303516279395713","1.45082232229017","162","c(""PTPRG"", ""HLA-DMA"", ""XBP1"", ""TNFRSF14"", ""GPNMB"", ""PTPN11"", ""PTPRU"", ""MIA3"", ""RDX"", ""HSPD1"", ""ILDR2"", ""DLG1"", ""PIK3CA"", ""CEBPB"", ""C1QTNF1"", ""DUSP3"", ""GLI2"", ""AP3D1"", ""ZMIZ1"", ""PRKAR1A"", ""HMGB1"", ""HSPH1"", ""FYN"", ""FLOT1"", ""BMP4"", ""SERPINF2"", ""ZBTB1"", ""HAVCR2"", ""BTN2A2"", ""PTPRC"", ""PPM1F"", ""PRKCA"", ""AP3B1"", ""PELI1"", ""CD276"", ""MYO10"", ""TRAF6"", ""ZBTB16"", ""PODXL"", ""CSK"", ""EFNA5"", ""CD55"", ""RARA"", ""ARG2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.7109375","0.950333839722641","0.0603786357920401","-0.17663541490143","-0.945018473559545","492","c(""TRPC6"", ""FRMD4A"", ""NIBAN2"", ""DMD"", ""MAGI1"", ""AMOTL2"", ""TNS3"", ""PARD3B"", ""SHROOM3"", ""LMO7"", ""VSIG10"", ""VEZT"", ""SDCCAG8"", ""SCN2A"", ""PDGFRB"", ""BCAR3"", ""EPHA4"", ""CDH2"", ""SVIL"", ""DIXDC1"", ""YWHAZ"", ""PIK3R1"", ""PTK7"", ""FBF1"", ""SORBS2"", ""CDH1"", ""HEG1"", ""FMN1"", ""PTPRM"", ""AHNAK"", ""TNS1"", ""PLEKHG5"", ""AJAP1"", ""PTK2B"", ""PEAK1"", ""CCND1"", ""PNN"", ""PPL"", ""CTNND1"", ""NHS"", ""IL16"", ""PDLIM5"", ""PATJ"", ""PTPRK"", ""PLPP3"", ""AKAP6"", ""CD99L2"", ""CDH12"", ""DCTN4"", ""MPP3"", ""ATAT1"", ""SNTB2"", ""ADD3"", ""CYTH1"", ""DCAF6"", ""PARD6B"", 
""EVL"", ""CDH3"", ""CLDN1"", ""SPTBN4"", ""VAPA"", ""LPXN"", ""PTPRA"", ""HSPG2"", ""PRKCI"", ""GJA1"", ""PKN2"", ""SMAD7"", ""MPZL1"", ""PLEKHA7"", ""GDI2"", ""LIMA1"", ""HACD3"", ""CHP1"", ""CLDN16"", ""ARL14EP"", ""NUMB"", ""TJP3"", ""FSCN1"", ""LRP1"", ""SHROOM2"", ""NPM1"", ""NECTIN2"", ""CD2AP"", ""PPP1R12A"", ""MAGI2"", ""GIT2"", ""CTNNA2"", ""GRB2"", ""RPGRIP1L"", ""FRS2"", ""TGM2"", ""SSX2IP"", ""B4GALT1"", ""ARHGAP26"", ""SYMPK"", ""CCDC85A"", ""DOCK7"", ""ADD1"", ""EGFR"", ""PIP5K1A"", ""DNMBP"", ""AFAP1"", ""CYFIP1"", ""FRMPD2"", ""ITGA6"", ""TNKS1BP1"", ""SIRT2"", ""NRP1"", ""EPB41L2"", ""DAB2"", 
""SENP1"", ""MAPK1"", ""JUP"", ""CLASP2"", ""TRIOBP"", ""RSU1"", ""OBSCN"", ""USP53"", ""TJP1"", ""MPP2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.532224532224532","0.915468989501096","0.0778840111977068","0.189888920647305","0.97151425063277","291","c(""HSP90B1"", ""SNTB1"", ""ITGAV"", ""PPFIA1"", ""PDIA3"", ""BCAR1"", ""CNN3"", ""HSPA5"", ""ANXA6"", ""RDX"", ""MAP2K1"", ""PVR"", ""STX16"", ""CALR"", ""PIP5K1C"", ""PPP1CC"", ""HSPA9"", ""GIT1"", ""ITGB1"", ""MAPRE2"", ""SPRY4"", ""HSPB1"", ""FLOT1"", ""PACSIN2"", ""NEDD9"", ""SYNE2"", ""DDR2"", ""SDCBP"", ""P4HB"", ""ARF1"", ""PTPRC"", ""ACTN4"", ""CLTC"", ""IGF2R"", ""MYH9"", ""RPLP2"", ""SH3KBP1"", ""TES"", ""RHOB"", ""ITGB1BP1"", ""CDC42"", ""CAPN2"", ""RPS18"", ""CLASP1"", ""MPRIP"", ""LIMD1"", ""RPS29"", ""LIMS1"", ""PDPK1"", ""ACTN2"", ""ADAM9"", ""ADAM10"", ""ATP6V0C"", ""ALCAM"", ""RPL12"", 
""RALA"", ""RAC1"", ""HSPA8"", ""PARVA"", ""RPL19"", ""ARPC1B"", ""PALLD"", ""PCBP2"", ""RPL8"", ""ENAH"", ""PLEC"", ""SDC4"", ""ANXA5"", ""YWHAG"", ""CD9"", ""PTPN12"", ""RPL38"", ""HSPA1B"", ""VCL"", ""RPL30"", ""CD99"", ""RPL6"", ""MAPRE1"", ""RPS4X"", ""FAM107A"", ""PAK4"", ""RPS13"", ""CTTN"", ""RPS7"", ""NME2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0123797420400049","0.252202627510024","0.380730400722792","0.271895190898646","1.36902261989534","243","c(""PAM"", ""ITGAV"", ""PDIA3"", ""HLA-DMA"", ""MAP3K5"", ""NT5E"", ""ABCC4"", ""TNFRSF14"", ""HSPA5"", ""PDIA4"", ""KIT"", ""EMP2"", ""DCBLD2"", ""RER1"", ""HSP90AB1"", ""HSPD1"", ""SORT1"", ""PVR"", ""SLC1A4"", ""CALR"", ""CD58"", ""ERP44"", ""FZD3"", ""HMGB1"", ""ITGA10"", ""OSMR"", ""ITGB1"", ""GSR"", ""ANTXR1"", ""HNRNPU"", ""FLOT1"", ""SERPINF2"", ""P4HB"", ""BMPR1A"", ""HAVCR2"", ""BTN2A2"", ""CLSTN3"", ""PTPRC"", ""SLC1A3"", ""PKD1"", ""LRP8"", ""IGF2R"", ""KCNJ3"", ""ITGA9"", ""BTN2A1"", ""CD276"", ""TNFRSF1A"", ""CAPN2"", ""FZD6"", ""MFGE8"", ""CSPG5"", ""ERMAP"", ""CNTNAP2"", ""SPA17"", ""EFNA5"", 
""CD55"", ""KLRD1"", ""RARA"", ""ADAM9"", ""ADAM10"", ""TRPV1"", ""ARSB"", ""ALCAM"", ""IL6R"", ""SLC1A1"", ""LRRC8A"", ""SLC7A11"", ""TSPEAR"", ""RALA"", ""ROR1"", ""ENO2"", ""ENTPD6"", ""RPS6KB1"", ""ROBO1"", ""IL6ST"", ""INSR"", ""PRNP"", ""SDC4"", ""ANXA5"", ""CSF2RA"", ""CD24"", ""CD9"")"
