"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.774263904034896","0.966965433992915","0.0292103127923884","-0.186221753580819","-0.89095737813802","372","c(""CDON"", ""CDH1"", ""ETS1"", ""GLI3"", ""BOC"", ""PTPRF"", ""FLNA"", ""LAMB1"", ""DAB1"", ""MAGI1"", ""ITGA11"", ""NLGN1"", ""MAD1L1"", ""EXT1"", ""FBLIM1"", ""SDK2"", ""WNT5A"", ""MYL9"", ""NPNT"", ""NEXN"", ""SPINT2"", ""ZC3H8"", ""IL15"", ""SWAP70"", ""PTPRU"", ""SRC"", ""GLI2"", ""CLDN11"", ""KIRREL1"", ""CTNND1"", ""TENM3"", ""GPC4"", ""FN1"", ""JAM2"", ""PEAR1"", ""CD81"", ""DLG3"", ""KIFC3"", ""JAM3"", ""DLG4"", ""PAG1"", ""DSP"", ""NCK2"", ""FLOT1"", ""DLG5"", ""TLN1"", ""PLXNB2"", ""CLSTN1"", ""CDH5"", ""ACTG1"", ""VSIR"", ""NRXN2"", ""PIP5K1C"", ""NRXN3"", ""CD2AP"", ""ACTB"", ""STXBP3"", ""TENM2"", 
""PCDH15"", ""CELSR1"", ""DENND6A"", ""SCARF2"", ""WNK1"", ""NEO1"", ""ROCK1"", ""STXBP1"", ""MAP2K5"", ""DLG1"", ""NKAP"", ""CD58"", ""ERBB2"", ""PTK2"", ""CTNNA3"", ""THBS4"", ""B2M"", ""PAK4"", ""FGL2"", ""RPS3"", ""NPTN"", ""CDH13"", ""LPP"", ""DSCAML1"", ""NECTIN2"", ""JUP"", ""ITGB5"", ""SART1"", ""RAB10"", ""CLSTN2"", ""FXYD5"", ""ITPKB"", ""TNIP1"", ""ADGRL1"", ""FAT1"", ""IL1RAPL1"", ""NTN1"", ""MBP"", ""CCN1"", ""ITGA8"", ""OBSCN"", ""CDHR3"", ""ADGRL3"", ""PTPRM"", ""CD99"", ""ASTN2"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.361809045226131","0.818947086266426","0.16440575583821","0.209810032739068","1.02910936434382","124","c(""NFKBIZ"", ""CBLB"", ""FYN"", ""CBFB"", ""GOLPH3"", ""HSPD1"", ""PTPN2"", ""HSPH1"", ""FOXO3"", ""PELI1"", ""XBP1"", ""PRKCQ"", ""CD55"", ""PTPN11"", ""ZDHHC21"", ""BCL6"", ""NR4A3"", ""ZBTB16"", ""EFNB2"", ""EZR"", ""HMGB1"", ""IL6ST"", ""JAK2"", ""FLOT2"", ""PRKAR1A"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.43957345971564","0.871539962155607","0.059476028695732","-0.224483117920277","-1.00910347441027","190","c(""EPB41L4B"", ""ETS1"", ""GLI3"", ""CYTH3"", ""FLNA"", ""FOXC2"", ""MAGI1"", ""WNT5A"", ""ATM"", ""DOCK5"", ""COL26A1"", ""NPNT"", ""COL16A1"", ""PTPRJ"", ""IL15"", ""DOCK1"", ""TPM1"", ""PTPRU"", ""SRC"", ""GLI2"", ""ARPC2"", ""FN1"", ""CD81"", ""CDK6"", ""NCK2"", ""FLOT1"", ""CRKL"", ""EGFLAM"", ""IFT74"", ""VSIR"", ""NEDD9"", ""LDB1"", ""DENND6A"", ""ROCK1"", ""CD36"", ""P4HB"", ""NKAP"", ""CARMIL1"", ""ERBB2"", ""RSU1"", ""VIT"", ""B2M"", ""RPS3"", ""CDH13"", ""JUP"", ""SART1"", ""SFRP2"", ""CDC42"", ""ITPKB"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.261682242990654","0.77301411784235","0.188204146308491","0.229028336233962","1.08184504320955","97","c(""NFKBIZ"", ""FYN"", ""CBFB"", ""HSPD1"", ""TJP1"", ""HSPH1"", ""FOXO3"", ""XBP1"", ""PRKCQ"", ""CD55"", ""PTPN11"", ""PLAUR"", ""BCL6"", ""NR4A3"", ""ZBTB16"", ""EFNB2"", ""HMGB1"", ""IL6ST"", ""JAK2"", ""FLOT2"", ""AMBRA1"", ""MEGF10"", ""DOCK8"", ""SKAP1"", ""STAT5B"", ""IL18"", ""TGFBR2"", ""CARD11"", ""ZBTB1"", ""KIFAP3"", ""ANK3"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.10357187742879","0.609276129813372","0.287805130535564","0.27143925023547","1.23888920312525","76","c(""NFKBIZ"", ""FYN"", ""CBFB"", ""HSPD1"", ""HSPH1"", ""FOXO3"", ""XBP1"", ""PRKCQ"", ""CD55"", ""PTPN11"", ""BCL6"", ""NR4A3"", ""ZBTB16"", ""EFNB2"", ""HMGB1"", ""IL6ST"", ""JAK2"", ""FLOT2"", ""AMBRA1"", ""DOCK8"", ""SKAP1"", ""STAT5B"", ""IL18"", ""TGFBR2"", ""CARD11"", ""ZBTB1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.413186813186813","0.85713582590659","0.0588438169595807","-0.21585885022831","-1.02374004581468","334","c(""EPB41L4B"", ""CDH1"", ""ETS1"", ""GLI3"", ""ST6GAL1"", ""CYTH3"", ""FLNA"", ""FOXC2"", ""DAB1"", ""MAGI1"", ""MMP14"", ""MAD1L1"", ""WASHC2C"", ""WNT5A"", ""ATM"", ""DOCK5"", ""COL26A1"", ""NPNT"", ""COL16A1"", ""PTPRJ"", ""PLXNA2"", ""SPINT2"", ""ZC3H8"", ""IL15"", ""DOCK1"", ""SWAP70"", ""ATXN3"", ""GPM6B"", ""TPM1"", ""PTPRU"", ""SRC"", ""GLI2"", ""ARPC2"", ""TENM3"", ""ROCK2"", ""RASA1"", ""FN1"", ""CD81"", ""JAM3"", ""CDK6"", ""PAG1"", ""NCK2"", ""FLOT1"", ""DLG5"", ""CRKL"", ""PLXNB2"", ""ACTG1"", ""EGFLAM"", ""IFT74"", ""VSIR"", ""NEDD9"", ""LMO7"", ""PPP2R1A"", ""LDB1"", ""SPOCK1"", ""DENND6A"", 
""WNK1"", ""ROCK1"", ""CD36"", ""MAP2K5"", ""P4HB"", ""DLG1"", ""NKAP"", ""CARMIL1"", ""TBCD"", ""PLXNA4"", ""ERBB2"", ""PTK2"", ""RSU1"", ""NUAK1"", ""VIT"", ""B2M"", ""FGL2"", ""RPS3"", ""CDH13"", ""LAMA4"", ""JUP"", ""SART1"", ""CORO1C"", ""SFRP2"", ""PML"", ""FXYD5"", ""DAPK3"", ""CDC42"", ""ITPKB"", ""PLXNC1"", ""MBP"", ""PEAK1"", ""CCN1"", ""CLASP2"", ""UTRN"", ""SLC9A1"", ""CASK"", ""WDPCP"", ""RC3H2"", ""PRKD2"", ""DLL1"", ""ARHGDIA"", ""ITGB1BP1"", ""TFRC"", ""COL8A1"", ""PKD1"", ""COL1A1"", ""FBLN1"", ""VAV3"", ""BCAS3"", ""STK4"", ""HLA-A"", ""RIN2"", ""ASS1"", ""NF1"", ""ILK"", ""PIK3R1"", ""MMP2"", 
""DAB2"", ""BCL2"", ""BMP7"", ""TSC1"", ""PRNP"", ""NRP1"", ""CD46"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.320224719101124","0.804292883340814","0.186432558434075","0.199079462942352","1.02456377598958","165","c(""PTPRG"", ""NFKBIZ"", ""CBLB"", ""FYN"", ""CBFB"", ""EFNA5"", ""HSPD1"", ""TJP1"", ""PTPN2"", ""HSPH1"", ""FOXO3"", ""PELI1"", ""XBP1"", ""PRKCQ"", ""CD55"", ""PTPN11"", ""PLAUR"", ""ZDHHC21"", ""BCL6"", ""MAPK14"", ""ABL1"", ""CD9"", ""NR4A3"", ""ZBTB16"", ""EFNB2"", ""HMGB1"", ""IL6ST"", ""JAK2"", ""PKHD1"", ""FLOT2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.00167955667507873","0.258370066127762","0.45505986738723","-0.285435027938581","-1.39800653712886","512","c(""TNS3"", ""EPB41L4B"", ""PDGFRB"", ""CDH1"", ""PLXDC1"", ""AHNAK"", ""PARD3B"", ""CYTH3"", ""PARD6G"", ""FLNB"", ""GAB1"", ""BCAR3"", ""FLNA"", ""ARHGAP31"", ""MAGI1"", ""PKN2"", ""CAT"", ""PRKCI"", ""GJC1"", ""ITGA11"", ""MMP14"", ""FBLIM1"", ""ITGB8"", ""RPS5"", ""LIMA1"", ""ZFYVE21"", ""RPS19"", ""DST"", ""PLEC"", ""RPL7A"", ""RPS15"", ""RPL18"", ""ITGB4"", ""ADD1"", ""LASP1"", ""DOCK7"", ""SORBS3"", ""PTPRJ"", ""SNTB2"", ""PFN1"", ""AMOTL2"", ""AFAP1"", ""CD99L2"", ""NEXN"", ""FBF1"", ""IQGAP1"", ""MPP7"", ""RPL10A"", ""RPS11"", ""PTPRU"", ""SRC"", ""TGFBR1"", ""ARPC2"", ""CLDN11"", ""KIRREL1"", ""CTNND1"", 
""TSPAN4"", ""RPS2"", ""TNS1"", ""TLE2"", ""JAM2"", ""PGM5"", ""EIF4G2"", ""CD81"", ""DLG3"", ""PATJ"", ""KIFC3"", ""JAM3"", ""MPRIP"", ""ARHGEF2"", ""DMD"", ""CAPN2"", ""RPS17"", ""TNS2"", ""DSP"", ""LMLN"", ""MAGI3"", ""EPB41L2"", ""FLOT1"", ""TLN1"", ""ARPC1B"", ""PAK1"", ""USP33"", ""CBL"", ""NPM1"", ""CDH5"", ""ACTG1"", ""RPL3"", ""MXRA8"", ""SCN1B"", ""WASF2"", ""NEDD9"", ""FRMD4A"", ""LMO7"", ""PIP5K1C"", ""WASF1"", ""CD2AP"", ""CYFIP1"", ""ACTB"", ""PMP22"", ""RPS16"", ""SDCCAG8"", ""RPL37A"", ""SCARF2"", ""SYNPO"", ""DBN1"", ""GDI2"", ""SH3KBP1"", ""P4HB"", ""DLG1"", ""PCBP2"", ""CAV2"", ""ATP6V0C"", 
""DDX58"", ""TBCD"", ""RALA"", ""RPS8"", ""PTK2"", ""RPS18"", ""JCAD"", ""HEG1"", ""CTNNA3"", ""WTIP"", ""SIRT2"", ""RSU1"", ""ABI2"", ""RPLP0"", ""APC"", ""RPL27"", ""ENAH"", ""B2M"", ""PAK4"", ""EVL"", ""RPS3"", ""CDH13"", ""LPP"", ""DDR2"", ""ARL14EP"", ""PNN"", ""NECTIN2"", ""HSPG2"", ""JUP"", ""PDCD6IP"", ""ITGB5"", ""CHP1"", ""RPGRIP1L"", ""CORO1C"", ""TNKS1BP1"", ""CD59"", ""RAB10"", ""CFL1"", ""YWHAE"", ""ZYX"", ""REXO2"", ""CDC42"", ""CPNE3"", ""RPL8"", ""RPL23"", ""RPS7"", ""PRAG1"", ""FAT1"", ""RPL7"", ""PDLIM7"", ""PEAK1"", ""ITGA8"", ""CLASP2"", ""OBSCN"", ""CDHR3"", ""ADGRL3"", ""RPL5"", ""PTPRM"", 
""CD99"", ""RPL6"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.00109052097493315","0.258370066127762","0.45505986738723","-0.312320179062792","-1.47612364190054","318","c(""TNS3"", ""PDGFRB"", ""AHNAK"", ""FLNB"", ""BCAR3"", ""FLNA"", ""ARHGAP31"", ""CAT"", ""ITGA11"", ""MMP14"", ""FBLIM1"", ""ITGB8"", ""RPS5"", ""LIMA1"", ""ZFYVE21"", ""RPS19"", ""DST"", ""PLEC"", ""RPL7A"", ""RPS15"", ""RPL18"", ""ITGB4"", ""ADD1"", ""LASP1"", ""DOCK7"", ""SORBS3"", ""SNTB2"", ""PFN1"", ""AFAP1"", ""CD99L2"", ""NEXN"", ""IQGAP1"", ""RPL10A"", ""RPS11"", ""SRC"", ""ARPC2"", ""TSPAN4"", ""RPS2"", ""TNS1"", ""TLE2"", ""PGM5"", ""CD81"", ""MPRIP"", ""ARHGEF2"", ""DMD"", ""CAPN2"", ""RPS17"", ""TNS2"", ""LMLN"", ""EPB41L2"", ""FLOT1"", ""TLN1"", ""ARPC1B"", ""PAK1"", ""USP33"", ""CBL"", ""NPM1"", 
""ACTG1"", ""RPL3"", ""NEDD9"", ""LMO7"", ""PIP5K1C"", ""WASF1"", ""CYFIP1"", ""ACTB"", ""RPS16"", ""RPL37A"", ""SCARF2"", ""GDI2"", ""SH3KBP1"", ""P4HB"", ""PCBP2"", ""CAV2"", ""ATP6V0C"", ""RALA"", ""RPS8"", ""PTK2"", ""RPS18"", ""RSU1"", ""RPLP0"", ""RPL27"", ""ENAH"", ""B2M"", ""PAK4"", ""EVL"", ""RPS3"", ""CDH13"", ""LPP"", ""DDR2"", ""ARL14EP"", ""NECTIN2"", ""HSPG2"", ""JUP"", ""PDCD6IP"", ""ITGB5"", ""CHP1"", ""CORO1C"", ""CD59"", ""RAB10"", ""CFL1"", ""YWHAE"", ""ZYX"", ""REXO2"", ""CDC42"", ""CPNE3"", ""RPL8"", ""RPL23"", ""RPS7"", ""PRAG1"", ""FAT1"", ""RPL7"", ""PDLIM7"", ""PEAK1"", ""ITGA8"", ""CLASP2"", 
""RPL5"", ""CD99"", ""RPL6"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.447072072072072","0.87635678679585","0.0562940749700968","-0.215604584408904","-1.00938926331702","282","c(""PDGFRB"", ""LRP4"", ""DIP2A"", ""SLC4A4"", ""ADGRA2"", ""ANXA4"", ""SPARC"", ""ITGA11"", ""SORL1"", ""NLGN1"", ""PLA2R1"", ""ITGB8"", ""TMEM123"", ""ANPEP"", ""TSPAN14"", ""SCUBE1"", ""WNT5A"", ""RER1"", ""CLEC2D"", ""SULF2"", ""ITGB4"", ""ROR1"", ""PTPRJ"", ""CD99L2"", ""TGFBR3"", ""SULF1"", ""HLA-B"", ""IL15"", ""UNC5C"", ""LIFR"", ""TGFBR1"", ""LRPAP1"", ""TNS1"", ""GPC4"", ""JAM2"", ""DMD"", ""CAPN2"", ""FLOT1"", ""TLN1"", ""PLXNB2"", ""CLSTN1"", ""PTGFRN"", ""CDH5"", ""ENOX1"", ""NOTCH2"", ""MXRA8"", ""ANTXR1"", ""INTU"", ""ABCA1"", ""FGFR2"", ""LMO7"", ""TMEM8B"", ""CTSB"", ""TRPV1"", ""LRFN2"", 
""NEO1"", ""VAMP4"", ""CD36"", ""P4HB"", ""GPC5"", ""BACE1"", ""ATP6AP2"", ""CD58"", ""RALA"")"
