gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr19-18023529-18024530,4.949456348,6.299540808,8.123440029,3.8166739306618e-10,3.48843997262488e-06,12.67333335
chr22-35352327-35353265,4.174775389,6.477774644,7.559193786,2.35677810168532e-09,1.07704759247019e-05,11.05125756
chr8-104329640-104330550,4.255700815,5.866289032,7.317374218,5.18424375709762e-09,1.57946626466241e-05,10.15300259
chr10-132335036-132336126,4.51383027,5.98595478,7.070819192,1.16294293301374e-08,2.6573246019364e-05,9.47467672
chr1-27631311-27632247,3.679424234,6.426616968,6.247889247,1.75970808332359e-07,0.000321675,7.088916944
chr1-158285546-158286478,4.232183182,5.883926931,6.079038507,3.07785661262576e-07,0.00046886,6.500251952
chr2-218370258-218371112,3.564043544,6.31438209,5.62867136,1.36402859889399e-06,0.001781032,5.182359493
chr19-39398274-39398939,3.723106247,6.395439172,5.521063662,1.94445073130391e-06,0.001967894,4.876022538
chr1-41802704-41803677,4.075263645,5.882212433,5.469103454,2.30695132599928e-06,0.001967894,4.68086451
chr12-110693864-110694912,3.389971274,6.065334963,5.420745239,2.70435013401531e-06,0.001967894,4.552393723
chr10-128064254-128065209,3.63854389,6.119922904,5.41518141,2.75422802199428e-06,0.001967894,4.535053103
chr19-14784627-14785639,3.46179513,6.03298652,5.406671463,2.83228987282623e-06,0.001967894,4.511888719
chr17-8156162-8157068,2.417166714,7.750119986,5.401920816,2.87681927197148e-06,0.001967894,4.549033522
chr12-57458943-57459792,2.978298079,6.208561414,5.387703505,3.01427911118122e-06,0.001967894,4.447133167
chr6-41723198-41724141,3.229241292,6.014665391,5.247105821,4.7782130211019e-06,0.002911524,4.022877368
chr3-183306631-183307536,3.398378361,6.022838231,5.21224303,5.35502669070316e-06,0.003059059,3.929025796
chr22-37284443-37285611,3.726452742,5.863784149,5.138586999,6.81028315592533e-06,0.003661529,3.692665727
chr22-50539197-50540250,3.045037138,6.025844786,5.079569545,8.25358143309712e-06,0.004190985,3.531273935
chr10-124144759-124145826,2.810402294,6.186713254,5.037049736,9.4772084759533e-06,0.004559036,3.412343268
chr19-13102495-13103474,2.671257205,7.07993583,4.999085854,1.0720323932032e-05,0.004885958,3.324093955
chr7-75617152-75618412,3.166992162,5.964519232,4.977715251,1.14896341672672e-05,0.004885958,3.226170345
chr11-107927596-107928995,2.745038059,6.589039634,4.97052587,1.17605105270583e-05,0.004885958,3.231696002
chr7-26864231-26865284,2.930113219,7.166625826,4.908772886,1.43626060698061e-05,0.005707575,3.05226792
chr7-101856415-101857430,3.008059623,6.213201834,4.857565905,1.6945273377768e-05,0.006453325,2.889465843
chr12-26124582-26125470,2.783905047,6.505999532,4.819432619,1.91613182799212e-05,0.007005378,2.784504785
chr10-22436623-22437479,2.721991823,6.761804242,4.797659355,2.05523465537025e-05,0.00722494,2.723079854
chr6-26272539-26273448,2.810767387,6.597061917,4.776198513,2.20206866745069e-05,0.007236082,2.658650165
chr3-46089085-46090061,3.235224979,6.185792687,4.774131859,2.2167427351284e-05,0.007236082,2.647331129
chr19-3132902-3133843,2.855253462,6.100976409,4.704233877,2.77398019316091e-05,0.00874282,2.437135163
chr6-139839395-139840314,3.279807324,5.923487538,4.665140527,3.14357606854163e-05,0.009577428,2.321588727
chr12-124453192-124454148,3.290515589,6.26139448,4.626073287,3.56121249016976e-05,0.010499833,2.216101383
chr12-46383104-46383925,2.353515133,7.398509376,4.614869552,3.69073654383792e-05,0.010541666,2.171735081
chr16-68470181-68471181,3.076484971,5.867536733,4.600845344,3.85940803857999e-05,0.010689391,2.132574728
chr19-17847416-17848351,2.816937392,6.140537016,4.588002402,4.02050376384443e-05,0.01080806,2.102500243
chr8-1745792-1746603,3.049252965,5.947121572,4.538175333,4.71044478678028e-05,0.01230099,1.955170557
