gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,-2.349926097,13.98245637,-833.1950205,0,0,347095.0193
chr8-26577116-26577967,-4.740900718,7.355688653,-4.636525022,3.56315932415786e-06,0.019937658,4.045363426
chr12-54352938-54353843,-8.927128514,5.722250959,-4.269979091,1.96296532762031e-05,0.056528097,1.494187313
chr3-71135003-71136029,-9.955551517,5.116501576,-4.263527932,2.02048420381978e-05,0.056528097,1.149008135
chr14-22977475-22978426,-10.20487409,4.894264287,-4.155728651,3.25456976920059e-05,0.072843781,0.680026138
chr19-38402707-38403576,-6.192077382,6.407452483,-4.029305892,5.61265809406423e-05,0.104685428,1.317723275
chr1-43172032-43172895,-7.954096953,5.75096984,-3.766671016,0.000165862,0.185616594,-0.027025634
chr16-21611521-21612510,-8.609726999,5.428913096,-3.789739888,0.0001512,0.185616594,-0.119428098
chr16-2905225-2906177,-3.957364363,8.015235988,-3.815962987,0.000136018,0.185616594,0.841624404
chr8-23287699-23288604,-9.127482559,5.439767369,-3.784253111,0.000154573,0.185616594,-0.273508765
chr16-50806065-50807011,-8.174011232,5.154111599,-3.541170164,0.000399166,0.294203308,-0.795842827
chr16-67191731-67192657,-8.527074724,5.669519307,-3.550317351,0.000385556,0.294203308,-0.851702486
chr16-8673914-8674944,-6.770074177,5.981001329,-3.587638692,0.000334398,0.294203308,-0.334307482
chr3-123085282-123086133,-8.675670672,5.097996357,-3.527320578,0.000420628,0.294203308,-0.955625955
chr5-132265474-132266358,-6.979370804,6.11810636,-3.557312511,0.000375442,0.294203308,-0.475188158
chr9-27645040-27646036,-6.452215361,6.073781045,-3.533987805,0.000410165,0.294203308,-0.439597447
chr11-69638747-69639631,-7.355256574,5.653975559,-3.496616186,0.000472112,0.31078865,-0.745016475
chr19-11694519-11695458,-8.135809444,5.242698045,-3.443280784,0.000575754,0.357958882,-1.078137957
chr11-71252401-71253221,-6.478185764,6.024804823,-3.395497086,0.000686231,0.404189952,-0.87062951
chr15-63093105-63094228,-6.492537115,5.792601889,-3.36140521,0.000776767,0.434639965,-0.974809144
chr19-34999874-35000777,-6.083544769,6.019963401,-3.336483979,0.000849834,0.452880544,-0.974665761
chr10-102114579-102115427,-7.959792177,5.826755385,-3.228889439,0.001244511,0.458964128,-1.640284098
chr10-123008430-123009341,-7.971050941,5.470836224,-3.299649787,0.000969567,0.458964128,-1.450153692
chr10-7563271-7564252,-8.230483391,4.989011382,-3.314070589,0.000920942,0.458964128,-1.465241542
chr11-75814575-75815512,-3.551507565,8.325518846,-3.236311425,0.001212612,0.458964128,-1.034649857
chr12-132904329-132905455,-8.838659761,4.488771053,-3.265295199,0.001095143,0.458964128,-1.725062656
chr16-85202406-85203357,-7.770636304,5.668240319,-3.268351086,0.001083392,0.458964128,-1.494717494
chr17-44344854-44345684,-6.600214923,5.509519981,-3.258084178,0.001123343,0.458964128,-1.293768219
chr19-14005747-14006920,-5.128558969,7.154777133,-3.19493854,0.001400545,0.458964128,-1.244643471
chr19-48720319-48721376,-6.355156263,6.151221282,-3.294261453,0.000988339,0.458964128,-1.145803802
chr22-30968696-30969653,-5.24475611,6.791638307,-3.206392622,0.001345993,0.458964128,-1.226265141
chr5-34657313-34658169,-8.189573837,5.338091789,-3.210982516,0.001324688,0.458964128,-1.734390539
chr7-5045508-5046419,-6.601951642,5.792601889,-3.188850614,0.001430363,0.458964128,-1.487212869
chr8-126743527-126745028,-8.211894114,4.894264287,-3.187830509,0.001435416,0.458964128,-1.799488855
chr9-94374083-94374995,-7.654108132,5.256511424,-3.229837588,0.001240393,0.458964128,-1.576077959
chr14-103393656-103394625,-8.228049786,4.94251539,-3.170871392,0.001521873,0.473091222,-1.846656257
chr15-78065141-78066061,-7.539560606,5.04718726,-3.048948145,0.002299122,0.61807815,-2.025497816
