gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr5-127072993-127073930,6.089956314,4.672672158,4.121098035,3.77871218564465e-05,0.358278596,0.422646941
chr9-17294781-17295719,5.29442149,4.418822909,4.154633174,3.26522949207604e-05,0.358278596,0.961768788
chr1-105872749-105873822,6.151655522,4.371340015,3.284354228,0.001023089,0.710404658,-2.071936019
chr1-16913615-16914536,-1.867510825,7.836823675,-3.129327045,0.0017534,0.710404658,-1.353804801
chr1-194230102-194231069,6.039274783,3.836988792,3.426939239,0.000611073,0.710404658,-1.67079205
chr1-220475559-220476566,6.719058228,3.690096208,3.393800731,0.000690003,0.710404658,-2.004704124
chr1-23837814-23838876,4.944591934,3.836988792,2.941124677,0.003272204,0.710404658,-2.480482839
chr1-43348723-43349694,-2.647958935,6.023220126,-3.070003447,0.002142075,0.710404658,-1.54251336
chr1-84781930-84783618,4.391352864,5.253724644,3.047364175,0.002310166,0.710404658,-2.055530274
chr10-1638729-1639725,4.727002995,5.072223809,2.965623253,0.003022584,0.710404658,-2.357927963
chr10-27198033-27198919,5.762376098,4.314500529,2.996189884,0.002735528,0.710404658,-2.605378344
chr10-42367444-42368306,3.56415905,5.627132948,2.976943673,0.002913213,0.710404658,-1.985587922
chr10-54262142-54263062,5.816439755,4.326755368,3.559644095,0.000371811,0.710404658,-1.219202268
chr11-104564724-104565655,5.925862516,4.199911823,3.093449084,0.001979882,0.710404658,-2.442063639
chr11-117197531-117198345,5.70051378,3.804335424,2.944851675,0.003233056,0.710404658,-2.696311254
chr11-42881044-42882001,5.820684984,3.909007294,3.017316969,0.002551921,0.710404658,-2.577232058
chr11-6926184-6927130,6.172002479,3.836988792,3.027297801,0.002469164,0.710404658,-2.65972873
chr11-80532565-80533517,6.77521727,3.425935791,3.43635773,0.000590224,0.710404658,-1.920190618
chr11-81693613-81694703,5.751937931,3.909007294,2.970696916,0.00297311,0.710404658,-2.656710639
chr11-94237656-94238677,4.590037438,4.699383943,3.505718025,0.000455903,0.710404658,-0.869320117
chr12-111034293-111035201,-5.951254602,4.682076397,-3.241656727,0.001189396,0.710404658,-2.105842201
chr12-68358274-68359429,5.493580961,3.959816391,2.996356116,0.002734038,0.710404658,-2.52418033
chr12-83232221-83233585,5.404167675,3.756084321,2.942505587,0.003257649,0.710404658,-2.614934226
chr13-68700741-68701702,5.404167675,3.756084321,2.942505587,0.003257649,0.710404658,-2.614934226
chr13-75480489-75481511,5.886918218,4.413560728,3.366631282,0.000761679,0.710404658,-1.770349123
chr14-105765395-105767987,5.966033649,4.354319055,3.156758678,0.001596582,0.710404658,-2.311167532
chr14-22977475-22978426,5.356872502,4.346804407,2.941284225,0.00327052,0.710404658,-2.603607599
chr15-89485872-89487670,6.202567518,4.495651873,3.632978129,0.000280538,0.710404658,-1.172558323
chr16-34163157-34164052,4.09360264,5.072223809,3.219597118,0.001284789,0.710404658,-1.507013387
chr17-52883579-52884628,5.971497641,4.223976808,3.402190227,0.000669171,0.710404658,-1.709803094
chr18-110714-111323,4.819078581,4.485579231,3.012260615,0.002594808,0.710404658,-2.27737589
chr18-48896456-48897508,5.815247625,4.402919648,3.034263746,0.002412867,0.710404658,-2.538750444
chr19-13879879-13880796,2.361941293,6.400737752,3.005365509,0.002654353,0.710404658,-1.686570996
chr19-18322714-18323629,-2.138139082,6.114435765,-3.031633135,0.002433987,0.710404658,-1.608840596
chr19-54238925-54239924,5.135647714,4.544252466,3.153162393,0.001616378,0.710404658,-2.040900021
chr19-7868718-7869794,2.230612369,6.564081984,3.252936207,0.00114319,0.710404658,-0.9856029
chr2-120406392-120407547,5.176486662,3.867084166,3.144436196,0.001665356,0.710404658,-2.076385965
chr2-241686468-241687419,-2.647736026,5.780211728,-2.993206709,0.002762405,0.710404658,-1.748232609
chr2-25228643-25229474,6.110177639,3.695655974,3.191759452,0.001415243,0.710404658,-2.277443812
chr2-90387618-90388529,6.458221995,3.786179695,3.217966829,0.001292112,0.710404658,-2.330683545
chr20-30629069-30629898,5.780655919,3.992590892,2.986331906,0.002825263,0.710404658,-2.631886644
chr20-31057564-31058477,3.996404145,5.777899699,3.163956923,0.001557627,0.710404658,-1.625917081
chr22-20161077-20162462,5.513643395,4.031834893,3.050867229,0.00228339,0.710404658,-2.4083574
chr22-20964759-20965591,4.06021731,5.170565513,3.163205232,0.001561653,0.710404658,-1.648718782
chr22-26292119-26293469,6.101680693,3.776560445,3.222010906,0.001274017,0.710404658,-2.203906637
chr22-48416922-48418024,4.603187691,3.84450344,2.975695846,0.002925089,0.710404658,-2.296045998
chr3-119084155-119085344,5.509374881,4.314500529,3.059821826,0.002216233,0.710404658,-2.386620044
chr3-177899272-177900371,6.554910456,3.751771216,3.280975949,0.001035419,0.710404658,-2.217325268
chr3-194255168-194256189,5.654123106,3.834430798,3.128687781,0.001757218,0.710404658,-2.274263448
chr3-42486124-42487167,5.280349446,4.112739364,3.073807308,0.002114959,0.710404658,-2.280657629
chr3-79929890-79930811,4.780246497,4.128686589,3.07583607,0.002100626,0.710404658,-2.111767051
chr3-87977641-87978876,6.425203738,3.935751406,3.218367593,0.001290308,0.710404658,-2.31909882
