gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr16-46390108-46390985,0.441558499,14.52014935,6.106628041,1.08606612351358e-09,3.038813013591e-06,11.54728374
KI270728.1-1791103-1791968,4.455686565,9.027112069,3.85119696,0.000118855,0.166277446,-2.629808567
chr1-225923873-225924781,4.304891564,8.93869295,3.642488775,0.000272458,0.254112656,-2.90629303
chr1-112714939-112715816,5.087698226,7.966078514,2.968404191,0.003006191,0.63464486,-3.994273812
chr1-11680694-11681658,-3.923940272,8.238943924,-2.161922719,0.030666388,0.63464486,-4.341423645
chr1-12018856-12019860,3.741706387,7.93286038,2.066857404,0.03879348,0.63464486,-4.36881028
chr1-155255072-155255932,-6.144779204,7.813401651,-2.809255143,0.004982856,0.63464486,-4.247708333
chr1-156282307-156283255,-4.765103086,7.882051283,-2.474064427,0.013388003,0.63464486,-4.273556027
chr1-160205115-160206050,3.529859932,7.817547429,1.908098989,0.056429547,0.63464486,-4.419955117
chr1-165630583-165631505,-4.293152877,7.817547429,-2.245192843,0.024794645,0.63464486,-4.339170672
chr1-17539362-17540262,4.332119921,7.200807476,1.952511165,0.050927337,0.63464486,-4.458471839
chr1-181412781-181413891,-3.974629314,8.292954564,-1.980597263,0.047685347,0.63464486,-4.425808557
chr1-1908710-1909584,-5.174901018,8.0233841,-2.617151434,0.008890554,0.63464486,-4.243520538
chr1-206684454-206685354,3.849035919,7.599883004,2.033239328,0.042075447,0.63464486,-4.394240839
chr1-207052750-207053688,-4.343734205,8.468695861,-2.223006659,0.026255149,0.63464486,-4.354643468
chr1-2687786-2688626,3.452525718,7.958880247,1.853654685,0.06384117,0.63464486,-4.435754984
chr1-27575276-27576107,-4.833622394,7.757119082,-2.06341248,0.039119469,0.63464486,-4.451042646
chr1-30717893-30718928,-3.142372793,9.196268216,-1.878401031,0.060378273,0.63464486,-4.397635623
chr1-32964281-32965241,-3.9204395,7.817547429,-1.935794782,0.052943146,0.63464486,-4.438683107
chr1-3624432-3625343,3.489581562,7.8984519,1.879000254,0.060296391,0.63464486,-4.428564497
chr1-56578938-56579735,4.903958984,7.39897978,2.150764234,0.031537508,0.63464486,-4.426565235
chr1-85276190-85277087,-4.820151638,8.391866898,-2.15022145,0.031580418,0.63464486,-4.421502509
chr1-96027618-96029514,3.304183099,7.495063267,1.960065202,0.050037722,0.63464486,-4.374977784
chr10-102393818-102394758,4.414993373,7.583482386,1.854034544,0.0637868,0.63464486,-4.490954447
chr10-116742312-116743305,3.531866116,9.112756731,2.092516757,0.03643725,0.63464486,-4.33257612
chr10-123153876-123154715,-3.714830879,7.924471767,-2.017648648,0.043675508,0.63464486,-4.388956593
chr10-1638729-1639725,3.521639857,7.478810516,2.021147163,0.043312054,0.63464486,-4.368121626
chr10-35336075-35337074,4.727096299,8.627210928,2.759574347,0.0058065,0.63464486,-4.086838885
chr10-42637929-42638823,3.992264742,7.834218899,1.968631313,0.049044723,0.63464486,-4.431587302
chr10-45000681-45001571,-4.569957937,7.521807379,-2.376085335,0.01753088,0.63464486,-4.30310332
chr10-54262142-54263062,4.647001419,7.485444017,2.770941666,0.005607899,0.63464486,-4.063591375
chr10-65888088-65889080,3.517480647,8.0233841,1.888489038,0.059012003,0.63464486,-4.42696507
chr10-81783928-81784866,-3.820023707,8.031622994,-1.949995607,0.051226512,0.63464486,-4.426101191
chr10-97425748-97426656,-3.927042338,7.583482386,-2.396010162,0.01660727,0.63464486,-4.205567088
chr11-104163782-104164705,3.851126202,7.882051283,2.089867695,0.036674721,0.63464486,-4.368866249
chr11-113773261-113774189,3.489581562,7.8984519,1.879000254,0.060296391,0.63464486,-4.428564497
chr11-11841494-11842381,-5.187215264,7.710623091,-2.25528099,0.024154172,0.63464486,-4.40779532
chr11-120511033-120511986,5.384916888,7.545872364,2.434863464,0.014928449,0.63464486,-4.352274516
chr11-124075463-124076615,4.828670118,7.495063267,2.252788137,0.024311088,0.63464486,-4.383384098
chr11-124739503-124740338,-5.256811267,7.43463492,-2.309048325,0.02097715,0.63464486,-4.392733597
chr11-125569014-125569925,-3.958582855,8.238943924,-2.014087916,0.044048069,0.63464486,-4.411437277
chr11-22829408-22830302,4.569303839,8.077562067,2.101875784,0.035608741,0.63464486,-4.42236114
chr11-3378698-3379597,-4.3135145,7.478810516,-1.993512007,0.046253873,0.63464486,-4.443924005
chr11-61361593-61362558,-4.57246039,7.518978532,-1.959415592,0.050113709,0.63464486,-4.468960633
chr11-66592643-66593564,-5.335462194,7.742970933,-2.36515923,0.018056238,0.63464486,-4.37678949
chr11-67955369-67956349,-4.77852972,7.545872364,-2.50710652,0.012200517,0.63464486,-4.257064224
chr11-69048514-69049363,-3.622597975,8.138547332,-2.472816008,0.013434807,0.63464486,-4.091833328
chr11-85627980-85628868,-4.654971332,7.777379412,-1.956716351,0.050430485,0.63464486,-4.473696734
chr11-96877201-96879038,-4.712449594,7.958880247,-2.027205479,0.042688712,0.63464486,-4.455788243
chr12-10212251-10213023,5.188891368,7.12033009,2.466783729,0.013663005,0.63464486,-4.321236132
chr12-103929751-103930560,-4.879896249,7.54331437,-1.941486178,0.052249466,0.63464486,-4.48750425
chr12-107317894-107318818,-5.062917717,7.974783507,-2.71410884,0.006665798,0.63464486,-4.171660307
chr12-113357859-113359058,3.95832423,7.545872364,2.300134039,0.021477247,0.63464486,-4.270318327
chr12-118016181-118017287,-5.992024445,7.872432033,-2.720651433,0.006535482,0.63464486,-4.276529873
chr12-119178336-119179252,-5.56110726,7.698795337,-2.426104584,0.01529327,0.63464486,-4.369308303
chr12-120686233-120687228,-4.94116576,7.495063267,-2.843400673,0.00447967,0.63464486,-4.063179498
chr12-12562391-12563299,-4.653618702,7.817547429,-2.204754214,0.027511886,0.63464486,-4.389177481
chr12-12890878-12891768,-4.482518234,7.817547429,-2.104385609,0.035389311,0.63464486,-4.415498638
chr12-48350460-48351389,-3.715791631,7.817547429,-1.994931994,0.046098713,0.63464486,-4.399078567
chr12-48681833-48682691,3.452525718,7.958880247,1.853654685,0.06384117,0.63464486,-4.435754984
chr12-49741076-49741893,-3.950738057,7.777379412,-1.960565474,0.04997927,0.63464486,-4.43165187
chr12-50084851-50085773,4.078349673,7.791527562,2.266002127,0.023489286,0.63464486,-4.304833625
chr12-53046883-53047840,3.414781258,7.821622936,1.923889494,0.054419099,0.63464486,-4.403071144
