gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr9-85741581-85742445,-2.622353051,6.622452612,-7.126102212,1.10E-12,1.10E-08,18.3024211,NA
chr11-75499317-75500356,-2.640846227,7.012734629,-7.016532876,2.42E-12,1.21E-08,17.54060902,NA
chr6-13574134-13574939,-2.604960959,6.598398783,-6.95835993,3.66E-12,1.22E-08,17.14762192,NA
chr7-36389334-36390204,-2.819310705,6.572625409,-6.784149649,1.23E-11,3.07E-08,15.94013901,NA
chr19-7098816-7099751,-2.883878453,7.151321916,-6.672768871,2.64E-11,5.27E-08,15.19408755,NA
chr1-222617457-222618266,-2.759377847,6.554359544,-6.568670464,5.33E-11,7.59E-08,14.54586563,NA
chr19-45862780-45863637,-2.340624625,7.055528666,-6.588953104,4.65E-11,7.59E-08,14.72411733,NA
chr6-79536952-79537866,-2.566432204,6.544867581,-6.432366561,1.31E-10,1.64E-07,13.71023335,NA
chr17-19362335-19363213,-2.399028266,6.632649015,-5.923589459,3.25E-09,3.60E-06,10.66522335,NA
chr3-93470143-93471055,0.53668698,13.97000785,5.754155555,8.96E-09,8.93E-06,8.768983909,NA
chr17-75515299-75516032,-3.734328199,6.88327682,-5.682804606,1.36E-08,1.04E-05,8.977895628,NA
chr5-170521872-170522883,4.875610361,6.607752273,5.685547429,1.34E-08,1.04E-05,8.422092075,NA
chr7-65037743-65038643,-2.766271862,6.496411764,-5.69280441,1.29E-08,1.04E-05,9.321024775,NA
chr20-21125519-21126444,-2.336284558,6.496411764,-5.589431049,2.34E-08,1.66E-05,8.803000306,NA
chr9-127899193-127900014,-2.443787274,6.458323671,-5.395071342,7.01E-08,4.66E-05,7.765211588,NA
chr17-39927167-39928129,-2.316185505,6.468653936,-5.354883209,8.75E-08,5.45E-05,7.563160039,NA
chr14-34982251-34983121,-2.402883633,6.445885412,-5.244506287,1.60E-07,9.38E-05,6.99538846,NA
chr19-12610542-12611417,-2.764350346,6.46006606,-5.197391861,2.06E-07,0.000108118,6.717144321,NA
chr5-139197924-139198822,-2.485193284,6.980138007,-5.200466236,2.03E-07,0.000108118,6.768049758,NA
