gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,0.382360347,13.97000785,88.39738214,0,0,3896.480988
chr9-4595840-4596778,1.787179363,5.446788226,4.860003357,1.18276193384496e-06,0.005894294,-2.408717195
chr11-75513326-75514474,1.719873762,5.568144932,4.561951447,5.09823470111111e-06,0.016938035,-2.756654715
chr22-19713852-19714819,1.497442207,5.739803412,3.9082602,9.32703849619885e-05,0.232406482,-3.307377842
chr1-100132542-100133463,0.312131258,7.421521694,1.13169729,0.257775335,0.988974857,-4.581349017
chr1-100249426-100250302,0.224602941,7.182416852,0.791220891,0.428824517,0.988974857,-4.674839455
chr1-10032396-10033272,0.350562822,8.120029262,1.680094576,0.092954585,0.988974857,-4.270246686
chr1-100360411-100361349,0.078649477,5.607174733,0.234791698,0.814372823,0.988974857,-4.716463478
chr1-100894447-100895343,0.636303166,6.049644787,1.587760579,0.112356349,0.988974857,-4.474816303
chr1-100895667-100896530,-0.176694039,6.376310122,-0.604856123,0.545281484,0.988974857,-4.706347523
chr1-101025474-101026429,0.088856173,6.239269476,0.28495339,0.775682812,0.988974857,-4.72951575
chr1-1013130-1013975,0.397246426,7.073736886,1.30361319,0.192380556,0.988974857,-4.524769242
chr1-10210010-10210921,0.235191593,8.099590544,1.11220144,0.266064962,0.988974857,-4.608128607
chr1-103108194-103109144,0.100029902,7.288368779,0.369439321,0.711804218,0.988974857,-4.758086008
chr1-103525310-103526316,0.129735314,6.466952641,0.395297776,0.69262737,0.988974857,-4.709191182
chr1-10398530-10399406,0.103898279,6.575581768,0.328043324,0.742882351,0.988974857,-4.722646414
chr1-10471984-10472889,0.339842128,5.780144159,0.811519938,0.417076837,0.988974857,-4.628758786
chr1-10474471-10475505,-0.127200083,5.568144932,-0.402150875,0.687577305,0.988974857,-4.716296443
chr1-10694376-10695359,0.133570856,7.959136926,0.57667547,0.564165218,0.988974857,-4.769690321
chr1-107141044-107141872,0.262790186,5.689501639,0.626184285,0.531201244,0.988974857,-4.649422446
chr1-107964695-107965496,-0.160465516,4.951565431,-0.437705861,0.661604262,0.988974857,-4.685023958
chr1-108199856-108200788,0.197539569,6.423510875,0.612200204,0.54041229,0.988974857,-4.686652449
chr1-108660885-108661780,0.058363677,5.516532213,0.171754548,0.863632243,0.988974857,-4.716231951
chr1-108876571-108877464,0.110590959,6.056804799,0.293335411,0.769268843,0.988974857,-4.690355859
chr1-108962901-108963830,0.211664429,6.933392966,0.733350065,0.463353571,0.988974857,-4.684636001
chr1-109090306-109091287,-0.391315725,5.150682083,-1.200040903,0.230137717,0.988974857,-4.559869021
chr1-109483497-109484391,0.181700193,6.85339801,0.575422092,0.565012362,0.988974857,-4.69578867
chr1-109548159-109549073,0.124866788,6.795896608,0.437062814,0.662070529,0.988974857,-4.735908183
chr1-109619353-109620246,0.269099206,6.302794796,0.78556353,0.432132574,0.988974857,-4.650623008
chr1-109739866-109740773,0.224742448,6.735644584,0.760730754,0.4468269,0.988974857,-4.675135265
chr1-109776606-109777648,0.286175462,5.491931287,0.672010774,0.501584625,0.988974857,-4.643381382
chr1-109791972-109792811,0.460263565,5.888171912,1.134060238,0.256782919,0.988974857,-4.579168208
chr1-109910434-109911365,-0.17696489,6.482527714,-0.583040571,0.559872585,0.988974857,-4.702197317
chr1-110003665-110004629,-0.063460984,6.389935602,-0.199362599,0.841981148,0.988974857,-4.729777604
chr1-110034365-110035321,0.233549935,6.332868355,0.691187527,0.48945575,0.988974857,-4.667663906
chr1-110070278-110071217,-0.05183694,5.491931287,-0.157088166,0.875176955,0.988974857,-4.723244829
chr1-110084145-110084946,0.413033006,5.888171912,1.026127582,0.304843902,0.988974857,-4.598599955
chr1-110150222-110151165,-0.160556932,5.600956066,-0.516501889,0.605509649,0.988974857,-4.706843751
chr1-110209826-110210692,0.126188068,6.528470496,0.393994414,0.693589378,0.988974857,-4.714407665
chr1-110312247-110313463,0.304692752,6.072413311,0.820052869,0.412195774,0.988974857,-4.636893799
chr1-110390594-110391403,0.558834542,5.607174733,1.319967801,0.186860926,0.988974857,-4.54460332
chr1-110407212-110408275,0.137854881,6.786176227,0.469324815,0.638842613,0.988974857,-4.72520414
chr1-110433118-110434328,-0.336915113,5.104078802,-1.005668023,0.314587497,0.988974857,-4.608803576
chr1-11099283-11100222,0.286175462,5.491931287,0.672010774,0.501584625,0.988974857,-4.643381382
chr1-111203958-111204765,0.236119534,5.532047455,0.567312561,0.570508233,0.988974857,-4.655860228
chr1-111346117-111347047,0.339248479,6.8197515,1.099620392,0.271510833,0.988974857,-4.588147722
chr1-111448750-111449695,0.251725537,7.458705539,0.947430556,0.343430912,0.988974857,-4.643182123
chr1-111507710-111508540,-0.38084314,5.809453578,-1.346155827,0.178267575,0.988974857,-4.503713946
chr1-111738100-111738860,0.245847581,5.968936706,0.627659427,0.530234259,0.988974857,-4.65694888
chr1-111755311-111756185,0.343073957,6.895608748,1.046779821,0.295213832,0.988974857,-4.600085845
chr1-112369394-112370307,0.49416146,5.912772838,1.218854288,0.222913926,0.988974857,-4.562642602
chr1-112395753-112396646,0.440535562,6.477042076,1.228913726,0.219118661,0.988974857,-4.555360482
chr1-112501644-112502565,-0.089888484,5.780144159,-0.296089301,0.767164969,0.988974857,-4.735118249
chr1-112618669-112619333,-0.127200083,5.568144932,-0.402150875,0.687577305,0.988974857,-4.716296443
