gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,0.435026289,14.25750369,68.39000695,0,0,2329.004996
chr3-144756574-144757522,1.759475878,7.042472083,5.735683828,9.90771318011642e-09,2.36992499268385e-05,2.549443941
chr1-155856779-155857715,1.75915766,7.07474468,5.301424356,1.16604909060766e-07,0.000185946,0.956847087
chr3-196287336-196288271,1.417952444,7.013773764,3.640948319,0.000272591,0.326018649,-2.554451117
chr1-100132542-100133463,0.010350218,7.419838672,0.04042419,0.967755508,0.995116579,-4.985975368
chr1-100265805-100266732,0.265174,7.258252248,0.711522703,0.476771952,0.995116579,-4.726664158
chr1-10032396-10033272,0.170827809,8.441041319,0.611080459,0.541155993,0.995116579,-4.847497241
chr1-100895667-100896530,0.284455732,7.405645367,0.785896693,0.431940987,0.995116579,-4.713172814
chr1-10210010-10210921,-0.418691268,7.747703629,-2.093069643,0.03636045,0.995116579,-3.688504053
chr1-10398530-10399406,0.186861138,8.320508419,0.658282069,0.510367457,0.995116579,-4.826629132
chr1-10430115-10431066,0.223782291,8.121219982,0.743618821,0.457119287,0.995116579,-4.777448442
chr1-108559638-108560551,0.048262102,7.801862395,0.18104587,0.856334128,0.995116579,-4.956373036
chr1-108691945-108692826,0.123455172,8.383363323,0.448954981,0.653470912,0.995116579,-4.897829692
chr1-108746304-108747127,0.096141125,7.100993587,0.323976844,0.745960286,0.995116579,-4.887131697
chr1-109041643-109042508,0.029988669,7.632263014,0.111878109,0.910921619,0.995116579,-4.958811198
chr1-109090306-109091287,0.545709556,7.042472083,1.164756449,0.244136952,0.995116579,-4.569303675
chr1-109213558-109214521,0.175600885,7.927049252,0.558328785,0.576628602,0.995116579,-4.816692108
chr1-109426073-109426994,0.182132551,7.949255514,0.679249187,0.49699094,0.995116579,-4.841978921
chr1-109483497-109484391,0.121336591,7.539130299,0.44944604,0.653116712,0.995116579,-4.906207557
chr1-109493643-109494574,0.035642077,6.955453053,0.105936889,0.915633906,0.995116579,-4.854465582
chr1-109548159-109549073,0.279880769,7.783608784,0.84265279,0.3994367,0.995116579,-4.715179012
chr1-110034365-110035321,0.070046994,6.931394206,0.202499152,0.839529392,0.995116579,-4.837552205
chr1-11012167-11012972,0.065381893,8.232511647,0.230361805,0.817813922,0.995116579,-4.920110538
chr1-111203958-111204765,0.284455732,7.405645367,0.785896693,0.431940987,0.995116579,-4.713172814
chr1-111448750-111449695,-0.0177983,7.651506077,-0.061770864,0.950746166,0.995116579,-4.924873678
chr1-111515389-111516440,0.080235936,7.781243697,0.297374278,0.766185083,0.995116579,-4.935814319
chr1-111738990-111739841,-0.336951095,7.328240743,-1.612620032,0.106849071,0.995116579,-4.273827507
chr1-112395753-112396646,0.208529451,7.308560002,0.603670898,0.546072007,0.995116579,-4.774249312
chr1-112714939-112715816,-0.025505957,6.998278014,-0.079735769,0.936448522,0.995116579,-4.876567765
chr1-11272724-11273643,0.038024497,7.589438053,0.147939991,0.882392205,0.995116579,-4.978416859
chr1-112955764-112956639,0.198780726,7.645233243,0.670626184,0.502469489,0.995116579,-4.806668914
chr1-113758950-113759919,0.07638017,7.161166883,0.281207396,0.778555386,0.995116579,-4.934936921
chr1-113811916-113812774,-0.105276688,8.291630437,-0.390359691,0.696276383,0.995116579,-4.919512189
chr1-113872237-113873082,0.122593575,7.330766264,0.459862932,0.645621574,0.995116579,-4.909646012
chr1-113929228-113930123,0.119903579,7.859763719,0.387151092,0.698650096,0.995116579,-4.858591603
chr1-114669636-114670577,0.02518136,6.994270463,0.096442747,0.923170289,0.995116579,-4.973409904
chr1-116570335-116571258,0.272107157,8.741822751,1.057850167,0.290141562,0.995116579,-4.681499259
chr1-11680694-11681658,0.292185448,8.096648633,0.921870688,0.356611526,0.995116579,-4.69644902
chr1-117059701-117060640,-0.025505957,6.998278014,-0.079735769,0.936448522,0.995116579,-4.876567765
chr1-11735697-11736543,0.160229847,7.340652936,0.477618307,0.632929172,0.995116579,-4.811300685
chr1-117605497-117606423,0.098944963,7.997343726,0.388551798,0.697613493,0.995116579,-4.948203531
chr1-11925878-11926914,-0.187884684,7.732177216,-0.916145734,0.359605857,0.995116579,-4.846417875
chr1-119647841-119648724,0.116279906,7.369530918,0.355912397,0.721911403,0.995116579,-4.842218299
chr1-12018856-12019860,0.163337314,7.686523418,0.454096578,0.649766183,0.995116579,-4.791870758
chr1-121184307-121185198,-0.025505957,6.998278014,-0.079735769,0.936448522,0.995116579,-4.876567765
chr1-12152951-12153915,0.24305063,7.736831172,0.852631946,0.393877669,0.995116579,-4.753194145
chr1-12161558-12162487,0.141942171,7.07474468,0.46355858,0.642971066,0.995116579,-4.848560175
chr1-1231637-1232573,0.177422421,8.302665778,0.67000358,0.502866288,0.995116579,-4.85035606
chr1-1273485-1274435,0.210206256,7.548147877,0.571500321,0.567669492,0.995116579,-4.762692612
chr1-1324347-1325274,0.185818876,7.717747259,0.538429441,0.590288956,0.995116579,-4.789260732
chr1-1349013-1350000,0.313846443,7.369530918,0.805508796,0.420539478,0.995116579,-4.692103291
chr1-1406856-1407937,0.070046994,6.931394206,0.202499152,0.839529392,0.995116579,-4.837552205
chr1-145996325-145997202,-0.34656394,7.035560638,-1.560817211,0.118588934,0.995116579,-4.323045929
chr1-147242346-147243205,0.105432256,7.293223401,0.28478576,0.775812392,0.995116579,-4.805276223
chr1-147599459-147600383,0.245863658,7.884224291,0.757742366,0.448617672,0.995116579,-4.749818394
chr1-150162814-150163711,0.483257779,7.272445553,1.136666847,0.255696562,0.995116579,-4.57972238
chr1-150235756-150236781,0.098944963,7.997343726,0.388551798,0.697613493,0.995116579,-4.948203531
chr1-150268579-150269446,-0.295186203,6.998278014,-1.295218562,0.195265677,0.995116579,-4.549879731
chr1-150560976-150561838,0.258480338,8.096648633,1.006797055,0.314049284,0.995116579,-4.71053774
chr1-150629015-150629946,0.093735843,8.628192402,0.358321167,0.720108249,0.995116579,-4.940719152
chr1-150876239-150877121,0.160590896,8.04337768,0.534420437,0.59305896,0.995116579,-4.839807951
chr1-150974282-150975156,0.012498239,7.854694386,0.048445417,0.961361938,0.995116579,-4.981691275
chr1-151008039-151008904,-0.34656394,7.035560638,-1.560817211,0.118588934,0.995116579,-4.323045929
chr1-151146285-151147208,0.152176757,7.462663633,0.427564095,0.668974926,0.995116579,-4.799805376
chr1-1511515-1512402,-0.01661663,7.442044934,-0.06053472,0.951730607,0.995116579,-4.948912292
chr1-151198104-151198974,0.084652881,6.994270463,0.314555712,0.753103583,0.995116579,-4.934370122
chr1-151281042-151281612,-0.13372804,7.187120458,-0.51094102,0.609400216,0.995116579,-4.905187716
chr1-151346755-151347742,-0.086513514,7.20516002,-0.330655779,0.740909335,0.995116579,-4.945703632
chr1-151459210-151459713,0.261970323,7.272445553,0.734090673,0.46290547,0.995116579,-4.7313776
chr1-151539663-151540668,-0.267379444,6.977659315,-1.153569041,0.248696107,0.995116579,-4.649249511
chr1-151611497-151612518,0.255661143,8.461729345,0.939551408,0.347463523,0.995116579,-4.728116763
chr1-152047719-152048782,0.235553762,7.929427334,0.679636583,0.496745561,0.995116579,-4.754063183
chr1-153633606-153634606,-0.086513514,7.20516002,-0.330655779,0.740909335,0.995116579,-4.945703632
chr1-153922600-153923536,-0.459047313,7.41330191,-2.282330612,0.022484393,0.995116579,-3.417841967
chr1-153958179-153959028,0.160229847,7.340652936,0.477618307,0.632929172,0.995116579,-4.811300685
chr1-153963127-153964070,0.125420774,7.611644315,0.37831153,0.705204776,0.995116579,-4.833139355
chr1-153986020-153986834,0.313553369,7.686523418,1.060482828,0.288942844,0.995116579,-4.648641186
chr1-154220346-154221202,-0.328246406,7.478159383,-1.488444334,0.136655723,0.995116579,-4.391200496
chr1-154404976-154405886,0.196377187,8.589077153,0.74191021,0.45815388,0.995116579,-4.823824912
chr1-154419338-154420047,-0.286908154,6.491067434,-1.050966483,0.293291679,0.995116579,-4.670527774
chr1-154627228-154628125,0.311504248,6.977659315,0.907838588,0.363978751,0.995116579,-4.684841133
chr1-155001678-155002706,-0.060104193,8.476919115,-0.224034044,0.822734002,0.995116579,-4.948574275
chr1-155050772-155051580,0.208529451,7.308560002,0.603670898,0.546072007,0.995116579,-4.774249312
chr1-155084678-155085619,0.048503759,8.112144383,0.164366886,0.869444644,0.995116579,-4.908014915
chr1-155135340-155136229,0.349831735,8.003515918,1.19966696,0.230288514,0.995116579,-4.576162755
chr1-15526333-15527246,0.224849474,8.463247582,0.810212432,0.417831527,0.995116579,-4.779342915
chr1-155308304-155309222,0.284663382,7.860165444,0.861765625,0.388830903,0.995116579,-4.709728643
chr1-155322919-155323743,0.20506919,8.034739759,0.690566753,0.489849014,0.995116579,-4.799647699
chr1-155688367-155689242,-0.150293201,7.516924037,-0.646771291,0.517790318,0.995116579,-4.917896876
chr1-156053407-156054212,-0.135761671,6.876267317,-0.535725705,0.592156437,0.995116579,-4.913413205
chr1-156105919-156106951,0.454812758,7.405645367,1.106331184,0.268601743,0.995116579,-4.591548568
chr1-156114035-156115074,-0.135761671,6.876267317,-0.535725705,0.592156437,0.995116579,-4.913413205
chr1-15617018-15617917,0.167906518,8.927980524,0.707813864,0.47907235,0.995116579,-4.883920331
chr1-156193528-156194453,-0.347430625,6.533892395,-1.326399503,0.184728509,0.995116579,-4.506679513
chr1-156212653-156213564,0.270337893,7.632263014,0.720941765,0.470957088,0.995116579,-4.722779593
chr1-156338003-156338919,0.249085367,8.722562086,0.97165849,0.331236849,0.995116579,-4.72981897
chr1-156457062-156457648,0.160229847,7.340652936,0.477618307,0.632929172,0.995116579,-4.811300685
chr1-156500582-156501439,0.282726768,8.59003855,1.073134237,0.283228935,0.995116579,-4.666759794
chr1-156504824-156505734,-0.051309353,8.169015209,-0.204633126,0.837861674,0.995116579,-4.986303601
chr1-156740717-156741636,0.439535209,7.906430553,1.346662221,0.17811031,0.995116579,-4.486556017
chr1-156751361-156752213,0.320035438,7.013773764,0.774640972,0.438564601,0.995116579,-4.688991235
chr1-156766943-156767837,0.410662997,7.884224291,1.223924571,0.221000775,0.995116579,-4.551724555
chr1-158180717-158181615,0.070046994,6.931394206,0.202499152,0.839529392,0.995116579,-4.837552205
chr1-15834419-15835264,-0.197995115,7.187120458,-0.844466159,0.398423042,0.995116579,-4.827157088
chr1-15835578-15836466,-0.335791702,7.73373689,-1.57864345,0.114439901,0.995116579,-4.30748888
chr1-15847262-15848136,0.334287936,8.618573544,1.212212452,0.225451021,0.995116579,-4.57589492
chr1-15886005-15886856,0.115115135,7.565379206,0.372989013,0.70916213,0.995116579,-4.862448411
