gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr16-46390108-46390987,-0.621632344,14.04410484,-4.584317657,4.69960592825749e-06,0.018055886,-0.759402825,NA
chr1-109041637-109042542,8.244369001,7.184383676,2.145319461,0.031989815,0.731697551,-4.59369681,NA
chr1-111738944-111739862,8.54739274,7.193401253,2.184234313,0.02900529,0.731697551,-4.593683215,NA
chr1-112714939-112715855,-6.961250315,6.810167572,-2.54886384,0.010846006,0.731697551,-4.590824212,NA
chr1-120175997-120176968,7.962186921,7.193401253,2.035307968,0.04188839,0.731697551,-4.59392192,NA
chr1-162069302-162070227,8.735280608,7.376908821,2.252561947,0.024342992,0.731697551,-4.593539353,NA
chr1-201495579-201496585,-6.067403018,7.425792567,-2.090634261,0.036626419,0.731697551,-4.592786748,NA
chr1-202957862-202958786,7.718991641,7.145199634,2.042262605,0.041193625,0.731697551,-4.593825021,NA
chr1-204763494-204764594,8.341338011,7.251302577,2.128898723,0.033326073,0.731697551,-4.593777532,NA
chr1-211675152-211676319,8.165178979,7.120887238,2.044858651,0.040936796,0.731697551,-4.593955726,NA
chr1-225923862-225924793,-4.343808839,8.596677202,-2.281300282,0.022585166,0.731697551,-4.588372938,NA
chr1-227734868-227736544,-6.305218317,7.270805878,-2.011201258,0.044373921,0.731697551,-4.593313361,NA
chr1-228165415-228166311,-5.32977413,7.779184634,-2.011198978,0.044374162,0.731697551,-4.592593021,NA
chr1-228406501-228407458,8.423127426,7.256897691,2.218402003,0.02658568,0.731697551,-4.593533074,NA
chr1-26921222-26922161,8.060557347,7.184383676,2.118739537,0.034176488,0.731697551,-4.593713543,NA
chr1-633506-635020,-0.626513963,13.38006661,-3.09062048,0.002011689,0.731697551,-3.663269283,NA
chr1-85276189-85277115,9.760153833,7.587798378,2.731057714,0.006341967,0.731697551,-4.592169919,NA
chr1-89843054-89843974,8.168063266,7.193401253,2.07646066,0.037917692,0.731697551,-4.593871233,NA
chr10-104254419-104255361,8.066648619,7.184383676,2.075215167,0.038032991,0.731697551,-4.593843199,NA
chr10-22320380-22321343,8.953642143,7.363000635,2.363074014,0.018173585,0.731697551,-4.593257047,NA
chr10-27998283-27999223,7.840232964,7.193401253,2.085203995,0.03711664,0.731697551,-4.59373829,NA
chr10-31031594-31032689,-6.041829848,7.270805878,-2.033868521,0.042033423,0.731697551,-4.593047551,NA
chr10-42637898-42638851,-8.436563885,7.268533906,-3.049086361,0.002311024,0.731697551,-4.588801972,NA
chr10-54009495-54010479,8.279383373,7.251302577,2.253401324,0.024290015,0.731697551,-4.593357733,NA
chr10-65888088-65889080,-8.645462594,6.806420259,-2.938863963,0.003313793,0.731697551,-4.589974389,NA
chr11-104163773-104164705,-6.847022187,7.270805878,-2.323830714,0.02018648,0.731697551,-4.592164736,NA
chr11-11621656-11623073,-7.255701581,7.376908821,-2.53646135,0.011237175,0.731697551,-4.591248527,NA
chr11-119084233-119085508,-6.899010689,7.162177413,-2.364356312,0.01811089,0.731697551,-4.591976669,NA
chr11-124075463-124076657,-6.549495467,6.953813378,-2.061525757,0.039320033,0.731697551,-4.593242271,NA
chr11-124622389-124623364,7.840232964,7.193401253,2.085203995,0.03711664,0.731697551,-4.59373829,NA
chr11-131690636-131692049,7.881808378,7.145199634,2.10384123,0.035457131,0.731697551,-4.593695837,NA
chr11-17207529-17208498,-4.538628726,8.396093705,-2.131132477,0.033141536,0.731697551,-4.590573536,NA
chr11-22829402-22830316,-5.876908139,7.462192134,-2.05693073,0.039760257,0.731697551,-4.592812549,NA
chr11-45884918-45886232,-6.305218317,7.270805878,-2.011201258,0.044373921,0.731697551,-4.593313361,NA
chr11-63888050-63889051,8.168063266,7.193401253,2.07646066,0.037917692,0.731697551,-4.593871233,NA
chr11-64230037-64230983,8.566988547,7.314799015,2.274353035,0.022999669,0.731697551,-4.593404226,NA
chr11-65569820-65570755,8.092520029,7.234691429,2.075913877,0.037968272,0.731697551,-4.593849375,NA
chr11-66592638-66593622,9.393871066,7.478803282,2.53827027,0.011179353,0.731697551,-4.592801636,NA
chr11-71452649-71453591,-6.535770091,7.234691429,-2.172729183,0.029861631,0.731697551,-4.59272234,NA
chr11-727640-728613,8.152335918,7.193401253,2.205644698,0.027467886,0.731697551,-4.593469523,NA
chr11-75768176-75769164,-6.251298288,6.748099548,-2.184183751,0.029009007,0.731697551,-4.592436348,NA
chr11-77589343-77590300,8.152335918,7.193401253,2.205644698,0.027467886,0.731697551,-4.593469523,NA
chr11-8964076-8964965,-6.352932182,7.376908821,-2.213870692,0.026896189,0.731697551,-4.592357937,NA
chr11-96877201-96879098,8.827953658,7.376908821,2.455656372,0.014106736,0.731697551,-4.592849354,NA
chr12-10212240-10213069,-9.218817089,6.821126066,-3.181487882,0.00147688,0.731697551,-4.588785463,NA
chr12-110123922-110124805,-7.891710491,6.806420259,-2.548033924,0.010871798,0.731697551,-4.59178092,NA
chr12-118016181-118017287,8.654967555,7.193401253,2.294204009,0.021832486,0.731697551,-4.593372275,NA
chr12-119178315-119179271,8.481946053,7.050898743,2.25457287,0.02421624,0.731697551,-4.593436894,NA
chr12-124422113-124423681,-6.593758176,7.299504197,-2.242984203,0.024954615,0.731697551,-4.592400375,NA
chr12-31728613-31729554,7.840232964,7.193401253,2.085203995,0.03711664,0.731697551,-4.59373829,NA
chr12-38404950-38405905,-6.18063734,7.193401253,-2.012850393,0.044200006,0.731697551,-4.593232723,NA
chr12-49018282-49019200,7.565729554,6.953813378,2.049492227,0.040481766,0.731697551,-4.593749867,NA
chr12-6195303-6196349,-6.796378654,7.046008135,-2.241449413,0.025053853,0.731697551,-4.592567744,NA
chr12-6199843-6200799,-6.796378654,7.046008135,-2.241449413,0.025053853,0.731697551,-4.592567744,NA
chr12-81077364-81078392,8.423127426,7.256897691,2.218402003,0.02658568,0.731697551,-4.593533074,NA
chr12-81800514-81801619,-6.549495467,6.953813378,-2.061525757,0.039320033,0.731697551,-4.593242271,NA
chr12-8242849-8243811,-7.019965168,8.169888061,-2.902267635,0.003725796,0.731697551,-4.587726916,NA
chr13-100088573-100089518,8.297284836,7.046008135,2.155062698,0.031218872,0.731697551,-4.593685616,NA
chr13-27424115-27425098,-5.951433775,7.530399517,-2.111875705,0.034761498,0.731697551,-4.592580111,NA
chr13-40789124-40790040,8.152335918,7.193401253,2.205644698,0.027467886,0.731697551,-4.593469523,NA
chr13-85430464-85431562,-7.142017807,7.014784294,-2.342707711,0.019195142,0.731697551,-4.59230396,NA
chr13-96089840-96090876,-6.184720958,7.251302577,-2.067505318,0.03875337,0.731697551,-4.592986299,NA
