gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr1-100132542-100133463,0.878781498,7.419838672,0.749550613,0.453543833,0.999433735,-4.596715326,NA
chr1-100265805-100266732,-0.119604644,7.258252248,-0.103010959,0.917956432,0.999433735,-4.598775959,NA
chr1-10032396-10033272,1.123830578,8.441041319,1.136372636,0.255829104,0.999433735,-4.593671298,NA
chr1-100895667-100896530,0.11869078,7.405645367,0.102161639,0.918630517,0.999433735,-4.598772165,NA
chr1-10210010-10210921,-0.187806499,7.747703629,-0.178193782,0.858574565,0.999433735,-4.599459314,NA
chr1-10398530-10399406,0.827569174,8.320508419,0.776454837,0.437499671,0.999433735,-4.596871632,NA
chr1-10430115-10431066,0.767783519,8.121219982,0.68324962,0.494465667,0.999433735,-4.597229917,NA
chr1-108559638-108560551,1.27153326,7.801862395,1.066144917,0.286385039,0.999433735,-4.594655044,NA
chr1-108691945-108692826,0.10639948,8.383363323,0.091674327,0.926958714,0.999433735,-4.598786992,NA
chr1-108746304-108747127,0.845949924,7.100993587,0.676402579,0.49880143,0.999433735,-4.596853068,NA
chr1-108876571-108877464,0.731867908,7.369530918,0.681648841,0.495477522,0.999433735,-4.597440507,NA
chr1-109041643-109042508,1.017741446,7.632263014,0.857095392,0.391413634,0.999433735,-4.596066775,NA
chr1-109090306-109091287,-0.414621522,7.042472083,-0.387294892,0.698546521,0.999433735,-4.598814848,NA
chr1-109213558-109214521,0.399249099,7.927049252,0.341311489,0.732876594,0.999433735,-4.598338098,NA
chr1-109426073-109426994,1.277561335,7.949255514,1.089881507,0.275792791,0.999433735,-4.594454373,NA
chr1-109483497-109484391,1.387644937,7.539130299,1.18084066,0.237695381,0.999433735,-4.593715141,NA
chr1-109493643-109494574,-1.029055718,6.955453053,-0.901837397,0.367165952,0.999433735,-4.595845899,NA
chr1-109548159-109549073,0.66273721,7.783608784,0.551181125,0.581522388,0.999433735,-4.597522902,NA
chr1-110034365-110035321,-0.925540573,6.931394206,-0.810023745,0.417946674,0.999433735,-4.596441275,NA
chr1-11012167-11012972,-0.22080551,8.232511647,-0.216637187,0.828495722,0.999433735,-4.599686108,NA
chr1-111203958-111204765,0.11869078,7.405645367,0.102161639,0.918630517,0.999433735,-4.598772165,NA
