gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr5-127072993-127073930,4.298258421,4.672672158,4.967881048,6.79E-07,0.012872905,4.926242286,NA
chr15-89485872-89487670,4.303781901,4.495651873,4.6883136,2.76E-06,0.026178746,3.656676659,NA
chr11-9613854-9614560,2.854934609,5.651958692,4.25752099,2.07E-05,0.13086823,2.421394747,NA
chr1-105872749-105873822,4.058532342,4.371340015,4.128953453,3.65E-05,0.138406159,1.490782412,NA
chr13-75480489-75481511,4.076588942,4.413560728,4.171672727,3.03E-05,0.138406159,1.645484538,NA
chr9-16133479-16134440,3.128541177,5.888626074,4.082914572,4.45E-05,0.140753195,1.665487573,NA
chr1-84781930-84783618,3.567854551,5.253724644,3.991256611,6.58E-05,0.156020002,1.175766146,NA
chr10-1638729-1639725,4.272879816,5.072223809,3.991204899,6.58E-05,0.156020002,0.886048552,NA
chr1-11784821-11785661,3.409538872,4.800548744,3.954234758,7.69E-05,0.161971109,1.096104479,NA
chr10-54262142-54263062,4.009906387,4.326755368,3.85903604,0.000113961,0.216103717,0.529347768,NA
chr19-54238925-54239924,3.681759767,4.544252466,3.809579658,0.00013935,0.240225901,0.48475037,NA
chr4-60233452-60234516,3.93055319,4.280092049,3.784784987,0.000153999,0.243357309,0.304763811,NA
chr22-20964759-20965591,3.170739273,5.170565513,3.703572726,0.000212785,0.270045002,0.287908344,NA
chr4-31529660-31531489,3.368832383,4.710495647,3.702591985,0.000213609,0.270045002,0.225481523,NA
chr8-58601450-58602359,3.986247126,4.223976808,3.70352492,0.000212825,0.270045002,0.009448206,NA
chr1-16913615-16914536,-1.429272088,7.836823675,-3.630391581,0.00028324,0.276353093,0.094028404,NA
chr17-52883579-52884628,3.964714824,4.223976808,3.667447224,0.000245207,0.276353093,-0.101231696,NA
chr3-119084155-119085344,3.806090631,4.314500529,3.626155813,0.000287923,0.276353093,-0.176850182,NA
chr5-175729426-175730420,3.455261252,4.616935652,3.638225901,0.000274765,0.276353093,-0.016794087,NA
chr9-17294781-17295719,3.762697875,4.418822909,3.622994334,0.000291466,0.276353093,-0.171478753,NA
chr3-87977641-87978876,4.197537696,3.935751406,3.578985336,0.000345218,0.31173142,-0.475662554,NA
chr14-74955183-74956124,3.060589417,5.163471775,3.53843081,0.000402833,0.332127351,-0.228457351,NA
chrX-413357-414273,2.138973798,5.953813022,3.540038948,0.000400387,0.332127351,-0.093336413,NA
chr8-7091612-7092446,3.002652482,5.0848877,3.522455582,0.000427904,0.338097288,-0.265582841,NA
chr15-82750026-82750960,2.433440398,5.640642389,3.456087744,0.000548477,0.353948196,-0.378304934,NA
chr16-34163157-34164052,3.050541689,5.072223809,3.448004715,0.000565153,0.353948196,-0.512399859,NA
chr16-67326353-67327412,3.180448965,4.905220615,3.453380441,0.00055401,0.353948196,-0.528632183,NA
chr21-42293262-42294863,3.548975768,4.402919648,3.441426122,0.000579072,0.353948196,-0.673118099,NA
chr5-77210066-77211223,3.017019984,5.080682361,3.481487916,0.00049901,0.353948196,-0.399290605,NA
chr6-28258449-28259993,3.757506489,4.26158683,3.473098261,0.000514869,0.353948196,-0.644285044,NA
chr8-54287783-54288826,3.864882437,4.752297641,3.433403389,0.000596479,0.353948196,-0.80240692,NA
chr9-96654736-96655589,2.531952564,5.538632037,3.433036526,0.000597286,0.353948196,-0.461836367,NA
chr2-213586726-213587689,3.663287907,4.284405154,3.401266438,0.000671205,0.385698954,-0.831740628,NA
chr18-110714-111323,3.446873691,4.485579231,3.371054253,0.000749309,0.395386603,-0.855338524,NA
