gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-196287336-196288271,7.282056605,7.013773764,4.102015803,4.16372569663573e-05,0.199192637,-3.654906743
chr1-155856779-155857715,7.045057884,7.07474468,3.889403639,0.000101854,0.243635903,-3.78541675
chr1-100132542-100133463,-0.519017423,7.419838672,-0.295220435,0.767838304,0.997982591,-4.654522036
chr1-100265805-100266732,1.244830242,7.258252248,0.711747643,0.476655764,0.997982591,-4.629421634
chr1-10032396-10033272,-1.158379248,8.441041319,-0.799648334,0.423954277,0.997982591,-4.633664015
chr1-100895667-100896530,1.786810264,7.405645367,1.020043276,0.307759517,0.997982591,-4.596711173
chr1-10210010-10210921,-0.620857938,7.747703629,-0.323875727,0.746046279,0.997982591,-4.644614871
chr1-10398530-10399406,0.118708396,8.320508419,0.085765212,0.93165665,0.997982591,-4.695039256
chr1-10430115-10431066,0.238861544,8.121219982,0.17570321,0.860534549,0.997982591,-4.696135944
chr1-108559638-108560551,-0.384060042,7.801862395,-0.217373329,0.827926685,0.997982591,-4.656368135
chr1-108691945-108692826,-0.496168049,8.383363323,-0.360473109,0.718509277,0.997982591,-4.684779319
chr1-108746304-108747127,-2.114364307,7.100993587,-1.172207737,0.241172032,0.997982591,-4.577073265
chr1-108876571-108877464,1.213498891,7.369530918,0.587956046,0.556589548,0.997982591,-4.627130078
chr1-109041643-109042508,-1.026564834,7.632263014,-0.579668854,0.562165247,0.997982591,-4.638800717
chr1-109090306-109091287,1.147496411,7.042472083,0.633397518,0.526504363,0.997982591,-4.633172428
chr1-109213558-109214521,0.049682848,7.927049252,0.036127221,0.971182424,0.997982591,-4.696769718
chr1-109426073-109426994,-0.594155919,7.949255514,-0.334942583,0.737683084,0.997982591,-4.652029887
chr1-109483497-109484391,0.374786218,7.539130299,0.212862895,0.831442974,0.997982591,-4.656887513
chr1-109493643-109494574,-0.263569163,6.955453053,-0.147448068,0.882784581,0.997982591,-4.656541107
chr1-109548159-109549073,1.134474336,7.783608784,0.731790584,0.464332242,0.997982591,-4.636484828
chr1-110034365-110035321,-0.14327493,6.931394206,-0.080151112,0.936120424,0.997982591,-4.657442339
chr1-11012167-11012972,0.663027762,8.232511647,0.418154968,0.675852586,0.997982591,-4.660848094
chr1-111203958-111204765,1.786810264,7.405645367,1.020043276,0.307759517,0.997982591,-4.596711173
chr1-111448750-111449695,1.392250196,7.651506077,0.796671823,0.425681186,0.997982591,-4.621620562
chr1-111515389-111516440,-0.280966549,7.781243697,-0.159023515,0.87365706,0.997982591,-4.657689148
chr1-111738990-111739841,0.850735527,7.328240743,0.413203432,0.679476093,0.997982591,-4.635287397
chr1-112395753-112396646,1.6214937,7.308560002,0.924995268,0.355015024,0.997982591,-4.607978968
chr1-112714939-112715816,-0.477693969,6.998278014,-0.267237112,0.789298123,0.997982591,-4.653614407
chr1-11272724-11273643,0.123247451,7.589438053,0.070001043,0.944195755,0.997982591,-4.65933606
chr1-112955764-112956639,-0.746489135,7.645233243,-0.415417994,0.677854567,0.997982591,-4.64712991
chr1-113758950-113759919,0.293523233,7.161166883,0.154985019,0.876839666,0.997982591,-4.650071
