gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr12-6851914-6852793,1.405613769,10.04505362,3.235774584,0.001223601,0.577539456,-3.445844708
chr5-49665794-49666648,0.986772159,11.9564373,3.307419798,0.00095041,0.577539456,-2.618259194
chr1-110034365-110035321,1.005681093,9.361251819,2.037733714,0.041646136,0.660533913,-4.288175738
chr1-153633606-153634606,0.876694523,9.632926884,1.812042739,0.070058994,0.660533913,-4.369472911
chr1-153922600-153923536,0.877831556,9.588751288,1.827743807,0.067666882,0.660533913,-4.360984637
chr1-161225413-161226338,0.933908802,9.209277921,1.826464777,0.067859198,0.660533913,-4.382435018
chr1-192808433-192809358,-0.714184436,9.66076979,-1.880744176,0.060083622,0.660533913,-4.243033419
chr1-201888236-201889189,0.822631553,9.443342963,1.658141203,0.097372029,0.660533913,-4.431314142
chr1-220747971-220748870,0.83260687,9.403174947,1.672538705,0.094500985,0.660533913,-4.427348673
chr1-44673923-44674880,1.060141395,9.443342963,2.187825424,0.028743416,0.660533913,-4.213485694
chr10-101353598-101354498,1.018197688,9.334357988,2.05396677,0.040047612,0.660533913,-4.283575371
chr10-132452821-132453755,-0.818231671,9.351334984,-2.078727132,0.037709799,0.660533913,-4.147110684
chr10-48306204-48307062,-0.556732784,10.44292515,-1.700658566,0.089089461,0.660533913,-4.293964567
chr10-95183266-95184201,1.024800193,9.120858801,2.019212785,0.043535636,0.660533913,-4.308333553
chr11-119168465-119169335,1.086791588,9.507846817,2.264876409,0.023576705,0.660533913,-4.17149402
chr11-12673908-12674771,0.840309524,9.913340052,1.82326351,0.068342515,0.660533913,-4.348330863
chr11-30322696-30323592,-0.65227233,9.772007234,-1.702948826,0.088659942,0.660533913,-4.341223924
chr11-3854935-3855808,1.005989533,9.697430738,2.143453877,0.032140373,0.660533913,-4.215671355
chr11-64000156-64001057,1.2195118,9.286106885,2.488114927,0.012885025,0.660533913,-4.0765165
chr11-68750687-68752000,1.073211395,9.584675781,2.267782964,0.0233987,0.660533913,-4.161084667
chr11-72793425-72794341,0.822631553,9.443342963,1.658141203,0.097372029,0.660533913,-4.431314142
chr11-73760762-73761649,1.159595732,9.090763427,2.291363252,0.021997229,0.660533913,-4.193103963
chr11-76444414-76445280,-0.962250002,9.375399968,-2.701027989,0.006943416,0.660533913,-3.599376948
chr11-95789212-95790090,0.828566106,9.983253952,1.719400586,0.085623407,0.660533913,-4.402505321
chr12-103840853-103841778,1.026881886,9.401419835,2.106426262,0.035233162,0.660533913,-4.253032337
chr12-108857219-108858103,0.890390473,9.491594066,1.81993997,0.068847285,0.660533913,-4.370233342
chr12-121399660-121400518,0.865774377,10.0265484,1.917091956,0.055301631,0.660533913,-4.300273731
