gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr3-93470143-93471055,0.081431006,13.98245637,8.332495602,8.21E-17,9.19E-13,26.25950227,NA
chr22-20964759-20965591,3.675800432,5.938728711,3.980701708,6.89E-05,0.263345511,-3.14721094,NA
chr5-175729426-175730420,3.783246998,5.6137828,3.974766205,7.06E-05,0.263345511,-3.220258841,NA
chr5-127072993-127073930,4.217198947,5.063587878,3.860675905,0.000113286,0.316944656,-3.566694628,NA
chr6-84263278-84264212,4.06663816,5.202362701,3.771141182,0.000162781,0.364337,-3.596045216,NA
chr6-37125795-37126657,3.788023322,5.526907501,3.712449573,0.000205595,0.383468314,-3.536168753,NA
chr2-11669319-11670436,3.860447662,5.188520078,3.608466162,0.00030846,0.493139572,-3.675154423,NA
chr14-90331557-90332467,-3.553687119,6.273152518,-3.426041996,0.000613179,0.857760353,-3.730619407,NA
chr1-100037771-100038557,0.108760472,7.137025674,0.103400306,0.917645887,0.999782141,-4.680638496,NA
chr1-100132542-100133463,0.19040497,6.035736213,0.145223853,0.884535005,0.999782141,-4.65124569,NA
chr1-100360411-100361349,0.933223543,4.833835941,0.645534132,0.518585518,0.999782141,-4.623780781,NA
chr1-100539190-100540300,0.921896677,5.012778781,0.667878735,0.504215593,0.999782141,-4.625058869,NA
chr1-100895667-100896530,0.281638079,7.263967362,0.278503885,0.780627299,0.999782141,-4.681368484,NA
chr1-101025474-101026429,-0.892598252,6.207017112,-0.650840165,0.515154124,0.999782141,-4.626563687,NA
chr1-1013130-1013975,0.391361266,5.157234359,0.292204816,0.770131835,0.999782141,-4.645677739,NA
chr1-1019179-1020015,-0.154651605,7.565844673,-0.203408429,0.838817045,0.999782141,-4.743696547,NA
chr1-101996566-101997424,-0.662218606,4.894264287,-0.464709513,0.642142509,0.999782141,-4.633953978,NA
chr1-10210010-10210921,-0.373749955,7.923912153,-0.470343042,0.638113006,0.999782141,-4.710377914,NA
chr1-103108194-103109144,0.865873075,5.748839264,0.692169924,0.488835411,0.999782141,-4.629511409,NA
chr1-10430115-10431066,-0.93899866,6.793958704,-0.77172525,0.440282604,0.999782141,-4.624253562,NA
chr1-10474471-10475505,0.537843061,5.756659438,0.429269775,0.667729665,0.999782141,-4.646695826,NA
chr1-105138243-105139121,0.954186169,4.90810691,0.658683905,0.510103287,0.999782141,-4.622890208,NA
chr1-1059110-1060142,0.482244858,5.905566084,0.466748184,0.640683081,0.999782141,-4.666559504,NA
chr1-106772677-106774056,-1.52520531,4.468722014,-1.075412369,0.282197874,0.999782141,-4.590122731,NA
chr1-106879303-106880160,-1.002989286,4.833835941,-0.70629507,0.48000956,0.999782141,-4.620954964,NA
chr1-10694376-10695359,0.974071936,7.433354377,1.227454841,0.219660291,0.999782141,-4.550732674,NA
chr1-10714371-10715276,0.162111229,6.253400639,0.159597653,0.873198988,0.999782141,-4.685048509,NA
chr1-10751472-10752487,-0.668610317,5.541823859,-0.475077635,0.634734729,0.999782141,-4.634434077,NA
chr1-107782019-107782931,-0.952006128,5.573403493,-0.667995357,0.504141148,0.999782141,-4.62322274,NA
chr1-10788367-10789458,-0.212861254,5.472449982,-0.151399315,0.87966164,0.999782141,-4.644188461,NA
chr1-107926396-107928497,-1.317447841,5.907659857,-0.968058569,0.333022094,0.999782141,-4.60105068,NA
chr1-107964695-107965496,0.447643896,6.40857608,0.35689663,0.721171436,0.999782141,-4.649921419,NA
chr1-107965585-107966102,-0.242415596,5.450575894,-0.170628484,0.864516927,0.999782141,-4.642931244,NA
chr1-108125249-108126286,-1.07580684,6.188740978,-0.802279622,0.422396906,0.999782141,-4.61654624,NA
chr1-108691945-108692826,0.777360328,6.322234907,0.707638174,0.479174892,0.999782141,-4.63794185,NA
chr1-108746304-108747127,1.155627524,6.812477648,1.363401391,0.172765185,0.999782141,-4.513437676,NA
chr1-108876571-108877464,0.244854747,6.474564192,0.192762659,0.847146015,0.999782141,-4.653785713,NA
chr1-108962901-108963830,-0.527320202,7.237079568,-0.470123711,0.638269689,0.999782141,-4.656109038,NA
chr1-109041643-109042508,-0.260874355,6.620942072,-0.328666754,0.742409636,0.999782141,-4.724691281,NA
chr1-109075604-109076487,-1.265662566,5.626317191,-0.915076668,0.360157955,0.999782141,-4.605703122,NA
chr1-109090306-109091287,0.156407514,6.653253691,0.168393718,0.866274564,0.999782141,-4.700640826,NA
chr1-109249245-109250117,-0.398920215,5.51100424,-0.2835131,0.776785289,0.999782141,-4.641376795,NA
chr1-109392748-109393657,-0.112407425,4.859855808,-0.079050045,0.936993289,0.999782141,-4.643919859,NA
chr1-109397524-109398411,0.179803883,7.108753139,0.215613567,0.82929029,0.999782141,-4.72092656,NA
chr1-109426073-109426994,0.276649642,7.40840358,0.314452722,0.753179173,0.999782141,-4.703939181,NA
chr1-109466367-109467210,1.48142417,6.107571403,1.345505763,0.178471048,0.999782141,-4.541612637,NA
chr1-109509128-109510090,-0.561358715,5.104026747,-0.394037256,0.693556036,0.999782141,-4.636802309,NA
chr1-109535771-109536702,-0.93493615,5.947317094,-0.754827113,0.450358018,0.999782141,-4.624765105,NA
chr1-109548159-109549073,-0.741201685,5.432357985,-0.512193673,0.60851884,0.999782141,-4.630716536,NA
chr1-109620532-109621450,-0.193683961,6.763815457,-0.156732661,0.875456488,0.999782141,-4.657664936,NA
chr1-109643133-109644201,-0.21877361,5.968088203,-0.170263537,0.864803912,0.999782141,-4.6529852,NA
chr1-109667661-109668507,-0.404899032,6.694549014,-0.326261605,0.744228468,0.999782141,-4.652283101,NA
chr1-109687362-109688250,-0.052473569,5.9421736,-0.039075136,0.968830716,0.999782141,-4.649770911,NA
chr1-109711949-109712823,-2.795543376,4.992351007,-2.046357567,0.040728975,0.999782141,-4.437591636,NA
chr1-109877052-109877988,0.117746138,6.162152673,0.099942752,0.920390372,0.999782141,-4.664474721,NA
chr1-109947518-109948468,0.47926856,5.21526419,0.347206226,0.72843857,0.999782141,-4.641118273,NA
chr1-109984278-109985174,-0.012661288,7.199009024,-0.011398427,0.990905635,0.999782141,-4.673213196,NA
chr1-110034365-110035321,-0.678654452,6.481197694,-0.561975369,0.574136553,0.999782141,-4.642205212,NA
chr1-11012167-11012972,1.125933567,6.089896573,1.005977535,0.314433627,0.999782141,-4.599901972,NA
chr1-110214654-110215563,-0.314733556,5.005264133,-0.219030176,0.826627873,0.999782141,-4.641041314,NA
chr1-110338674-110339550,-0.534493446,7.598047717,-0.579143689,0.562496109,0.999782141,-4.671660025,NA
chr1-110407212-110408275,1.57540276,5.683156677,1.267009494,0.205160684,0.999782141,-4.562979295,NA
chr1-110412227-110413169,0.454286151,5.404079902,0.335098065,0.737553206,0.999782141,-4.643152293,NA
