gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr19-48492640-48493787,-3.447031149,7.791510827,-7.008827255,1.42570372692802e-08,0.000130309,9.554509781
chr6-10403926-10404823,-3.188700275,7.387574743,-6.438976284,9.34825220013172e-08,0.000427215,7.75470396
chr12-46383104-46383925,-3.182360379,7.398509376,-6.073109248,3.13887211285019e-07,0.00095631,6.632674249
chr19-50657870-50658726,-4.13597695,6.749438917,-5.830248532,7.01051604708754e-07,0.001199229,5.830390572
chr22-24207527-24208628,-4.127675003,6.223212776,-5.768752656,8.59037544430518e-07,0.001199229,5.541607979
chr10-124144759-124145826,-3.813695292,6.186713254,-5.713816486,1.0299323712305e-06,0.001199229,5.351570644
chr12-7935829-7936741,-4.245473889,6.156950117,-5.710347905,1.04179440603869e-06,0.001199229,5.322145146
chr3-93470143-93471055,1.205599256,14.58197143,5.686395956,1.12750535346799e-06,0.001199229,4.914960583
chr5-90558292-90559191,3.33664904,6.512563426,5.672385449,1.18085999704003e-06,0.001199229,5.38592697
chr8-127735713-127736568,-2.929319446,7.359423561,-5.577561948,1.61432061000212e-06,0.001368195,5.09221438
chr6-1609398-1610270,-3.13693944,6.710684909,-5.547253756,1.78380936262078e-06,0.001368195,4.958945565
chr19-50328486-50329797,-2.530855797,8.229883202,-5.545131867,1.79631763179668e-06,0.001368195,4.972469618
chr22-16601016-16601927,-4.144477994,5.806281541,-5.459159113,2.38362699672442e-06,0.001675873,4.542073517
chr16-27313442-27314381,-3.061745859,6.340568091,-5.402492785,2.87142141413619e-06,0.001874628,4.514235328
chr12-57458943-57459792,-3.4457247,6.208561414,-5.304089426,3.96515587221103e-06,0.002270702,4.15960398
chr12-98439653-98440546,-4.025392051,5.931694839,-5.296417018,4.06606393542103e-06,0.002270702,4.09723134
chr2-96664972-96665804,-3.625158923,5.785762468,-5.284822693,4.22340622293167e-06,0.002270702,4.045856058
chr16-69924526-69925450,-3.770178542,5.887935253,-5.228114182,5.08434317713409e-06,0.002409825,3.914299213
chr11-107927596-107928995,-3.009317252,6.589039634,-5.217496753,5.26387898995815e-06,0.002409825,3.978514139
chr4-84499016-84500041,-3.311864547,6.355749539,-5.216958861,5.27313986021675e-06,0.002409825,3.941253875
chr3-197711990-197712916,-3.052931278,6.225546462,-5.15894949,6.37273960543109e-06,0.002773659,3.778049589
chr7-26864231-26865284,-3.207502443,7.166625826,-5.125851337,7.09892995069357e-06,0.002949283,3.705616467
chr5-156201421-156202587,-3.725305335,5.747709994,-5.108607361,7.50914234184565e-06,0.002984068,3.567770735
chr2-218370258-218371112,-3.529376484,6.31438209,-5.052546485,9.01175637908211e-06,0.003431977,3.463874941
chr17-27244870-27245658,-3.191978744,6.220861745,-5.033788018,9.57816334399476e-06,0.003501777,3.405209506
chr14-68598512-68599493,-2.737233521,6.896794764,-4.987132367,1.11441301643285e-05,0.00391759,3.286470081
chr10-69087506-69088511,-3.203129267,6.381220527,-4.9450296,1.27729906649144e-05,0.004323894,3.14011655
chr2-240232926-240234038,2.497270717,6.65916051,4.917445664,1.39654467872853e-05,0.004517247,3.065102789
chr19-39398274-39398939,-3.989737343,6.395439172,-4.906806239,1.44542057403871e-05,0.004517247,3.018135549
chr1-55428848-55429814,-3.272648275,6.130794987,-4.898930394,1.48268504120692e-05,0.004517247,2.985519955
chr14-99035606-99036545,-3.27803933,6.135134087,-4.88436616,1.5541106502693e-05,0.00458212,2.940709371
chr4-85474719-85475667,-2.630641322,6.836892698,-4.86246326,1.66796548051772e-05,0.00472513,2.912832113
chr3-196688022-196688987,-3.544144931,5.935912622,-4.855472267,1.70600956609579e-05,0.00472513,2.863288646
chr10-114043312-114044268,-2.716035099,7.170038254,-4.839214915,1.79782121572409e-05,0.004764195,2.839740823
chr7-17298376-17299190,-2.641706236,7.238715985,-4.827466966,1.86718299963192e-05,0.004764195,2.792130702
chr1-26431742-26432672,-2.740287859,6.969326149,-4.825923768,1.87648818786681e-05,0.004764195,2.805435936
chr20-1946862-1947760,-3.38612481,5.917408293,-4.797237579,2.05802525199066e-05,0.005075324,2.693921503
chr19-50658842-50659788,-3.162230841,6.068896644,-4.786021364,2.13362085472841e-05,0.005075324,2.660538651
chr1-155255072-155255932,-2.456200786,7.078591637,-4.781391179,2.16561973391667e-05,0.005075324,2.665231927
chr1-12161558-12162487,-3.043101094,6.205113582,-4.769330416,2.25120787219308e-05,0.00514401,2.631876628
chr19-3459210-3460133,-2.946700024,6.62193255,-4.730539313,2.54971295375672e-05,0.005683994,2.524164588
chr17-78592084-78593048,-3.374707333,6.163215452,-4.688845986,2.91405638051177e-05,0.006220332,2.39805378
chr6-106360203-106361098,2.166317208,6.772790223,4.687523525,2.92641461426214e-05,0.006220332,2.366516868
chr10-76024317-76025519,-2.865205996,6.102334911,-4.672327396,3.07217484719794e-05,0.006381745,2.343755308
chr7-105012495-105013388,-2.072155707,7.731580932,-4.663261017,3.16251662186839e-05,0.006423423,2.2676339
chr9-127561554-127562499,-2.788022705,6.584952597,-4.643599336,3.3675083766041e-05,0.006691093,2.269613933
chr6-84764272-84765140,-2.744727619,6.251473699,-4.620039239,3.63040544271807e-05,0.00705998,2.196690186
chr2-101961025-101961884,-3.229855413,6.491201613,-4.602434383,3.83992222061854e-05,0.007293699,2.149389729
chr8-104329640-104330550,-3.178611287,5.866289032,-4.59117083,3.98015705631688e-05,0.007293699,2.091169521
chr17-8156162-8157068,-2.087220299,7.750119986,-4.585370369,4.05432534790598e-05,0.007293699,2.037477161
chr2-153478348-153479359,2.408556201,6.576307174,4.582075087,4.09706392830206e-05,0.007293699,2.060749644
chr9-69324635-69325709,2.443343065,6.349387585,4.574472865,4.19735735557606e-05,0.007293699,2.045144468
chr7-99859839-99860904,-3.184804015,5.619766515,-4.572082523,4.22938776097332e-05,0.007293699,2.020265325
chr19-8592077-8592995,-2.149720033,7.717181818,-4.564323147,4.33502630072708e-05,0.007337433,1.978396949
chr4-119099008-119099927,-3.112555343,5.765261505,-4.540037007,4.68269197442087e-05,0.007661976,1.945070742
chr5-76786911-76788286,-3.089951648,6.023995648,-4.535641986,4.74847003608031e-05,0.007661976,1.941229912
chr6-3053393-3054459,-2.690809157,6.382368823,-4.525943101,4.89685420652835e-05,0.007661976,1.926099465
chr17-2392426-2393311,-2.08390635,7.891001987,-4.525236733,4.90783707170075e-05,0.007661976,1.845056809
chr12-123364618-123365560,-2.459550157,7.39541993,-4.522799712,4.94591463784432e-05,0.007661976,1.880200501
chr17-16285770-16286669,-2.761772131,6.05386547,-4.508654295,5.17272480300614e-05,0.007712544,1.874943361
chr2-237677754-237678786,-3.570438475,5.568857927,-4.50645013,5.20897388986031e-05,0.007712544,1.844852273
chr2-41932005-41932914,-2.71496558,6.171996746,-4.501506228,5.29118874324133e-05,0.007712544,1.854994233
chr1-233112879-233113707,-2.935982597,6.202608699,-4.493594155,5.42541902597511e-05,0.007712544,1.831536565
chr10-75401622-75402537,-2.499895201,7.47403799,-4.490746108,5.47454986129855e-05,0.007712544,1.769977576
chr19-40798560-40799486,-1.722530649,8.230235758,-4.486126558,5.55516984112898e-05,0.007712544,1.681320946
chr11-66970628-66971552,-3.369763023,5.961453859,-4.482540722,5.61855120683446e-05,0.007712544,1.795124351
chr7-37354410-37355354,-2.986382056,6.225688824,-4.474287635,5.76713517491674e-05,0.007712544,1.777509544
chr17-3920972-3922089,-2.941670482,6.1418171,-4.474178151,5.76913192844736e-05,0.007712544,1.766268356
chr15-92803650-92804560,-2.382023554,6.983965255,-4.470239208,5.84142267427115e-05,0.007712544,1.736221219
chr6-37244495-37245409,-3.298641176,6.066402144,-4.466719907,5.90676258372451e-05,0.007712544,1.750157474
chr11-121828855-121829927,-2.822104491,6.125464681,-4.450591293,6.21549187222162e-05,0.007904986,1.708872878
chr11-10899501-10900584,-3.141658139,6.219087958,-4.449999155,6.22712239059334e-05,0.007904986,1.708595711
chr19-49084879-49085806,-1.959826954,7.627510964,-4.439626998,6.4343413505138e-05,0.007997976,1.606785181
chr5-11903726-11904627,2.793160834,6.329039745,4.437611483,6.47538512091936e-05,0.007997976,1.642116923
chr1-2198934-2199895,-2.739473249,6.19770317,-4.417510254,6.89902032564938e-05,0.008407606,1.615434311
chr8-74321116-74321986,2.342852555,6.458544292,4.409113243,7.08392219590555e-05,0.008519349,1.552568268
chr1-11790607-11791774,-2.167133081,7.500657004,-4.383099911,7.68807957160358e-05,0.00912585,1.460547278
chr9-128067728-128068490,-1.757479389,8.121636265,-4.348259696,8.57683186030781e-05,0.01002181,1.285392317
chr22-27512104-27513143,-2.905958189,6.01967638,-4.34510217,8.66217728473174e-05,0.01002181,1.407309093
chr21-44817490-44818368,-2.072919334,7.145835365,-4.335850995,8.91704011647662e-05,0.010187718,1.328906929
chr7-25856372-25857543,-2.667390996,6.202814047,-4.320714763,9.34993190946435e-05,0.010437809,1.339273783
chr16-87150165-87151088,-3.520717441,6.001335922,-4.320222985,9.36433589794369e-05,0.010437809,1.327141758
chr9-134455916-134456812,-2.397500064,6.98798968,-4.308615786,9.71067599338757e-05,0.010693443,1.26545607
chr2-170529998-170530883,-3.172442112,5.963076475,-4.300958342,9.94598462484354e-05,0.010822179,1.282346556
chr15-90761758-90762709,-3.043483797,5.658102323,-4.275859193,0.00010757,0.011566942,1.205202651
chr17-7841566-7842427,-2.524901618,6.849481466,-4.257400735,0.000113943,0.011855572,1.143139496
chr19-2266268-2267241,-2.827183981,6.246641152,-4.256370404,0.00011431,0.011855572,1.153913425
chr11-65290417-65291297,-2.546427518,6.465095869,-4.25451424,0.000114973,0.011855572,1.141147699
chr9-70413597-70414479,-1.627644554,7.693855033,-4.252847732,0.000115571,0.011855572,1.034975309
chr22-36528823-36529738,-1.885308053,7.215564713,-4.249617474,0.00011674,0.011855572,1.068371023
chr18-2857303-2858240,-2.795839199,5.955845943,-4.241962183,0.000119556,0.012008119,1.118410766
chr17-16535354-16536293,-2.913037855,6.225614276,-4.237473921,0.000121237,0.012044666,1.09921393
chr1-158285546-158286478,-3.591122626,5.883926931,-4.216894506,0.000129248,0.012702475,1.039100382
chr15-75043372-75044225,-2.901032223,6.279192679,-4.213047529,0.000130802,0.012718425,1.036437361
chr9-129607204-129608087,-2.107001504,6.699291552,-4.185490166,0.000142478,0.013404695,0.92006525
chr7-151631846-151632774,-2.09890026,7.427042869,-4.183777456,0.000143236,0.013404695,0.882604816
chr19-40750358-40751223,-1.645734103,8.166717984,-4.182797907,0.000143672,0.013404695,0.78705061
chr19-51018748-51019573,-2.572055753,5.832099942,-4.18267496,0.000143726,0.013404695,0.952831014
chr22-40509390-40510306,-2.646165907,6.319037253,-4.164609381,0.000151996,0.013945573,0.896016939
chr3-74614251-74615193,2.226341467,6.257869949,4.163375248,0.000152577,0.013945573,0.849507524
chr16-15672496-15673630,-3.040748174,6.060618913,-4.156671628,0.000155774,0.014083526,0.880610854
chr1-47477813-47478785,-2.788453663,6.373934059,-4.148990752,0.000159517,0.014083526,0.845782288
chr12-46371024-46371957,-2.245441721,6.601271556,-4.147731417,0.00016014,0.014083526,0.818719409
chr17-45161254-45162089,-1.627071409,7.784374435,-4.145386986,0.000161304,0.014083526,0.719055141
chr12-122062677-122063677,-3.280750731,5.621776644,-4.144410786,0.000161791,0.014083526,0.843652573
chr17-1783648-1784563,-3.001740842,6.191178768,-4.136351396,0.000165869,0.01423373,0.824154757
chr17-42609020-42609963,-1.869440713,7.620330139,-4.134265487,0.00016694,0.01423373,0.711704536
chr16-34581926-34582723,1.700857501,8.186223412,4.131852257,0.000168188,0.01423373,0.616663379
chr19-5719897-5720847,-2.076332479,7.688135896,-4.11681574,0.000176173,0.014772655,0.672200546
chr19-18279279-18280014,-2.530149143,6.656848482,-4.082949121,0.000195531,0.016246848,0.647740124
chr2-181656410-181657375,2.380210016,6.703330176,4.077310969,0.000198949,0.0163819,0.578657581
chr17-40485711-40486695,-3.122909261,5.865821543,-4.06277206,0.000208032,0.016976902,0.621744956
chr7-75617152-75618412,-2.683644613,5.964519232,-4.057990627,0.000211107,0.017038063,0.602920986
chr5-88882836-88883736,-2.399426921,6.606879942,-4.055830769,0.00021251,0.017038063,0.560274485
chr3-44438888-44440217,-2.866872974,5.962253364,-4.042017892,0.000221701,0.017620384,0.563894143
chr19-3505710-3506628,-1.729273301,7.745050181,-4.03128882,0.000229105,0.018051909,0.395493931
chr17-40490064-40491035,-2.693761203,5.847598606,-4.021646741,0.000235964,0.018433439,0.509137861
chr6-96837008-96837952,2.148490978,6.462753202,4.009128041,0.000245168,0.018886612,0.398291164
chr5-166978342-166979302,2.146457326,6.410891216,4.00815443,0.000245898,0.018886612,0.398679966
chr20-41002857-41003801,-2.620172666,6.348951283,-3.999243152,0.00025268,0.019245654,0.436927626
chr16-66516457-66517398,-1.919942863,7.001940362,-3.996526596,0.000254784,0.019245654,0.354044176
chr19-16471587-16472494,-1.881558628,7.890408031,-3.992966906,0.000257566,0.019296331,0.276655634
chr11-82733348-82734129,2.114142242,6.480238237,3.980159497,0.000267822,0.019901543,0.315261177
chr3-48663521-48664452,-2.579434256,6.361237724,-3.970476518,0.000275837,0.020331891,0.353674603
chr12-31728613-31729539,-1.57220688,8.161272682,-3.960581316,0.000284269,0.02061285,0.143895374
chr10-70478238-70479159,-1.998042065,6.852200381,-3.957441374,0.000286997,0.02061285,0.272034014
chr1-83998803-83999666,1.892932248,6.528459624,3.9558874,0.000288356,0.02061285,0.246950151
chr6-41271552-41272672,-2.894568543,5.599623732,-3.951253088,0.000292447,0.02061285,0.318878316
chr2-215435630-215436584,-1.841498562,7.211468767,-3.949875591,0.000293673,0.02061285,0.207446307
chr9-129315306-129316171,-2.308501244,6.343896085,-3.947949439,0.000295397,0.02061285,0.281920729
chr7-30911223-30912185,2.076178365,6.690536415,3.947906382,0.000295436,0.02061285,0.213890347
chr5-134370843-134371722,-1.910413812,7.599854624,-3.936864793,0.000305509,0.021113347,0.149096709
chr14-60649083-60650032,-2.639151084,6.343599825,-3.935014695,0.000307229,0.021113347,0.263786485
chr16-70113934-70114785,-2.422678849,6.428647824,-3.927894094,0.000313938,0.02136217,0.235022158
chr1-161013346-161014272,-2.814629703,5.757161323,-3.926231358,0.000315524,0.02136217,0.247250232
chr2-46499818-46500637,-2.285939734,6.509605282,-3.916098068,0.000325364,0.021788682,0.187714368
chr11-65662650-65663554,-1.700700979,7.825054296,-3.913659117,0.000327777,0.021788682,0.048912901
chr2-36460879-36461910,-2.825671108,6.19726218,-3.912453362,0.000328976,0.021788682,0.199687349
chr6-157764253-157765403,-2.722606617,6.164872583,-3.909187536,0.000332245,0.02184688,0.193905868
chr5-95730869-95731759,-2.182660438,6.670160576,-3.898365588,0.000343303,0.022412813,0.134420285
chr19-14784627-14785639,-2.919459455,6.03298652,-3.895695901,0.000346086,0.022434224,0.167457883
chr15-48285503-48286470,-2.519230895,5.905326374,-3.890897045,0.000351143,0.022601712,0.151261423
chr14-61438680-61439663,-2.614512277,5.983053115,-3.883161092,0.000359445,0.02290936,0.130452297
chr20-31595785-31596834,-1.903757073,6.814568659,-3.881790927,0.000360935,0.02290936,0.071456955
chr9-131256029-131256946,-2.982474677,6.343705875,-3.878085242,0.000364996,0.023007304,0.10357357
chr9-86354079-86354970,-1.602605534,8.123169695,-3.874370368,0.00036911,0.023107315,-0.093596768
chr12-46372254-46373303,-2.334842435,6.754561301,-3.868311795,0.000375918,0.023373377,0.018282984
