gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr7-767823-768751,3.758430159,6.648106048,6.534509759,6.81532130081524e-08,0.00062292,7.978741194
chr6-1609398-1610270,2.942996078,6.710684909,6.171585761,2.26552212312523e-07,0.001035344,6.872165644
chr6-84764272-84765140,2.931276972,6.251473699,5.694876977,1.09638173016854e-06,0.00334031,5.377531961
chr16-87150165-87151088,3.561304788,6.001335922,5.438924531,2.54755092649896e-06,0.004573436,4.58964098
chr17-60087757-60088840,3.120836556,5.890680375,5.331484431,3.62471174994212e-06,0.004573436,4.26951386
chr1-55428848-55429814,2.927116159,6.130794987,5.326706304,3.68192849460079e-06,0.004573436,4.269353346
chr22-16601016-16601927,3.174649243,5.806281541,5.2697157,4.4375097293414e-06,0.004573436,4.070371034
chr17-44137817-44138731,2.929372532,6.54071429,5.262238297,4.54743098128679e-06,0.004573436,4.102114758
chr17-3920972-3922089,2.805505102,6.1418171,5.259175374,4.59323300507229e-06,0.004573436,4.070509379
chr5-142215781-142216761,3.069711092,6.222511242,5.20563868,5.47182844807831e-06,0.004573436,3.921998044
chr2-200794775-200795698,3.022210958,6.056212364,5.203836612,5.50413514456694e-06,0.004573436,3.902564481
chr20-31595785-31596834,2.383703598,6.814568659,5.172891679,6.08932973255364e-06,0.004638039,3.84308635
chr17-40485711-40486695,3.319675929,5.865821543,5.116442075,7.3199345193407e-06,0.004812035,3.631485685
chr17-40475732-40476646,2.991135817,6.267093435,5.114319153,7.37073175569352e-06,0.004812035,3.651021617
chr16-69924526-69925450,3.005728544,5.887935253,5.061948489,8.74045954335562e-06,0.005233184,3.467096496
chr12-106082472-106083349,2.903896484,5.94674704,5.031094752,9.6623248191574e-06,0.005233184,3.385517671
chr11-125170235-125171131,2.946550836,6.160377998,5.013601618,1.02270442581685e-05,0.005233184,3.347681994
chr3-27677301-27678399,3.087701636,5.659416282,5.011230697,1.0306052357114e-05,0.005233184,3.305694007
chr7-99762649-99763583,2.923998699,6.047105832,4.97081819,1.17493746587893e-05,0.005652068,3.215095441
chr6-125918751-125919683,3.014387416,5.820630449,4.925910865,1.35882563927208e-05,0.00594397,3.070838519
chr19-15251412-15252366,2.743967469,6.453260632,4.910634604,1.42764217466012e-05,0.00594397,3.054120495
chr2-96664972-96665804,2.728901412,5.785762468,4.909969564,1.43071496185823e-05,0.00594397,3.014191967
chr2-12492874-12493745,2.951035615,5.792229662,4.875309593,1.60022700445867e-05,0.006359163,2.923335248
chr11-66606959-66607999,2.900803027,5.918860649,4.80920252,1.98029284972037e-05,0.007407651,2.737189385
chr5-32504818-32505786,3.12135727,6.000691015,4.802087205,2.026162816383e-05,0.007407651,2.720319795
chr14-58637560-58638416,2.774880432,6.476751001,4.766960168,2.26841580753304e-05,0.007974354,2.630107174
chr1-236064726-236065605,2.617223308,6.603799897,4.726087733,2.58636837647578e-05,0.008618917,2.510652478
chr16-86566581-86567518,2.690058086,6.169264241,4.711563623,2.70960876775107e-05,0.008618917,2.462574048
chr2-101961025-101961884,2.958125555,6.491201613,4.708690121,2.73466734309324e-05,0.008618917,2.459413103
chr5-171596172-171597115,2.902915669,6.326699175,4.693931998,2.8670049696392e-05,0.008734808,2.414041931
chr1-228963954-228964897,2.664216397,6.214859124,4.68041683,2.9937142736258e-05,0.008826629,2.373564711
chr19-43773944-43775058,2.83218054,5.730533389,4.661380941,3.18157518381897e-05,0.009051111,2.300842645
chr4-84499016-84500041,2.501868133,6.355749539,4.653001,3.26790673212839e-05,0.009051111,2.294674338
chr1-94045337-94046262,2.742635513,6.695466986,4.639119008,3.41601759070455e-05,0.009166944,2.256420753
chr10-129131100-129132122,2.903214838,5.828418481,4.630585631,3.51031790372392e-05,0.009166944,2.213817989
chr7-34095858-34096800,2.836728515,5.933542753,4.574267538,4.20009933481846e-05,0.010663586,2.060700403
chr20-47383781-47384806,2.716854519,6.328808501,4.560046583,4.3943520093405e-05,0.010810786,2.025722416
chr4-154004385-154005427,3.021380243,5.992518013,4.546716588,4.58443132806466e-05,0.010810786,1.980491625
chr1-47477813-47478785,2.834596156,6.373934059,4.544765795,4.6129174761605e-05,0.010810786,1.981414948
chr14-26597831-26598777,2.290963367,7.206402405,4.509931498,5.15183366040417e-05,0.01177194,1.87664674
chr5-178940604-178941573,2.874546772,6.001453444,4.500471894,5.30854959311838e-05,0.011834181,1.847762424
chr15-89680240-89681178,2.626455838,6.268666134,4.430260196,6.62727193501934e-05,0.014422206,1.652079138
chr22-37545700-37546595,2.392826155,6.506433927,4.411700494,7.02643963595097e-05,0.014935269,1.598432705
chr14-99035606-99036545,2.435053026,6.135134087,4.385700126,7.62548935087566e-05,0.015840221,1.52397231
chr6-90218123-90219068,2.445823401,6.603502668,4.34612958,8.63431643592775e-05,0.016930153,1.410250106
chr15-71691364-71692280,2.528598248,6.07247378,4.345437301,8.65307969749485e-05,0.016930153,1.4099231
chr2-170529998-170530883,2.75612924,5.963076475,4.343497151,8.70587758693509e-05,0.016930153,1.403381949
chr20-31608163-31609099,2.603161739,6.000307063,4.324458709,9.2409810657943e-05,0.017095312,1.349233644
chr2-41932005-41932914,2.292249564,6.171996746,4.317147144,9.4549196852786e-05,0.017095312,1.33011133
chr1-48741043-48742078,2.601921388,6.100976409,4.315690385,9.498119779226e-05,0.017095312,1.325981365
chr19-40806502-40807440,2.555481398,6.137560804,4.314319157,9.53895975364727e-05,0.017095312,1.322143867
chr5-154367792-154368685,2.522486374,6.10678882,4.284962668,0.000104556,0.018043127,1.239219597
chr16-46883766-46884682,-2.231135455,7.550661561,-4.284748264,0.000104626,0.018043127,1.238350014
chr9-34592740-34593651,2.552540411,6.09020845,4.271094418,0.000109181,0.018479898,1.200232775
chr6-134178072-134178948,-3.168497861,6.783913987,-4.242842935,0.000119228,0.019388051,1.106300878
chr1-12496288-12497274,2.674764865,5.621776644,4.238483745,0.000120857,0.019388051,1.104950514
chr2-61538103-61539052,1.82538817,8.164006068,4.23834234,0.00012091,0.019388051,1.030390649
chr2-236642309-236643336,2.39783157,6.316631279,4.229496035,0.000124284,0.019585395,1.08160529
chr12-65500841-65501784,2.539004945,6.044339516,4.212787803,0.000130908,0.020279606,1.036719188
chr19-50658842-50659788,2.327791977,6.068896644,4.169617135,0.000149658,0.022797938,0.916436165
chr10-76024317-76025519,2.229428823,6.102334911,4.152161734,0.000157962,0.023312519,0.867699148
chr21-26845012-26845873,2.209760646,6.804681054,4.151801894,0.000158137,0.023312519,0.854696417
chr20-58174599-58175499,2.38294148,6.113658019,4.144064248,0.000161964,0.023497687,0.844527829
chr12-51371254-51372133,2.198165934,6.769514172,4.134277658,0.000166934,0.023840271,0.805698334
chr7-99859839-99860904,2.415977732,5.619766515,4.126511791,0.000170983,0.024042846,0.794584495
chr14-53953112-53954058,2.047611801,7.030620881,4.114743912,0.000177301,0.024553566,0.743113559
chr9-132213773-132214824,2.459893847,6.43878468,4.088876488,0.000192,0.026186387,0.684504492
chr22-32801184-32802127,2.100184416,6.85834693,4.079232527,0.000197777,0.026186387,0.651810255
chr5-67647921-67648868,2.50179298,5.994522608,4.07486679,0.000200448,0.026186387,0.653789365
chr9-70589484-70590413,2.431152262,5.925947289,4.074698028,0.000200552,0.026186387,0.654259471
chr10-5071254-5072199,2.527704679,6.007734967,4.067323136,0.000205146,0.02640896,0.633626597
chr10-88951328-88952195,2.448013682,5.713988393,4.059758617,0.000209965,0.02652028,0.613530669
chr2-12320852-12321796,2.57410995,5.73377518,4.056899868,0.000211814,0.02652028,0.605724717
chr5-76786911-76788286,2.332683713,6.023995648,4.050833757,0.000215791,0.026653119,0.588278377
chr2-232502466-232503762,2.427449203,6.029364549,4.046432783,0.000218722,0.026654901,0.575126817
chr17-40490064-40491035,2.374207227,5.847598606,4.017802513,0.000238754,0.028205532,0.498852393
chr10-58512620-58513384,2.286678603,6.141523384,4.017136952,0.00023924,0.028205532,0.493001522
chr12-7935829-7936741,2.390850279,6.156950117,4.015141942,0.000240704,0.028205532,0.488913847
chr5-41193453-41194370,2.671271087,5.77908203,3.985419273,0.000263563,0.030493204,0.410917924
chr15-34721751-34722725,2.251091141,6.404388319,3.978833459,0.000268906,0.030502404,0.383115161
chr6-93419262-93420168,1.911454893,7.12246927,3.977115682,0.000270317,0.030502404,0.351251683
chr3-48663521-48664452,2.335923378,6.361237724,3.96331845,0.000281912,0.031264213,0.340923775
chr7-100545399-100546248,2.257446042,6.243432183,3.952380736,0.000291446,0.031264213,0.313193549
chr6-89035354-89036316,2.443674978,6.457007617,3.950067742,0.000293502,0.031264213,0.301487387
chr13-36919796-36920665,2.298447641,6.897165678,3.947781463,0.000295548,0.031264213,0.283058284
chr13-30905866-30906737,2.143197358,6.598270004,3.946652347,0.000296563,0.031264213,0.283750063
chr3-43000947-43001843,2.442303268,5.758040573,3.945513073,0.000297592,0.031264213,0.30285656
chr20-38270861-38271808,2.419337918,5.832099942,3.934617996,0.000307599,0.031668154,0.272351846
chr18-22168981-22169870,1.742491339,7.36723893,3.933797465,0.000308366,0.031668154,0.21978482
chr4-13966098-13967180,2.423064452,5.686384439,3.92539633,0.000316324,0.032047143,0.249017682
chr3-134392234-134393168,2.266993438,6.41998919,3.922450786,0.000319161,0.032047143,0.226647933
chr1-12477930-12478806,2.337667838,5.930723126,3.916846711,0.000324627,0.032047143,0.223490889
chr11-69012971-69013938,2.351495185,6.53398246,3.915371238,0.000326081,0.032047143,0.203503934
chr11-116366832-116367793,2.307389676,6.100268681,3.908845812,0.000332589,0.032338928,0.197689846
chr8-118961399-118962357,2.298996864,5.97814881,3.900160385,0.000341445,0.032850608,0.176998007
chr16-31105438-31106368,-2.864239629,6.730877549,-3.890630347,0.000351426,0.033458653,0.155842899
chr6-37244495-37245409,2.462899597,6.066402144,3.881002138,0.000361796,0.034090863,0.124709532
chr2-217331227-217332225,2.457185741,5.924767622,3.87646261,0.000366787,0.034208533,0.113572852
chr5-55437973-55438916,2.266175065,6.381303756,3.872248531,0.000371481,0.034296293,0.087905615
chr11-10366234-10367474,2.396257535,6.435057646,3.867365803,0.000376991,0.034457009,0.076595452
chr15-62896768-62897948,2.249376077,5.838925317,3.850395331,0.000396767,0.035354815,0.045781552
chr17-81471591-81472518,2.258698565,6.148804712,3.849246643,0.000398141,0.035354815,0.036225986
chr7-130292510-130293481,2.313854933,5.903628724,3.847975247,0.000399667,0.035354815,0.03737533
chr9-94907730-94908616,2.417350032,5.924869464,3.845804179,0.000402287,0.035354815,0.032803373
chr19-50657870-50658726,2.399488706,6.749438917,3.83374559,0.000417141,0.036101714,-0.030837856
chr9-214540-215460,-2.14465945,7.252351565,-3.830030243,0.000421824,0.036101714,-0.011740964
chr2-45009219-45010095,1.772002413,7.128163975,3.829391094,0.000422635,0.036101714,-0.050921177
chr22-39428423-39429334,2.656002991,5.606377176,3.823770197,0.00042983,0.036143758,-0.021881805
chr1-41496029-41496925,2.083150627,6.661483765,3.822836544,0.000431036,0.036143758,-0.0484863
chr9-130689739-130690692,2.330277394,6.247610314,3.804344282,0.000455617,0.037857669,-0.091774605
chr19-8592077-8592995,1.713877469,7.717181818,3.798047812,0.000464292,0.038230916,-0.194638668
chr9-75890271-75891190,1.930236976,7.266533844,3.777424127,0.000493838,0.040300689,-0.205661818
chr6-32113716-32114645,2.271576376,5.969184199,3.771006252,0.000503397,0.040442748,-0.169097707
chr20-31604921-31605729,1.978766377,6.71296714,3.764738385,0.000512905,0.040442748,-0.208381964
