gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr16-46390108-46390985,-0.775731224,14.52014935,-7.461669638,9.85157487838383e-14,2.7564706509718e-10,20.54493761,NA
chr1-633506-635020,-0.637965284,13.76098301,-3.600211253,0.000320713,0.349080875,-0.225260993,NA
chr5-49661033-49661897,-1.192925787,13.16288817,-3.559754863,0.000374283,0.349080875,-0.039441276,NA
chr12-10212251-10213023,-9.682573584,7.12033009,-3.370575879,0.00075519,0.528255681,-3.740512531,NA
chr2-89828316-89829046,-5.654252412,8.421962272,-3.306330356,0.000951223,0.532304469,-2.848473621,NA
chr1-112714939-112715816,-6.933102803,7.966078514,-2.809966717,0.004971868,0.7477632,-3.873774044,NA
chr1-12018856-12019860,-6.529637509,7.93286038,-2.544807719,0.010960417,0.7477632,-4.058507466,NA
chr1-151281723-151282536,7.59681325,7.817547429,1.900197911,0.057458501,0.7477632,-4.475423551,NA
chr1-155255072-155255932,8.799034072,7.813401651,2.354256465,0.018594172,0.7477632,-4.358412591,NA
chr1-165257729-165258672,-8.459721609,7.134819363,-2.825397985,0.004738919,0.7477632,-4.059648762,NA
chr1-16644213-16645151,-5.950767999,8.219451803,-2.103988,0.035423996,0.7477632,-4.310657013,NA
chr1-17439457-17440318,7.316948336,7.747633528,1.881263568,0.059987946,0.7477632,-4.472967244,NA
chr1-17539362-17540262,-7.822770685,7.200807476,-2.507856115,0.012174697,0.7477632,-4.217840427,NA
chr1-182391316-182392282,9.004034613,8.116116325,2.344732831,0.019075485,0.7477632,-4.371743013,NA
chr1-1908710-1909584,6.086814651,8.0233841,1.893884195,0.058291908,0.7477632,-4.422357288,NA
chr1-19485254-19486193,-5.236689171,8.047299366,-1.923683966,0.054444878,0.7477632,-4.358880873,NA
chr1-194888973-194889971,7.567923397,7.817547429,1.92419225,0.054381144,0.7477632,-4.46748526,NA
chr1-204763494-204764594,7.789086981,7.865798532,1.9608651,0.049944289,0.7477632,-4.462972932,NA
chr1-207052750-207053688,6.312611847,8.468695861,1.899555786,0.057542806,0.7477632,-4.430379636,NA
chr1-211675152-211676195,8.097453376,7.821622936,2.046542934,0.040749607,0.7477632,-4.445692937,NA
chr1-212284849-212285772,-5.574045,7.767462577,-2.157376527,0.031018773,0.7477632,-4.244651355,NA
chr1-21439692-21440589,-5.954390312,7.783138949,-2.324847967,0.020115684,0.7477632,-4.164525626,NA
chr1-214551310-214552247,-6.01293218,7.8984519,-1.972265671,0.048628448,0.7477632,-4.383805877,NA
chr1-225652831-225653695,7.640907197,7.777379412,1.97488642,0.048330116,0.7477632,-4.453929765,NA
chr1-225923873-225924781,-5.080875588,8.93869295,-3.02222832,0.002520568,0.7477632,-3.14259385,NA
