gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr1-150560976-150561838,7.484757839,9.382914617,1.830335854,0.067357302,0.745233109,-4.594417663
chr1-151546860-151547738,-4.899561399,9.524247434,-1.712197038,0.087024575,0.745233109,-4.593942198
chr1-191595020-191597013,-5.020211548,9.2436864,-1.827277113,0.067815896,0.745233109,-4.593572972
chr1-19485254-19486193,-5.985633343,9.507846817,-2.4399806,0.014779497,0.745233109,-4.591011747
chr1-197200922-197201828,7.169532337,9.090763427,1.70039356,0.089221614,0.745233109,-4.594588296
chr1-201888236-201889189,7.025271838,9.443342963,1.70411896,0.088523409,0.745233109,-4.594560102
chr1-36149138-36149995,-5.37902153,10.03406305,-2.275493954,0.022987935,0.745233109,-4.591389062
chr1-3649263-3650332,7.484757839,9.382914617,1.830335854,0.067357302,0.745233109,-4.594417663
chr1-58903405-58904346,7.410386816,9.120858801,1.795374632,0.072753901,0.745233109,-4.594467774
chr1-64966042-64966929,-5.157878029,9.294495497,-1.737261487,0.082504104,0.745233109,-4.593976757
chr1-92784651-92785549,7.90744274,9.693571025,1.922053991,0.054749306,0.745233109,-4.59432448
chr10-75401622-75402537,-4.694223224,9.465923689,-1.87841152,0.060478876,0.745233109,-4.593099426
chr11-47269422-47270330,-5.4399999,9.491594066,-2.187915522,0.028797969,0.745233109,-4.5920626
chr11-575638-576596,-5.691099016,9.994244523,-2.252614536,0.024397879,0.745233109,-4.591933906
chr11-6389906-6390842,-3.75442635,10.6123901,-1.748543976,0.080532395,0.745233109,-4.592894563
chr11-65540305-65541170,7.341644337,9.665580252,1.792115605,0.07327452,0.745233109,-4.594461404
chr11-65613737-65614546,7.484757839,9.382914617,1.830335854,0.067357302,0.745233109,-4.594417663
chr11-65860255-65861074,7.02540902,9.584675781,1.711447852,0.087162714,0.745233109,-4.594547879
chr11-69636262-69637163,-4.694942591,9.649179635,-1.735644926,0.082789793,0.745233109,-4.593747014
chr11-70270217-70271098,8.330249487,9.526002546,2.052668006,0.040242357,0.745233109,-4.594144955
chr11-72793425-72794341,7.025271838,9.443342963,1.70411896,0.088523409,0.745233109,-4.594560102
chr11-9573037-9573986,8.150237095,9.209277921,1.999565741,0.04569024,0.745233109,-4.594218143
chr12-105107345-105108364,-5.871515907,9.171667898,-2.056106281,0.039909475,0.745233109,-4.593143691
chr12-118376009-118376923,7.596246646,9.262191619,1.860157322,0.063018672,0.745233109,-4.594382751
chr12-123601569-123602494,-6.656090434,9.245938868,-2.097839886,0.03605192,0.745233109,-4.593432599
chr12-49264576-49265482,-5.030972306,9.443342963,-1.993222355,0.046380799,0.745233109,-4.592790862
chr12-64451715-64452637,-4.423547194,10.06291176,-1.904854932,0.05695075,0.745233109,-4.592688216
chr13-67230101-67230959,-5.369494999,9.03033508,-1.920854957,0.054900442,0.745233109,-4.593401409
chr14-102509451-102510310,8.371968736,9.435828315,2.068534132,0.038725684,0.745233109,-4.594119726
chr14-103333678-103334570,7.366339954,9.145342505,1.791348518,0.073397502,0.745233109,-4.59446718
chr14-105490520-105491435,-5.770402972,9.393258111,-2.250843586,0.024510077,0.745233109,-4.592031647
chr14-23301073-23302211,-6.717979644,9.260087018,-2.505555568,0.012309506,0.745233109,-4.591454686
chr14-67359582-67360420,-7.777044858,9.171667898,-2.893304647,0.003855819,0.745233109,-4.59002623
chr15-28456807-28457885,-5.765185027,9.060430455,-1.988738443,0.046874217,0.745233109,-4.593364094
chr15-73051758-73052672,-4.422800679,9.887170465,-1.906683321,0.056713273,0.745233109,-4.592676272
chr16-2155122-2156044,-7.167211567,9.286106885,-2.282256497,0.022584992,0.745233109,-4.592988507
chr16-2882478-2883387,8.00767192,9.814427718,1.961665411,0.049948194,0.745233109,-4.594265844
chr16-29973274-29974194,-5.291798106,9.197687765,-1.915949851,0.055522351,0.745233109,-4.593371985
chr16-33337643-33339117,-4.54257511,9.918750099,-1.862018098,0.062755799,0.745233109,-4.593051398
chr16-401407-402450,-4.971752031,9.795922499,-1.790784224,0.073488079,0.745233109,-4.593690525
chr16-47037444-47038399,7.280572591,9.526002546,1.743048484,0.081487941,0.745233109,-4.594536138
chr16-67561895-67562679,7.496468874,9.55609792,1.849280512,0.064573532,0.745233109,-4.594384101
chr16-88662808-88663702,-5.134102336,9.336418625,-1.789791674,0.07364762,0.745233109,-4.593782999
chr17-39952595-39953545,-5.262463598,9.649179635,-1.708746269,0.087662315,0.745233109,-4.594109134
chr17-409778-410713,7.808009406,9.443342963,1.915226798,0.055614521,0.745233109,-4.594317765
chr17-44186435-44187310,-5.175024232,9.443342963,-1.811348998,0.070245697,0.745233109,-4.593724691
chr17-45893946-45894884,-7.440730139,9.209277921,-2.521626146,0.011763073,0.745233109,-4.592046539
chr17-46193334-46194253,-8.02916758,9.016186931,-2.546469114,0.010960681,0.745233109,-4.592364563
chr17-7239185-7240081,-6.251655715,9.320515364,-1.961368817,0.049982785,0.745233109,-4.593720332
chr17-82297777-82298749,7.400108184,9.443342963,1.804370502,0.071332548,0.745233109,-4.594449778
chr18-11980690-11981626,-4.697179446,10.08266364,-2.150514243,0.031641175,0.745233109,-4.591330027
chr18-5295909-5296780,8.484200184,9.55609792,2.083482461,0.037341492,0.745233109,-4.594113173
chr19-11924677-11925622,-4.455948718,9.881921707,-1.723299067,0.084998185,0.745233109,-4.593649536
chr19-1266322-1267294,-4.544197702,9.10460605,-1.728295126,0.084098828,0.745233109,-4.593685338
chr19-14529057-14529954,-4.686713347,9.918750099,-1.696287108,0.089996371,0.745233109,-4.593892223
chr19-2061032-2061943,-8.39909929,9.169109904,-2.687188237,0.007268864,0.745233109,-4.591939466
chr19-44845717-44846605,-5.467882556,9.6730949,-1.725120536,0.084669399,0.745233109,-4.594137593
chr19-47256604-47257514,-6.47311755,9.790162962,-2.396245535,0.016660768,0.745233109,-4.591875639
chr19-5680331-5681235,-5.347446586,9.366513999,-1.718479813,0.085873076,0.745233109,-4.594112586
chr2-127407680-127408708,5.998380682,9.558350388,1.698677007,0.089544817,0.745233109,-4.594364566
chr2-183892178-183893134,-5.719769367,9.120858801,-2.19604001,0.028210325,0.745233109,-4.592307121
chr2-231680696-231681636,-5.874266135,9.286106885,-2.225964259,0.026134225,0.745233109,-4.592284971
chr2-27211676-27212603,-5.558864878,9.699988732,-1.803932297,0.071401252,0.745233109,-4.593934445
