gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,1.223283343,13.98245637,769.9501757,0,0,296398.8985
chr14-22977475-22978426,6.844140335,4.894264287,4.232189572,2.32348702006847e-05,0.130010716,-3.644018876
chr5-127072993-127073930,6.991321309,5.063587878,4.050117151,5.13644408876081e-05,0.191606486,-3.824077033
chr6-84263278-84264212,6.716659442,5.202362701,3.831571304,0.000127675,0.357203199,-3.929249022
chr10-27198033-27198919,6.020156578,5.311347677,3.593447229,0.000327032,0.731962935,-3.966742664
chr10-102114579-102115427,5.436905461,5.826755385,3.369749251,0.000753636,0.937105015,-4.011716541
chr19-6232942-6233817,5.710100436,4.94251539,3.378795356,0.000729283,0.937105015,-4.054513718
chr2-11669319-11670436,5.745086868,5.188520078,3.37455309,0.000740611,0.937105015,-4.063038723
chr8-90913485-90914437,6.268854794,5.089607745,3.454090695,0.000553174,0.937105015,-4.095844743
chr1-100037771-100038557,0.180950548,7.137025674,0.141566685,0.887423557,0.999780136,-4.686121932
chr1-100132542-100133463,1.34027753,6.035736213,0.971898391,0.331111603,0.999780136,-4.605412084
chr1-100360411-100361349,0.173349042,4.833835941,0.081880516,0.934742461,0.999780136,-4.630699434
chr1-100539190-100540300,0.77729765,5.012778781,0.391184225,0.695664792,0.999780136,-4.629633806
chr1-100895667-100896530,0.382948474,7.263967362,0.315868809,0.752105033,0.999780136,-4.687958582
chr1-101025474-101026429,-0.835959049,6.207017112,-0.533394161,0.593766055,0.999780136,-4.641677367
chr1-1013130-1013975,1.073779213,5.157234359,0.620086274,0.535207301,0.999780136,-4.628536672
chr1-1019179-1020015,-0.55320808,7.565844673,-0.481928152,0.629861699,0.999780136,-4.684299243
chr1-101996566-101997424,2.063350335,4.894264287,1.26883801,0.204512041,0.999780136,-4.564407664
chr1-10210010-10210921,-0.00724427,7.923912153,-0.007829261,0.993753287,0.999780136,-4.759300089
chr1-103108194-103109144,0.577214396,5.748839264,0.329755302,0.74158795,0.999780136,-4.641348488
chr1-10430115-10431066,-0.401034165,6.793958704,-0.270339433,0.786901624,0.999780136,-4.660734376
chr1-10474471-10475505,-0.056968629,5.756659438,-0.033476991,0.973294512,0.999780136,-4.649453747
chr1-105138243-105139121,0.475363783,4.90810691,0.222576214,0.823867382,0.999780136,-4.628645925
chr1-1059110-1060142,0.285185203,5.905566084,0.200561306,0.841043438,0.999780136,-4.668464127
chr1-106772677-106774056,-1.993984765,4.468722014,-1.118457873,0.263383493,0.999780136,-4.585625913
chr1-106879303-106880160,-2.471966079,4.833835941,-1.42982907,0.152780042,0.999780136,-4.545492181
chr1-10694376-10695359,1.225645864,7.433354377,1.146476161,0.251610442,0.999780136,-4.574688961
chr1-10714371-10715276,1.26147887,6.253400639,1.064219845,0.2872406,0.999780136,-4.592963993
chr1-10751472-10752487,0.766162092,5.541823859,0.473425623,0.63591417,0.999780136,-4.642295411
chr1-107782019-107782931,0.494065918,5.573403493,0.308253985,0.757891946,0.999780136,-4.65057894
chr1-10788367-10789458,1.801923701,5.472449982,1.193818828,0.232561498,0.999780136,-4.572465294
chr1-107926396-107928497,-1.009918501,5.907659857,-0.61944049,0.535632519,0.999780136,-4.632752846
chr1-107964695-107965496,1.502447996,6.40857608,1.111672622,0.266290876,0.999780136,-4.583576901
chr1-107965585-107966102,-1.520596779,5.450575894,-0.902249388,0.366934114,0.999780136,-4.607829302
chr1-108125249-108126286,-1.00884611,6.188740978,-0.626340908,0.531097747,0.999780136,-4.63316468
chr1-108691945-108692826,-0.653011237,6.322234907,-0.395467891,0.692501383,0.999780136,-4.644194881
chr1-108746304-108747127,-0.790868747,6.812477648,-0.525730805,0.599080466,0.999780136,-4.646003368
chr1-108876571-108877464,0.393910671,6.474564192,0.279103836,0.780167718,0.999780136,-4.666794533
chr1-108962901-108963830,-0.55979938,7.237079568,-0.409186035,0.682407057,0.999780136,-4.664309481
chr1-109041643-109042508,0.72614697,6.620942072,0.711521835,0.47676834,0.999780136,-4.67245948
chr1-109075604-109076487,0.564777809,5.626317191,0.350048929,0.726305271,0.999780136,-4.648328869
chr1-109090306-109091287,-0.763412181,6.653253691,-0.519761423,0.60323501,0.999780136,-4.648799082
chr1-109249245-109250117,1.511472573,5.51100424,1.016331513,0.309482533,0.999780136,-4.597656634
chr1-109392748-109393657,2.544753302,4.859855808,1.538202138,0.124013334,0.999780136,-4.52424054
chr1-109397524-109398411,-1.56294941,7.108753139,-1.04162169,0.29759836,0.999780136,-4.594188529
chr1-109426073-109426994,0.057021916,7.40840358,0.04752565,0.962094712,0.999780136,-4.698894177
chr1-109466367-109467210,0.640257755,6.107571403,0.381036658,0.703179664,0.999780136,-4.643177666
chr1-109509128-109510090,-0.879850176,5.104026747,-0.501637119,0.615927738,0.999780136,-4.63419619
chr1-109535771-109536702,-1.920225127,5.947317094,-1.162488687,0.245049412,0.999780136,-4.579208312
