gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr16-46390108-46390985,-0.334172725,14.52014935,-5.687424744,1.355019281046e-08,3.7913439483667e-05,7.726722281
chr1-633506-635020,-0.537394048,13.76098301,-5.101982123,3.47204898712111e-07,0.00048574,5.139894703
chr2-89828316-89829046,-4.154357538,8.421962272,-4.097083171,4.24300257641654e-05,0.039573071,1.730151552
chr14-39266620-39267581,-4.389711356,8.277925268,-3.649442123,0.000265206,0.185511448,0.078277597
chr12-132908164-132909070,-4.443454495,8.176307074,-3.45462378,0.00055515,0.231479979,-0.559713827
chr16-22007586-22008627,-5.436256885,7.545872364,-3.515146725,0.000442991,0.231479979,-0.617471546
chr5-10353209-10354091,-4.841838013,7.997214514,-3.443187752,0.000579114,0.231479979,-0.685253125
chr6-108557896-108558807,-4.523062061,8.071635203,-3.34970547,0.000814327,0.284810753,-0.895924168
chr1-165257729-165258672,-5.586527174,7.134819363,-3.241130941,0.001197534,0.372300164,-1.459812577
chr1-35192770-35193599,-4.501594867,7.882051283,-3.00647062,0.002654731,0.474138948,-1.848549259
chr11-84794309-84796213,-3.870103394,8.212968021,-3.040673308,0.002371422,0.474138948,-1.656341185
chr18-38944062-38945107,-4.501594867,7.882051283,-3.00647062,0.002654731,0.474138948,-1.848549259
chr19-52637910-52638812,-4.782707648,7.518978532,-2.963926087,0.003050215,0.474138948,-2.010640002
chr20-54172594-54173574,-4.782707648,7.518978532,-2.963926087,0.003050215,0.474138948,-2.010640002
chr3-136752078-136752970,-4.884129034,7.583482386,-3.057981049,0.002238866,0.474138948,-1.789621657
chr4-64360500-64361677,-4.991383368,7.634291483,-3.038699313,0.002386988,0.474138948,-1.862346942
chr5-109409688-109410612,-3.417383929,8.743259761,-3.042887227,0.002354074,0.474138948,-1.600527203
chrX-30888916-30889797,-4.782707648,7.518978532,-2.963926087,0.003050215,0.474138948,-2.010640002
chr5-139293431-139294238,-4.390640503,7.929271519,-2.943731334,0.003256145,0.479510264,-1.989460392
chr3-180531449-180532782,-4.71748144,7.478810516,-2.914478086,0.003576963,0.500417073,-2.121366193
chr1-64966042-64966929,-4.19785749,7.988975621,-2.851723222,0.004364223,0.581480725,-2.186776471
chr1-21439692-21440589,-4.225149675,7.783138949,-2.726040351,0.006429871,0.657057308,-2.487773146
chr1-36323066-36324004,-3.649130242,8.223040663,-2.726519975,0.006420546,0.657057308,-2.417099038
chr11-65027103-65028036,-3.529455599,8.135718485,-2.706936749,0.006811333,0.657057308,-2.452049592
