gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,-1.126642754,13.98245637,-432.1243607,0,0,93354.47603
chr8-26577116-26577967,-4.239909943,7.355688653,-5.400593138,6.70975792412387e-08,0.000375445,6.285012599
chr19-38402707-38403576,-5.131162327,6.407452483,-4.384067494,1.17014303178294e-05,0.043650236,1.085549664
chr15-63093105-63094228,-5.471531879,5.792601889,-3.871553589,0.000108451,0.227450316,-0.841861358
chr17-44344854-44345684,-5.87177473,5.509519981,-3.81909293,0.000134305,0.227450316,-1.214387985
chr17-64145511-64146387,-4.917890888,6.291613385,-3.872802649,0.000107897,0.227450316,-0.511007777
chr9-27645040-27646036,-5.211584864,6.073781045,-3.80484436,0.000142271,0.227450316,-0.890034628
chr19-34999874-35000777,-5.176572845,6.019963401,-3.706049625,0.000211024,0.295196465,-1.156561925
chr16-50806065-50807011,-6.038784865,5.154111599,-3.659185066,0.0002536,0.315337062,-1.722921943
chr3-71135003-71136029,-5.895391521,5.116501576,-3.564758008,0.00036495,0.408415977,-1.891470221
chr16-8673914-8674944,-5.001165634,5.981001329,-3.494784394,0.000475362,0.47799145,-1.642602013
chr19-531110-531990,-4.801213315,6.024053328,-3.474619999,0.000512546,0.47799145,-1.596374351
chr11-71252401-71253221,-4.971896424,6.024804823,-3.439305098,0.000584272,0.502968273,-1.772302458
chr11-69638747-69639631,-5.246118455,5.653975559,-3.363528176,0.00077082,0.575083246,-2.086785118
chr16-2905225-2906177,-2.914004088,8.015235988,-3.376131392,0.000736378,0.575083246,-0.942908454
chr10-7563271-7564252,-5.77956336,4.989011382,-3.328561068,0.000874367,0.575590516,-2.390934066
chr7-102152841-102153783,-5.793078723,5.105511006,-3.340387179,0.000837984,0.575590516,-2.370302044
chr7-5045508-5046419,-5.487268101,5.792601889,-3.308456357,0.000939598,0.584168776,-2.317604715
chr1-43172032-43172895,-5.0086832,5.75096984,-3.241383665,0.001191249,0.634822279,-2.271028779
chr6-41545970-41546896,-4.121311386,6.417210002,-3.251573033,0.001149381,0.634822279,-1.850331132
chr8-126743527-126745028,-5.767393287,4.894264287,-3.252792508,0.001144462,0.634822279,-2.549043336
chr12-54352938-54353843,-5.343996247,5.722250959,-3.217573772,0.001294637,0.658558465,-2.461413654
