gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr1-100132542-100133506,1.363286904,7.152586778,1.193501389,0.282995896,0.766235375,-4.594088221
chr1-100249425-100250329,3.741174384,7.618891285,2.502808175,0.051249625,0.766235375,-4.588588842
chr1-100265751-100266732,-0.984930824,6.948247764,-0.497271301,0.638801859,0.766235375,-4.595869989
chr1-100350907-100351838,-1.010990604,5.971461875,-0.494761652,0.640458838,0.766235375,-4.59587322
chr1-100539082-100540443,-0.805303014,6.411788647,-0.359468278,0.733029058,0.766235375,-4.596060999
chr1-100895607-100896530,-0.883302535,6.561810841,-0.452393177,0.668778948,0.766235375,-4.595944353
chr1-1013024-1013975,0.895534749,6.832025729,0.420342969,0.690621101,0.766235375,-4.596021821
chr1-10209991-10210933,2.302047898,8.295263568,1.948474939,0.105227953,0.766235375,-4.590383532
chr1-103108194-103109214,2.232930852,6.781717975,1.658472517,0.154395978,0.766235375,-4.592068904
chr1-103525310-103526385,-2.099457363,6.929111094,-0.826072709,0.444099863,0.766235375,-4.595464242
chr1-10398512-10399410,-0.788586755,7.464295782,-0.457808957,0.665123091,0.766235375,-4.596860448
chr1-10471973-10472927,-1.006098538,6.000339856,-0.496398717,0.639377712,0.766235375,-4.595871672
chr1-10474471-10475505,-0.813409248,6.000339856,-0.358438889,0.733755955,0.766235375,-4.596061072
chr1-10694339-10695359,-0.743415183,8.283503297,-0.436506186,0.679562128,0.766235375,-4.596936906
chr1-107056464-107057763,-0.997645437,6.612118594,-0.497953872,0.638351602,0.766235375,-4.595869964
chr1-1079486-1080675,-1.160950013,6.08946502,-0.576927633,0.587465027,0.766235375,-4.595766192
chr1-108559608-108560551,-0.997645437,6.68463261,-0.497953872,0.638351602,0.766235375,-4.595869964
chr1-108746304-108747191,-1.197530069,6.948247764,-0.582126236,0.584201934,0.766235375,-4.595764769
chr1-108876553-108877469,-1.122241278,6.822641519,-0.561058759,0.597493256,0.766235375,-4.595791909
chr1-109075566-109076514,-1.067398576,6.901445463,-0.52739893,0.619095425,0.766235375,-4.595841119
chr1-109090306-109091317,-0.773698978,5.666369577,-0.362261825,0.731057987,0.766235375,-4.596061614
