gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr1-100037771-100038557,0.066924498,7.137025674,0.248043052,0.804191521,0.993429968,-4.655418159
chr1-100360411-100361349,-0.439154933,4.833835941,-1.055219138,0.291777635,0.993429968,-4.592799761
chr1-100895667-100896530,-0.032405729,7.263967362,-0.125153006,0.900447087,0.993429968,-4.663245005
chr1-101025474-101026429,-0.089533095,6.207017112,-0.273449453,0.784608006,0.993429968,-4.636301894
chr1-1013130-1013975,0.51982328,5.157234359,1.374457581,0.169846402,0.993429968,-4.567254178
chr1-1019179-1020015,0.483286026,7.565844673,1.900814374,0.057836654,0.993429968,-4.425582955
chr1-101996566-101997424,-0.09298596,4.894264287,-0.223583148,0.823162766,0.993429968,-4.621986741
chr1-10210010-10210921,0.344978346,7.923912153,1.545747828,0.122727265,0.993429968,-4.487167074
chr1-103108194-103109144,0.282476149,5.748839264,0.796685763,0.425969313,0.993429968,-4.609938809
chr1-10474471-10475505,0.251711731,5.756659438,0.720278068,0.471652675,0.993429968,-4.614756264
chr1-105138243-105139121,-0.428108575,4.90810691,-1.039227243,0.299145073,0.993429968,-4.593700778
chr1-1059110-1060142,0.673712919,5.905566084,2.007003699,0.045226721,0.993429968,-4.473768226
chr1-106772677-106774056,0.3299959,4.468722014,0.803124823,0.422241446,0.993429968,-4.605820519
chr1-106879303-106880160,0.14452841,4.833835941,0.356542965,0.721567536,0.993429968,-4.621052271
chr1-10694376-10695359,0.168310882,7.433354377,0.647950911,0.517280797,0.993429968,-4.637024647
chr1-10714371-10715276,0.503175386,6.253400639,1.508769901,0.131918441,0.993429968,-4.543856633
chr1-10751472-10752487,0.093524457,5.541823859,0.2472847,0.804778031,0.993429968,-4.627105123
chr1-107782019-107782931,-0.325026184,5.573403493,-0.875259231,0.381806042,0.993429968,-4.604237032
chr1-10788367-10789458,-0.080220289,5.472449982,-0.209665739,0.8340044,0.993429968,-4.62684648
chr1-107926396-107928497,-0.058078028,5.907659857,-0.163571619,0.870127077,0.993429968,-4.632317658
chr1-107964695-107965496,-0.074268901,6.40857608,-0.235326144,0.814041159,0.993429968,-4.640286268
chr1-107965585-107966102,0.164249779,5.450575894,0.444480671,0.656865875,0.993429968,-4.623688767
chr1-108691945-108692826,0.277349683,6.322234907,0.858402227,0.391035625,0.993429968,-4.608601032
chr1-108746304-108747127,0.272896587,6.812477648,0.920501925,0.357704693,0.993429968,-4.605776627
chr1-108876571-108877464,-0.161855028,6.474564192,-0.527598152,0.59798609,0.993429968,-4.632225839
chr1-108962901-108963830,-0.056617181,7.237079568,-0.218407059,0.827191095,0.993429968,-4.661214893
chr1-109041643-109042508,0.761336035,6.620942072,2.424094228,0.015660481,0.993429968,-4.370583337
chr1-109075604-109076487,-0.448049,5.626317191,-1.255171745,0.209937053,0.993429968,-4.575696255
chr1-109090306-109091287,0.47996152,6.653253691,1.600001195,0.110159181,0.993429968,-4.5202179
chr1-109392748-109393657,0.051883023,4.859855808,0.126742461,0.89918948,0.993429968,-4.623780833
chr1-109397524-109398411,0.069127931,7.108753139,0.248101641,0.804146212,0.993429968,-4.652344388
chr1-109426073-109426994,0.142471245,7.40840358,0.545960832,0.585309082,0.993429968,-4.644311862
chr1-109466367-109467210,0.109609035,6.107571403,0.324567515,0.74562895,0.993429968,-4.632819388
chr1-109509128-109510090,0.314127245,5.104026747,0.823237441,0.410721479,0.993429968,-4.606615079
chr1-109535771-109536702,0.732926338,5.947317094,2.203524708,0.027961834,0.993429968,-4.438961852
chr1-109548159-109549073,0.156565562,5.432357985,0.414098305,0.678959795,0.993429968,-4.623315624
chr1-109620532-109621450,-0.059567974,6.763815457,-0.202022984,0.839971719,0.993429968,-4.647254476
chr1-109643133-109644201,0.295610308,5.968088203,0.839714108,0.401425062,0.993429968,-4.607715299
chr1-109687362-109688250,-0.055751211,5.9421736,-0.157580222,0.874844077,0.993429968,-4.632959494
chr1-109711949-109712823,-0.273705662,4.992351007,-0.668973527,0.503786524,0.993429968,-4.611540316
chr1-109877052-109877988,0.27135541,6.162152673,0.796999749,0.425787086,0.993429968,-4.611408407
chr1-109947518-109948468,0.166347462,5.21526419,0.434190641,0.664316321,0.993429968,-4.621921195
chr1-109984278-109985174,-0.089001815,7.199009024,-0.361967089,0.717512414,0.993429968,-4.662343771
chr1-110034365-110035321,0.207980298,6.481197694,0.653618306,0.513624551,0.993429968,-4.622987764
chr1-11012167-11012972,0.322131622,6.089896573,0.959235724,0.33785168,0.993429968,-4.600100247
chr1-110338674-110339550,0.350678269,7.598047717,1.452964502,0.146790622,0.993429968,-4.520041592
chr1-110407212-110408275,-0.079315252,5.683156677,-0.217018306,0.828272683,0.993429968,-4.629499716
chr1-110412227-110413169,0.167906994,5.404079902,0.4476159,0.654602566,0.993429968,-4.622618063
chr1-111203958-111204765,0.244091509,6.04643468,0.731749463,0.464625912,0.993429968,-4.616038827
chr1-111346117-111347047,0.448842831,6.493768657,1.429183384,0.153506029,0.993429968,-4.549290065
chr1-1115838-1116744,0.115865721,7.849644298,0.501911437,0.615926005,0.993429968,-4.660827756
chr1-111786274-111787249,0.463881542,6.067315847,1.343724222,0.179578765,0.993429968,-4.565310319
chr1-112390384-112391490,0.2671216,5.204920695,0.696172842,0.486607831,0.993429968,-4.612540411
chr1-112618669-112619333,-0.067065785,5.484984373,-0.176018634,0.860342584,0.993429968,-4.627445225
chr1-11262158-11263069,-0.301383062,6.434024948,-1.024113653,0.306221335,0.993429968,-4.595483336
chr1-112674731-112675582,0.479947517,5.905810238,1.424405493,0.154883053,0.993429968,-4.555542176
chr1-112700481-112701454,-0.449340566,4.948274927,-1.096049983,0.273525427,0.993429968,-4.590292739
chr1-112808877-112809874,0.10104463,5.575508094,0.274167704,0.78405629,0.993429968,-4.62790692
chr1-112849387-112850282,-0.073731022,6.421596681,-0.236005786,0.813513994,0.993429968,-4.641434989
chr1-112882073-112883050,-0.113994707,5.968088203,-0.326957468,0.743821552,0.993429968,-4.630387876
chr1-113072713-113073597,-0.179294366,6.758326769,-0.658092457,0.510747667,0.993429968,-4.632568434
chr1-113140394-113141489,-0.246706982,5.077282635,-0.609436682,0.54248084,0.993429968,-4.614161507
chr1-113223185-113224247,-0.108009177,5.668240319,-0.292838584,0.76975341,0.993429968,-4.627595086
chr1-113389845-113390733,0.120263673,8.076900705,0.578501824,0.563156659,0.993429968,-4.668082712
chr1-113811916-113812774,0.031689866,7.416108703,0.127458195,0.89862326,0.993429968,-4.669848791
chr1-114023803-114024620,-0.351036501,5.170014859,-0.89150963,0.373036598,0.993429968,-4.602330701
chr1-114346205-114347032,-0.268642527,7.03183472,-1.081836534,0.27978823,0.993429968,-4.588621905
chr1-114510685-114511549,0.063770365,7.071314668,0.228879122,0.819045966,0.993429968,-4.652434552
chr1-114606606-114607537,-0.334245009,4.863931315,-0.803773153,0.421867163,0.993429968,-4.605587912
chr1-114716332-114717257,0.251225216,5.362156774,0.676399385,0.499064831,0.993429968,-4.614608423
chr1-114757433-114758264,0.2194183,6.226656527,0.651822069,0.514781908,0.993429968,-4.620408527
chr1-114780148-114781081,0.068915715,5.506858462,0.184651646,0.853568756,0.993429968,-4.628564165
chr1-115056177-115057086,-0.064306666,5.077282635,-0.161560007,0.871710302,0.993429968,-4.624871731
chr1-115641628-115642506,0.098433008,5.31693977,0.256299717,0.797813021,0.993429968,-4.625782716
chr1-116373875-116374480,-0.101831683,6.172556155,-0.307196501,0.75880738,0.993429968,-4.634728869
chr1-116433060-116434034,-0.353737645,5.116501576,-0.883117545,0.377549618,0.993429968,-4.602517214
chr1-116570335-116571258,-0.173505262,7.996693967,-0.875422208,0.381717467,0.993429968,-4.630514621
