gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr7-104328006-104329756,-8.865701175,4.858110301,-5.08330076,3.7269212820521e-07,0.007067361,5.088270241,NA
chr15-28456807-28457885,-6.731525232,5.494225765,-4.655717903,3.23945786979441e-06,0.020476613,3.777284324,NA
chr9-127899193-127900014,-7.023544118,5.372326677,-4.715487676,2.41989100143138e-06,0.020476613,3.966174408,NA
chr7-51255379-51256115,-8.675538914,4.260102572,-4.58975968,4.45177608391273e-06,0.021104757,2.939164171,NA
chr15-101276970-101277901,-4.456590207,6.469584256,-4.119246813,3.80918211765207e-05,0.100833825,1.946350344,NA
chr17-27293729-27294565,-4.807388257,6.09694472,-4.066325391,4.78565854024116e-05,0.100833825,1.711226503,NA
chr19-17932397-17933258,-5.135207683,5.911053185,-4.147920779,3.36238311696414e-05,0.100833825,1.985678283,NA
chr19-7680394-7681268,-6.053677137,5.884700286,-4.186047829,2.84492921202792e-05,0.100833825,1.981315522,NA
chr4-153344296-153345159,-6.219810474,5.388324445,-4.074890476,4.61296208208819e-05,0.100833825,1.521596074,NA
chr2-191846446-191847406,-7.746984188,4.830644119,-4.011377673,6.04811052454922e-05,0.11469032,0.934742343,NA
chr11-66510240-66511156,-6.672891938,4.595061563,-3.973773588,7.08735988319794e-05,0.120993731,1.051680605,NA
chr12-54352938-54353843,-7.148671976,5.100066716,-3.939562542,8.17763763760882e-05,0.120993731,0.821200411,NA
chr4-73476668-73477823,-10.60612125,3.854171041,-3.891358239,9.98548753033804e-05,0.120993731,-0.242056434,NA
chr5-157265763-157266658,-4.855452328,6.381180346,-3.920363102,8.8570952098915e-05,0.120993731,1.161835541,NA
chr9-129885454-129886330,-5.409370599,5.575803764,-3.885986651,0.000102088,0.120993731,0.966346656,NA
chr9-69412381-69413386,-7.513903905,5.231812611,-3.894523254,9.85606130976339e-05,0.120993731,0.575308248,NA
chr3-109694784-109695951,-10.58271937,3.457515424,-3.857743445,0.000114628,0.127077397,-0.343782117,NA
chr8-126743527-126745028,-8.080331668,4.042675744,-3.845254499,0.000120624,0.127077397,0.266296236,NA
chr10-13656392-13657832,-8.017599294,4.475602834,-3.785145342,0.000153855,0.149529811,0.078486875,NA
chr17-39980186-39981121,-3.031251526,7.355285082,-3.778989423,0.000157707,0.149529811,0.676838339,NA
chr20-6051955-6052913,-7.281136579,4.576556344,-3.732795484,0.000189643,0.171247484,0.075207873,NA
chr14-105765395-105767987,-9.806445283,4.354319055,-3.715972863,0.000202714,0.174730159,-0.590627317,NA
chr2-90385044-90386463,-4.796789199,6.027897886,-3.669446412,0.000243409,0.20068551,0.285719851,NA
chr10-103659674-103660609,-7.034011472,5.059660174,-3.630118468,0.000283664,0.204719042,-0.209239127,NA
chr22-26292119-26293469,-9.991928452,3.776560445,-3.638086059,0.000275036,0.204719042,-0.873492761,NA
chr3-123085282-123086133,-8.185662872,4.101149209,-3.623090298,0.000291484,0.204719042,-0.487810865,NA
chrX-150290524-150291661,-8.123368798,3.975763616,-3.642615865,0.000270241,0.204719042,-0.411603784,NA
chr12-50400547-50401422,-5.279198304,5.608980747,-3.610079114,0.000306498,0.207575688,0.032211134,NA
chr12-20807269-20808148,-8.986452588,4.322063528,-3.553407704,0.000380736,0.215571146,-0.888214928,NA
chr13-70296927-70297994,-7.451127578,4.372824274,-3.55191128,0.000382907,0.215571146,-0.546656262,NA
chr16-352283-353359,-1.941646639,8.243965987,-3.54867215,0.000387646,0.215571146,-0.347286929,NA
chr19-10135295-10136525,-9.404875331,3.786179695,-3.570458572,0.000356797,0.215571146,-0.935139945,NA
chr19-44718296-44719218,-6.912581392,4.657460815,-3.549587571,0.000386302,0.215571146,-0.44191381,NA
chr3-71135003-71136029,-7.190407879,4.82818237,-3.575269962,0.000350301,0.215571146,-0.417822192,NA
chr4-182386293-182387288,-9.746168493,3.687267362,-3.541802435,0.00039788,0.215571146,-1.098840813,NA
chr6-74193813-74195325,-8.284329047,4.995394845,-3.5056941,0.000455944,0.240168468,-0.871131387,NA
chr1-14945031-14946003,-5.878521485,4.933832303,-3.474958251,0.000511504,0.25143137,-0.489453298,NA
chr12-60269506-60270415,-8.265542841,4.56707079,-3.467393561,0.000526114,0.25143137,-0.981055943,NA
chr2-1701529-1702625,-5.877986207,5.162498295,-3.465325698,0.000530175,0.25143137,-0.519466844,NA
chr8-134905785-134906618,-7.048902637,4.572243239,-3.465230878,0.000530362,0.25143137,-0.731055921,NA
chr6-30614559-30615500,-6.688011506,4.820667722,-3.457573934,0.00054566,0.252374479,-0.684499673,NA
chr11-65297954-65298740,-5.90474584,5.283987345,-3.416726779,0.000634453,0.253255011,-0.673912474,NA
chr13-28451073-28452015,-8.83459115,3.756084321,-3.419840979,0.000627237,0.253255011,-1.243827554,NA
chr14-99388050-99389913,-8.284442045,4.387183714,-3.438693956,0.000585155,0.253255011,-1.069526013,NA
chr16-2905225-2906177,-2.067545737,7.807812611,-3.413908435,0.00064105,0.253255011,-0.735042186,NA
chr19-3482544-3483674,-9.111092022,3.756084321,-3.4200897,0.000626664,0.253255011,-1.303620053,NA
chr2-232315313-232316265,-8.581392776,4.342491302,-3.436090489,0.000590806,0.253255011,-1.14183892,NA
