gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr1-100132542-100133506,-3.691389352,7.152586778,-3.929626256,0.009728649,0.999559238,-4.57811226
chr1-100249425-100250329,-0.751463626,7.618891285,-0.635259047,0.551490517,0.999559238,-4.59751541
chr1-100265751-100266732,1.568046166,6.948247764,1.190241581,0.284171248,0.999559238,-4.594350849
chr1-100350907-100351838,-1.680274869,5.971461875,-1.233780564,0.2688231,0.999559238,-4.594173066
chr1-100539082-100540443,1.763644713,6.411788647,1.003626377,0.358854455,0.999559238,-4.595111595
chr1-100895607-100896530,-0.992941358,6.561810841,-0.708843616,0.508170751,0.999559238,-4.596071764
chr1-1013024-1013975,-0.290981037,6.832025729,-0.20079943,0.848283066,0.999559238,-4.597446556
chr1-10209991-10210933,-0.244438713,8.295263568,-0.254636285,0.808524014,0.999559238,-4.599182204
chr1-103108194-103109214,-3.269336567,6.781717975,-3.102383323,0.024545351,0.999559238,-4.581861123
chr1-103525310-103526385,-3.196403848,6.929111094,-1.73646796,0.139264514,0.999559238,-4.592136793
chr1-10398512-10399410,-4.18070455,7.464295782,-2.88297247,0.031940223,0.999559238,-4.585916521
chr1-10471973-10472927,-1.83478847,6.000339856,-1.355940628,0.229652698,0.999559238,-4.593668316
chr1-10474471-10475505,-0.009464012,6.000339856,-0.00534128,0.995932189,0.999559238,-4.596932299
chr1-10694339-10695359,-0.508821738,8.283503297,-0.358500917,0.733712146,0.999559238,-4.597965558
chr1-107056464-107057763,0.705516286,6.612118594,0.529957848,0.617437609,0.999559238,-4.59673385
chr1-1079486-1080675,-0.799365233,6.08946502,-0.614856771,0.563912143,0.999559238,-4.596551491
chr1-108559608-108560551,1.068086365,6.68463261,0.802582686,0.456443566,0.999559238,-4.595873154
chr1-108746304-108747191,0.297033878,6.948247764,0.220477806,0.833684586,0.999559238,-4.597396156
chr1-108876553-108877469,0.127822196,6.822641519,0.097194257,0.926116457,0.999559238,-4.597491143
chr1-109075566-109076514,-0.62874573,6.901445463,-0.458135293,0.664903131,0.999559238,-4.596856163
chr1-109090306-109091317,-3.080362672,5.666369577,-1.799204392,0.128171675,0.999559238,-4.592719123
chr1-109483479-109484442,-0.553476925,7.728388844,-0.588396867,0.580280593,0.999559238,-4.59794121
chr1-109532180-109533134,-2.428885628,6.000339856,-1.086332777,0.323927837,0.999559238,-4.594844
chr1-109739836-109740790,0.555815125,6.70826025,0.401042521,0.703939933,0.999559238,-4.59690633
chr1-109910367-109911365,-0.083626957,7.219243376,-0.056493754,0.957002402,0.999559238,-4.59766536
chr1-109984274-109985195,0.016360053,7.767188915,0.013403374,0.989792565,0.999559238,-4.597844452
chr1-110003665-110004667,-0.938581997,7.196231701,-0.660669169,0.536266911,0.999559238,-4.596461488
chr1-110034339-110035321,-2.285655783,6.209800999,-1.724008906,0.141579016,0.999559238,-4.5922054
chr1-110084145-110085071,-2.607139379,6.25636144,-1.508638422,0.188113623,0.999559238,-4.592720761
chr1-110209816-110210707,-3.90253839,6.70920396,-3.379433732,0.017790051,0.999559238,-4.579324043
chr1-110312073-110313496,0.487139625,6.464725475,0.362596747,0.730821828,0.999559238,-4.59713074
chr1-110407208-110408275,-4.066732621,6.480759545,-1.715865059,0.143112514,0.999559238,-4.592741434
chr1-11059657-11060594,0.668187788,6.972882086,0.507076051,0.632350884,0.999559238,-4.596777724
chr1-11099283-11100281,-1.702772051,6.097425222,-1.293610289,0.248939608,0.999559238,-4.593904601
chr1-111139673-111140658,-0.369435474,7.098710476,-0.275619285,0.793192941,0.999559238,-4.598182509
chr1-111346117-111347055,-3.009688869,5.971461875,-1.364894641,0.226997668,0.999559238,-4.593885119
chr1-111448750-111449758,0.895018596,6.934339577,0.682674273,0.523307712,0.999559238,-4.596290334
chr1-111507710-111508647,1.265296935,6.665548697,0.9150394,0.399612305,0.999559238,-4.595449608
chr1-111738080-111738860,-1.670660177,6.790735553,-1.251397966,0.262825108,0.999559238,-4.593879668
