gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr7-51255379-51256115,-6.509152621,4.260102572,-5.207076201,1.92838698333723e-07,0.0036568,6.138277286
chr11-66510240-66511156,-5.678219046,4.595061563,-5.042333091,4.62005294094195e-07,0.004380503,5.601293821
chr8-126743527-126745028,-6.385544653,4.042675744,-4.631636033,3.63990433676861e-06,0.023007835,3.508940505
chr15-28456807-28457885,-4.768509858,5.494225765,-4.429186555,9.48534410861304e-06,0.043837634,3.066371397
chr20-6051955-6052913,-5.483833539,4.576556344,-4.386334172,1.1558728550948e-05,0.043837634,2.729536561
chr7-104328006-104329756,-5.608537633,4.858110301,-4.316396381,1.5899858364559e-05,0.045081242,2.413405838
chr9-129885454-129886330,-3.959003606,5.575803764,-4.306315381,1.66412852050712e-05,0.045081242,2.680161005
chrX-150290524-150291661,-6.21000154,3.975763616,-4.258137771,2.06632404115003e-05,0.048979628,2.017695705
chr17-46224938-46225819,-5.914243651,3.989911765,-4.157305046,3.22730449781213e-05,0.058999185,1.707479435
chr19-17932397-17933258,-4.142005312,5.911053185,-4.162144725,3.15967250082807e-05,0.058999185,2.08480939
chr8-26577116-26577967,-2.719685896,6.972814589,-4.143865182,3.42240700219608e-05,0.058999185,2.041478898
chr4-153344296-153345159,-4.835500608,5.388324445,-4.107700795,4.0045504933131e-05,0.063281909,1.765388081
chr1-8314097-8315272,-4.963898654,4.648574846,-4.078996331,4.5322877639319e-05,0.066112133,1.630963916
chr15-101276970-101277901,-3.51138569,6.469584256,-4.029094149,5.6101272498448e-05,0.075989174,1.62382155
chr1-21909460-21910406,-4.267457021,5.196847214,-3.975454992,7.03749008155032e-05,0.083407453,1.357891492
chr17-27293729-27294565,-3.73506424,6.09694472,-3.987494085,6.68999395023312e-05,0.083407453,1.455972306
chr19-55417874-55418973,-5.990468629,3.874598815,-3.94160726,8.10825271039909e-05,0.088273327,0.885155655
chr9-127899193-127900014,-4.580326289,5.372326677,-3.933718551,8.37905336499332e-05,0.088273327,1.158584478
chr6-29553176-29554140,-5.575807998,4.67139317,-3.834653287,0.000125945,0.125699455,0.606435234
chr1-14945031-14946003,-5.009081883,4.933832303,-3.783492917,0.00015488,0.137612233,0.547349105
chr17-19579399-19580516,-5.452984278,4.165503343,-3.770526243,0.000163151,0.137612233,0.411362887
chr7-155497047-155497982,-6.006866294,3.786179695,-3.771290195,0.000162652,0.137612233,0.284428708
chr9-4299586-4300436,-3.603496101,5.473571266,-3.764838177,0.000166908,0.137612233,0.658888664
chr2-240568057-240569037,-3.424698008,5.643541506,-3.74298754,0.000182113,0.138136729,0.588666324
chr8-144685439-144686296,-3.846854196,5.549783897,-3.752571739,0.00017529,0.138136729,0.601027286
chr2-219278941-219279816,-3.736103088,5.977887102,-3.717847023,0.000201217,0.14675674,0.488650744
chr12-50400547-50401422,-4.270027936,5.608980747,-3.686080055,0.000228052,0.15444814,0.329664766
chr17-39980186-39981121,-2.420612107,7.355285082,-3.691521126,0.000223229,0.15444814,0.341558207
chr1-25022204-25023227,-5.759024254,3.863008659,-3.587015327,0.000334905,0.162841244,-0.267430517
chr1-9593320-9594212,-4.889061327,4.525747247,-3.630197539,0.000283577,0.162841244,0.049011148
chr10-125822747-125823721,-4.444723238,5.33155319,-3.663151641,0.00024947,0.162841244,0.229198344
chr13-28451073-28452015,-5.997871904,3.756084321,-3.631281141,0.000282389,0.162841244,-0.179417707
chr16-2905225-2906177,-1.84064859,7.807812611,-3.589207848,0.000332102,0.162841244,-0.153745277
chr19-44718296-44719218,-4.736237232,4.657460815,-3.634063081,0.000279361,0.162841244,0.087699323
chr2-1426803-1427806,-5.759024254,3.863008659,-3.587015327,0.000334905,0.162841244,-0.267430517
chr2-191846446-191847406,-5.142866782,4.830644119,-3.612993909,0.000303073,0.162841244,-0.054297769
chr3-123085282-123086133,-5.487339182,4.101149209,-3.58720304,0.000334664,0.162841244,-0.207740781
chr3-192726888-192727977,-5.05049299,4.402919648,-3.607921961,0.000309056,0.162841244,-0.053517863
chr3-49786096-49787022,-2.988159863,6.41727994,-3.592535711,0.00032789,0.162841244,0.070883451
chr16-1705673-1706587,-3.190232352,6.329488625,-3.574771261,0.000350969,0.166385815,0.019387695
chr19-8366996-8367914,-4.229474556,5.044448831,-3.556935602,0.000375663,0.172813511,-0.095064763
chr2-3379390-3380293,-3.848603575,5.796464479,-3.552016575,0.000382754,0.172813511,-0.074906942
chr13-70296927-70297994,-5.416288758,4.372824274,-3.5313794,0.000413889,0.181481991,-0.371919205
chr19-1444712-1445714,-4.676758213,4.606651718,-3.526733016,0.000421217,0.181481991,-0.253320145
chr2-1701529-1702625,-4.606768967,5.162498295,-3.520853692,0.000430664,0.181481991,-0.261578262
chr13-39942323-39943328,-5.435478082,3.925407911,-3.493831509,0.000476684,0.187628249,-0.494228647
chr18-63963173-63964379,-5.370880581,4.080435486,-3.489304992,0.000484828,0.187628249,-0.495460119
chr19-19138014-19138854,-3.970169899,5.091599321,-3.491676831,0.000480544,0.187628249,-0.279338188
chr5-1776879-1777830,-5.435478082,3.925407911,-3.493831509,0.000476684,0.187628249,-0.494228647
chr6-31821635-31822541,-4.139731767,5.570211671,-3.473949437,0.00051343,0.194723406,-0.351841215
chr20-49483548-49484669,-4.213954359,5.411157933,-3.467222522,0.000526449,0.195403216,-0.381094022
chr9-27645040-27646036,-3.162746711,5.748187642,-3.462470105,0.000535831,0.195403216,-0.344608948
chr19-58037430-58038486,-4.529645377,4.606651718,-3.441547592,0.00057902,0.207168944,-0.501253081
chr10-100986881-100987750,-4.602585117,4.648574846,-3.428204109,0.000608234,0.207610873,-0.553083615
chr3-184568675-184569612,-5.471288954,3.874598815,-3.426797718,0.000611391,0.207610873,-0.708780427
chr4-140237550-140238113,-4.779814138,4.437328128,-3.426039725,0.0006131,0.207610873,-0.586558984
chr5-177131780-177132760,-5.005757794,4.455483856,-3.4190633,0.000629032,0.209268937,-0.645449149
chr1-113871173-113872134,-5.486836166,3.84450344,-3.38618904,0.000709424,0.231945061,-0.83495129
chr11-12888737-12889640,-4.474957774,4.782393016,-3.375011921,0.000738865,0.235331115,-0.699055408
chr12-54352938-54353843,-4.603626388,5.100066716,-3.37288234,0.000744601,0.235331115,-0.723140423
chr10-13656392-13657832,-5.190558866,4.475602834,-3.335593612,0.000851991,0.241138997,-0.930191988
chr11-65014018-65014619,-4.289084348,4.717889162,-3.340611759,0.000836747,0.241138997,-0.78056187
chr18-53462449-53463468,-5.470917353,3.871091745,-3.336677887,0.000848676,0.241138997,-0.979364973
chr2-24813364-24814315,-4.168223534,4.657460815,-3.341913939,0.000832832,0.241138997,-0.763551246
chr3-109694784-109695951,-5.926800845,3.457515424,-3.343671801,0.000827575,0.241138997,-1.051776192
chr6-30614559-30615500,-4.309981784,4.820667722,-3.34907363,0.000811612,0.241138997,-0.757395502
chr7-91824276-91825318,-4.371595981,4.779835022,-3.344157615,0.000826128,0.241138997,-0.779569583
chr7-102395799-102396736,-4.345064054,5.047449796,-3.306424759,0.000945825,0.260545888,-0.88951654
chr9-70805820-70806794,-4.340351984,4.677721145,-3.305769314,0.000948039,0.260545888,-0.890914683
chr15-62186420-62187299,-5.481654537,3.822840642,-3.276184376,0.001053143,0.267218394,-1.157911919
chr17-64145511-64146387,-3.323222322,6.188025359,-3.282732533,0.001028991,0.267218394,-0.895637786
chr19-3459210-3460133,-5.161554014,4.101149209,-3.289696068,0.00100387,0.267218394,-1.060162484
chr2-104502678-104503629,-5.506909097,3.769926944,-3.282180245,0.001031008,0.267218394,-1.145438046
chr8-75252552-75253451,-5.506909097,3.769926944,-3.282180245,0.001031008,0.267218394,-1.145438046
chrX-154534463-154535403,-4.337496335,4.562408194,-3.275186886,0.001056868,0.267218394,-0.98110848
chr10-35218106-35219075,-4.121704442,4.969574749,-3.237555753,0.001206619,0.268411368,-1.06852115
chr11-112073862-112074862,-3.89120427,5.119236618,-3.240378098,0.001194742,0.268411368,-1.041228129
chr12-2795470-2796290,-3.258380122,5.52718793,-3.227148864,0.001251365,0.268411368,-1.059965336
chr13-99981189-99982078,-2.369019436,6.107166694,-3.223322631,0.001268198,0.268411368,-1.153811657
chr14-40417537-40418430,-4.311961905,4.644926425,-3.229307916,0.001241958,0.268411368,-1.11208948
chr16-8673914-8674944,-3.311099315,6.111021172,-3.22203657,0.001273903,0.268411368,-1.074436158
chr17-58218705-58219730,-4.170984608,4.816495969,-3.255282153,0.001133791,0.268411368,-1.021574097
chr19-13149839-13150665,-2.96312926,5.781640436,-3.250242879,0.00115407,0.268411368,-1.002826221
chr19-7680394-7681268,-3.637374742,5.884700286,-3.257667267,0.001124308,0.268411368,-0.976273838
chr2-242088258-242089132,-3.401701544,5.394905182,-3.224395801,0.001263456,0.268411368,-1.067777191
chr20-50575581-50576421,-4.401171652,4.626912048,-3.242338572,0.001186555,0.268411368,-1.084653173
chr22-30968696-30969653,-2.732305662,6.508954887,-3.231077939,0.001234295,0.268411368,-1.078221261
chr5-181223049-181223948,-2.445303388,7.051567402,-3.236011562,0.001213164,0.268411368,-1.10298763
chr6-104940352-104941724,-4.970795025,4.372824274,-3.266229199,0.001090867,0.268411368,-1.096275506
chr7-479206-480405,-5.80174261,3.450000776,-3.232792695,0.001226912,0.268411368,-1.343947279
chr6-6229544-6230871,-4.396591615,4.641060198,-3.202329308,0.001364335,0.284306487,-1.199414856
chr13-60671393-60673162,-4.639439016,4.421075377,-3.19723342,0.001388664,0.286230821,-1.244898472
chr1-165257729-165258672,-4.438307549,4.792676949,-3.183317024,0.001457156,0.292371359,-1.258540407
chr10-100185569-100186474,-3.157376359,5.649101272,-3.175285348,0.001498089,0.292371359,-1.211954666
chr17-57130562-57131553,-5.349407313,3.863008659,-3.169851398,0.001526381,0.292371359,-1.434172423
chr19-10135295-10136525,-5.494323911,3.786179695,-3.185731132,0.001445056,0.292371359,-1.416299824
chr5-110865368-110866470,-5.349407313,3.863008659,-3.169851398,0.001526381,0.292371359,-1.434172423
chr6-34172936-34173841,-4.490379239,4.453728745,-3.175296888,0.00149803,0.292371359,-1.287620773
chr7-149690440-149691523,-4.490379239,4.453728745,-3.175296888,0.00149803,0.292371359,-1.287620773
chr11-112881238-112882356,-5.236217337,3.911259762,-3.154620267,0.001608326,0.293256565,-1.456638889
chr16-352283-353359,-1.464241527,8.243965987,-3.162922347,0.001563171,0.293256565,-1.633268084
chr16-68528334-68529177,-3.813953417,5.62996649,-3.156906249,0.001595774,0.293256565,-1.276156534
chr9-124342710-124343628,-4.807041057,4.332656257,-3.163915611,0.001557848,0.293256565,-1.362592976
chrX-49166054-49166803,-4.932814584,4.302323285,-3.155479534,0.001603597,0.293256565,-1.405003724
chr15-73991842-73992725,-3.289346901,6.025413389,-3.144188731,0.001666764,0.298177847,-1.297975253
chr2-1718446-1719970,-4.400663812,4.993639734,-3.144988947,0.001662213,0.298177847,-1.362032094
chr1-94417855-94418766,-2.227592807,7.210903233,-3.127789234,0.001762597,0.30111822,-1.457226254
chr12-53452474-53452978,-3.525723367,5.274471621,-3.129115598,0.001754662,0.30111822,-1.34231161
chr2-134120619-134121685,-3.300140078,5.464533186,-3.133301434,0.001729834,0.30111822,-1.328602179
chr22-39040605-39041518,-5.06302601,3.97832161,-3.129603012,0.001751754,0.30111822,-1.496886875
chr4-184283473-184284616,-4.895748495,4.173167711,-3.132003288,0.001737499,0.30111822,-1.464353553
chr1-92804350-92805581,-4.385581637,4.59913707,-3.110725006,0.00186767,0.310672213,-1.455447588
chr19-3482544-3483674,-5.423934905,3.756084321,-3.112199756,0.001858367,0.310672213,-1.60496323
chr19-38402707-38403576,-3.042557851,6.313440383,-3.113640913,0.001849317,0.310672213,-1.39083293
chr13-85966579-85967499,-5.355718197,3.802580312,-3.107977848,0.001885114,0.310847118,-1.604459634
chr3-19888918-19889857,-3.786391129,5.048105012,-3.104417971,0.001907941,0.311899016,-1.421599648
chr1-25233009-25233830,-5.106642406,3.927512513,-3.086737469,0.002025121,0.314666738,-1.62031641
chr11-65297954-65298740,-4.011165992,5.283987345,-3.084410183,0.002041028,0.314666738,-1.491818258
chr17-781820-782770,-4.34357861,4.453728745,-3.088887787,0.002010525,0.314666738,-1.510768227
chr21-41957843-41958738,-4.571857437,4.372824274,-3.086547499,0.002026415,0.314666738,-1.544004495
chr5-29296366-29297238,-4.374886478,4.632671585,-3.085997044,0.002030169,0.314666738,-1.52210774
chr6-154675149-154676258,-4.160909631,4.683480682,-3.084494407,0.00204045,0.314666738,-1.504391135
