gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr1-100132542-100133463,-4.48842311,7.419838672,-1.298731359,0.194098733,0.697055009,-4.594832797
chr1-100265805-100266732,4.11228648,7.258252248,0.99986923,0.317424367,0.697055009,-4.595120015
chr1-10032396-10033272,-6.254292129,8.441041319,-1.952295241,0.050961412,0.697055009,-4.593751687
chr1-100895667-100896530,4.832714685,7.405645367,1.174763941,0.240147639,0.697055009,-4.595007711
chr1-108559638-108560551,-5.684810025,7.801862395,-1.630777961,0.103003006,0.697055009,-4.594437789
chr1-108746304-108747127,-8.294362925,7.100993587,-2.317204893,0.020534581,0.697055009,-4.593416198
chr1-109041643-109042508,-6.495251532,7.632263014,-1.856861669,0.063392261,0.697055009,-4.594120518
chr1-109090306-109091287,4.263789942,7.042472083,1.014661613,0.310318471,0.697055009,-4.595111571
chr1-109426073-109426994,-6.391530285,7.949255514,-1.820794674,0.068700514,0.697055009,-4.594181295
chr1-109483497-109484391,-3.6782278,7.539130299,-1.061254203,0.288627964,0.697055009,-4.595067514
chr1-111203958-111204765,4.832714685,7.405645367,1.174763941,0.240147639,0.697055009,-4.595007711
chr1-111448750-111449695,5.021877628,7.651506077,1.222308183,0.221651323,0.697055009,-4.594973686
chr1-111515389-111516440,-5.684810025,7.781243697,-1.630777961,0.103003006,0.697055009,-4.594437789
chr1-112395753-112396646,4.174473573,7.308560002,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-11272724-11273643,-3.6782278,7.589438053,-1.061254203,0.288627964,0.697055009,-4.595067514
chr1-112955764-112956639,-7.747557616,7.645233243,-2.162425279,0.030634815,0.697055009,-4.593689232
chr1-113929228-113930123,6.446959568,7.859763719,1.558521957,0.119175713,0.697055009,-4.594702623
chr1-11735697-11736543,4.174473573,7.340652936,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-117605497-117606423,-4.26376767,7.997343726,-1.242139563,0.214245961,0.697055009,-4.594889841
chr1-119647841-119648724,4.174473573,7.369530918,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-12161558-12162487,-8.294362925,7.07474468,-2.317204893,0.020534581,0.697055009,-4.593416198
chr1-1231637-1232573,5.647693867,8.302665778,1.358059509,0.174508845,0.697055009,-4.594875971
chr1-1273485-1274435,5.314992751,7.548147877,1.27880617,0.20102735,0.697055009,-4.594936139
chr1-1324347-1325274,6.041696624,7.717747259,1.45397149,0.146019809,0.697055009,-4.594797522
chr1-1349013-1350000,-2.898097387,7.369530918,-0.96860492,0.332791313,0.697055009,-4.595154642
chr1-1398987-1399931,-3.6782278,7.611644315,-1.061254203,0.288627964,0.697055009,-4.595067514
chr1-147242346-147243205,4.263789942,7.293223401,1.014661613,0.310318471,0.697055009,-4.595111571
chr1-149886349-149887236,4.538117729,7.415184716,1.077396911,0.281357307,0.697055009,-4.595074643
chr1-150162814-150163711,-2.898097387,7.272445553,-0.96860492,0.332791313,0.697055009,-4.595154642
chr1-150235756-150236781,-4.26376767,7.997343726,-1.242139563,0.214245961,0.697055009,-4.594889841
chr1-150560976-150561838,-3.470356619,8.096648633,-1.001954907,0.316416047,0.697055009,-4.595118394
chr1-150629015-150629946,7.288808632,8.628192402,1.740813221,0.081780614,0.697055009,-4.594541167
chr1-150974282-150975156,-4.332211916,7.854694386,-1.272459028,0.203271913,0.697055009,-4.59485319
chr1-151146285-151147208,-2.898097387,7.462663633,-0.96860492,0.332791313,0.697055009,-4.595154642
chr1-151346755-151347742,-8.294362925,7.20516002,-2.317204893,0.020534581,0.697055009,-4.593416198
chr1-151459210-151459713,4.174473573,7.272445553,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-153633606-153634606,-8.294362925,7.20516002,-2.317204893,0.020534581,0.697055009,-4.593416198
chr1-153958179-153959028,4.174473573,7.340652936,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-153963127-153964070,5.323994179,7.611644315,1.288602981,0.197598459,0.697055009,-4.594926583
chr1-154627228-154628125,-8.294362925,6.977659315,-2.317204893,0.020534581,0.697055009,-4.593416198
chr1-155050772-155051580,4.174473573,7.308560002,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-155084678-155085619,-4.865743442,8.112144383,-1.560846901,0.118626023,0.697055009,-4.594381915
chr1-155135340-155136229,4.356651641,8.003515918,1.050829857,0.293389818,0.697055009,-4.595089629
chr1-155688367-155689242,-4.48842311,7.516924037,-1.298731359,0.194098733,0.697055009,-4.594832797
chr1-155856779-155857715,7.827336354,7.07474468,1.875597105,0.060771478,0.697055009,-4.594397489
chr1-156105919-156106951,-4.068466238,7.405645367,-1.330355203,0.183464679,0.697055009,-4.594709002
chr1-156457062-156457648,4.174473573,7.340652936,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-156504824-156505734,-6.209225381,8.169015209,-1.744717852,0.081098208,0.697055009,-4.594313714
chr1-156766943-156767837,-2.963286132,7.884224291,-1.009928854,0.312580454,0.697055009,-4.59510861
chr1-15835578-15836466,-4.037503198,7.73373689,-1.165535423,0.243860438,0.697055009,-4.594970782
chr1-15886005-15886856,5.021877628,7.565379206,1.222308183,0.221651323,0.697055009,-4.594973686
chr1-159925102-159925983,5.021877628,7.632263014,1.222308183,0.221651323,0.697055009,-4.594973686
chr1-160098514-160099357,-6.495251532,7.632263014,-1.856861669,0.063392261,0.697055009,-4.594120518
chr1-160342864-160343792,-4.26376767,7.884224291,-1.242139563,0.214245961,0.697055009,-4.594889841
chr1-161165831-161166775,6.5646567,7.835013645,1.575410318,0.115227886,0.697055009,-4.594693444
chr1-161225413-161226338,4.278098526,7.927049252,1.034064509,0.301158275,0.697055009,-4.595099706
chr1-161313928-161314854,-2.898097387,7.272445553,-0.96860492,0.332791313,0.697055009,-4.595154642
chr1-161612130-161613063,4.174473573,7.532958107,1.014358571,0.310462983,0.697055009,-4.595111403
chr1-165597832-165598735,-2.898097387,7.340652936,-0.96860492,0.332791313,0.697055009,-4.595154642
