gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr9-137551281-137552239,-3.491514088,7.888805209,-6.765168373,1.33867901700541e-11,6.83931109788062e-08,15.8446173
chr17-68101193-68102100,-3.351169897,7.778141647,-6.483953941,8.97549033993331e-11,1.79808353774904e-07,14.03840915
chr18-21740483-21741279,-3.319867691,7.855600678,-6.437701191,1.21831609401164e-10,1.79808353774904e-07,13.74935136
chr16-75265606-75266478,-3.275783791,7.696922097,-6.4157105,1.40777728537799e-10,1.79808353774904e-07,13.61474183
chr3-184561186-184562093,-3.206944356,8.158761746,-6.304151558,2.90954497446304e-10,2.17643798291849e-07,12.92721802
chr19-45770249-45771153,-3.433567074,8.281756383,-6.291003766,3.16691124780279e-10,2.17643798291849e-07,12.82889843
chr6-32838177-32839131,-3.210949568,7.791557397,-6.278900814,3.42339156423095e-10,2.17643798291849e-07,12.77216278
chr19-55640611-55641471,-3.398207588,7.822612727,-6.252363398,4.05878172514619e-10,2.17643798291849e-07,12.59617435
chr17-76569639-76570576,-3.18529002,7.446038354,-6.227347049,4.76237190192651e-10,2.17643798291849e-07,12.45946421
chr3-123960803-123961808,-3.227051475,7.567393456,-6.223963936,4.86622350404388e-10,2.17643798291849e-07,12.43663284
chr17-2399298-2400222,-3.206989531,7.97500252,-6.22286102,4.90055505910475e-10,2.17643798291849e-07,12.43110259
chr9-127980573-127981425,-3.217667376,7.927844531,-6.196898774,5.78053497186944e-10,2.17643798291849e-07,12.27348065
chr16-69565482-69566254,-3.20182862,7.66148019,-6.192438641,5.94649066038125e-10,2.17643798291849e-07,12.24746328
chr7-153886620-153887428,-3.16519008,7.368834366,-6.186844662,6.16121765259216e-10,2.17643798291849e-07,12.21560827
chr13-20566701-20567644,-3.165417469,7.985284447,-6.181089778,6.39001169382997e-10,2.17643798291849e-07,12.18094447
chr8-22588771-22589710,-3.311371443,7.716329931,-6.157513701,7.41697582191315e-10,2.36833309213464e-07,12.03036769
chr2-240452265-240453291,-3.122356669,7.789253841,-6.138460608,8.36301065783449e-10,2.51333067358097e-07,11.92714746
chr16-15642669-15643629,-3.126805566,7.835052841,-6.109589624,1.00246765085818e-09,2.84533734901915e-07,11.75490077
chr9-37412361-37413302,-3.117115626,7.343551786,-6.089801867,1.13451831032591e-09,3.05066002497636e-07,11.6378262
chr17-73311701-73312602,-3.079000216,7.704495117,-6.050086215,1.45269287573085e-09,3.59424628152283e-07,11.4045775
chr2-160407377-160408175,-3.120021727,7.771233578,-6.043070661,1.51729259651235e-09,3.59424628152283e-07,11.36195747
chr17-1455893-1456724,-3.069827359,7.686551104,-6.031211645,1.6329118386273e-09,3.59424628152283e-07,11.2939531
chr1-150696852-150697774,-3.101683781,7.383667217,-6.031112093,1.63391785598655e-09,3.59424628152283e-07,11.29240197
chr2-113583408-113584358,-3.067464239,7.690314952,-6.02580512,1.68843043171947e-09,3.59424628152283e-07,11.26232229
chr13-28819576-28820454,-3.046129615,7.665251111,-5.982249777,2.20805191153281e-09,4.51237488640845e-07,11.00860337
chr11-77820479-77821404,-3.143219626,8.13683422,-5.970906431,2.36714549681944e-09,4.6514409012502e-07,10.93960986
chr2-108719071-108720015,-3.034063954,7.853137368,-5.956748434,2.58143795122976e-09,4.88465425660476e-07,10.86090244
chr8-65633721-65634658,-3.051121373,7.682103225,-5.903496787,3.56995622245295e-09,6.51389512161148e-07,10.55375291
chr4-118684873-118685922,-3.022286033,7.615304596,-5.89279093,3.80912365497963e-09,6.7106250873417e-07,10.49299401
chr16-4315218-4316174,-3.065266618,8.126878063,-5.876499957,4.20325832491774e-09,7.08175756323057e-07,10.39899471
chr3-10010743-10011675,-2.985599825,8.225881762,-5.868829707,4.40230671730245e-09,7.08175756323057e-07,10.35662775
chr7-6008736-6009693,-3.023386532,7.907195695,-5.867578755,4.43562814686589e-09,7.08175756323057e-07,10.34901783
chr1-3900238-3900946,-3.070932178,7.935709113,-5.85924454,4.6639743384025e-09,7.22068027118132e-07,10.30054259
chr16-46390108-46390985,2.771082776,12.24508503,5.850878125,4.90469325242729e-09,7.37002289019147e-07,10.25129637
chr5-139648068-139648921,-2.961252807,7.416745505,-5.808410985,6.32547045413672e-09,9.11100292913123e-07,10.01436673
