gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr3-93470143-93471055,0.375589429,14.90587259,39.15788607,0,0,757.7564715
chr1-16913615-16914536,0.790767218,7.836823675,5.985338951,2.1690535886535e-09,2.05658816008182e-05,10.93677971
chr16-22190395-22191258,0.531918251,8.067726383,4.650946072,3.30971982324793e-06,0.020920739,4.170907536
chr11-1410360-1411985,-1.238432646,5.124164028,-4.4413573,8.95193439344938e-06,0.042438883,2.604022109
chr9-137604926-137605954,0.888184703,6.862556882,4.140452398,3.46995835386205e-05,0.131601641,1.896634181
chr1-53945554-53946421,0.466836819,8.135856626,4.057413333,4.96688368066989e-05,0.134552879,1.683502449
chr19-1812099-1813068,0.898938156,6.762855962,4.077205724,4.56265877067529e-05,0.134552879,1.643086535
chr1-44673923-44674880,0.686110616,7.364878471,3.987924573,6.67162738129078e-05,0.145815678,1.458935875
chr6-143175846-143176962,-1.128068553,4.518232599,-3.979222092,6.92053525446085e-05,0.145815678,0.990663369
chr11-64240912-64241792,0.546961373,7.744113383,3.89616156,9.78130306704558e-05,0.165924474,1.125975445
chr3-101802921-101803884,-1.335907476,3.671590989,-3.878945188,0.000104999,0.165924474,0.318608077
chr9-21334888-21335787,-0.782165814,6.379456755,-3.905929684,9.39450756816361e-05,0.165924474,1.106886299
chr6-18154848-18155768,0.645845301,7.309477907,3.840706662,0.00012278,0.179098712,0.931379345
chr11-13668074-13668949,0.581835342,7.552790049,3.795049593,0.000147729,0.200098391,0.770741891
chr11-50163734-50164871,-1.111230667,4.840716761,-3.757152589,0.000171986,0.203835955,0.234133251
chr16-67806309-67807240,0.632709834,7.334903784,3.769369261,0.000163785,0.203835955,0.680683996
chr6-33317284-33318361,0.875934498,6.620788274,3.738715599,0.000185099,0.206472081,0.440470661
chr10-125160977-125161858,1.135218621,5.775095595,3.701618906,0.00021438,0.208208393,0.015688219
chr13-85853101-85854765,-1.266542942,4.006312383,-3.66011854,0.00025227,0.208208393,-0.303404636
chr22-23857322-23858225,1.291870812,5.212072368,3.707062625,0.000209826,0.208208393,-0.188542543
chr5-134926560-134927596,-0.885849263,5.743023747,-3.659850461,0.000252534,0.208208393,0.163824385
chr5-91357037-91357940,-1.021422248,4.969574749,-3.662928824,0.000249517,0.208208393,0.031164633
chr7-82507569-82508654,-1.28827125,3.812923807,-3.69463118,0.000220361,0.208208393,-0.223622917
chr5-94545708-94546884,-1.121356109,4.629470042,-3.633923965,0.000279327,0.220703538,-0.188240737
chr19-9791576-9792997,0.70221849,7.041877607,3.615917225,0.00029948,0.227161472,0.139081069
chr1-106306356-106307293,-1.19360414,3.84450344,-3.577069885,0.000347683,0.253394701,-0.46601433
chr1-109041643-109042508,1.052145449,5.974674039,3.567380479,0.00036079,0.253394701,-0.316438767
chr1-161258418-161259457,-1.040268765,4.548327973,-3.542596351,0.000396446,0.253456663,-0.381429936
