gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr1-100132542-100133463,3.969405686,7.419838672,1.315814327,0.188299418,0.836533011,-4.594718761,NA
chr1-100265805-100266732,-2.867456238,7.258252248,-0.790536511,0.429253693,0.836533011,-4.595262418,NA
chr1-10032396-10033272,5.095912882,8.441041319,1.809671181,0.070409526,0.836533011,-4.59368759,NA
chr1-100895667-100896530,-3.04590442,7.405645367,-0.839219336,0.401388172,0.836533011,-4.595232151,NA
chr1-10398530-10399406,2.73320788,8.320508419,1.03185984,0.302189943,0.836533011,-4.595074291,NA
chr1-10430115-10431066,2.327217973,8.121219982,0.90418492,0.365942883,0.836533011,-4.595257917,NA
chr1-108559638-108560551,5.300749984,7.801862395,1.74082785,0.081778048,0.836533011,-4.594026341,NA
chr1-108746304-108747127,6.179998617,7.100993587,2.006383799,0.044871497,0.836533011,-4.593527289,NA
chr1-109041643-109042508,5.468686699,7.632263014,1.791456477,0.073283259,0.836533011,-4.593935983,NA
chr1-109090306-109091287,-3.116293531,7.042472083,-0.850386293,0.395152912,0.836533011,-4.595222988,NA
chr1-109426073-109426994,5.797374366,7.949255514,1.894444941,0.058226229,0.836533011,-4.593739348,NA
chr1-109483497-109484391,4.053014018,7.539130299,1.338572145,0.180773607,0.836533011,-4.594688801,NA
chr1-109493643-109494574,-2.66795318,6.955453053,-0.731488181,0.464516849,0.836533011,-4.595294608,NA
chr1-110034365-110035321,-2.547658946,6.931394206,-0.698516195,0.484888386,0.836533011,-4.595312322,NA
chr1-111203958-111204765,-3.04590442,7.405645367,-0.839219336,0.401388172,0.836533011,-4.595232151,NA
chr1-111448750-111449695,-3.629627431,7.651506077,-1.00065566,0.31704392,0.836533011,-4.595119496,NA
chr1-111515389-111516440,5.403843477,7.781243697,1.774687263,0.076013117,0.836533011,-4.593962215,NA
chr1-112395753-112396646,-2.552979872,7.308560002,-0.703250699,0.481933751,0.836533011,-4.595311611,NA
chr1-112714939-112715816,-2.882077985,6.998278014,-0.790190587,0.429455638,0.836533011,-4.595261057,NA
chr1-11272724-11273643,3.801475251,7.589438053,1.2554556,0.209374733,0.836533011,-4.594806281,NA
chr1-112955764-112956639,7.001068481,7.645233243,2.239359739,0.025178291,0.836533011,-4.59306847,NA
chr1-113758950-113759919,3.004501642,7.161166883,0.880892922,0.37842003,0.836533011,-4.59521624,NA
chr1-113872237-113873082,2.787070664,7.330766264,0.804418642,0.42119521,0.836533011,-4.595266896,NA
chr1-113929228-113930123,-4.465983452,7.859763719,-1.224688627,0.22075286,0.836533011,-4.594932185,NA
chr1-117059701-117060640,-2.882077985,6.998278014,-0.790190587,0.429455638,0.836533011,-4.595261057,NA
chr1-11735697-11736543,-2.713444544,7.340652936,-0.747434933,0.454837801,0.836533011,-4.595287303,NA
chr1-117605497-117606423,3.918933621,7.997343726,1.316949955,0.187918478,0.836533011,-4.594705988,NA
chr1-119647841-119648724,-2.857834454,7.369530918,-0.787194688,0.431206902,0.836533011,-4.595264167,NA
chr1-121184307-121185198,-2.882077985,6.998278014,-0.790190587,0.429455638,0.836533011,-4.595261057,NA
chr1-12161558-12162487,6.311243151,7.07474468,2.049028032,0.040513808,0.836533011,-4.593436186,NA
chr1-1231637-1232573,-3.501578958,8.302665778,-0.967874185,0.333156135,0.836533011,-4.595144128,NA
chr1-1273485-1274435,-4.324351394,7.548147877,-1.181032845,0.237648386,0.836533011,-4.594972843,NA
chr1-1324347-1325274,-4.619186971,7.717747259,-1.261032248,0.20735872,0.836533011,-4.594900219,NA
chr1-1349013-1350000,2.109643095,7.369530918,0.814977463,0.415125779,0.836533011,-4.595370608,NA
chr1-1398987-1399931,3.690443939,7.611644315,1.218779011,0.222988174,0.836533011,-4.594855718,NA
chr1-1406856-1407937,-2.547658946,6.931394206,-0.698516195,0.484888386,0.836533011,-4.595312322,NA
chr1-147242346-147243205,-4.370050123,7.293223401,-1.192270629,0.233214283,0.836533011,-4.59496323,NA
chr1-149886349-149887236,-4.979158531,7.415184716,-1.355484766,0.175327147,0.836533011,-4.594809941,NA
chr1-150162814-150163711,2.595069922,7.272445553,1.002651191,0.316079898,0.836533011,-4.595116449,NA
chr1-150235756-150236781,3.918933621,7.997343726,1.316949955,0.187918478,0.836533011,-4.594705988,NA
chr1-150560976-150561838,4.101978298,8.096648633,1.376875572,0.168615147,0.836533011,-4.5946161,NA
chr1-150629015-150629946,-5.557773455,8.628192402,-1.519901348,0.128601856,0.836533011,-4.59463046,NA
chr1-150974282-150975156,4.351960153,7.854694386,1.464873646,0.143021106,0.836533011,-4.594471778,NA
chr1-1511515-1512402,-2.589982245,7.442044934,-0.699601963,0.484209931,0.836533011,-4.595306109,NA
chr1-151346755-151347742,5.659166454,7.20516002,1.837244753,0.066235762,0.836533011,-4.593869607,NA
chr1-153633606-153634606,5.659166454,7.20516002,1.837244753,0.066235762,0.836533011,-4.593869607,NA
chr1-153958179-153959028,-2.713444544,7.340652936,-0.747434933,0.454837801,0.836533011,-4.595287303,NA
chr1-153963127-153964070,-4.081357346,7.611644315,-1.120034717,0.262755194,0.836533011,-4.59502424,NA
chr1-154220346-154221202,-3.393505815,7.478159383,-0.912348172,0.361631435,0.836533011,-4.595180516,NA
chr1-154627228-154628125,6.796669978,6.977659315,2.206834365,0.027372956,0.836533011,-4.593082224,NA
chr1-155050772-155051580,-2.552979872,7.308560002,-0.703250699,0.481933751,0.836533011,-4.595311611,NA
chr1-155084678-155085619,2.822786818,8.112144383,1.037337028,0.299631243,0.836533011,-4.595069011,NA
chr1-155688367-155689242,3.483978859,7.516924037,1.15488755,0.24819416,0.836533011,-4.594936978,NA
chr1-156105919-156106951,3.409139355,7.405645367,1.288267549,0.197715148,0.836533011,-4.594650058,NA
chr1-156338003-156338919,2.010590502,8.722562086,0.742140901,0.458038405,0.836533011,-4.595425925,NA
chr1-156457062-156457648,-2.713444544,7.340652936,-0.747434933,0.454837801,0.836533011,-4.595287303,NA
chr1-156504824-156505734,5.568276385,8.169015209,1.794668724,0.072769604,0.836533011,-4.593967827,NA
chr1-156751361-156752213,-2.972526539,7.013773764,-0.814937914,0.415148416,0.836533011,-4.595246122,NA
chr1-156766943-156767837,2.225074379,7.884224291,0.864357953,0.387434619,0.836533011,-4.595310937,NA
chr1-158180717-158181615,-2.547658946,6.931394206,-0.698516195,0.484888386,0.836533011,-4.595312322,NA
chr1-15835578-15836466,2.79202898,7.73373689,0.923932957,0.355567821,0.836533011,-4.595200192,NA
chr1-15886005-15886856,-3.198993077,7.565379206,-0.881953352,0.377846344,0.836533011,-4.59520436,NA
chr1-159780469-159781327,-3.808934717,7.180847624,-1.048764464,0.294339515,0.836533011,-4.595082151,NA
chr1-159925102-159925983,-3.533412116,7.632263014,-0.974131028,0.330040737,0.836533011,-4.595139387,NA
chr1-160098514-160099357,5.468686699,7.632263014,1.791456477,0.073283259,0.836533011,-4.593935983,NA
chr1-160342864-160343792,4.484530796,7.884224291,1.507036844,0.13186724,0.836533011,-4.59440321,NA
chr1-161013346-161014272,-3.752017444,7.172265906,-1.029288066,0.303396365,0.836533011,-4.595097644,NA
chr1-161020792-161021651,3.29701702,7.686523418,1.022724834,0.306489678,0.836533011,-4.595097988,NA
chr1-161165831-161166775,-5.210524304,7.835013645,-1.418774837,0.156029814,0.836533011,-4.594744765,NA
chr1-161225413-161226338,-2.704131942,7.927049252,-0.743896771,0.456975463,0.836533011,-4.595288861,NA
chr1-161313928-161314854,2.595069922,7.272445553,1.002651191,0.316079898,0.836533011,-4.595116449,NA
chr1-161612130-161613063,-3.674970397,7.532958107,-1.012234872,0.311476958,0.836533011,-4.595110662,NA
chr1-16513715-16514736,-3.277381121,7.07474468,-0.898479769,0.368975043,0.836533011,-4.595192362,NA
chr1-165597832-165598735,2.254033004,7.340652936,0.870782389,0.383916675,0.836533011,-4.595300528,NA
chr1-16644213-16645151,2.15899153,8.417593784,0.793300335,0.427642204,0.836533011,-4.595370196,NA
chr1-167221607-167222575,4.772078842,7.771584585,1.56382518,0.117924771,0.836533011,-4.594344788,NA
chr1-167617232-167618177,-2.882077985,6.998278014,-0.790190587,0.429455638,0.836533011,-4.595261057,NA
chr1-169367473-169368354,-4.756457223,7.370628026,-1.292996885,0.196074573,0.836533011,-4.594871934,NA
chr1-169794471-169795404,2.595069922,7.272445553,1.002651191,0.316079898,0.836533011,-4.595116449,NA
chr1-171485103-171485983,2.256597498,7.352553139,0.80780801,0.419241277,0.836533011,-4.595342596,NA
chr1-171780998-171781913,-5.337550192,8.070854208,-1.464063985,0.14324217,0.836533011,-4.594690149,NA
chr1-172443620-172444534,2.414497676,7.308560002,0.93281193,0.350964155,0.836533011,-4.595217176,NA
chr1-173122754-173123740,2.348491911,7.686523418,0.9115861,0.362032573,0.836533011,-4.595247546,NA
chr1-173824138-173825052,-4.583147194,7.83914502,-1.257190998,0.208745854,0.836533011,-4.594901748,NA
chr1-174159018-174159874,4.432486593,7.405645367,1.465968515,0.142722587,0.836533011,-4.594492389,NA
chr1-178542361-178543336,5.682811504,7.589438053,1.861614859,0.062718679,0.836533011,-4.593798593,NA
