gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
chr1-100132542-100133506,-5.054676257,7.152586778,-3.211966858,0.021580057,0.927563217,-4.589911254,NA
chr1-100249425-100250329,-4.49263801,7.618891285,-2.226828165,0.073067372,0.927563217,-4.592076333,NA
chr1-100265751-100266732,2.55297699,6.948247764,1.003544543,0.358890493,0.927563217,-4.595116412,NA
chr1-100539082-100540443,2.568947727,6.411788647,0.858961145,0.42723682,0.927563217,-4.595263227,NA
chr1-1013024-1013975,-1.186515786,6.832025729,-0.431017929,0.683307356,0.927563217,-4.595653444,NA
chr1-10209991-10210933,-2.546486612,8.295263568,-1.586032716,0.169891934,0.927563217,-4.593500195,NA
chr1-103108194-103109214,-5.502267419,6.781717975,-3.013512499,0.027284118,0.927563217,-4.590807437,NA
chr1-10398512-10399410,-3.392117795,7.464295782,-1.36323149,0.227488668,0.927563217,-4.594422622,NA
chr1-107056464-107057763,1.703161722,6.612118594,0.664843764,0.53379232,0.927563217,-4.595449024,NA
chr1-108559608-108560551,2.065731802,6.68463261,0.806686679,0.454268998,0.927563217,-4.595319002,NA
chr1-108746304-108747191,1.494563947,6.948247764,0.571374547,0.590962726,0.927563217,-4.595527177,NA
chr1-108876553-108877469,1.250063474,6.822641519,0.490055039,0.643572643,0.927563217,-4.59558426,NA
chr1-109090306-109091317,-2.306663694,5.666369577,-0.795950756,0.459973669,0.927563217,-4.595317745,NA
chr1-109483479-109484442,-1.854080105,7.728388844,-1.182667194,0.286918826,0.927563217,-4.594599909,NA
chr1-109739836-109740790,1.451147139,6.70826025,0.559341756,0.598584363,0.927563217,-4.595526642,NA
chr1-109910367-109911365,4.05946927,7.219243376,1.537547422,0.181097378,0.927563217,-4.594360022,NA
chr1-109984274-109985195,3.634112206,7.767188915,1.801898487,0.12771567,0.927563217,-4.593724345,NA
chr1-110003665-110004667,3.178289602,7.196231701,1.282488987,0.252532138,0.927563217,-4.594703668,NA
