gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
chr19-55640611-55641471,4.220699423,7.822612727,7.68431611,1.55178220567512e-14,7.00881058665064e-11,22.2842428
chr16-55502571-55503499,4.01638851,7.590205448,7.610967263,2.74371132771605e-14,7.00881058665064e-11,21.76749169
chr8-22588771-22589710,4.020499685,7.716329931,7.4996426,6.45067124028413e-14,1.09854931222039e-10,20.94077239
chr21-39312102-39313073,3.612494335,7.522034017,7.325552382,2.39660732547966e-13,2.73992830861829e-10,19.72351823
chr11-111512233-111513191,3.579830927,7.532039923,7.297772656,2.94683251942487e-13,2.73992830861829e-10,19.52701002
chr2-65227351-65228274,3.684731252,7.546947052,7.251524615,4.15008515621415e-13,2.73992830861829e-10,19.18743815
chr1-205504048-205505065,3.59945409,7.502372229,7.247894544,4.26275337751849e-13,2.73992830861829e-10,19.16951959
chr3-123960803-123961808,3.581753225,7.567393456,7.247019599,4.29035554295289e-13,2.73992830861829e-10,19.16478621
chr1-150696852-150697774,3.464446782,7.383667217,7.220827073,5.20302159913e-13,2.9535819277728e-10,18.98744729
chr21-41678701-41679523,3.560637831,7.591595389,7.171484524,7.46889704220281e-13,3.81585949886142e-10,18.63249053
chr16-69565482-69566254,3.4761359,7.66148019,7.108008841,1.18495386840215e-12,5.50357210333324e-10,18.19426461
chr8-65633721-65634658,3.450373343,7.682103225,7.067955073,1.58234437802941e-12,6.33131337397615e-10,17.91763307
chr1-214602701-214603726,3.469014922,7.646352775,7.06546036,1.6110212147522e-12,6.33131337397615e-10,17.89922226
chr12-110449853-110450745,3.452884274,7.595658577,7.023568061,2.17615875565323e-12,7.94142505902311e-10,17.61107558
chr11-123430491-123431314,3.403486208,7.494551717,6.995041586,2.66800992860033e-12,8.04671726919245e-10,17.41794325
chr18-31723783-31724763,3.483940628,7.632558778,6.991106326,2.7439013413781e-12,8.04671726919245e-10,17.38632833
chr10-5684358-5685228,3.451173764,7.683803461,6.988649593,2.79234854075531e-12,8.04671726919245e-10,17.37154454
chr7-153886620-153887428,3.320627012,7.368834366,6.982183346,2.92390943855573e-12,8.04671726919245e-10,17.33352327
